[00:00.000 --> 00:00.840]  Exactly.
[03:15:44.910 --> 03:15:47.310]  It's really hard to get that Kim D out,
[03:15:48.630 --> 03:15:49.830]  puts on it outdoors.
[03:15:49.830 --> 03:15:52.470]  She almost loses the variegation completely.
[03:15:53.790 --> 03:15:55.710]  It has to do with the micronutrients
[03:15:55.710 --> 03:15:57.950]  and the amino acids that she's producing
[03:15:57.950 --> 03:16:01.350]  which are causing the variegation in her system.
[03:16:03.790 --> 03:16:05.390]  But different plants will do it for different reasons.
[03:16:05.390 --> 03:16:07.310]  Like the PCK does it when it comes out
[03:16:07.310 --> 03:16:10.870]  of a clone and goes into rapid vegetative growth.
[03:16:10.870 --> 03:16:13.630]  It'll start the one I have, not all PCKs
[03:16:13.630 --> 03:16:16.150]  but the mom that I used to create a couple
[03:16:16.150 --> 03:16:17.670]  of the lines that I have.
[03:16:17.670 --> 03:16:22.510]  She'll start to variegate from what I call amino slip.
[03:16:22.510 --> 03:16:26.630]  It's having an issue with processing amino acids.
[03:16:26.630 --> 03:16:29.870]  That's when I use something like Thrive In
[03:16:29.870 --> 03:16:34.870]  or a soybean amino complex like soybean meal on the plant.
[03:16:35.670 --> 03:16:38.470]  It'll help her produce more amino acids
[03:16:38.470 --> 03:16:41.870]  or not produce them, but have them available on the system.
[03:16:42.950 --> 03:16:46.310]  I wanted to ask you all a question about PCK earlier.
[03:16:46.310 --> 03:16:48.830]  Like this, it didn't do this with me
[03:16:48.830 --> 03:16:52.670]  but the effect with me is it would always give me tinnitus
[03:16:52.670 --> 03:16:54.470]  every single plant too.
[03:16:54.470 --> 03:16:56.150]  It made my ears ring.
[03:16:56.150 --> 03:16:57.630]  And of course it's unpleasant
[03:16:57.630 --> 03:16:59.350]  but it didn't do it to other people.
[03:16:59.350 --> 03:17:00.190]  They love to answer.
[03:17:00.190 --> 03:17:02.790]  It's the most beautiful stuff I've ever grown.
[03:17:02.830 --> 03:17:04.990]  It is absolutely amazing.
[03:17:04.990 --> 03:17:09.990]  I'll tell you what, it is really got some potencies to it
[03:17:10.030 --> 03:17:14.790]  in ways it's like, it's not my regular go-to
[03:17:14.790 --> 03:17:16.590]  even when I have large jars of it.
[03:17:18.750 --> 03:17:20.750]  To me, it's got a very strong,
[03:17:22.510 --> 03:17:25.750]  it puts my brain to sleep almost I wanna say.
[03:17:25.750 --> 03:17:27.390]  I think it's an excellent PTSD.
[03:17:28.390 --> 03:17:32.790]  It doesn't couch lock me like something might
[03:17:32.790 --> 03:17:36.590]  but it's like, I just, I'll find myself staring at shit
[03:17:36.590 --> 03:17:39.110]  and like not doing anything, right?
[03:17:39.110 --> 03:17:39.950]  Yeah.
[03:17:39.950 --> 03:17:41.070]  Yeah, that's a day-
[03:17:41.070 --> 03:17:42.910]  Turn into a philosopher all of a sudden.
[03:17:42.910 --> 03:17:45.150]  That's a day tripping shit I talk about, man.
[03:17:45.150 --> 03:17:46.270]  The haze does that to me.
[03:17:46.270 --> 03:17:47.710]  It makes me fucking sit there
[03:17:47.710 --> 03:17:49.430]  and I'm thinking about all kinds of shit,
[03:17:49.430 --> 03:17:52.070]  but like, I don't wanna get up and do none of it.
[03:17:52.070 --> 03:17:54.190]  But everything around me is like, fuck,
[03:17:54.190 --> 03:17:56.910]  I'm alert to everything.
[03:17:57.350 --> 03:18:00.590]  But I'm like, it's tripping, it's trippy shit.
[03:18:00.590 --> 03:18:02.470]  It's like the start of a,
[03:18:02.470 --> 03:18:04.070]  if you've ever took acid or shrooms,
[03:18:04.070 --> 03:18:07.590]  it's like right when the shit hits just very beginning,
[03:18:07.590 --> 03:18:09.950]  that's kind of like the effect I get off of those.
[03:18:09.950 --> 03:18:12.590]  Yeah, it's almost an electric feeling or so.
[03:18:12.590 --> 03:18:14.750]  I don't know, it's like everything is,
[03:18:14.750 --> 03:18:17.990]  every cell's connected, like you're alert to everything.
[03:18:17.990 --> 03:18:20.350]  It's crazy, man.
[03:18:21.470 --> 03:18:26.470]  My mentor insisted that PCK was not a indica
[03:18:26.470 --> 03:18:27.830]  as we all think of it as,
[03:18:27.830 --> 03:18:31.430]  Yanica proper or indica.
[03:18:31.430 --> 03:18:35.550]  He didn't say it was actually a,
[03:18:36.510 --> 03:18:38.750]  so here's someone else who gets tinnitus too.
[03:18:39.950 --> 03:18:40.790]  He didn't call it a tinnitus.
[03:18:40.790 --> 03:18:42.870]  Yeah, I was gonna ask what phenol was it, what color?
[03:18:42.870 --> 03:18:44.790]  That's what I was gonna ask.
[03:18:44.790 --> 03:18:46.750]  I'd never seen a green one.
[03:18:46.750 --> 03:18:49.750]  I went through quite a few of them and I never saw green.
[03:18:49.750 --> 03:18:53.510]  They're all like pink and purple and absolutely beautiful.
[03:18:53.510 --> 03:18:56.470]  And real dark and narrow leaf too, like you were saying.
[03:18:58.150 --> 03:18:59.190]  It's a little bitty thing.
[03:18:59.190 --> 03:19:00.710]  I got it because it's like,
[03:19:02.110 --> 03:19:05.590]  I'm in a similar region to the valley over there.
[03:19:05.590 --> 03:19:08.710]  So it makes sense for me because of like,
[03:19:08.710 --> 03:19:10.230]  right now it's PM season.
[03:19:10.230 --> 03:19:12.390]  Of course, that's not gonna hurt your cannabis,
[03:19:12.390 --> 03:19:14.910]  but it's around.
[03:19:14.910 --> 03:19:17.310]  But right now everything that can get PM,
[03:19:17.310 --> 03:19:20.470]  like the nettles and stuff out there are just covered in it.
[03:19:20.510 --> 03:19:24.750]  And next it's gonna be my Minarda plants, the bee balms.
[03:19:24.750 --> 03:19:26.670]  Like it's almost like that stuff was bred
[03:19:26.670 --> 03:19:29.230]  to attract powdery mildew.
[03:19:29.230 --> 03:19:31.230]  There's only been one light cutting found
[03:19:31.230 --> 03:19:33.950]  that actually like it's called Jacob Klein or something,
[03:19:33.950 --> 03:19:38.150]  that it actually is powdery mildew resistant bee balm.
[03:19:38.150 --> 03:19:42.310]  But they just, so I test plants that way.
[03:19:42.310 --> 03:19:45.390]  So when I got these, yes, they look like PCK.
[03:19:45.390 --> 03:19:46.430]  I got mine from Ace.
[03:19:46.430 --> 03:19:49.070]  You said you got yours from a Cannabiogen Toad?
[03:19:49.070 --> 03:19:52.230]  Yeah, Ace got, Doobie got his from,
[03:19:52.230 --> 03:19:54.030]  I don't know where Hardy got his from,
[03:19:54.030 --> 03:19:56.950]  but like you're talking about Ace and Cannabiogen.
[03:19:56.950 --> 03:19:59.150]  Ace got their stock from Cannabiogen.
[03:19:59.150 --> 03:20:00.870]  Doobie got them from Charlie Garcia.
[03:20:00.870 --> 03:20:03.630]  So depending on the year.
[03:20:03.630 --> 03:20:05.990]  Well, I got it through another hand
[03:20:05.990 --> 03:20:09.310]  who selected it for six generations before I got it.
[03:20:09.310 --> 03:20:11.390]  Yeah, so they're slightly different.
[03:20:11.390 --> 03:20:15.510]  The stuff I got, there's all 60, 40 green purple.
[03:20:15.510 --> 03:20:17.750]  Yeah, I got a lot of green, nice.
[03:20:17.790 --> 03:20:18.630]  More purple.
[03:20:18.630 --> 03:20:20.310]  Same with mine.
[03:20:20.310 --> 03:20:22.750]  Right, in the side track.
[03:20:22.750 --> 03:20:24.910]  So I've got stuff, if you're picking up a pack
[03:20:24.910 --> 03:20:28.630]  from Peter right now, you should get 60, 40 green purple.
[03:20:28.630 --> 03:20:30.790]  If you're getting the stuff that he has in mind.
[03:20:30.790 --> 03:20:33.310]  And then I have some of those.
[03:20:33.310 --> 03:20:37.510]  More homozygous of the purple strains.
[03:20:39.470 --> 03:20:41.350]  Yeah, I have some of both of those.
[03:20:41.350 --> 03:20:43.630]  Yeah, but it truly is mold resistant
[03:20:43.630 --> 03:20:45.630]  because I really put it to the test.
[03:20:45.630 --> 03:20:47.710]  Yeah, I crossed it out to an OG too
[03:20:47.710 --> 03:20:50.030]  and put it out there because they say
[03:20:50.030 --> 03:20:51.990]  that OG likes the mold on you.
[03:20:51.990 --> 03:20:55.230]  So I put that OG cross out there
[03:20:55.230 --> 03:20:56.230]  and it did the same thing.
[03:20:56.230 --> 03:20:57.390]  It was just champion.
[03:20:57.390 --> 03:20:59.710]  It was right next to a Minarda plant covered.
[03:21:00.710 --> 03:21:01.910]  Beautiful.
[03:21:01.910 --> 03:21:05.070]  You get any boitress or just testing with PM?
[03:21:05.070 --> 03:21:06.510]  I was just testing with PM
[03:21:06.510 --> 03:21:09.030]  because that's really the only problem around here.
[03:21:09.030 --> 03:21:12.790]  I get PM in all sorts of my Cucubits primarily.
[03:21:12.790 --> 03:21:14.750]  I have never once in my life seen it
[03:21:14.910 --> 03:21:16.030]  in any of my cannabis here.
[03:21:16.030 --> 03:21:17.910]  And I do not recall seeing it with a kid
[03:21:17.910 --> 03:21:20.230]  in Southern California or Central Coast.
[03:21:20.230 --> 03:21:21.070]  Wow.
[03:21:21.070 --> 03:21:24.030]  Yeah, some of the PMs that are on other plants
[03:21:24.030 --> 03:21:25.350]  do not attack cannabis.
[03:21:25.350 --> 03:21:27.950]  So even if you've got your cannabis plant
[03:21:27.950 --> 03:21:29.870]  next to a plant that has powdery mildew,
[03:21:29.870 --> 03:21:32.990]  if it's not a species from that particular type
[03:21:32.990 --> 03:21:35.150]  of powdery mildew that attacks cannabis,
[03:21:35.150 --> 03:21:37.310]  it's not gonna affect it in any way.
[03:21:37.310 --> 03:21:40.230]  Even if the plant next to it is 100% covered in it.
[03:21:40.230 --> 03:21:41.070]  They're not the same.
[03:21:41.070 --> 03:21:44.390]  There's different strains of powdery mildew molds
[03:21:45.030 --> 03:21:46.670]  that are attacking different plants.
[03:21:46.670 --> 03:21:49.310]  Some will come cross contaminate,
[03:21:49.310 --> 03:21:51.070]  but they're not all exactly the same.
[03:21:51.070 --> 03:21:54.310]  So, and the plants that are out in nature
[03:21:54.310 --> 03:21:55.990]  that are getting up every year,
[03:21:55.990 --> 03:21:57.310]  I'm not positive on this,
[03:21:57.310 --> 03:21:58.910]  but I believe what's happening
[03:21:58.910 --> 03:22:00.110]  is it's kind of the same reason
[03:22:00.110 --> 03:22:03.430]  they will let grapes actually get powdery mildew.
[03:22:03.430 --> 03:22:05.550]  It helps produce more terpenes.
[03:22:05.550 --> 03:22:07.990]  Those terpenes, when the flowers produce,
[03:22:07.990 --> 03:22:10.710]  attract more pollinators.
[03:22:10.710 --> 03:22:13.990]  So the plants trying to get powdery mildew on purpose,
[03:22:14.550 --> 03:22:16.710]  so that it'll produce different chemicals
[03:22:16.710 --> 03:22:20.470]  at a specific time during its natural life,
[03:22:20.470 --> 03:22:22.830]  so that when it does need to attract a pollinator,
[03:22:22.830 --> 03:22:23.870]  that it does.
[03:22:23.870 --> 03:22:24.910]  That's what I'm kind of thinking,
[03:22:24.910 --> 03:22:27.230]  because I've got plants out here that do the same thing.
[03:22:27.230 --> 03:22:28.510]  I've been here for 40 years
[03:22:28.510 --> 03:22:31.270]  and there's a creeping ivy out there.
[03:22:31.270 --> 03:22:34.030]  No matter what you do to that plant, it's getting it.
[03:22:34.030 --> 03:22:36.110]  You can put it in direct sun, in the shade.
[03:22:36.110 --> 03:22:38.470]  You can treat it whatever you want.
[03:22:38.470 --> 03:22:40.350]  It's gonna get powdery mildew every year.
[03:22:40.350 --> 03:22:41.350]  It doesn't die.
[03:22:41.350 --> 03:22:42.830]  It doesn't affect it.
[03:22:42.870 --> 03:22:45.390]  That creeping ivy, I had a bunch of that growing up
[03:22:45.390 --> 03:22:47.790]  in Arcadia in Southern California.
[03:22:47.790 --> 03:22:50.870]  It's almost like that's part of a symbiotic thing.
[03:22:50.870 --> 03:22:51.710]  It's that stuff.
[03:22:51.710 --> 03:22:52.550]  It's always that.
[03:22:52.550 --> 03:22:54.310]  That's what I'm wondering, in nature,
[03:22:54.310 --> 03:22:57.230]  because a lot of people think that powdery mildew's systemic
[03:22:57.230 --> 03:22:58.070]  and it's not.
[03:22:58.070 --> 03:22:58.910]  We know that it's not.
[03:22:58.910 --> 03:23:00.670]  It acts translaminar on the plant,
[03:23:00.670 --> 03:23:02.830]  where it's sitting in pockets of moisture
[03:23:02.830 --> 03:23:05.670]  and the historia have locked on.
[03:23:05.670 --> 03:23:08.230]  And some of that is inside the tissue,
[03:23:08.230 --> 03:23:12.070]  but if it dies, that shit's not alive in the plant no more.
[03:23:12.110 --> 03:23:13.790]  It shoots off spores.
[03:23:13.790 --> 03:23:16.950]  So the plant somehow is attracting it.
[03:23:16.950 --> 03:23:18.790]  It's allowing it in the system.
[03:23:18.790 --> 03:23:23.110]  If it was a negative impact on specific plants in nature,
[03:23:23.110 --> 03:23:25.190]  you'd think those plants would die off, right?
[03:23:25.190 --> 03:23:27.470]  After eventually nature would say that plant's not good.
[03:23:27.470 --> 03:23:29.070]  We're not gonna reproduce.
[03:23:29.070 --> 03:23:32.430]  But if it does it everywhere you put that,
[03:23:32.430 --> 03:23:36.990]  like that's gotta be part of that plant's breeding
[03:23:36.990 --> 03:23:39.270]  or there's some purpose for that plant.
[03:23:39.270 --> 03:23:40.750]  It might be helping it.
[03:23:40.750 --> 03:23:42.670]  I don't know if it's helping it pick up a nutrient
[03:23:42.670 --> 03:23:44.070]  out of the air or something,
[03:23:44.070 --> 03:23:46.110]  because we know nitrogen's all over.
[03:23:46.110 --> 03:23:48.110]  So maybe those plants,
[03:23:48.110 --> 03:23:51.350]  that's a way for it to pull nitrogen out of the atmosphere
[03:23:51.350 --> 03:23:54.350]  and then drop it in the nodules and the root system.
[03:23:54.350 --> 03:23:55.190]  I don't know, man.
[03:23:55.190 --> 03:23:56.710]  I haven't-
[03:23:56.710 --> 03:24:00.350]  You need to study the PM functions more to understand
[03:24:00.350 --> 03:24:03.230]  if that's even, if that's what you're supposing.
[03:24:03.230 --> 03:24:08.230]  Yeah, it's just a theory, but there's a reason for it.
[03:24:08.310 --> 03:24:10.070]  I didn't know there was multiples.
[03:24:10.070 --> 03:24:12.270]  We have a mountain desert
[03:24:12.270 --> 03:24:16.510]  in this little endemic or island protection zone, right?
[03:24:16.510 --> 03:24:20.230]  So like broad mice, I've never had to worry about
[03:24:20.230 --> 03:24:21.790]  or some of these other ones.
[03:24:21.790 --> 03:24:25.030]  And like we have one of the last populations
[03:24:25.030 --> 03:24:27.350]  of American elm here because the American,
[03:24:27.350 --> 03:24:32.070]  the elm disease couldn't make it across the desert.
[03:24:32.070 --> 03:24:33.270]  And there are a couple of little pockets
[03:24:33.270 --> 03:24:36.350]  in spots of California or Nevada desert.
[03:24:36.470 --> 03:24:41.470]  But I wonder about if it mutated out of hops
[03:24:41.870 --> 03:24:45.270]  in more moist areas on the coast
[03:24:45.270 --> 03:24:48.710]  and adapted into our modern plant that way.
[03:24:48.710 --> 03:24:52.670]  Again, through, we talked about back crossing
[03:24:52.670 --> 03:24:54.110]  into the land race and stuff.
[03:24:54.110 --> 03:24:55.590]  And you probably get that protection more
[03:24:55.590 --> 03:24:58.430]  from a sativa strain than anything.
[03:24:58.430 --> 03:25:01.270]  And again, we were saying that PCP
[03:25:01.270 --> 03:25:03.910]  isn't really a Afganica the same way,
[03:25:03.950 --> 03:25:07.070]  even though it's derived out of the Indus region.
[03:25:07.070 --> 03:25:09.270]  It's just slightly different genetics
[03:25:09.270 --> 03:25:11.390]  than all those other regions have.
[03:25:13.390 --> 03:25:16.750]  But I find there's still possible issues
[03:25:16.750 --> 03:25:21.350]  with boitrus in the PCP lines and its derivatives.
[03:25:21.350 --> 03:25:25.510]  So like, even though they can produce really large controllers
[03:25:25.510 --> 03:25:27.190]  you might want to pinch your tops.
[03:25:27.190 --> 03:25:30.870]  And I'm noticing something, I meant to mention this
[03:25:30.870 --> 03:25:33.870]  when I jumped on, my phone wasn't very well charged.
[03:25:34.710 --> 03:25:37.190]  I'm plugged in, but I'm losing charge faster than it's gaining
[03:25:37.190 --> 03:25:39.310]  so I'm going to end up just disappearing here
[03:25:39.310 --> 03:25:40.750]  before it's too long.
[03:25:40.750 --> 03:25:42.150]  And we all had that.
[03:25:42.150 --> 03:25:44.030]  How long has this been going on?
[03:25:45.550 --> 03:25:46.390]  Couple of minutes.
[03:25:46.390 --> 03:25:47.590]  You want to see it?
[03:25:47.590 --> 03:25:49.110]  You mean our conversation?
[03:25:49.110 --> 03:25:50.990]  Are you ready to wrap it up?
[03:25:50.990 --> 03:25:53.870]  No, I was just wondering, he said he's about to die.
[03:25:53.870 --> 03:25:55.070]  His phone's about to die.
[03:25:55.070 --> 03:25:57.230]  325, we're at 325.
[03:25:57.230 --> 03:25:59.030]  Originally I thought it was just going to be you
[03:25:59.030 --> 03:26:01.510]  and me for an hour and now we're three
[03:26:01.510 --> 03:26:03.510]  and a half hours strong, so.
[03:26:04.150 --> 03:26:04.990]  It's been a lot of fun.
[03:26:04.990 --> 03:26:05.950]  I've learned a lot too, man.
[03:26:05.950 --> 03:26:07.430]  You guys are a wealth of knowledge.
[03:26:07.430 --> 03:26:09.750]  You provide an excellent platform, Peter.
[03:26:09.750 --> 03:26:10.590]  That's it.
[03:26:10.590 --> 03:26:12.430]  Thank you for inviting me on and everything.
[03:26:12.430 --> 03:26:15.270]  It's just, I'm honored to be here.
[03:26:15.270 --> 03:26:18.750]  It's to be able to ask questions directly.
[03:26:18.750 --> 03:26:22.350]  I like where people are learning, they can ask questions.
[03:26:22.350 --> 03:26:25.430]  Like even you guys are like learning from each other.
[03:26:25.430 --> 03:26:28.230]  So it's a successful conversation.
[03:26:28.230 --> 03:26:29.070]  Yeah.
[03:26:30.190 --> 03:26:32.470]  Let's fight over some cat piss, what do you think?
[03:26:32.510 --> 03:26:33.350]  Yeah.
[03:26:34.430 --> 03:26:36.990]  The first one holiday for me
[03:26:36.990 --> 03:26:38.830]  was always something a little different
[03:26:38.830 --> 03:26:41.350]  because it happened to like coincide
[03:26:41.350 --> 03:26:44.110]  with the end of ski season at the resort.
[03:26:44.110 --> 03:26:48.470]  And we would carve out what we call a hip jump
[03:26:48.470 --> 03:26:51.190]  on the side of what was called Punk Rock.
[03:26:51.190 --> 03:26:54.350]  And we turned it into a pro ski exhibition
[03:26:54.350 --> 03:26:56.430]  and everyone would wear funny costumes.
[03:26:56.430 --> 03:27:00.670]  And we'd set up a hot dog barbecue for a weenie roast.
[03:27:01.030 --> 03:27:04.670]  And it was the 420 Punk Rock Party.
[03:27:04.670 --> 03:27:07.110]  And we always thought it was cool that it was 420,
[03:27:07.110 --> 03:27:10.430]  but being here, we couldn't like openly display
[03:27:10.430 --> 03:27:14.830]  large sacrament consumption or whatnot.
[03:27:14.830 --> 03:27:19.830]  And literally 2019, I did get to break out
[03:27:20.230 --> 03:27:22.870]  with my mentor who passed away last summer
[03:27:22.870 --> 03:27:24.990]  but closing day on 420,
[03:27:24.990 --> 03:27:28.870]  I did have like a three ounce corn husker pipe joint.
[03:27:30.830 --> 03:27:33.390]  That we passed around at the rock and roll party
[03:27:33.390 --> 03:27:34.950]  at the end and it was in the parking lot
[03:27:34.950 --> 03:27:37.630]  and bringing all these festivals together.
[03:27:37.630 --> 03:27:39.670]  And that ski jump party actually evolved
[03:27:39.670 --> 03:27:43.550]  into a pretty huge festival from like 10 pro skiers
[03:27:43.550 --> 03:27:47.590]  to like several thousand people show up and hang out
[03:27:47.590 --> 03:27:49.430]  and they build loop the loop jumps
[03:27:49.430 --> 03:27:54.110]  and bring it all together for Utah style.
[03:27:54.110 --> 03:27:55.790]  By the way, we don't all drink Budweiser
[03:27:55.790 --> 03:27:58.470]  with funny names on the can here.
[03:28:00.870 --> 03:28:03.990]  Yeah, right on, appreciate y'all great conversations.
[03:28:03.990 --> 03:28:07.790]  And we need to get towed a professorship
[03:28:07.790 --> 03:28:09.950]  at one of the universities, teach improper
[03:28:10.870 --> 03:28:12.350]  and get a salary for it.
[03:28:12.350 --> 03:28:14.230]  Humble state, right?
[03:28:14.230 --> 03:28:15.550]  That's what I need to do.
[03:28:15.550 --> 03:28:18.070]  I need some more books to read, man.
[03:28:18.070 --> 03:28:19.390]  I just need me in the class
[03:28:19.390 --> 03:28:20.230]  to help me out with the people.
[03:28:20.230 --> 03:28:21.870]  We need to write some books for the students to read.
[03:28:21.870 --> 03:28:24.950]  You know, we need to just ramble these lectures off
[03:28:24.950 --> 03:28:27.070]  and get paid for it at the universities.
[03:28:27.070 --> 03:28:28.110]  You know, there's a...
[03:28:28.110 --> 03:28:29.430]  Man, nah.
[03:28:30.270 --> 03:28:32.830]  We need to set this lecture proper
[03:28:32.830 --> 03:28:37.750]  and you tend to have like the highest level of knowledge
[03:28:37.750 --> 03:28:38.750]  on so many subjects,
[03:28:38.750 --> 03:28:41.070]  especially when it comes to the reading and...
[03:28:44.990 --> 03:28:47.750]  I've been, I call it an idiot savant with cannabis, man.
[03:28:47.750 --> 03:28:49.790]  All I did was sit in the basement
[03:28:49.790 --> 03:28:51.950]  and fuck with cannabis, man.
[03:28:51.950 --> 03:28:53.270]  I'm breeding plants.
[03:28:53.270 --> 03:28:58.270]  And then I moved from there to like big ass outdoor shit,
[03:28:58.870 --> 03:29:00.430]  big ass indoor shit,
[03:29:00.430 --> 03:29:01.350]  started running clubs.
[03:29:01.350 --> 03:29:03.790]  Like my life just became cannabis since I was little.
[03:29:03.790 --> 03:29:06.790]  Like I didn't know it was, it just did.
[03:29:06.790 --> 03:29:10.030]  And everything always was about learning about the plant.
[03:29:10.030 --> 03:29:11.350]  And I didn't know I was doing it.
[03:29:11.350 --> 03:29:13.190]  It became second nature.
[03:29:13.190 --> 03:29:16.510]  So man, anyone that sees that, I say respect to them.
[03:29:16.510 --> 03:29:18.590]  So brother, thank you for bringing that up, man.
[03:29:18.590 --> 03:29:21.190]  Cause like, I didn't even know I was doing it.
[03:29:21.190 --> 03:29:23.230]  So it's other people to notice it.
[03:29:24.270 --> 03:29:25.110]  Thank you, man.
[03:29:25.110 --> 03:29:25.950]  Respect to you.
[03:29:30.840 --> 03:29:32.320]  I think we lost him.
[03:29:32.320 --> 03:29:35.880]  So just before I lose it,
[03:29:35.880 --> 03:29:40.320]  someone asked for tips on grind his for days indoors.
[03:29:40.320 --> 03:29:41.160]  Yes, try to keep...
[03:29:41.160 --> 03:29:42.720]  Which you covered a little bit, but...
[03:29:42.720 --> 03:29:45.400]  Yeah, you wanna keep the blue spectrum
[03:29:45.400 --> 03:29:48.840]  around, away from the plant.
[03:29:48.840 --> 03:29:52.080]  She's not gonna flower if you're high in the blue spectrum.
[03:29:52.080 --> 03:29:57.080]  You wanna raise the amount of 660 and 730 nanometers on her.
[03:29:57.640 --> 03:29:59.680]  You're gonna wanna flip her fast or train her
[03:30:00.520 --> 03:30:01.360]  to stay low.
[03:30:01.360 --> 03:30:03.640]  That's why I was talking about bending and weaving her
[03:30:03.640 --> 03:30:07.600]  into a Scrog system with the screen and green.
[03:30:07.600 --> 03:30:11.400]  She's going to stretch extremely fast.
[03:30:11.400 --> 03:30:14.240]  Do not put her in a room with a short cultivars.
[03:30:14.240 --> 03:30:16.480]  She will outgrow that plant.
[03:30:16.480 --> 03:30:19.040]  And the other plants are not gonna produce.
[03:30:19.040 --> 03:30:22.040]  You're gonna need to take her a very long time.
[03:30:22.040 --> 03:30:25.160]  Don't grow her under the center of the light.
[03:30:25.160 --> 03:30:27.280]  So she doesn't grow right into your light.
[03:30:27.440 --> 03:30:31.520]  I would learn to train her indoors.
[03:30:31.520 --> 03:30:32.720]  She's gonna have so much weight.
[03:30:32.720 --> 03:30:34.840]  She's gonna start bending over
[03:30:34.840 --> 03:30:38.400]  and the buds aren't gonna be growing up very easily.
[03:30:38.400 --> 03:30:40.440]  She's very pliable.
[03:30:40.440 --> 03:30:42.200]  And the amount of herbs she can produce
[03:30:42.200 --> 03:30:44.120]  is quite heavy indoors.
[03:30:44.120 --> 03:30:45.000]  It's hard.
[03:30:45.000 --> 03:30:49.040]  So I do recommend people either start her very short.
[03:30:49.040 --> 03:30:51.580]  Like I flip her, like I said,
[03:30:51.580 --> 03:30:55.380]  two feet is the maximum I would grow her indoors, period.
[03:30:55.380 --> 03:30:59.380]  That's after topping her or straight from seed, from clone.
[03:30:59.380 --> 03:31:02.380]  And she's going to end up eight feet tall in that room.
[03:31:04.140 --> 03:31:07.540]  She's gonna go 14 to 20 weeks, depending on phenotype.
[03:31:07.540 --> 03:31:09.700]  If you're growing her for flower,
[03:31:09.700 --> 03:31:13.540]  you can grow her for concentrate and cut the time down.
[03:31:13.540 --> 03:31:17.340]  The test numbers I told you guys was at 62 days.
[03:31:17.340 --> 03:31:22.340]  So 24% THC, 4% CBD and 5.7 CBG off of her
[03:31:23.340 --> 03:31:28.340]  at day 62, which means you can grow her for concentrates
[03:31:28.660 --> 03:31:32.180]  and not have to care about the way the bud structure is.
[03:31:32.180 --> 03:31:34.300]  So the way you grow her is gonna be dependent
[03:31:34.300 --> 03:31:35.700]  on what you're using her for.
[03:31:35.700 --> 03:31:38.780]  I recommend she's bred with into other lines
[03:31:38.780 --> 03:31:41.400]  to open up their structure and make them larger.
[03:31:41.400 --> 03:31:43.780]  And then to cut her flower time down.
[03:31:43.780 --> 03:31:47.140]  It's a plant that I like to have folks.
[03:31:47.140 --> 03:31:49.500]  That's what you learn about other cannabis lines.
[03:31:49.500 --> 03:31:52.100]  It's what you can learn about breeding with.
[03:31:52.860 --> 03:31:53.700]  Learn how to line breed something
[03:31:53.700 --> 03:31:55.060]  from one direction into another
[03:31:55.060 --> 03:31:56.620]  because she's completely different.
[03:31:56.620 --> 03:31:58.900]  Almost everything else you're gonna grow out there.
[03:31:58.900 --> 03:32:00.940]  That's the commercial stuff.
[03:32:00.940 --> 03:32:02.900]  I mean, you guys can get landrace
[03:32:02.900 --> 03:32:04.300]  and some heirloom stuff from people,
[03:32:04.300 --> 03:32:06.220]  but what most people are offering you out there
[03:32:06.220 --> 03:32:08.740]  is gonna be completely different in structure,
[03:32:08.740 --> 03:32:13.380]  terpene profile, flower time, bud structure,
[03:32:13.380 --> 03:32:16.620]  then the haze lines from mine or other people.
[03:32:16.620 --> 03:32:19.860]  But if you recognize the power of the genetics
[03:32:19.860 --> 03:32:23.340]  that are in her, how many other lines are famous
[03:32:23.340 --> 03:32:24.780]  that she's crossed into?
[03:32:26.100 --> 03:32:28.380]  Even if it's an F1 of them, F2,
[03:32:28.380 --> 03:32:33.380]  or they're a progeny of those that like a hybrid of a hybrid,
[03:32:33.620 --> 03:32:36.320]  you still got some haze in it and it's still powerful.
[03:32:38.780 --> 03:32:41.820]  You need patience and curiosity to grow haze too.
[03:32:41.820 --> 03:32:44.900]  100%, 100%.
[03:32:44.900 --> 03:32:47.620]  What's the best cultivar that I have for pain?
[03:32:47.620 --> 03:32:52.140]  My space cush, my mud bone, those would be the two.
[03:32:53.460 --> 03:32:56.660]  I don't sell mud bone anymore at the moment.
[03:32:56.660 --> 03:32:58.260]  I'm working on F2s of it.
[03:32:58.260 --> 03:33:00.380]  I do have some space cush that I was thinking about
[03:33:00.380 --> 03:33:01.680]  possibly sending in.
[03:33:02.780 --> 03:33:05.620]  I had quit offering that plan after I lost my leg
[03:33:07.340 --> 03:33:11.760]  because I sold it for like 14 years
[03:33:11.760 --> 03:33:13.340]  and people just kind of slept on it
[03:33:13.340 --> 03:33:15.900]  and really didn't understand that that's the parent line
[03:33:15.980 --> 03:33:20.980]  to the angel that I had and the other cultivars that I used.
[03:33:21.060 --> 03:33:23.740]  And it was what I used in the,
[03:33:23.740 --> 03:33:26.220]  like the base of my breeding for medicinal purposes.
[03:33:26.220 --> 03:33:28.340]  Like other people are breeding for high THC
[03:33:28.340 --> 03:33:32.180]  or just complete terpene domination or something.
[03:33:32.180 --> 03:33:33.900]  I was breeding for a whole different purpose
[03:33:33.900 --> 03:33:35.020]  when I made those lines.
[03:33:35.020 --> 03:33:38.980]  They were made specifically for medicinal purposes
