[00:00.000 --> 00:00.840]  How you doing?
[02:14:12.540 --> 02:14:15.900]  It's like, I've learned so much stuff from him.
[02:14:15.900 --> 02:14:17.980]  Yeah, I saw your Skywalker this year
[02:14:18.380 --> 02:14:21.900]  and how to buddy's ranch and good work.
[02:14:23.140 --> 02:14:24.900]  Stuff, I mean, it's like, yeah.
[02:14:24.900 --> 02:14:27.260]  And it's just getting better and better.
[02:14:27.260 --> 02:14:29.780]  And I feel like that's how auto flowers,
[02:14:29.780 --> 02:14:31.660]  definitely auto flower for both hemp
[02:14:31.660 --> 02:14:35.780]  and for high THC varieties, they're just improving
[02:14:35.780 --> 02:14:37.500]  and they're gonna get better and better every year.
[02:14:37.500 --> 02:14:40.540]  The further we go away from that original root or Alice,
[02:14:40.540 --> 02:14:42.260]  things are just getting more amazing.
[02:14:42.260 --> 02:14:45.220]  And, you know, we're seeing stuff that tests at 26%
[02:14:45.220 --> 02:14:47.940]  cannabinoids and I mean, on scale,
[02:14:48.900 --> 02:14:51.660]  everything my buddy just did at yours was at 22%
[02:14:51.660 --> 02:14:52.740]  that he had tested.
[02:14:52.740 --> 02:14:57.740]  And it looks an absolute high quality flower, you know,
[02:14:57.740 --> 02:15:00.460]  and when you look, especially at our region, you know,
[02:15:00.460 --> 02:15:02.860]  we're trying to avoid the rains
[02:15:02.860 --> 02:15:04.940]  and we're trying to get in and out.
[02:15:04.940 --> 02:15:07.900]  And, you know, everyone that grows these, you know,
[02:15:07.900 --> 02:15:10.300]  in Oregon, we always grew in strength and size
[02:15:10.300 --> 02:15:12.060]  and Callie always grew in strength and numbers
[02:15:12.060 --> 02:15:14.420]  and strength and size is not the way to grow.
[02:15:14.460 --> 02:15:15.660]  It's, you know, you can,
[02:15:15.660 --> 02:15:18.780]  if you look at your overall canopy density, you know,
[02:15:18.780 --> 02:15:21.780]  I can plant in, you know, either earlier or late,
[02:15:21.780 --> 02:15:24.660]  but with a lot more plants and end up with a lot,
[02:15:24.660 --> 02:15:26.980]  you know, a lot of product with a lot less problems
[02:15:26.980 --> 02:15:28.100]  with a lot less input.
[02:15:28.100 --> 02:15:30.540]  So, I mean, I definitely am a massive believer
[02:15:30.540 --> 02:15:32.660]  in the future of the auto flowers
[02:15:32.660 --> 02:15:35.140]  for both sides of the industries.
[02:15:35.140 --> 02:15:37.820]  Yeah, yeah, we've done some amazing stuff together.
[02:15:37.820 --> 02:15:40.060]  You know, it's just, I can't wait to see what's next,
[02:15:40.060 --> 02:15:40.900]  you know?
[02:15:40.900 --> 02:15:43.500]  Yeah, yeah, Nick and Jen are absolutely awesome people
[02:15:43.500 --> 02:15:48.100]  and they're not, you know, known widely on the social media
[02:15:48.100 --> 02:15:51.300]  but if you are in Callie and, you know, you're in the scene,
[02:15:51.300 --> 02:15:53.500]  you know, they've done an absolute great job
[02:15:53.500 --> 02:15:55.340]  and, you know, they're definitely, you know,
[02:15:55.340 --> 02:15:58.020]  they're two people to look out for, for sure.
[02:15:58.020 --> 02:15:59.740]  Yeah, definitely.
[02:15:59.740 --> 02:16:02.340]  So Ray, let's talk about you for a minute.
[02:16:02.340 --> 02:16:04.180]  Ray is one of the most passionate people
[02:16:04.180 --> 02:16:07.060]  as far as cannabis goes that I know.
[02:16:07.060 --> 02:16:11.260]  You know, I was there when Shord and Ray and Shane
[02:16:11.260 --> 02:16:15.380]  and Paul were doing the large-scale pheno hunts
[02:16:15.380 --> 02:16:17.180]  at Harborside where they were doing over,
[02:16:17.180 --> 02:16:20.260]  I think, 8,000 seeds they had germinated
[02:16:20.260 --> 02:16:24.060]  and I've worked with Ray again this summer on some projects
[02:16:24.060 --> 02:16:27.780]  and I just really feel that he has everything
[02:16:27.780 --> 02:16:29.700]  as far as passion for the sacred plant.
[02:16:29.700 --> 02:16:32.300]  That guy loves walking through gardens,
[02:16:32.300 --> 02:16:34.180]  loves smelling every plant.
[02:16:34.180 --> 02:16:36.060]  You know, I have slight allergies to it
[02:16:36.060 --> 02:16:38.260]  so I can only do it for like about two hours at a time
[02:16:38.260 --> 02:16:40.740]  at the very most when I have to take a good break.
[02:16:41.460 --> 02:16:43.420]  Where Ray will just sit out there for hours
[02:16:43.420 --> 02:16:46.020]  smelling plants and smoking.
[02:16:47.100 --> 02:16:51.660]  So Ray, do you want to talk about, you know,
[02:16:51.660 --> 02:16:52.900]  what you're doing currently
[02:16:52.900 --> 02:16:55.740]  and are you ready to go to the Caribbean and work with me?
[02:16:57.700 --> 02:16:59.700]  Yeah, I can't wait till we go down to the Caribbean,
[02:16:59.700 --> 02:17:01.300]  for sure.
[02:17:01.300 --> 02:17:03.300]  Right at the moment, not a lot,
[02:17:03.300 --> 02:17:06.540]  still doing some testing, looking for some things.
[02:17:06.540 --> 02:17:10.060]  We recently lost our males from our last project
[02:17:10.060 --> 02:17:12.180]  so we're kind of starting over
[02:17:12.180 --> 02:17:14.660]  and moving forward on a few different things.
[02:17:14.660 --> 02:17:19.100]  So relooking and going through multiple strains
[02:17:19.100 --> 02:17:21.060]  that we made, just some one-offs.
[02:17:21.060 --> 02:17:22.420]  They won't be made again
[02:17:22.420 --> 02:17:24.260]  or could be made again kind of thing.
[02:17:24.260 --> 02:17:26.700]  So other than that, just, you know,
[02:17:26.700 --> 02:17:28.060]  having fun down here in Cali,
[02:17:28.060 --> 02:17:31.100]  getting to work on some larger scales.
[02:17:31.100 --> 02:17:32.700]  That's always exciting.
[02:17:34.500 --> 02:17:37.220]  Yeah, you know, enjoyed that little project
[02:17:37.220 --> 02:17:38.940]  that we were doing up north there.
[02:17:38.940 --> 02:17:40.620]  That was a lot of fun.
[02:17:40.620 --> 02:17:41.780]  And yeah, so hopefully soon
[02:17:41.780 --> 02:17:43.180]  be on some more of those with you,
[02:17:43.180 --> 02:17:47.060]  but, you know, just kicking back and chilling
[02:17:47.060 --> 02:17:48.620]  and enjoying life a little bit.
[02:17:49.660 --> 02:17:50.500]  Awesome.
[02:17:50.500 --> 02:17:52.900]  So where can people go to buy your seeds?
[02:17:55.180 --> 02:17:59.340]  So Vagabond Seeds is a good place.
[02:18:00.540 --> 02:18:03.100]  So is Seeds Here Now, of course.
[02:18:03.100 --> 02:18:04.940]  We've been with them for a long time.
[02:18:05.860 --> 02:18:07.660]  But that's pretty close to about it.
[02:18:07.660 --> 02:18:08.500]  Because like I said,
[02:18:08.500 --> 02:18:11.460]  we haven't made any new seeds this year
[02:18:11.460 --> 02:18:12.980]  and because we lost our males.
[02:18:12.980 --> 02:18:15.460]  So once all seeds of the Doctor Who
[02:18:15.460 --> 02:18:17.980]  or any of those are gone, that's it.
[02:18:17.980 --> 02:18:19.780]  There are no more.
[02:18:19.780 --> 02:18:22.300]  We may be working some of those lines again,
[02:18:22.300 --> 02:18:24.220]  but the originals are done.
[02:18:25.300 --> 02:18:26.940]  So let's talk about the Doctor Who real quick,
[02:18:26.940 --> 02:18:29.020]  because I love talking about the Doctor Who.
[02:18:29.020 --> 02:18:30.940]  It's a great cultivar.
[02:18:30.940 --> 02:18:32.500]  And, you know, it's like my,
[02:18:32.500 --> 02:18:34.180]  I didn't see the grape high chew.
[02:18:34.180 --> 02:18:36.420]  You're one of the selections that you had
[02:18:36.420 --> 02:18:38.340]  that I saw from you for the first time,
[02:18:38.340 --> 02:18:40.660]  maybe a year and a half ago.
[02:18:40.660 --> 02:18:44.740]  I was used to the more funky Doctor Who that had that,
[02:18:45.980 --> 02:18:49.460]  you know, it was definitely not the sweeter side.
[02:18:50.540 --> 02:18:51.900]  So do you want to share a little bit
[02:18:51.900 --> 02:18:53.620]  about what went into the Doctor Who,
[02:18:53.620 --> 02:18:55.500]  you know, your breeding with that?
[02:18:57.580 --> 02:19:01.060]  You know, that was just something we were doing,
[02:19:01.060 --> 02:19:04.660]  my son Donovan wanted to do and my son Ray wanted to do.
[02:19:04.700 --> 02:19:09.020]  They were just big fans of the strains that we were using.
[02:19:09.020 --> 02:19:12.740]  So the time wreck to our mad scientist,
[02:19:12.740 --> 02:19:16.700]  the mad scientist was a sweet tooth by medicine woman,
[02:19:17.940 --> 02:19:21.180]  which medicine woman was a very well-known organ strain
[02:19:21.180 --> 02:19:25.420]  created for fibromyalgia and worked great for it
[02:19:25.420 --> 02:19:26.740]  and great for pains.
[02:19:28.180 --> 02:19:33.180]  But with the crossing of back to the mad scientist
[02:19:33.380 --> 02:19:37.100]  to the time wreck, Doctor Who just kind of was natural.
[02:19:37.100 --> 02:19:38.460]  We all were big fans of it.
[02:19:38.460 --> 02:19:40.660]  But as far as the breeding of it,
[02:19:41.700 --> 02:19:44.580]  we were really medical.
[02:19:44.580 --> 02:19:45.980]  We did a lot of testing.
[02:19:45.980 --> 02:19:47.540]  We all used, they're an organ,
[02:19:47.540 --> 02:19:52.220]  we all used Pat over at Sunrise Analytical, Pat Marshall.
[02:19:52.220 --> 02:19:54.580]  You know, we all figured one lab was better
[02:19:54.580 --> 02:19:57.580]  than using a bunch of different lines, at least.
[02:19:57.580 --> 02:20:00.340]  If there was a skew, it was a consistent skew.
[02:20:00.340 --> 02:20:01.220]  It didn't matter.
[02:20:01.260 --> 02:20:04.380]  You weren't looking, trying to compare five different labs
[02:20:04.380 --> 02:20:06.540]  and wondering why these numbers are so off.
[02:20:07.500 --> 02:20:09.580]  With using the same exact lab all the time,
[02:20:09.580 --> 02:20:11.620]  which Pat joined us at,
[02:20:11.620 --> 02:20:13.380]  and there were several of us that all there,
[02:20:13.380 --> 02:20:15.460]  like I said, in Oregon that used them,
[02:20:16.540 --> 02:20:18.060]  we were able to follow along
[02:20:18.060 --> 02:20:22.220]  what we were hoping to pass along in our crosses.
[02:20:22.220 --> 02:20:25.300]  So science of it really helped us do a lot of that.
[02:20:26.660 --> 02:20:31.060]  With the Doctor Who, we were definitely looking
[02:20:31.900 --> 02:20:34.540]  for more medicinal relaxation
[02:20:34.540 --> 02:20:36.700]  that the mad scientist was known for,
[02:20:37.940 --> 02:20:40.660]  but with a little bit more oomph to it.
[02:20:40.660 --> 02:20:43.140]  So that's where the Time Wreck side came in.
[02:20:43.140 --> 02:20:45.700]  It was more sativa dominant, pretty quick.
[02:20:46.580 --> 02:20:50.020]  And yeah, they wound up blending well together.
[02:20:50.020 --> 02:20:53.140]  So with the Time Wreck side is where you get more
[02:20:53.140 --> 02:20:56.540]  of that sour, funky, rotten kind of thing going on
[02:20:56.540 --> 02:21:00.140]  to where with the mad scientist, yeah, not so much.
[02:21:00.180 --> 02:21:03.940]  But there you also have the G13 in the lineage
[02:21:03.940 --> 02:21:05.460]  on the mad scientist side.
[02:21:05.460 --> 02:21:09.700]  So there's some funk in the lineage and in the grandparents
[02:21:09.700 --> 02:21:12.500]  and it all just seemed to come out pretty well together.
[02:21:13.580 --> 02:21:14.420]  Awesome.
[02:21:15.420 --> 02:21:17.100]  Awesome, well, thank you very much.
[02:21:17.100 --> 02:21:22.100]  And Shane, so we've been on a bunch of panels together,
[02:21:22.580 --> 02:21:23.860]  also with Ray.
[02:21:23.860 --> 02:21:25.620]  You have Sunny Chiba Seeds.
[02:21:25.620 --> 02:21:27.940]  What are you up to now with your seed company
[02:21:28.020 --> 02:21:30.180]  and consulting and everything else that you're doing?
[02:21:30.180 --> 02:21:31.980]  Well, as far as the seed company,
[02:21:31.980 --> 02:21:35.380]  I was doing some drops there for a while
[02:21:35.380 --> 02:21:37.620]  and I have actually been down to drop
[02:21:37.620 --> 02:21:40.540]  for over a couple of years now, over two years really.
[02:21:40.540 --> 02:21:42.820]  So I've been making stuff.
[02:21:42.820 --> 02:21:44.620]  I've been doing a lot of little microbreeding
[02:21:44.620 --> 02:21:46.820]  and some larger scale projects,
[02:21:47.660 --> 02:21:49.540]  but you know what I've been doing
[02:21:49.540 --> 02:21:50.900]  for the past couple of years,
[02:21:50.900 --> 02:21:53.540]  driving the big shows on large scale cultivation.
[02:21:54.540 --> 02:21:58.260]  So really recently this year, I got a new place
[02:21:58.260 --> 02:22:00.220]  and I had a little lab that I put together.
[02:22:00.220 --> 02:22:02.220]  And so it allowed me to really focus
[02:22:02.220 --> 02:22:05.180]  and start growing from seed again
[02:22:05.180 --> 02:22:06.820]  and bringing back my genetics.
[02:22:06.820 --> 02:22:09.460]  So really that's what I'm doing right now.
[02:22:09.460 --> 02:22:11.700]  But I've been just trying to make it about
[02:22:11.700 --> 02:22:13.100]  what do I enjoy about cannabis?
[02:22:13.100 --> 02:22:15.260]  It's not what the market wants or anything else.
[02:22:15.260 --> 02:22:16.420]  It's what do I want?
[02:22:16.420 --> 02:22:18.060]  So this year I've been having a lot of fun
[02:22:18.060 --> 02:22:21.700]  just going through stuff and finding old friends.
[02:22:21.940 --> 02:22:24.380]  I have like a black cherry lemon freeze
[02:22:24.380 --> 02:22:27.380]  that's beautiful, just the black cherry freeze.
[02:22:27.380 --> 02:22:28.740]  Just a few different things like that
[02:22:28.740 --> 02:22:29.820]  that I've been whipping around.
[02:22:29.820 --> 02:22:33.020]  I have a airborne G13 by lemon freeze.
[02:22:33.020 --> 02:22:36.100]  I have a black cherry by the purple paki,
[02:22:36.100 --> 02:22:40.180]  all males I'm working with, several other things.
[02:22:40.180 --> 02:22:42.940]  So right now it's just making a lot of different things
[02:22:42.940 --> 02:22:45.740]  and bringing some of the old stuff back.
[02:22:45.740 --> 02:22:49.180]  Eventually I'm working towards doing drops again,
[02:22:49.180 --> 02:22:51.260]  but right now it's just enjoying the genetics
[02:22:51.820 --> 02:22:53.820]  and hunting and doing my job.
[02:22:53.820 --> 02:22:57.500]  Recently I joined a new facility
[02:22:57.500 --> 02:22:59.900]  running over 420,000 square feet.
[02:22:59.900 --> 02:23:02.060]  So it's huge, it's an undertaking.
[02:23:02.060 --> 02:23:03.380]  It eats up most of my day.
[02:23:03.380 --> 02:23:08.380]  I have a good team and a solid grower who is a co-driver,
[02:23:09.300 --> 02:23:11.340]  but trying to do some stuff there.
[02:23:11.340 --> 02:23:13.220]  We have an amazing genetics there
[02:23:13.220 --> 02:23:15.420]  to help that place go to the next level.
[02:23:15.420 --> 02:23:19.140]  And like Pat was saying, none of us are masters in this.
[02:23:19.140 --> 02:23:20.380]  You hear that word all the time.
[02:23:20.500 --> 02:23:22.380]  I'm a master breeder, master grower.
[02:23:22.380 --> 02:23:23.820]  There are no masters.
[02:23:23.820 --> 02:23:26.100]  In agriculture, there's only a head grower.
[02:23:28.060 --> 02:23:30.620]  Every day, my motto is if I'm not learning something
[02:23:30.620 --> 02:23:32.540]  every day, I'm not doing my job.
[02:23:32.540 --> 02:23:35.140]  That's what keeps me, my passion burning for Canada.
[02:23:35.140 --> 02:23:37.220]  I love the plant, but how do we make it better?
[02:23:37.220 --> 02:23:38.180]  How do we do it better?
[02:23:38.180 --> 02:23:42.420]  And right now we're still all figuring this stuff out.
[02:23:42.420 --> 02:23:44.980]  It's a blessing to be a ROMET now.
[02:23:44.980 --> 02:23:46.420]  I'm surrounded by agriculture.
[02:23:46.420 --> 02:23:49.180]  So I get to work with people from Driscoll's
[02:23:49.180 --> 02:23:50.220]  and all these other companies.
[02:23:51.060 --> 02:23:51.900]  I get to pick their brains.
[02:23:51.900 --> 02:23:53.580]  And at the same time, they're kind of like,
[02:23:53.580 --> 02:23:54.420]  what are you doing?
[02:23:54.420 --> 02:23:55.740]  What are you, what are you growing up to?
[02:23:55.740 --> 02:23:57.380]  But no, it's a blessing.
[02:23:57.380 --> 02:24:00.620]  And trying to, just trying to breed better genetics
[02:24:00.620 --> 02:24:03.140]  for the area I'm in now,
[02:24:03.140 --> 02:24:06.740]  like the Valley here in Salinas is, it's brutal.
[02:24:06.740 --> 02:24:08.140]  It's just as bad as Oregon.
[02:24:08.140 --> 02:24:09.380]  We have fog every day.
[02:24:09.380 --> 02:24:10.740]  The humidity is 100%.
[02:24:10.740 --> 02:24:12.700]  The next thing you know, it's a hundred degrees
[02:24:12.700 --> 02:24:14.260]  and it just swings all over the place.
[02:24:14.260 --> 02:24:17.660]  So selecting varieties that perform here,
[02:24:17.660 --> 02:24:19.820]  that perform well in this region.
[02:24:20.460 --> 02:24:23.060]  That's another thing that I'm trying to do right now.
[02:24:23.060 --> 02:24:25.420]  Just trying to ride my passion
[02:24:25.420 --> 02:24:27.020]  and keep on doing things better and better.
[02:24:27.020 --> 02:24:29.260]  And when I do a new drop here
[02:24:29.260 --> 02:24:32.540]  and start releasing some old stuff, it'll be out there.
[02:24:33.700 --> 02:24:35.100]  Do you want to talk briefly?
[02:24:35.100 --> 02:24:37.100]  There's a couple of things I want to ask you about,
[02:24:37.100 --> 02:24:40.100]  but a black cherry soda, we can start there.
[02:24:40.100 --> 02:24:42.100]  We have one of our listeners is asking,
[02:24:42.100 --> 02:24:44.460]  can someone speak on the black cherry soda?
[02:24:44.460 --> 02:24:46.820]  So black cherry, black cherry is,
[02:24:46.820 --> 02:24:48.700]  the original black cherry is Danny Boy
[02:24:48.700 --> 02:24:50.940]  by the black Russian F2.
[02:24:50.940 --> 02:24:54.060]  And then the black cherry two,
[02:24:54.060 --> 02:24:55.660]  it also had a couple other names.
[02:24:55.660 --> 02:25:00.220]  That's a black cherry by the black Russian VX2.
[02:25:01.340 --> 02:25:05.700]  And the soda, that clone was hunted out
[02:25:05.700 --> 02:25:07.620]  and selected by somebody else.
[02:25:09.220 --> 02:25:11.060]  But yeah, that's the genetics that are behind it.
[02:25:11.060 --> 02:25:16.060]  And Danny Boy, for example, is airborne G13 by Cinderella 99
[02:25:16.300 --> 02:25:20.700]  by, oh, I just want to think for a moment.
[02:25:20.700 --> 02:25:22.260]  Brothers Grimm.
[02:25:22.260 --> 02:25:23.660]  Well, it's Brothers Grimm, it has Cinderella.
[02:25:23.660 --> 02:25:26.300]  I'm just trying to think of Ortega by the Cinderella.
[02:25:26.300 --> 02:25:27.380]  Yes, Ortega.
[02:25:27.380 --> 02:25:28.620]  That's Danny Boy.
[02:25:28.620 --> 02:25:31.660]  That cut came out of Southern Oregon
[02:25:31.660 --> 02:25:34.100]  when Joel Dioxide was working with our other buddy,
[02:25:34.100 --> 02:25:35.460]  Eric Hopper.
[02:25:35.460 --> 02:25:38.060]  That's where that ended up coming into the equation
[02:25:38.060 --> 02:25:41.820]  from in, I think 2008 or nine.
[02:25:44.140 --> 02:25:44.980]  Awesome.
[02:25:44.980 --> 02:25:49.020]  So Shane, also let's touch on the lamb's bread
[02:25:49.020 --> 02:25:50.340]  that you've been working.
[02:25:50.340 --> 02:25:51.900]  It's funny, one of the listeners last week,
[02:25:51.900 --> 02:25:53.540]  I was talking about lamb's bread
[02:25:53.540 --> 02:25:54.620]  and how it isn't around anymore.
[02:25:54.620 --> 02:25:57.700]  He said he has seeds and he wants to send me some seeds.
[02:25:57.700 --> 02:25:58.620]  I said, fantastic.
[02:25:58.620 --> 02:26:01.140]  Here's my mailing address.
[02:26:01.140 --> 02:26:02.620]  He's sending me some seeds.
[02:26:02.620 --> 02:26:04.260]  You've worked the lamb's bread.
[02:26:04.260 --> 02:26:06.500]  In fact, the only thing that I've seen comparable
[02:26:06.500 --> 02:26:08.740]  to the lamb's bread in the last 20 years
[02:26:08.740 --> 02:26:11.660]  was one of the cultivars that you created.
[02:26:11.660 --> 02:26:12.940]  You want to touch on that?
[02:26:13.260 --> 02:26:15.380]  So that was the Smokestack Lightning.
[02:26:18.460 --> 02:26:21.260]  The lamb's bread that I worked with to create that
[02:26:21.260 --> 02:26:22.500]  was really special.
[02:26:22.500 --> 02:26:25.940]  Just quite different from a lot of the other lamb's breads
[02:26:25.940 --> 02:26:27.420]  I'd seen over the years.
[02:26:27.420 --> 02:26:30.220]  I'd seen a lot of misname or rename things
[02:26:30.220 --> 02:26:32.260]  that just weren't quite that.
[02:26:32.260 --> 02:26:33.580]  And that's just one of those strains,
[02:26:33.580 --> 02:26:36.180]  like when you see it, you know it.
[02:26:36.180 --> 02:26:38.700]  You know that variety, you're like, oh, that's it.
[02:26:39.700 --> 02:26:42.300]  And so the Smokestack Lightning,
[02:26:42.300 --> 02:26:44.900]  that has, that's as skunky as its father,
[02:26:44.900 --> 02:26:46.700]  which is Exodus Chee,
[02:26:46.700 --> 02:26:49.580]  with a little bit of Northern Lights number five
[02:26:49.580 --> 02:26:51.220]  and Uzbekistani lamb racehead.
[02:26:52.700 --> 02:26:56.260]  And that mail, lamb's bread,
[02:26:56.260 --> 02:26:58.500]  that's what Smokestack Lightning is.
[02:26:58.500 --> 02:27:00.340]  Yeah, and you called it out right away.
[02:27:00.340 --> 02:27:03.100]  You know, when you saw that, you're like, oh, okay.
[02:27:03.100 --> 02:27:05.860]  Yeah, it's a very unique chert profile.
[02:27:05.900 --> 02:27:08.860]  It's, yeah, it's very, very unique.
[02:27:08.860 --> 02:27:11.900]  And it's the only time I've seen it in the last 20 years
[02:27:11.900 --> 02:27:12.740]  when I've seen, you know,
[02:27:12.740 --> 02:27:14.940]  cause I feel like a lot of what's going around
[02:27:14.940 --> 02:27:16.500]  in California as lamb's bread
[02:27:16.500 --> 02:27:19.140]  is actually a cultivar called the Hassan,
[02:27:19.140 --> 02:27:20.860]  which I'm not sure the lineage of it,
[02:27:20.860 --> 02:27:22.860]  but it's not related to lamb's bread at all.
[02:27:22.860 --> 02:27:26.500]  And Josh Freeman is the one who gave it to me
[02:27:26.500 --> 02:27:27.740]  and I was growing it for a long time.
[02:27:27.740 --> 02:27:29.500]  And I've seen lamb's bread from three other people
[02:27:29.500 --> 02:27:32.340]  in the last 20 years, and it's all been Hassan.
[02:27:32.340 --> 02:27:34.620]  So it was like really special to actually see
[02:27:34.700 --> 02:27:36.180]  that it's been bred into something,
[02:27:36.180 --> 02:27:37.700]  at least that chert profile.
[02:27:37.700 --> 02:27:39.860]  It's got a muskiness that's very unique.
[02:27:39.860 --> 02:27:43.540]  Right, it's a little spicy and musky and yeah, just.
[02:27:43.540 --> 02:27:44.380]  Yeah, it's awesome.
[02:27:44.380 --> 02:27:47.220]  And that plant by itself, it's just longer growth
[02:27:47.220 --> 02:27:48.820]  and a little bit of smaller flowers.
[02:27:48.820 --> 02:27:52.020]  It's really distinctive and it's nice to breed it.
[02:27:52.020 --> 02:27:53.820]  It's something to get, add some more structure
[02:27:53.820 --> 02:27:56.940]  and then try to retain that profile.
[02:27:56.940 --> 02:27:59.980]  Yeah, I love seeing things that have actually carried on
[02:27:59.980 --> 02:28:02.500]  and been, you know, not necessarily improved upon,
[02:28:02.540 --> 02:28:07.020]  but at least taken and used by individual breeders.
[02:28:07.020 --> 02:28:10.220]  You know, it's like, it's rare to see stuff like that.
[02:28:10.220 --> 02:28:12.180]  It's not something that unique, you know,
[02:28:12.180 --> 02:28:14.580]  Marlon and I are working on the Orange Hill.
[02:28:14.580 --> 02:28:16.220]  That's gonna be something we need to select for,
[02:28:16.220 --> 02:28:20.900]  but the plant has a tendency to have lots of seeds in it.
[02:28:20.900 --> 02:28:22.580]  So we have to go through a lot of seeds
[02:28:22.580 --> 02:28:24.260]  to find something that doesn't.
[02:28:24.260 --> 02:28:25.100]  Right.
[02:28:25.100 --> 02:28:28.980]  But so we got a couple of questions for you guys.
[02:28:28.980 --> 02:28:31.860]  Boom Farm said, Dioxide made half the menu.
[02:28:31.900 --> 02:28:33.220]  Where's Joel?
[02:28:33.220 --> 02:28:34.060]  Right?
[02:28:34.060 --> 02:28:36.580]  Joel doesn't use the internet.
[02:28:36.580 --> 02:28:38.180]  Joel doesn't have social media.
[02:28:38.180 --> 02:28:41.140]  And honestly, Joel wouldn't have come on
[02:28:41.140 --> 02:28:42.340]  even if you asked him to.
[02:28:42.340 --> 02:28:44.140]  I was just gonna say, he wouldn't come on here
[02:28:44.140 --> 02:28:45.300]  if you begged him.
[02:28:45.300 --> 02:28:47.420]  Yeah, he'd tell you all to fuck off.
[02:28:47.420 --> 02:28:48.540]  Not that like fuck off,
[02:28:48.540 --> 02:28:50.460]  but I mean, he just hates the internet.
[02:28:50.460 --> 02:28:52.540]  And he doesn't, he's always asking like,
[02:28:52.540 --> 02:28:53.420]  what do you got going on?
[02:28:53.420 --> 02:28:55.180]  I'm like, well, I got this, this, and this.
[02:28:55.180 --> 02:28:56.540]  He's like, I'm not on IG.
[02:28:56.540 --> 02:28:59.820]  And once in a while he'll get on his wife's, but he is,
[02:29:00.140 --> 02:29:04.060]  his whole thing when him and Sub started working together
[02:29:04.060 --> 02:29:08.300]  was he didn't, we were still in the fearful stage.
[02:29:08.300 --> 02:29:10.940]  Even when I first came out, I'd opened a hydro store.
[02:29:10.940 --> 02:29:14.140]  I had signed all these pages if they knew anything,
[02:29:14.140 --> 02:29:16.820]  we were growing weed or dah, dah, dah, dah, dah, dah.
[02:29:16.820 --> 02:29:18.540]  So Sub was the face.
[02:29:19.420 --> 02:29:22.140]  And so that's just Joel still is Joel
[02:29:22.140 --> 02:29:23.180]  and hides in the shadows.
[02:29:23.180 --> 02:29:24.900]  But I mean, he's out there, he's crushing it.
[02:29:24.900 --> 02:29:27.460]  I know he's got a big collective.
[02:29:27.460 --> 02:29:28.620]  He's got multiple,
[02:29:28.620 --> 02:29:30.940]  I think he's got five different dispensaries now,
[02:29:30.940 --> 02:29:32.340]  a couple of different grows.
[02:29:33.220 --> 02:29:36.900]  So he's still very actively involved in cannabis,
[02:29:36.900 --> 02:29:41.060]  but he's just kind of in like the Salem area
[02:29:41.060 --> 02:29:42.700]  and he's doing what he does.
[02:29:43.700 --> 02:29:46.540]  Even if he did commit to coming on the show,
[02:29:46.540 --> 02:29:48.060]  all of us that know him no damn well,
[02:29:48.060 --> 02:29:49.340]  he'd be two hours late.
[02:29:49.340 --> 02:29:50.180]  Yeah.
[02:29:50.180 --> 02:29:52.220]  He would be showed up on time.
[02:29:52.220 --> 02:29:55.020]  Getting that guy on the phone,
[02:29:55.020 --> 02:29:56.500]  he'd be like, call me tomorrow around noon.
[02:29:56.500 --> 02:29:58.540]  It might be two or three days till you talk to that guy.
[02:29:59.340 --> 02:30:00.340]  He's like, I'll be at your wedding.
[02:30:00.340 --> 02:30:02.420]  Instead he went to the High Times Cup in Seattle.
[02:30:02.420 --> 02:30:03.260]  So, yeah.
[02:30:07.060 --> 02:30:09.700]  So you guys have any advice for younger generation,
[02:30:09.700 --> 02:30:11.860]  the younger generation of cultivators and breeders
[02:30:11.860 --> 02:30:13.900]  for starting a seed company,
[02:30:13.900 --> 02:30:16.340]  the ones that are passionate about cannabis?
[02:30:17.420 --> 02:30:18.820]  They can take your comment.
[02:30:20.260 --> 02:30:25.260]  I get that question or that DM every day.
[02:30:25.500 --> 02:30:27.420]  And it's a hard thing to answer
[02:30:27.420 --> 02:30:30.140]  because there's so much more to it than people think.
[02:30:31.380 --> 02:30:33.700]  It's a tough business.
[02:30:33.700 --> 02:30:35.500]  Every time I go to a cup or a show,
[02:30:35.500 --> 02:30:38.980]  there's two or new seed companies.
[02:30:38.980 --> 02:30:41.300]  And then next time I go to a show, they're done, they're gone.
[02:30:41.300 --> 02:30:43.020]  I mean, it's a lot of work.
[02:30:43.020 --> 02:30:44.500]  It's a lot of dedication.
[02:30:44.500 --> 02:30:49.500]  If you're not comfortable with social media, good luck.
[02:30:50.100 --> 02:30:53.380]  Unless you have a ton of money to run ads in magazines.
[02:30:53.820 --> 02:30:58.300]  You know, you gotta be 100% committed
[02:30:58.300 --> 02:30:59.540]  and you gotta do your thing.
[02:30:59.540 --> 02:31:00.380]  You gotta be strict.
[02:31:00.380 --> 02:31:01.620]  You gotta be disciplined.
[02:31:03.180 --> 02:31:05.260]  I always call them kids because I'm 53 now.
[02:31:05.260 --> 02:31:07.740]  So anybody under 40 is like a kid to me.
[02:31:07.740 --> 02:31:10.500]  But when these kids write me,
[02:31:10.500 --> 02:31:12.220]  a half time I really don't know what to write them
[02:31:12.220 --> 02:31:14.060]  without sounding like a jerk.
