[00:00.000 --> 00:02.000]  era
[01:30:40.540 --> 01:30:45.020]  And when they got boots on the ground and collecting data, they realized it was logging
[01:30:46.300 --> 01:30:48.300]  Was the greatest?
[01:30:48.460 --> 01:30:55.180]  Reason for uh creeks and streams going dry and you can see it like when I hike these hills that were logged in the 60s
[01:30:55.740 --> 01:30:56.780]  there's like
[01:30:56.780 --> 01:31:01.980]  Huge stumps and they're very well spaced out from each other and then you look in between those huge stumps
[01:31:01.980 --> 01:31:05.120]  It's just like a thick forest. That's totally overgrown
[01:31:06.380 --> 01:31:09.580]  And like an old growth tree is going to take less water
[01:31:10.460 --> 01:31:13.660]  Than a bunch of young trees and smaller trees in the area
[01:31:14.380 --> 01:31:19.260]  Sorry, I went off a little little tangent there I imagine they'd recirculate more
[01:31:19.820 --> 01:31:25.500]  Humidity as well with having that nice canopy instead of a lot of little shrubs just transpiring like
[01:31:27.260 --> 01:31:30.460]  Well, yeah in the the redwoods with seed clouds like in
[01:31:31.020 --> 01:31:33.980]  you know just in the next valley over was like the
[01:31:34.780 --> 01:31:37.500]  You know the edge of a rain forest
[01:31:38.140 --> 01:31:42.940]  That was you know started getting cut down and you know, it was like a little bit of a
[01:31:43.720 --> 01:31:46.460]  Deforestation in the late 1800s and it's like gone
[01:31:47.340 --> 01:31:49.340]  You'd have to wonder, you know
[01:31:49.420 --> 01:31:51.420]  What the climate would be like?
[01:31:51.500 --> 01:31:53.760]  Here if there was uh still a rain forest
[01:31:55.420 --> 01:32:01.020]  And I think like globally and people talk about climate change or whatever but like look at deforestation the whole world over
[01:32:01.500 --> 01:32:04.640]  And I think we have a lot of the issues that we're experiencing
[01:32:09.360 --> 01:32:11.360]  Yeah, just the the climate
[01:32:11.760 --> 01:32:13.760]  in the pacific, I mean
[01:32:13.820 --> 01:32:17.040]  Contrasting from new england where just it's very different like
[01:32:17.920 --> 01:32:20.560]  You go in those four like they always smell like
[01:32:21.760 --> 01:32:23.920]  rich and like moist
[01:32:25.920 --> 01:32:27.920]  Right, you don't get that here
[01:32:28.640 --> 01:32:30.320]  Not right now
[01:32:30.320 --> 01:32:36.400]  You you know, what's crazy? It's actually been a very very dry season up here to the point where
[01:32:37.120 --> 01:32:39.760]  Our greenhouses are essentially in swamp land
[01:32:40.320 --> 01:32:44.720]  And we've been waiting for rain and in maine it's legal to collect
[01:32:45.120 --> 01:32:49.700]  Surface water from your property like no matter what it's a lot looser than california
[01:32:50.160 --> 01:32:56.960]  and even that like we've got piping and trying to you know, get wherever the water does build up to the reservoirs and
[01:32:57.440 --> 01:33:03.600]  I never would have thought that we would have been faced with the same struggles we had out there and essentially a new england swamp
[01:33:03.760 --> 01:33:05.360]  you know and uh
[01:33:05.360 --> 01:33:09.120]  Times are weird when you were saying how you've had so much more rain than normal and in july
[01:33:09.200 --> 01:33:13.680]  We had a july where there was no cloudy days and like that's unheard of up here, you know, so
[01:33:14.640 --> 01:33:15.600]  it's
[01:33:15.600 --> 01:33:20.880]  It's just it's just a strange season over here as well, you know water has an issue in a swamp
[01:33:21.760 --> 01:33:26.400]  I think california set a record from like december to february. That was like totally dry though
[01:33:27.840 --> 01:33:30.320]  Yeah, I can't remember the last time it rained in la
[01:33:32.320 --> 01:33:34.320]  Yeah, I mean la is a desert
[01:33:35.120 --> 01:33:38.000]  It's been like months since the last rain I remember
[01:33:41.840 --> 01:33:43.840]  Yeah
[01:33:44.000 --> 01:33:46.960]  La is an interesting place. That's for sure. I have family down there
[01:33:53.120 --> 01:33:58.800]  It's like I came from kind of like where he is a little south and uh
[01:34:00.560 --> 01:34:02.560]  Yeah, la is trippy
[01:34:04.400 --> 01:34:06.560]  But it's satisfying too because it's like
[01:34:07.520 --> 01:34:14.480]  When I my memories of like january february and march in new england, uh
[01:34:17.120 --> 01:34:19.120]  Of just how cold it always was
[01:34:21.840 --> 01:34:27.760]  Yeah, my wife's from virginia and like she you know, the seasonal depression is real but like in a second
[01:34:28.320 --> 01:34:32.400]  As being like a california native. It's like I don't think I could ever get enough rain
[01:34:33.360 --> 01:34:41.040]  And cloudy weather i'd be like, you know, I don't know I've never experienced that or like oh it's too cloudy and rainy for too long
[01:34:41.120 --> 01:34:42.080]  like
[01:34:42.080 --> 01:34:46.960]  Just 40 keep it coming just biblical rain. Maybe would be good right now
[01:34:50.640 --> 01:34:52.320]  On so many levels
[01:34:52.320 --> 01:34:54.720]  I don't know if it's seasonal depression or just anxiety
[01:34:54.800 --> 01:35:00.160]  but I prefer the winters just because there's so much mellower and it's a nice slow pace and like I can find time to
[01:35:00.160 --> 01:35:07.440]  Have fun and just refocus and I don't know if it's seasonal depression, but I just get anxiety in the in the summer
[01:35:08.640 --> 01:35:13.760]  Yeah, that's the opposite. Yeah, I don't know. I definitely like winter too. Just I hike a lot more too
[01:35:14.480 --> 01:35:18.080]  In the winter and I used to think it was because it was colder and wetter
[01:35:18.880 --> 01:35:23.440]  But I just realized i'm just so busy now that as I know when I don't hike this time of year
[01:35:25.200 --> 01:35:27.200]  Just going sun up to sundown anyway
[01:35:28.160 --> 01:35:40.570]  Do you have any speculations on when the federal market is going to open just to throw some craziness in there
[01:35:41.850 --> 01:35:43.850]  some hope
[01:35:44.730 --> 01:35:49.770]  You know, so if I was like, you know corporate cannabis and I had like politicians in my back and you know
[01:35:50.330 --> 01:35:52.650]  California has been kind of like the you know
[01:35:53.210 --> 01:35:56.890]  The cannabis community culture here has kind of been sticking it to the man for a long time
[01:35:57.690 --> 01:35:59.690]  I would you know wait till
[01:36:00.250 --> 01:36:03.210]  The heritage farmers in california went bankrupt
[01:36:03.370 --> 01:36:04.970]  Went bankrupt
[01:36:04.970 --> 01:36:06.970]  And then I'd federally legalize it
[01:36:07.690 --> 01:36:09.450]  But they are
[01:36:09.450 --> 01:36:14.250]  Competition, what's the lobbying group that is uh lobbying for that?
[01:36:16.330 --> 01:36:21.230]  It's either I think it's like california and oregon
[01:36:22.970 --> 01:36:24.970]  Based
[01:36:25.370 --> 01:36:30.330]  Yeah, I don't I don't know you you would think it would it would be i've already happened
[01:36:30.970 --> 01:36:36.730]  Because you know here we have a we have a we have a democrat in office in quotes, you know
[01:36:39.130 --> 01:36:45.530]  I speculate not for like another five years on the early side ten years on the outside. I'm a long end
[01:36:46.490 --> 01:36:48.490]  Yeah
[01:36:48.490 --> 01:36:50.490]  It seems like it could be a long time
[01:36:50.490 --> 01:36:53.290]  Crazy speculation, but that's that's right. Yeah
[01:36:56.010 --> 01:36:58.490]  Yeah, because if it wasn't going to happen you think it would happen now
[01:37:01.290 --> 01:37:05.610]  I feel like we've been saying five or ten years for a long long long time
[01:37:05.690 --> 01:37:08.890]  So it's like I feel like it'd have to be another guess like that
[01:37:09.050 --> 01:37:13.470]  Like yeah, I mean when when my dad grew his like first crop in the 70s
[01:37:14.490 --> 01:37:15.850]  he's like
[01:37:15.850 --> 01:37:19.130]  It's gonna be legal in a couple years, you know, they can't just like let this
[01:37:20.970 --> 01:37:22.970]  Go on you know and
[01:37:23.850 --> 01:37:26.350]  You know, we didn't see medical till 96
[01:37:26.430 --> 01:37:30.540]  Yeah, I don't know I mean
[01:37:31.820 --> 01:37:37.410]  Yeah, I don't think it doesn't really seem likely this
[01:37:39.890 --> 01:37:45.090]  But then there you know, there are like our government's so screwy I remember this was like such a good example of how screwy it is
[01:37:47.250 --> 01:37:50.650]  It was in the same session of
[01:37:51.370 --> 01:37:55.370]  Senate or whatever they they voted to approve medical marijuana for veterans
[01:37:56.090 --> 01:38:00.170]  And they voted to keep marijuana a schedule one drug with no medical benefits
[01:38:00.250 --> 01:38:03.930]  And like the same little session there. So yeah, I don't
[01:38:05.610 --> 01:38:11.120]  Yeah
[01:38:12.320 --> 01:38:17.200]  And then again like I don't know there's definitely fears that federal legalization might just add more
[01:38:18.400 --> 01:38:20.160]  trouble to
[01:38:20.160 --> 01:38:25.120]  Small farmers too with you know, another layer of regulation another layer of taxes
[01:38:27.680 --> 01:38:29.680]  Yeah, because it's like county
[01:38:30.720 --> 01:38:32.080]  state
[01:38:32.240 --> 01:38:36.880]  County state federal are all like I want my cut too
[01:38:38.880 --> 01:38:45.040]  Do you guys think international could have more potential to keep small american craft growers going
[01:38:45.440 --> 01:38:47.600]  Like let's say tokyo for an example
[01:38:47.680 --> 01:38:54.960]  I think I mean 28 million people and I think the average price is like 30 some 32 dollars a gram there or something
[01:38:55.040 --> 01:38:55.920]  so
[01:38:55.920 --> 01:38:58.720]  that's almost population of california that
[01:38:59.520 --> 01:39:01.520]  Is used to paying a fair price
[01:39:03.760 --> 01:39:05.760]  And you know
[01:39:06.320 --> 01:39:08.320]  You know about the same number
[01:39:08.400 --> 01:39:12.880]  Cali, but definitely still fetches a good price in europe, you know
[01:39:15.600 --> 01:39:17.600]  Yeah, I think
[01:39:18.320 --> 01:39:21.920]  You know it is like because california does have like one of six
[01:39:22.480 --> 01:39:24.480]  It's one of six mediterranean climates in the world
[01:39:24.560 --> 01:39:30.560]  I I do think in the region and and maybe just the name brand appeal, you know, wherever you are in another country
[01:39:30.560 --> 01:39:32.560]  Like oh I got emerald triangle
[01:39:32.940 --> 01:39:37.520]  Cannabis, you know from this like legacy farm there. It definitely
[01:39:38.320 --> 01:39:40.320]  That's the good hype, you know
[01:39:40.640 --> 01:39:44.000]  Not like I got runs from my buddies indoor
[01:39:44.800 --> 01:39:47.040]  As I think about when that would happen
[01:39:47.680 --> 01:39:50.260]  It's like first we need federal legalization
[01:39:51.060 --> 01:39:58.660]  Then we need trade agreements with like a japan and then you need to make sure that neither side's putting tariffs on
[01:40:00.500 --> 01:40:02.500]  We just need a submarine
[01:40:03.780 --> 01:40:04.820]  Right
[01:40:04.820 --> 01:40:06.180]  That's the
[01:40:06.180 --> 01:40:08.180]  Definitely are like this is how some
[01:40:08.900 --> 01:40:14.100]  Like drugs are smuggled by like larger cartels into europe from the states
[01:40:14.660 --> 01:40:17.540]  The drug submarines or what's the elon musk?
[01:40:18.160 --> 01:40:19.620]  tunnel
[01:40:19.620 --> 01:40:24.260]  Where you can shoot something. Oh, yeah. Yeah, I mean supposedly ups works too
[01:40:26.340 --> 01:40:28.340]  We got an order in tokyo
[01:40:28.660 --> 01:40:30.500]  slap it in that tunnel
[01:40:30.500 --> 01:40:35.300]  and like two hours later some excited japanese person has their like
[01:40:36.420 --> 01:40:38.420]  So i'm i'm so excited about that
[01:40:39.300 --> 01:40:44.500]  I'm gonna start reaching out to people early like and even when I reach out to them be like, you know
[01:40:44.580 --> 01:40:49.060]  I just want to start cementing some relationship for 10 15 years down the line, you know, like
[01:40:49.860 --> 01:40:53.540]  I just think it's such a cool idea like more than the revenue
[01:40:54.100 --> 01:40:58.820]  just to like, you know be able to have our products in like paris or tokyo or like
[01:40:59.200 --> 01:41:03.060]  Algiers or just all these like I don't know for the culture more for the profit
[01:41:03.140 --> 01:41:09.640]  Like i'm already going to start to try to reach out to uh, certain places that I think would be groovy south of france montenegro
[01:41:11.380 --> 01:41:13.380]  Or so, you know what I mean like
[01:41:14.580 --> 01:41:15.620]  Yeah, I mean
[01:41:15.620 --> 01:41:21.860]  There's people there's people when we can export to your country. I would like you to remember me as the guy who will
[01:41:22.500 --> 01:41:23.860]  Bring it to you
[01:41:23.860 --> 01:41:27.220]  Yeah, the lobsters, you know, like you can serve it with this
[01:41:28.320 --> 01:41:32.200]  Specifically a lot of casinos. I want to reach out to I don't know if that's far-fetched
[01:41:32.980 --> 01:41:36.100]  But I try to think in the fourth dimension and look in the future
[01:41:36.740 --> 01:41:40.260]  And it's like those are customers that want like craft
[01:41:41.060 --> 01:41:42.020]  high
[01:41:42.020 --> 01:41:48.020]  Value stuff and are actually willing to pay for it. Not only that actually appreciate it. So i'm thinking about reaching out
[01:41:48.980 --> 01:41:50.340]  let's say
[01:41:50.340 --> 01:41:53.860]  Let's say like the montenegro, you know casino, you know
[01:41:54.020 --> 01:41:59.300]  And like try to get on the yard on the line with someone and just be like can we start even start talking about this?
[01:41:59.380 --> 01:42:03.940]  Yeah, and if not, can I give you I tell you about my very slavic roots
[01:42:06.100 --> 01:42:08.100]  I just think it would be so cool
[01:42:11.440 --> 01:42:13.440]  And let's drink some
[01:42:14.960 --> 01:42:16.960]  Some bathtub grappa together
[01:42:21.360 --> 01:42:28.800]  Oh, I got six percent I might need to find my charger now, I think we we could probably what is it, uh, 11 30
[01:42:30.160 --> 01:42:32.160]  Yeah, it's a good time
[01:42:32.800 --> 01:42:36.000]  But uh, well, thank you for jumping on
[01:42:36.880 --> 01:42:38.880]  I've been wanting to do this for a while
[01:42:39.760 --> 01:42:41.440]  Yeah
[01:42:41.440 --> 01:42:47.600]  Since my wife's not in town right now. I'm like, holy shit. I can do stuff. Okay. Are the kids gone too?
[01:42:49.360 --> 01:42:53.040]  Uh, they are my oldest yeah with me tomorrow
[01:42:54.000 --> 01:42:59.120]  Yeah, and then the other ones come back the next day. I know that this will be the first harvest today
[01:42:59.600 --> 01:43:02.160]  this will be the first harvest in a couple years where um,
[01:43:03.200 --> 01:43:05.600]  My wife hasn't gone to virginia to see her mom. So
[01:43:07.200 --> 01:43:09.200]  I love the fam here
[01:43:10.160 --> 01:43:15.840]  It's just good so normally she takes the kids too, I mean she has yeah
[01:43:17.760 --> 01:43:21.840]  You know what the there's the the harvest wives vacation club, you know
[01:43:24.320 --> 01:43:29.680]  For the non-industry non-industry wives I definitely get more work done
[01:43:30.880 --> 01:43:32.400]  when
[01:43:32.400 --> 01:43:34.400]  The wife takes the kids out of town
[01:43:35.040 --> 01:43:40.720]  I mean you'd be amazed how much time you have to spend making your bed, you know when the wives not just good. Yeah
[01:43:42.800 --> 01:43:48.320]  Not at all, uh, all right, well, thank you. Yeah, we look we'll
[01:43:49.680 --> 01:43:52.160]  Look forward to getting some more content your way and
[01:43:53.040 --> 01:43:54.240]  Yeah
[01:43:54.240 --> 01:43:57.220]  It's evan is evan limbered up to start filming
[01:43:58.560 --> 01:44:01.040]  I think we're gonna film we're gonna we're gonna shape
[01:44:01.840 --> 01:44:03.840]  We're gonna film in the morning just
[01:44:04.720 --> 01:44:07.440]  Yeah, we're definitely pretty busy with the farm stuff
[01:44:08.080 --> 01:44:11.600]  what I told him I was like just stick a microphone like a
[01:44:12.220 --> 01:44:17.760]  Microphone with the body pack because he got one of those right the the yeah, yeah body pack recorder
[01:44:18.240 --> 01:44:23.680]  So he could he could just run it for like six hours and just pick up you like
[01:44:25.040 --> 01:44:28.880]  Just talking about whatever and then it's like holy shit. That was awesome
[01:44:29.680 --> 01:44:31.840]  I think we could also talk to him and work
[01:44:33.040 --> 01:44:35.040]  I think we should we could definitely do uh
[01:44:36.160 --> 01:44:39.680]  Reality tv, you know, I think that is definitely in our future
[01:44:40.320 --> 01:44:42.320]  yeah, just mic up the whole farm and
[01:44:43.120 --> 01:44:45.120]  Get some crazy hippies there
[01:44:47.520 --> 01:44:49.680]  Especially for the you know, I know I know
[01:44:50.160 --> 01:44:56.400]  I know some crazy people that like for like, you know when you need to spice things up maybe like season five, you know, like
[01:44:57.280 --> 01:45:00.340]  Yeah, I know some some people that could make it interesting
[01:45:02.640 --> 01:45:04.640]  Here comes uncle jim
[01:45:06.160 --> 01:45:10.720]  Like remember I fired you a couple years ago, i'm really sorry about that. Will you you want to come?
[01:45:11.280 --> 01:45:13.360]  Work on the farm again. Just sign this
[01:45:16.400 --> 01:45:18.400]  I was hoping if you're
[01:45:18.560 --> 01:45:22.240]  One question was just gonna be how was your day today? Like what did you do today?
[01:45:23.200 --> 01:45:28.000]  What's the life of you know, what was the life in norcal in august today I was so curious
[01:45:29.600 --> 01:45:32.720]  I I did a big pollen collection harvest today
[01:45:33.280 --> 01:45:38.320]  so I just um, so I kind of designed like these little pollen collection boxes
[01:45:38.940 --> 01:45:40.940]  sperm all day. Yeah
[01:45:45.120 --> 01:45:46.560]  Um
[01:45:46.560 --> 01:45:48.320]  What else today I don't even remember what I did
[01:45:48.400 --> 01:45:53.040]  I'm, pretty sure that was like oh and um, we had a friend come up and help move like this. Um
[01:45:53.680 --> 01:45:57.600]  fifth wheel that my dad's gonna be moving into while he rebuilds the cabin and
[01:45:58.320 --> 01:46:00.320]  So that was a nice like highlight
[01:46:02.640 --> 01:46:08.000]  I have to do some waterline stuff tomorrow and just making sure water's flowing and
[01:46:08.640 --> 01:46:14.160]  uh, we're gonna shoot the harvest, you know, some male plants and then the pollen collection boxes, which
[01:46:15.360 --> 01:46:17.120]  um
[01:46:17.120 --> 01:46:20.720]  I think it will at least be a short video and then I gotta go through and awesome
[01:46:21.360 --> 01:46:25.600]  I have to finish taking notes on all the auto flowers that are ready for harvest because there's
[01:46:26.300 --> 01:46:28.300]  100 and
[01:46:29.200 --> 01:46:31.200]  Um
[01:46:31.520 --> 01:46:37.840]  11 combinations of genetics out there. It's a lot of a lot of notes to take
[01:46:41.200 --> 01:46:44.160]  Yes, okay four four four percent well peter, um
[01:46:45.120 --> 01:46:52.000]  It was gonna be on and um, what's your name rotten skateboard guy, my name is travis travis
[01:46:53.440 --> 01:46:57.280]  I appreciate the conversation. I'm also a lifelong cannabis. Uh
[01:46:58.300 --> 01:47:03.200]  Participant as well. Yeah. I mean for me cannabis was a gateway plant
[01:47:04.000 --> 01:47:06.580]  Now I grow like all kinds of plants now cactuses
[01:47:07.840 --> 01:47:13.280]  um, you know, i'm that guy we like at a friend's house like oh, can I have a cutting of that house plant, you know, just
[01:47:14.400 --> 01:47:18.000]  I'm that's how far I just it's out of control now. So I got like
[01:47:18.800 --> 01:47:20.800]  20 varieties apples
[01:47:21.760 --> 01:47:25.280]  Uh
[01:47:25.280 --> 01:47:27.760]  Well, I appreciate the conversation it was great talking with you
[01:47:29.360 --> 01:47:31.360]  Have a good night
[01:47:31.440 --> 01:47:33.120]  All right
[01:47:33.120 --> 01:47:34.960]  Thank you, everyone
[01:47:34.960 --> 01:47:37.680]  I'm gonna end the broadcast but have a good night
[01:47:38.560 --> 01:47:39.840]  and uh
[01:47:39.840 --> 01:47:41.840]  daniel, thank you and uh
[01:47:41.840 --> 01:47:47.540]  Travis thank you for staying up way late on the east coast. See ya
