[00:00.000 --> 00:02.000]  We're doing an introduction.
[01:01:49.060 --> 01:01:53.060]  And there's, there's an amount of respect that because we're a culture that
[01:01:53.060 --> 01:01:55.060]  doesn't have this hierarchy that's built in,
[01:01:55.060 --> 01:01:59.060]  like you see in corporate culture where you have to climb that ladder.
[01:01:59.060 --> 01:02:02.060]  Some people come in and think that that doesn't exist, but you know,
[01:02:02.060 --> 01:02:09.060]  there's years that we spent Marcus included quietly listening and not talking
[01:02:09.060 --> 01:02:13.060]  in circles and absorbing things and leveling up our knowledge before we
[01:02:13.060 --> 01:02:17.060]  started talking. And when we started talking, it wasn't just from listening.
[01:02:17.060 --> 01:02:19.060]  It wasn't from just, Oh, well,
[01:02:19.060 --> 01:02:21.060]  we've sat around in enough circles and absorb enough.
[01:02:21.060 --> 01:02:25.060]  It was from going and fucking doing, it was from popping seeds.
[01:02:25.060 --> 01:02:27.060]  It was from making hash. It was from growing shit.
[01:02:27.060 --> 01:02:29.060]  And I think that there's a lot of people that think that, you know,
[01:02:29.060 --> 01:02:34.060]  if I absorb enough culture via other people and listening to stories that I can
[01:02:34.060 --> 01:02:36.060]  kind of skip over the actual doing part of it.
[01:02:36.060 --> 01:02:41.060]  And I think that honoring and understanding that is super important.
[01:02:41.060 --> 01:02:46.060]  And I think that the real people from the culture recognize those people and
[01:02:46.060 --> 01:02:49.060]  they don't recognize that we recognize it, but it happens.
[01:02:49.060 --> 01:02:51.060]  And so I think that there's a hierarchy,
[01:02:51.060 --> 01:02:53.060]  there's levels to it that you have to understand.
[01:02:53.060 --> 01:02:56.060]  It's like, I would never give somebody full melt bubble hash as their first
[01:02:56.060 --> 01:02:58.060]  stab. I think that would be corrupting them.
[01:02:58.060 --> 01:03:01.060]  I think that you need to go through, you know, your,
[01:03:01.060 --> 01:03:05.060]  your whole evolution of, you know, smoking a dirtier oil or, or,
[01:03:05.060 --> 01:03:08.060]  or a shattered shatter and then going through and,
[01:03:08.060 --> 01:03:13.060]  and smoking HTF a C and then smoking cleaner HTF a C and then becoming like
[01:03:13.060 --> 01:03:16.060]  thinking at some point, like, this is all I'm going to smoke.
[01:03:16.060 --> 01:03:18.060]  And then like taking your journey,
[01:03:18.060 --> 01:03:20.060]  a hundred percent getting to be on your journey,
[01:03:20.060 --> 01:03:24.060]  not have to start at the top or the end or whatever you want to call it,
[01:03:24.060 --> 01:03:28.060]  where we've acquired or found ourselves to be here today. And this is,
[01:03:28.060 --> 01:03:32.060]  this really speaks to, you know, the, my own brand that I'm fine.
[01:03:32.060 --> 01:03:34.060]  I've never released bubble man brand. It's been, you know,
[01:03:34.060 --> 01:03:36.060]  I've been selling bubble bags for 23 years,
[01:03:36.060 --> 01:03:38.060]  sold them into over 200 countries,
[01:03:38.060 --> 01:03:42.060]  taught like tens of thousands of people how to make hash. And now the,
[01:03:42.060 --> 01:03:44.060]  all of my friends have your back.
[01:03:44.060 --> 01:03:45.060]  That's what's up.
[01:03:45.060 --> 01:03:49.060]  Oh yeah. You do. Oh yeah. You guys do. That's awesome. So, you know,
[01:03:50.060 --> 01:03:54.060]  that part of the culture was so like, there was no,
[01:03:54.060 --> 01:03:58.060]  nothing was to affect the integrity of that because there was no,
[01:03:58.060 --> 01:03:59.060]  it was just the honest, like,
[01:03:59.060 --> 01:04:02.060]  I'm just teaching people how to make hash and that was the business.
[01:04:02.060 --> 01:04:05.060]  But now it's like this dangerous, like, you know, I,
[01:04:05.060 --> 01:04:09.060]  I started my company and bark and I kind of flirted with the idea of wanting to
[01:04:09.060 --> 01:04:11.060]  do the brand. And then we got a leadership team in that I,
[01:04:11.060 --> 01:04:15.060]  I didn't see eye to eye with. And I was kind of like, Oh, like,
[01:04:15.060 --> 01:04:17.060]  I don't know if I want to do the brand with my own company.
[01:04:17.060 --> 01:04:20.060]  And it took a while for this leadership team to sort of, you know,
[01:04:20.060 --> 01:04:24.060]  move on and get in. And, you know, recently we were acquired by Bev Canna.
[01:04:24.060 --> 01:04:26.060]  And I was worried about that. I was like, Oh my God,
[01:04:26.060 --> 01:04:29.060]  I don't know who these guys are. Well, these are the first, I guess they're,
[01:04:29.060 --> 01:04:31.060]  I guess they're corporate,
[01:04:31.060 --> 01:04:36.060]  but they're the first corporate dudes I've met that are actually cool and kind
[01:04:36.060 --> 01:04:41.060]  and spiritual and have depth and like are actually people that would be sitting
[01:04:41.060 --> 01:04:44.060]  at this table and having a dab with us. Like, they're just really,
[01:04:44.060 --> 01:04:46.060]  really good dudes. They're doing beverages and whatnot,
[01:04:46.060 --> 01:04:50.060]  but they came in with Embark and now they've created a team where I'm like
[01:04:50.060 --> 01:04:52.060]  confident and I want to do the brand.
[01:04:52.060 --> 01:04:55.060]  And it was really hard for me because my brand was going to be nothing but the
[01:04:55.060 --> 01:04:59.060]  highest quality, what everyone knows me for. But what he just said,
[01:04:59.060 --> 01:05:03.060]  you can't start someone out with a full melt dab of hash.
[01:05:03.060 --> 01:05:07.060]  And so what my real mission now is with my brand in particular,
[01:05:07.060 --> 01:05:11.060]  will I have dabs available, full melt dry sifts and bubbles and,
[01:05:11.060 --> 01:05:15.060]  and, and rosins? Yeah, absolutely. Four stars and up will be available.
[01:05:16.060 --> 01:05:20.060]  But what's going to be available for the people that right now only smoke joints
[01:05:20.060 --> 01:05:22.060]  and all they have is a tool.
[01:05:22.060 --> 01:05:25.060]  Like look at how many tools Jamison and I have out on the table right now.
[01:05:25.060 --> 01:05:29.060]  It's bat shit fucking crit. No, between me and Jamison, I bet you there's 50.
[01:05:29.060 --> 01:05:33.060]  So it's unrealistic for, for, to think that people are going to do that.
[01:05:33.060 --> 01:05:38.060]  So now we've got to create products that are like hash that they can smoke.
[01:05:38.060 --> 01:05:40.060]  That's that all they need is a lighter.
[01:05:40.060 --> 01:05:42.060]  So we came out with that pure hash stick,
[01:05:42.060 --> 01:05:45.060]  which is a legacy product that's all day long. Hayward and Cheryl,
[01:05:45.060 --> 01:05:48.060]  that's their baby. They created it. Shout out to them from the Kootenays.
[01:05:48.060 --> 01:05:50.060]  We brought them into our family.
[01:05:50.060 --> 01:05:53.060]  We made a great deal with them where everyone gets, you know,
[01:05:53.060 --> 01:05:54.060]  like they're a part of it.
[01:05:54.060 --> 01:05:56.060]  It's not like they get five grand and now go away.
[01:05:56.060 --> 01:05:58.060]  You're never seeing any money again.
[01:05:58.060 --> 01:06:01.060]  So they're a part of it because that was their, they owned no IP.
[01:06:01.060 --> 01:06:06.060]  They owned no patents. We did that because it was the right thing to do.
[01:06:06.060 --> 01:06:08.060]  So there are partners in the hazel stick.
[01:06:09.060 --> 01:06:12.060]  We're the only ones selling it in Canada and people are now smoking hash that
[01:06:12.060 --> 01:06:14.060]  would otherwise never smoke hash.
[01:06:14.060 --> 01:06:19.060]  The mistake was is that COVID came in and you can't share them.
[01:06:19.060 --> 01:06:24.060]  So now it's the hash hit, which I just showed him today.
[01:06:24.060 --> 01:06:27.060]  This is the newest product that we're about to release.
[01:06:27.060 --> 01:06:31.060]  And this is, this is just five.
[01:06:31.060 --> 01:06:33.060]  There's four because I gave this gentleman one,
[01:06:33.060 --> 01:06:37.060]  but it's five paper one hit tubes with stainless steel bowls that fit 0.2 of a
[01:06:38.060 --> 01:06:41.060]  gram of hash in the end of them. So when you buy a gram of hash,
[01:06:41.060 --> 01:06:45.060]  you'll get five of those tubes with a 0.2 ready to go.
[01:06:45.060 --> 01:06:48.060]  And you just, it's just a quick little smoking tube.
[01:06:48.060 --> 01:06:51.060]  The paper doesn't burn. It's recyclable. You can, you know,
[01:06:51.060 --> 01:06:55.060]  it's not overly wasteful. Yeah. I filled that one up for him.
[01:06:55.060 --> 01:06:59.060]  So, and now this is very far from what you might think is a bubble man product,
[01:06:59.060 --> 01:07:03.060]  but it's about what Jameson said going back.
[01:07:03.060 --> 01:07:06.060]  And now we've got a whole new group of people in Canada that are getting
[01:07:06.060 --> 01:07:10.060]  onto cannabis. And the only thing they've ever done is smoked a joint.
[01:07:10.060 --> 01:07:12.060]  And so if the only thing they've ever done is smoked a joint,
[01:07:12.060 --> 01:07:16.060]  how can I get them into hash and make it convenient for them and make it so
[01:07:16.060 --> 01:07:18.060]  like, well, I've never really smoked hash. It's 20.
[01:07:18.060 --> 01:07:21.060]  It's the same price as a gram of hash.
[01:07:21.060 --> 01:07:24.060]  It's just broken up into a convenient serving.
[01:07:24.060 --> 01:07:27.060]  And each tube gives you about five to 10 rips.
[01:07:27.060 --> 01:07:30.060]  So we're kind of excited about it. We'll see how it goes.
[01:07:30.060 --> 01:07:34.060]  You know, it's a different marketplace when you're selling to this,
[01:07:34.060 --> 01:07:39.060]  you know, a lot of the dabbing culture has not switched over to this market.
[01:07:39.060 --> 01:07:41.060]  They're, they produce their own flowers.
[01:07:41.060 --> 01:07:43.060]  They produce their own rosin and bubble.
[01:07:43.060 --> 01:07:47.060]  And Marcus, it has a cool metal bowl on the inside.
[01:07:47.060 --> 01:07:48.060]  It's a stainless steel bowl. Yeah.
[01:07:48.060 --> 01:07:52.060]  With five little holes. We put just 0.2 of a gram of hash in there.
[01:07:52.060 --> 01:07:54.060]  And you just, yeah, you puff that down.
[01:07:54.060 --> 01:07:57.060]  Now I haven't smoked hash in like 20 years.
[01:07:57.060 --> 01:08:01.060]  I haven't smoked flower in 22 years. I just dab hash.
[01:08:01.060 --> 01:08:04.060]  So when we thought of this product, I was like, well, I'm going to have to try it.
[01:08:04.060 --> 01:08:07.060]  I can't put my name on something I don't believe in.
[01:08:07.060 --> 01:08:11.060]  So what, well, listen, what I found was I was on the top of Whistler Mountain.
[01:08:11.060 --> 01:08:13.060]  I tripped. I tripped.
[01:08:13.060 --> 01:08:16.060]  I know, people did. It's just another way for me to inhale hash.
[01:08:16.060 --> 01:08:19.060]  But I hadn't smoked hash in 20 years.
[01:08:19.060 --> 01:08:23.060]  And when I did cough a little bit, what I found was amazing was that
[01:08:23.060 --> 01:08:28.060]  it got me this very light, mellow high because I have a very high tolerance.
[01:08:28.060 --> 01:08:31.060]  I'm used to a trip to the moon every time I take a dab.
[01:08:31.060 --> 01:08:35.060]  This was super mellow. I just skateboarded around like downtown Vancouver.
[01:08:35.060 --> 01:08:38.060]  I did it one time up on Whistler Mountain.
[01:08:38.060 --> 01:08:42.060]  You know, the places where I don't have my 17 items to dab with
[01:08:42.060 --> 01:08:47.060]  and my wash bay and my temp, terp timer and all this insane shit.
[01:08:47.060 --> 01:08:49.060]  This is the polar opposite of that.
[01:08:49.060 --> 01:08:52.060]  This is like easy peasy convenience.
[01:08:53.060 --> 01:08:54.060]  On the go.
[01:08:54.060 --> 01:09:00.060]  I think this cannabis world, the new cannabis world, will really appreciate that
[01:09:00.060 --> 01:09:03.060]  because they do in every other aspect of their life.
[01:09:04.060 --> 01:09:05.060]  Do you know what I'm saying?
[01:09:05.060 --> 01:09:06.060]  Of course.
[01:09:06.060 --> 01:09:07.060]  Yeah.
[01:09:09.390 --> 01:09:10.390]  Well, that was a long rant.
[01:09:10.390 --> 01:09:14.390]  I can say that feeling you just described from smoking that hash,
[01:09:14.390 --> 01:09:15.390]  I got a very similar thing.
[01:09:15.390 --> 01:09:18.390]  I went down and gave old Johnny a hand with all his flood issues
[01:09:18.390 --> 01:09:20.390]  and all the stuff down there pretty recently.
[01:09:20.390 --> 01:09:23.390]  In return, he smoked me out very fair
[01:09:23.390 --> 01:09:28.390]  and started the morning off with his Full Melt out of his little special Full Melt rig.
[01:09:28.390 --> 01:09:29.390]  Yeah, the same thing.
[01:09:29.390 --> 01:09:34.390]  It wasn't overwhelming, but it was just this nice, relaxing, perfect way to start the day
[01:09:34.390 --> 01:09:35.390]  and get some work done.
[01:09:35.390 --> 01:09:42.390]  I think Full Melt is the least functional of all the things that we smoke, honestly, bro.
[01:09:42.390 --> 01:09:43.390]  Not easy.
[01:09:43.390 --> 01:09:48.390]  I think Full Melt is like walking in deep, soft sand.
[01:09:48.390 --> 01:09:49.390]  You got to be ready.
[01:09:50.390 --> 01:09:53.390]  Starting a work day with a basement flood and being like,
[01:09:53.390 --> 01:09:56.390]  hey, do you want some rosin or do you want some Full Melt?
[01:09:56.390 --> 01:09:59.390]  Like 10 out of 10 of the days, I'm taking the rosin.
[01:09:59.390 --> 01:10:00.390]  The answer is obviously bubble.
[01:10:00.390 --> 01:10:02.390]  Because rosin is dessert.
[01:10:03.390 --> 01:10:09.390]  Rosin is dessert and bubble, Full Melt bubble is like a six-course meal.
[01:10:09.390 --> 01:10:14.390]  You filtered things out from the bubble to make the rosin
[01:10:14.390 --> 01:10:20.390]  and those things that you filtered out are what makes the bubble different from the rosin.
[01:10:20.390 --> 01:10:24.390]  What you've really filtered out is the fibrous mat inside the trichome head
[01:10:24.390 --> 01:10:29.390]  where all of the cannabinoids and terpenes are produced into existence, the lab.
[01:10:29.390 --> 01:10:34.390]  So that lab, I mean, dude, there's all sorts of good things in there.
[01:10:34.390 --> 01:10:37.390]  And it's the difference that you don't get when you smoke like a cultivar
[01:10:37.390 --> 01:10:40.390]  that you have Full Melt of that you maybe pressed rosin into.
[01:10:40.390 --> 01:10:45.390]  You can smoke them both and you'll just feel they're not the same.
[01:10:45.390 --> 01:10:47.390]  Like in any way, shape or form.
[01:10:49.390 --> 01:10:50.390]  I love it.
[01:10:50.390 --> 01:10:51.390]  The hash rosins, of course.
[01:10:51.390 --> 01:10:52.390]  Me too.
[01:10:52.390 --> 01:10:56.390]  But the same page, the bubbles are just so nice.
[01:10:56.390 --> 01:10:58.390]  It's just full. There's just a little something extra to it.
[01:11:11.100 --> 01:11:13.100]  It's a beautiful day here.
[01:11:17.100 --> 01:11:24.100]  Yeah, I'm sort of much older school, you know, joints and hash and other things.
[01:11:24.100 --> 01:11:26.100]  I've been learning more about dabs.
[01:11:26.100 --> 01:11:29.100]  I mean, I have done them before, but I'm just not really.
[01:11:29.100 --> 01:11:32.100]  This is a whole new world where you have a whole kit.
[01:11:32.100 --> 01:11:34.100]  It used to be so much simpler.
[01:11:35.100 --> 01:11:38.100]  I remember how awesome dabs are.
[01:11:43.100 --> 01:11:48.100]  I like the effect of it, but I would kind of like to have it simpler.
[01:11:48.100 --> 01:11:52.100]  And sort of the torch thing is a bit freaky to me, really, to be honest.
[01:11:52.100 --> 01:11:56.100]  So, you know, because I think somebody could drop it or burn themselves.
[01:11:56.100 --> 01:11:58.100]  They're like, that's just a danger.
[01:11:58.100 --> 01:12:00.100]  And that's very hot.
[01:12:00.100 --> 01:12:03.100]  Yeah, the electric thing seems like a good idea.
[01:12:04.100 --> 01:12:05.100]  It's really nice.
[01:12:09.100 --> 01:12:11.100]  Yeah, I like the effect of it.
[01:12:11.100 --> 01:12:14.100]  So I'd like to find one that is not a million dollars.
[01:12:14.100 --> 01:12:16.100]  It has to be sort of really reasonable.
[01:12:16.100 --> 01:12:21.100]  And, yeah, it has to be effective, right?
[01:12:21.100 --> 01:12:22.100]  And whatever that takes.
[01:12:22.100 --> 01:12:26.100]  So that's what I've learned about dabbing today.
[01:12:26.100 --> 01:12:28.100]  And, yeah.
[01:12:28.100 --> 01:12:29.100]  Yeah.
[01:12:32.100 --> 01:12:34.100]  We have a dab monster in front of us.
[01:12:34.100 --> 01:12:35.100]  A dab monster.
[01:12:35.100 --> 01:12:36.100]  Oh, yeah.
[01:12:36.100 --> 01:12:38.100]  She is a dab monster.
[01:12:38.100 --> 01:12:40.100]  Kelly is a dab monster.
[01:12:40.100 --> 01:12:41.100]  Kelly.
[01:12:41.100 --> 01:12:44.100]  No, it looks like she does, though.
[01:12:44.100 --> 01:12:46.100]  She's a dab queen.
[01:12:46.100 --> 01:12:48.100]  She can take a dab, a big one.
[01:12:52.100 --> 01:12:53.100]  Oh, yeah.
[01:12:54.100 --> 01:12:55.100]  Excellent.
[01:12:56.100 --> 01:13:02.070]  You keep saying awesome, hilarious things, and you don't have a mic.
[01:13:02.070 --> 01:13:06.070]  It's like, man, I wish you had that mic.
[01:13:06.070 --> 01:13:07.070]  You never know when they're going to come out, you know what I mean?
[01:13:17.070 --> 01:13:18.070]  What was it again?
[01:13:18.070 --> 01:13:20.070]  Two thumbs up for two tears down.
[01:13:20.070 --> 01:13:22.070]  That's amazing.
[01:13:22.070 --> 01:13:23.070]  I love that.
[01:13:24.070 --> 01:13:26.070]  Two thumbs up, two tears down.
[01:13:26.070 --> 01:13:28.070]  Hashtag bubble man said it first.
[01:13:28.070 --> 01:13:34.070]  Six weeks from now, the big corporate cannabis companies will have that on a T-shirt.
[01:13:34.070 --> 01:13:36.070]  And they will be monetizing that.
[01:13:36.070 --> 01:13:38.070]  So, yeah, they'll be suing.
[01:13:38.070 --> 01:13:39.070]  Yeah, yeah.
[01:13:39.070 --> 01:13:41.070]  And there will be copyright infringement.
[01:13:41.070 --> 01:13:42.070]  This part will be cut out.
[01:13:42.070 --> 01:13:43.070]  Oh.
[01:13:45.070 --> 01:13:47.070]  Yeah, fucking wonderful.
[01:13:47.070 --> 01:13:48.070]  This is great.
[01:13:48.070 --> 01:13:49.070]  Bro, they love that.
[01:13:49.070 --> 01:13:51.070]  Why do you have to say something so intelligent?
[01:13:51.070 --> 01:13:52.070]  Two thumbs up, two tears down.
[01:13:53.070 --> 01:13:54.070]  They really took that and ran with it.
[01:13:58.070 --> 01:14:00.070]  It takes a while to get through all the Terps.
[01:14:00.070 --> 01:14:01.070]  Yeah, absolutely.
[01:14:01.070 --> 01:14:03.070]  Pass some of these beautiful.
[01:14:03.070 --> 01:14:04.070]  Yeah, let's do it.
[01:14:04.070 --> 01:14:06.070]  We've been enjoying the strawberry guava.
[01:14:07.070 --> 01:14:10.070]  Definitely the glazed jelly and glazed cherries.
[01:14:10.070 --> 01:14:13.070]  We got a couple of glazed varieties, which is a glazed cherry.
[01:14:14.070 --> 01:14:18.070]  The Terps on some of these dragonfly jars are just incredible.
[01:14:18.070 --> 01:14:20.070]  And the star dog guava wookie.
[01:14:20.070 --> 01:14:21.070]  That one.
[01:14:21.070 --> 01:14:22.070]  By Homesteader.
[01:14:22.070 --> 01:14:23.070]  Super interesting.
[01:14:23.070 --> 01:14:25.070]  It's like really glossy on top.
[01:14:25.070 --> 01:14:26.070]  Yeah, yeah, yeah.
[01:14:26.070 --> 01:14:27.070]  There's a lot going on in there.
[01:14:27.070 --> 01:14:30.070]  And it has that kind of chem doggy kind of look.
[01:14:30.070 --> 01:14:34.070]  I didn't even go through all the jars last night, but I went back to that more than once.
[01:14:34.070 --> 01:14:35.070]  Yeah, yeah, try that one.
[01:14:35.070 --> 01:14:40.070]  And we got this strawberry short cookies from some family in BC.
[01:14:40.070 --> 01:14:41.070]  I haven't tasted that yesterday.
[01:14:41.070 --> 01:14:43.070]  Pemberton, Josh and Christy, bless up.
[01:14:46.070 --> 01:14:47.070]  And it's really good.
[01:14:47.070 --> 01:14:54.070]  We got this Acapulco gold, lamb's bread and violator.
[01:14:55.070 --> 01:14:57.070]  There was three different varieties.
[01:14:57.070 --> 01:14:59.070]  I think there was, I feel like there was one more.
[01:14:59.070 --> 01:15:02.070]  But anyway, so we brought the lamb's bread and the Acapulco gold.
[01:15:02.070 --> 01:15:10.070]  And it's really sweet because it really kind of took on the land racy varietal aspect of it.
[01:15:10.070 --> 01:15:12.070]  So this Acapulco gold, you can check it out.
[01:15:12.070 --> 01:15:26.070]  It has that kind of turpine lean, kind of lemony upper and kind of Acapulco gold vibration to it, which is nice.
[01:15:30.340 --> 01:15:32.340]  And go ahead.
[01:15:32.340 --> 01:15:35.340]  Oh, there's no, there's no.
[01:15:35.340 --> 01:15:36.340]  It is.
[01:15:36.340 --> 01:15:37.340]  Try one of these.
[01:15:37.340 --> 01:15:38.340]  What's up?
[01:15:38.340 --> 01:15:39.340]  Yeah.
[01:15:39.340 --> 01:15:40.340]  Yeah.
[01:15:41.340 --> 01:15:43.340]  And this guava punch, like, how are you doing?
[01:15:43.340 --> 01:15:46.340]  Like big up to Kush Kirk.
[01:15:47.340 --> 01:15:48.340]  Kelly's a flower girl.
[01:15:48.340 --> 01:15:51.340]  So and she so she's been in love in this glazed cherries flower.
[01:15:52.340 --> 01:15:53.340]  Right.
[01:15:53.340 --> 01:15:54.340]  Where are you going?
[01:15:56.340 --> 01:15:57.340]  Love you, Selena.
[01:15:57.340 --> 01:15:58.340]  Kelly.
[01:16:00.340 --> 01:16:02.340]  Zellie Mimosa, Tangy.
[01:16:04.340 --> 01:16:05.340]  Punch breath guava.
[01:16:07.340 --> 01:16:08.340]  Which came from Kush Kirk.
[01:16:08.340 --> 01:16:13.340]  Brandon, this punch breath guava, guava punch and punch breath.
[01:16:14.340 --> 01:16:15.340]  Yeah.
[01:16:15.340 --> 01:16:16.340]  Super sweet.
[01:16:16.340 --> 01:16:17.340]  Yeah.
[01:16:19.340 --> 01:16:27.340]  People give me hash and oil all the time, and then I often will bump into them later and they'll be like, hey, what did you think of that?
[01:16:27.340 --> 01:16:30.340]  And then I'm like, OK, if I'm honest, I'm a dick.
[01:16:31.340 --> 01:16:32.340]  If I'm so.
[01:16:32.340 --> 01:16:34.340]  But but then I'm like, where is interesting?
[01:16:35.340 --> 01:16:39.340]  But it also tells you your shit is interesting.
[01:16:40.340 --> 01:16:41.340]  I would never say your shit is bad.
[01:16:41.340 --> 01:16:42.340]  This is what I say.
[01:16:42.340 --> 01:16:47.340]  I say, listen, do you want me to blow smoke up your ass or do you want the Gordon Ramsay?
[01:16:48.340 --> 01:16:51.340]  And all of them have always pretty much requested the Gordon Ramsay.
[01:16:51.340 --> 01:16:54.340]  And that's generally when I'll be like, well, dude, it was like it wasn't good.
[01:16:54.340 --> 01:16:56.340]  Like it was the wax membrane was too thick.
[01:16:56.340 --> 01:16:57.340]  It was hot.
[01:16:57.340 --> 01:17:00.340]  Felt like it was grown with salts, like there was no terpene content.
[01:17:00.340 --> 01:17:03.340]  It was like it didn't stick to get like there's a you know.
[01:17:03.340 --> 01:17:06.340]  But the odd time I'll get something given to me that's spectacular.
[01:17:06.340 --> 01:17:12.340]  And he gave me some of that guava punch breath recently, maybe a week ago or something.
[01:17:12.340 --> 01:17:16.340]  His son was in the neighborhood and stopped by and I've been chuffing on that.
[01:17:16.340 --> 01:17:19.340]  I have it right here. I've been chuffing on that for like a week straight.
[01:17:20.340 --> 01:17:21.340]  I have all sorts of other stuff.
[01:17:21.340 --> 01:17:29.340]  So I'm shouting you out and letting everyone know that that is I mean, it's the nicest stuff you've ever put in my bowl, you know, and you put nice stuff in my bowl before.
[01:17:30.340 --> 01:17:31.340]  But this is the highest level.
[01:17:34.340 --> 01:17:40.340]  Definitely been bringing it up on the farm to the community and, you know, just being a part of everyone's world.
[01:17:40.340 --> 01:17:43.340]  And and even Gary's been making it for a long time.
[01:17:43.340 --> 01:17:49.340]  But, yeah, and and and it's showing up and, you know, it's the way we're growing it.
[01:17:49.340 --> 01:18:02.340]  It's our environment. It's also nice to you know, it's cool to see these strains in British Columbia, you know, and, you know, a lot of times strains get their names get changed when you get brought into the Canadian market.
[01:18:02.340 --> 01:18:05.340]  So that's kind of a bummer in my opinion.
[01:18:05.340 --> 01:18:11.340]  There's like a lot of people putting out like the SKUs in Canada only put out so many cookies, you know, so many of this, so many of that.
[01:18:11.340 --> 01:18:14.340]  And it's like you can't just be the 18th cookie on the roster.
[01:18:14.340 --> 01:18:22.340]  And even Marcus knows like it's weird when you start a company in Canada, you have to create a brand.
[01:18:23.340 --> 01:18:25.340]  And that brand is like I make hash.
[01:18:25.340 --> 01:18:29.340]  It's called so and so whatever name it is.
[01:18:29.340 --> 01:18:32.340]  And it's not even the name of the strain.
[01:18:32.340 --> 01:18:47.340]  So people are out here fighting for like, oh, I would love to have like the farm name, you know, put on there like who cultivated it like everyone, you know, in Oregon, California, it'd be like, you know, you want to see the farm and you know on the product.
[01:18:47.340 --> 01:18:53.340]  And up here in British Columbia, you don't even know what the strain is, for God's sakes, you know, because they change the name and stuff.
[01:18:54.340 --> 01:18:55.340]  So that's kind of weird.
[01:18:55.340 --> 01:19:03.340]  But, you know, since we do travel back and forth and we have a company and now we're dual citizens and we bring stuff.
[01:19:03.340 --> 01:19:06.340]  We haven't gone over the border in a while because, you know, we're humus beings.
[01:19:06.340 --> 01:19:11.340]  Yeah. And the border doesn't recognize humus beings at the moment.
[01:19:12.340 --> 01:19:19.340]  But, you know, we've just been putting it all into making soil and being on the land and just making this amazing product.
[01:19:20.340 --> 01:19:29.340]  You know, Drake and Tara Lee Live and everything that we've been, you know, that she's been up to, you know, people gathering every single day, you know, sharing information.
[01:19:29.340 --> 01:19:32.340]  So, you know, it's beautiful.
[01:19:32.340 --> 01:19:35.340]  We've been making these strains over all these years.
[01:19:35.340 --> 01:19:38.340]  We're on our 16th year on our property, you know.
[01:19:39.340 --> 01:19:40.340]  16 years.
[01:19:40.340 --> 01:19:41.340]  Yeah.
[01:19:41.340 --> 01:19:42.340]  Closed loop all the way?
[01:19:42.340 --> 01:19:43.340]  Oh, yeah.
[01:19:43.340 --> 01:19:44.340]  Oh, yeah.
[01:19:44.340 --> 01:19:46.340]  No, we've been growing closed loop like since the 90s.
[01:19:46.340 --> 01:19:49.340]  What is the most fucked up thing that happens?
[01:19:50.340 --> 01:19:52.340]  There's some challenges when you're out there in the Kootenays.
[01:19:53.340 --> 01:20:07.340]  When you grow out in like the bush or like on a nettle slide somewhere far away in the mountains, like if you don't have the right varietal, like you just won't get anything out of the off the hillside.
[01:20:07.340 --> 01:20:09.340]  Like it'll just be too cold.
[01:20:10.340 --> 01:20:16.340]  So either the plant won't progress and it won't make resin, it won't make flavor, it won't make terpenes.
[01:20:16.340 --> 01:20:21.340]  Maybe it won't make terpenes because cold nights don't let terpenes express.
[01:20:22.340 --> 01:20:25.340]  And cold nights come in like September 1st.
[01:20:25.340 --> 01:20:26.340]  Yeah.
[01:20:26.340 --> 01:20:28.340]  In the Kootenays, for sure.
[01:20:28.340 --> 01:20:30.340]  And cold nights, meaning.
[01:20:30.340 --> 01:20:31.340]  But it's weird.
[01:20:31.340 --> 01:20:37.340]  The outdoor varieties of the Kootenays like are British Columbia back in the day from like late 90s, early 2000s.
[01:20:37.340 --> 01:20:40.340]  Like in a way they thrive in the cold.
[01:20:40.340 --> 01:20:42.340]  That Stardog Wookie is super special.
[01:20:42.340 --> 01:20:43.340]  Right on.
[01:20:43.340 --> 01:20:45.340]  That Stardog Wookie is incredible.
[01:20:45.340 --> 01:20:46.340]  And I know there's guys.
[01:20:46.340 --> 01:20:48.340]  It's nice that it came from Bodie too.
[01:20:48.340 --> 01:20:49.340]  Yeah, yeah.
[01:20:49.340 --> 01:20:50.340]  Yeah.
[01:20:50.340 --> 01:20:52.340]  And I know there's guys, there's multiple guys like shout out Humphrey Ashish.
[01:20:52.340 --> 01:20:57.340]  He's also working with the Stardog and had some incredible stuff going with it.
[01:20:57.340 --> 01:20:59.340]  So it's a special plant.
[01:20:59.340 --> 01:21:05.340]  And I know that like a lot of stuff that Bodie has, but that and the 88 G13 hash plant.
[01:21:05.340 --> 01:21:06.340]  Yeah, we had that one.
[01:21:06.340 --> 01:21:07.340]  We grew that one.
[01:21:07.340 --> 01:21:08.340]  Super.
[01:21:08.340 --> 01:21:09.340]  Foolish.
[01:21:09.340 --> 01:21:17.340]  We had this one of those hash plant G13s that was super large bud, super airy with all the red hairs going up it.
[01:21:17.340 --> 01:21:20.340]  And it was just such an interesting flavor.
[01:21:22.340 --> 01:21:25.340]  And yeah, we had a bunch of varieties.
[01:21:25.340 --> 01:21:27.340]  Bodie gives us amazing seeds.
[01:21:27.340 --> 01:21:28.340]  We love you, Bodie.
