[00:00.570 --> 00:02.570]  And we are live.
[06:43:19.640 --> 06:43:21.640]  higher humidity
[06:43:21.640 --> 06:43:23.640]  when you're applying these types of
[06:43:23.640 --> 06:43:25.640]  things because again when you're talking about
[06:43:25.640 --> 06:43:27.640]  culturing microbes and having them be
[06:43:27.640 --> 06:43:29.640]  effective, when you're growing mushrooms
[06:43:29.640 --> 06:43:31.640]  you're usually growing in a pretty
[06:43:31.640 --> 06:43:33.640]  warm, humid environment
[06:43:33.640 --> 06:43:35.640]  and there's a reason
[06:43:35.640 --> 06:43:37.640]  your
[06:43:37.640 --> 06:43:39.640]  cultures, your bacteria
[06:43:39.640 --> 06:43:41.640]  and your microbes, they really
[06:43:41.640 --> 06:43:43.640]  really like warm, humid
[06:43:43.640 --> 06:43:45.640]  temperatures for a lot of these ones
[06:43:45.640 --> 06:43:47.640]  it's one of the reasons why
[06:43:47.640 --> 06:43:49.640]  VPD can also affect
[06:43:49.640 --> 06:43:51.640]  your nutrient cycling capacity
[06:43:51.640 --> 06:43:53.640]  of these soils
[06:43:53.640 --> 06:43:55.640]  but again sometimes
[06:43:55.640 --> 06:43:57.640]  a lot of varieties you can't take up
[06:43:57.640 --> 06:43:59.640]  those higher humid ranges
[06:43:59.640 --> 06:44:01.640]  without having
[06:44:01.640 --> 06:44:03.640]  possible
[06:44:03.640 --> 06:44:05.640]  issues
[06:44:05.640 --> 06:44:07.640]  you know
[06:44:07.640 --> 06:44:09.640]  one of the other things that I'm using
[06:44:09.640 --> 06:44:11.640]  is the Buvaria
[06:44:11.640 --> 06:44:13.640]  Blossiana, the BT Trichoderma
[06:44:13.640 --> 06:44:15.640]  the MicroPlus
[06:44:15.640 --> 06:44:17.640]  go ahead
[06:44:17.640 --> 06:44:19.640]  get into the VPD
[06:44:19.640 --> 06:44:21.640]  a little bit more, a lot of people
[06:44:21.640 --> 06:44:23.640]  you know kind of question
[06:44:23.640 --> 06:44:25.640]  what's really
[06:44:25.640 --> 06:44:27.640]  interesting is VPD actually
[06:44:27.640 --> 06:44:29.640]  affects calcium uptake
[06:44:29.640 --> 06:44:31.640]  and a lot of us are familiar with
[06:44:31.640 --> 06:44:33.640]  calcium, calcium is a major
[06:44:33.640 --> 06:44:35.640]  cation which means it has two bonding sites
[06:44:35.640 --> 06:44:37.640]  and it will bring in other nutrients
[06:44:37.640 --> 06:44:39.640]  with it
[06:44:39.640 --> 06:44:41.640]  we have
[06:44:41.640 --> 06:44:43.640]  okay
[06:44:43.640 --> 06:44:45.640]  this is one of the ways that I like to visualize
[06:44:45.640 --> 06:44:47.640]  like
[06:44:47.640 --> 06:44:49.640]  internal osmotic pressure
[06:44:49.640 --> 06:44:51.640]  within a plant but you know when you're
[06:44:51.640 --> 06:44:53.640]  a little kid and you have a juice box
[06:44:53.640 --> 06:44:55.640]  and you blow pressure into that
[06:44:55.640 --> 06:44:57.640]  juice box and as soon as you take pressure
[06:44:57.640 --> 06:44:59.640]  off of it, water comes
[06:44:59.640 --> 06:45:01.640]  out. I think of that straw as kind
[06:45:01.640 --> 06:45:03.640]  of like the opening of a stomata on
[06:45:03.640 --> 06:45:05.640]  a plant and once that pressure is released
[06:45:05.640 --> 06:45:07.640]  it's causing
[06:45:07.640 --> 06:45:09.640]  the transpiration of
[06:45:09.640 --> 06:45:11.640]  water
[06:45:11.640 --> 06:45:13.640]  when you have
[06:45:13.640 --> 06:45:15.640]  when you have
[06:45:15.640 --> 06:45:17.640]  an environment that's conducive
[06:45:17.640 --> 06:45:19.640]  that lets the plant
[06:45:19.640 --> 06:45:21.640]  transpire more
[06:45:21.640 --> 06:45:23.640]  it's going to be able to move more water
[06:45:23.640 --> 06:45:25.640]  essentially moving more nutrients into the
[06:45:25.640 --> 06:45:27.640]  cellular structures of the plant
[06:45:27.640 --> 06:45:29.640]  so that's kind of one
[06:45:29.640 --> 06:45:31.640]  of the ways that that works and calcium
[06:45:31.640 --> 06:45:33.640]  is one of those
[06:45:33.640 --> 06:45:35.640]  immobile nutrients
[06:45:35.640 --> 06:45:37.640]  so it won't translocate
[06:45:37.640 --> 06:45:39.640]  it will, what it will do is it will fill
[06:45:39.640 --> 06:45:41.640]  up the bottom
[06:45:41.640 --> 06:45:43.640]  requirements of the plant before
[06:45:43.640 --> 06:45:45.640]  it moves on so if you're deficient
[06:45:45.640 --> 06:45:47.640]  in calcium
[06:45:47.640 --> 06:45:49.640]  you'll usually see it
[06:45:49.640 --> 06:45:51.640]  at the tops because it's not
[06:45:51.640 --> 06:45:53.640]  a mobile nutrient
[06:45:53.640 --> 06:45:55.640]  and so it wants to
[06:45:55.640 --> 06:45:57.640]  you want to make sure that you have sufficiency
[06:45:57.640 --> 06:45:59.640]  and again BPD affects
[06:45:59.640 --> 06:46:01.640]  your microbes
[06:46:01.640 --> 06:46:03.640]  right, your climate
[06:46:03.640 --> 06:46:05.640]  as an organic grower
[06:46:05.640 --> 06:46:07.640]  you've seen how temperatures
[06:46:07.640 --> 06:46:09.640]  can affect the biology of the soil
[06:46:09.640 --> 06:46:11.640]  you can see how things speed up
[06:46:11.640 --> 06:46:13.640]  how things slow down, you can see how
[06:46:13.640 --> 06:46:15.640]  hydrology will
[06:46:15.640 --> 06:46:17.640]  do the same thing, springfield populations
[06:46:17.640 --> 06:46:19.640]  really explode when you have a lot of organic
[06:46:19.640 --> 06:46:21.640]  matter and it's hot and humid right
[06:46:21.640 --> 06:46:23.640]  you're getting a lot of
[06:46:23.640 --> 06:46:25.640]  other things that are happening that you might not be able
[06:46:25.640 --> 06:46:27.640]  to see as far as bacteria that
[06:46:27.640 --> 06:46:29.640]  is growing and when you're
[06:46:29.640 --> 06:46:31.640]  increasing the
[06:46:31.640 --> 06:46:33.640]  the
[06:46:33.640 --> 06:46:35.640]  the, or when
[06:46:35.640 --> 06:46:37.640]  you're getting an environment that's conducive
[06:46:37.640 --> 06:46:39.640]  for these microbes to culture
[06:46:39.640 --> 06:46:41.640]  you're culturing microbes in these systems right
[06:46:41.640 --> 06:46:43.640]  that's what we're doing essentially
[06:46:43.640 --> 06:46:45.640]  we're giving them complex carbohydrates
[06:46:45.640 --> 06:46:47.640]  we're giving them mineral nutrition
[06:46:47.640 --> 06:46:49.640]  we're giving them a plethora of different things
[06:46:49.640 --> 06:46:51.640]  to stimulate
[06:46:51.640 --> 06:46:53.640]  these different processes whether they're biological
[06:46:53.640 --> 06:46:55.640]  or chemical
[06:46:55.640 --> 06:46:57.640]  and so
[06:46:57.640 --> 06:46:59.640]  when you're increasing those things
[06:46:59.640 --> 06:47:01.640]  the temperature and humidity just like when you're culturing
[06:47:01.640 --> 06:47:03.640]  mushrooms that's how they grow
[06:47:03.640 --> 06:47:05.640]  and you'll have better
[06:47:05.640 --> 06:47:07.640]  phosphorus cycling
[06:47:07.640 --> 06:47:09.640]  because phosphorus cycles
[06:47:09.640 --> 06:47:11.640]  biologically. One thing
[06:47:11.640 --> 06:47:13.640]  you guys don't know a little bit about that
[06:47:13.640 --> 06:47:15.640]  is that phosphorus
[06:47:15.640 --> 06:47:17.640]  the main component is
[06:47:17.640 --> 06:47:19.640]  the reason why it's so important
[06:47:19.640 --> 06:47:21.640]  is because it creates ATP
[06:47:21.640 --> 06:47:23.640]  anhydride phosphate which is the energy
[06:47:23.640 --> 06:47:25.640]  exchange currency for all biological
[06:47:25.640 --> 06:47:27.640]  processes
[06:47:27.640 --> 06:47:29.640]  so three phosphate molecules they go through
[06:47:29.640 --> 06:47:31.640]  a cycle internally in these
[06:47:31.640 --> 06:47:33.640]  cellular machines where
[06:47:33.640 --> 06:47:35.640]  they are
[06:47:35.640 --> 06:47:37.640]  combined together and then broken
[06:47:37.640 --> 06:47:39.640]  apart and in doing that it releases energy
[06:47:39.640 --> 06:47:41.640]  and that energy is utilized
[06:47:41.640 --> 06:47:43.640]  for every single type of
[06:47:43.640 --> 06:47:45.640]  biological process that happens
[06:47:45.640 --> 06:47:47.640]  in plants. It's a little more complicated
[06:47:47.640 --> 06:47:49.640]  than that but I'm trying to
[06:47:49.640 --> 06:47:51.640]  simplify it. That's why
[06:47:51.640 --> 06:47:53.640]  trying to have adequate phosphorus
[06:47:53.640 --> 06:47:55.640]  in these soils is really really important
[06:47:55.640 --> 06:47:57.640]  that's one of the things that we see
[06:47:57.640 --> 06:47:59.640]  on the testing with these different
[06:47:59.640 --> 06:48:01.640]  biologicals is that ability
[06:48:01.640 --> 06:48:03.640]  to take even if you don't have a
[06:48:03.640 --> 06:48:05.640]  high amount of phosphorus
[06:48:05.640 --> 06:48:07.640]  in the soil
[06:48:07.640 --> 06:48:09.640]  you'll still have adequate
[06:48:09.640 --> 06:48:11.640]  phosphate as it falls in solution as it
[06:48:11.640 --> 06:48:13.640]  cycles. I think that has to do
[06:48:13.640 --> 06:48:15.640]  with two things though. It's not always just
[06:48:15.640 --> 06:48:17.640]  biology but you have to remember that the
[06:48:17.640 --> 06:48:19.640]  plant is going to
[06:48:19.640 --> 06:48:21.640]  always be releasing photosynthates
[06:48:21.640 --> 06:48:23.640]  and different
[06:48:23.640 --> 06:48:25.640]  entities in the soil to try to
[06:48:25.640 --> 06:48:27.640]  either reduce chemicals
[06:48:27.640 --> 06:48:29.640]  or to oxidize
[06:48:29.640 --> 06:48:31.640]  chemicals or to
[06:48:31.640 --> 06:48:33.640]  change pH ranges
[06:48:33.640 --> 06:48:35.640]  to get
[06:48:35.640 --> 06:48:37.640]  what it's after.
[06:48:37.640 --> 06:48:39.640]  One of those chemicals
[06:48:39.640 --> 06:48:41.640]  I'm sure
[06:48:41.640 --> 06:48:45.640]  I can't remember the name of that chemical compound
[06:48:45.640 --> 06:48:47.640]  but it's a
[06:48:47.640 --> 06:48:49.640]  phosphorus
[06:48:49.640 --> 06:48:51.640]  solubilizing it
[06:48:51.640 --> 06:48:53.640]  solubilizes phosphate from phosphorus
[06:48:53.640 --> 06:48:55.640]  and it does it really efficiently.
[06:48:55.640 --> 06:48:57.640]  That's the thing is if you have those types of
[06:48:57.640 --> 06:48:59.640]  relationships
[06:48:59.640 --> 06:49:01.640]  you're going to get the maximum benefit through
[06:49:01.640 --> 06:49:03.640]  the release of nutrition.
[06:49:08.520 --> 06:49:12.520]  Let me see if there's any questions.
[06:49:14.520 --> 06:49:16.520]  Peter are you there buddy?
[06:49:16.520 --> 06:49:21.450]  Hold on.
[06:49:21.450 --> 06:49:23.450]  Yeah hey I
[06:49:23.450 --> 06:49:25.450]  appreciate everybody that came out today
[06:49:25.450 --> 06:49:27.450]  and you know we were talking
[06:49:27.450 --> 06:49:29.450]  a little bit earlier about community.
[06:49:29.450 --> 06:49:31.450]  There wasn't
[06:49:31.450 --> 06:49:33.450]  a huge
[06:49:33.450 --> 06:49:35.450]  open community in the places that
[06:49:35.450 --> 06:49:37.450]  I come from, the plants that I come from
[06:49:37.450 --> 06:49:39.450]  so being able to
[06:49:39.450 --> 06:49:41.450]  stand up here and share
[06:49:41.450 --> 06:49:43.450]  my experiences with everybody
[06:49:43.450 --> 06:49:45.450]  it's both humbling and
[06:49:45.450 --> 06:49:47.450]  I'm still kind of shocked that people
[06:49:47.450 --> 06:49:49.450]  want to listen to me talk.
[06:49:57.450 --> 06:49:59.450]  We all collectively have to
[06:49:59.450 --> 06:50:01.450]  understand that if we want to
[06:50:01.450 --> 06:50:03.450]  maintain
[06:50:03.450 --> 06:50:05.450]  control of the
[06:50:05.450 --> 06:50:07.450]  industry and business
[06:50:07.450 --> 06:50:09.450]  it takes a
[06:50:09.450 --> 06:50:11.450]  collective effort to
[06:50:11.450 --> 06:50:13.450]  do the education
[06:50:13.450 --> 06:50:15.450]  not just educating each other but
[06:50:15.450 --> 06:50:17.450]  we got to get like legal
[06:50:17.450 --> 06:50:19.450]  teams and we got to educate
[06:50:19.450 --> 06:50:21.450]  the people who are making laws and
[06:50:21.450 --> 06:50:23.450]  help them understand because
[06:50:23.450 --> 06:50:25.450]  I mean
[06:50:25.450 --> 06:50:27.450]  I've just been growing
[06:50:27.450 --> 06:50:29.450]  wheat for a long time and I guess I've just
[06:50:29.450 --> 06:50:31.450]  kind of tried to take the responsibility on
[06:50:31.450 --> 06:50:33.450]  to showcase kind of what I'm doing
[06:50:33.450 --> 06:50:35.450]  and say hey there's a better way
[06:50:35.450 --> 06:50:37.450]  to do things and there's a lot
[06:50:37.450 --> 06:50:39.450]  of misinformation that you know I
[06:50:39.450 --> 06:50:41.450]  follow and it's up to the community
[06:50:41.450 --> 06:50:43.450]  to educate each other but really
[06:50:43.450 --> 06:50:45.450]  I want to keep doing this. I don't want to like
[06:50:45.450 --> 06:50:47.450]  stop growing
[06:50:47.450 --> 06:50:49.450]  not just the plant
[06:50:49.450 --> 06:50:51.450]  but as a person and
[06:50:51.450 --> 06:50:53.450]  as an educator
[06:50:53.450 --> 06:50:55.450]  so I
[06:50:55.450 --> 06:50:57.450]  just don't see
[06:50:57.450 --> 06:50:59.450]  there being
[06:50:59.450 --> 06:51:01.450]  a future if we can't all collectively
[06:51:01.450 --> 06:51:03.450]  come together to help stop a lot
[06:51:03.450 --> 06:51:05.450]  of the
[06:51:05.450 --> 06:51:07.450]  bullshit madness you know
[06:51:07.450 --> 06:51:09.450]  when someone comes in and tries to
[06:51:09.450 --> 06:51:11.450]  raise higher taxes or
[06:51:11.450 --> 06:51:13.450]  try to put limitations on
[06:51:13.450 --> 06:51:15.450]  how we're allowed to
[06:51:15.450 --> 06:51:17.450]  operate. It's us to come
[06:51:17.450 --> 06:51:19.450]  together to try to create
[06:51:19.450 --> 06:51:21.450]  organizations and to get
[06:51:21.450 --> 06:51:23.450]  legal counsel for each other
[06:51:23.450 --> 06:51:25.450]  to push back
[06:51:25.450 --> 06:51:27.450]  because I
[06:51:27.450 --> 06:51:29.450]  I mean the only
[06:51:29.450 --> 06:51:31.450]  reason I'm standing here in front of you guys right
[06:51:31.450 --> 06:51:33.450]  now is because I moved out here to Oklahoma
[06:51:33.450 --> 06:51:35.450]  I would have never
[06:51:35.450 --> 06:51:37.450]  ever in my wildest dreams
[06:51:37.450 --> 06:51:39.450]  I don't think been able to
[06:51:39.450 --> 06:51:41.450]  operate in California because of
[06:51:41.450 --> 06:51:43.450]  my past, my background
[06:51:43.450 --> 06:51:45.450]  and because of the way the legislation
[06:51:45.450 --> 06:51:47.450]  is written out. You know I know
[06:51:47.450 --> 06:51:49.450]  so many people all over the country
[06:51:49.450 --> 06:51:51.450]  that are looking at
[06:51:51.450 --> 06:51:53.450]  Oklahoma and the people and the businesses
[06:51:53.450 --> 06:51:55.450]  and what people are doing here and we have
[06:51:55.450 --> 06:51:57.450]  a real opportunity. We have a real opportunity
[06:51:57.450 --> 06:51:59.450]  to showcase like
[06:51:59.450 --> 06:52:01.450]  how we can do things grass roots
[06:52:01.450 --> 06:52:03.450]  without having huge corporations come in here
[06:52:03.450 --> 06:52:05.450]  and fuck everything up. Because
[06:52:05.450 --> 06:52:07.450]  dude I want to do this forever dude and
[06:52:07.450 --> 06:52:09.450]  we can all eat like everybody can eat
[06:52:09.450 --> 06:52:11.450]  you know there's a lot of licenses
[06:52:11.450 --> 06:52:13.450]  yeah but guess what all those licenses
[06:52:13.450 --> 06:52:15.450]  all those people can make money when they
[06:52:15.450 --> 06:52:17.450]  open up other states and stop
[06:52:17.450 --> 06:52:19.450]  you know it's like
[06:52:19.450 --> 06:52:21.450]  I keep hearing things about
[06:52:21.450 --> 06:52:23.450]  like oh there's so much competition
[06:52:23.450 --> 06:52:25.450]  and like it's like yeah there might be
[06:52:25.450 --> 06:52:27.450]  a lot of people that are entering into this
[06:52:27.450 --> 06:52:29.450]  but we can all collectively
[06:52:29.450 --> 06:52:31.450]  participate because
[06:52:31.450 --> 06:52:33.450]  we're all small craft
[06:52:33.450 --> 06:52:35.450]  growers right we're not
[06:52:35.450 --> 06:52:37.450]  huge corporations that can just hemorrhage
[06:52:37.450 --> 06:52:39.450]  money for years and we don't want
[06:52:39.450 --> 06:52:41.450]  that here you know because we see what it's
[06:52:41.450 --> 06:52:43.450]  done to
[06:52:43.450 --> 06:52:45.450]  the industry everywhere else
[06:52:45.450 --> 06:52:47.450]  and Oklahoma I've been here
[06:52:47.450 --> 06:52:49.450]  for two years now
[06:52:49.450 --> 06:52:51.450]  and I've seen
[06:52:51.450 --> 06:52:53.450]  it grow exponentially
[06:52:53.450 --> 06:52:55.450]  and people don't understand
[06:52:55.450 --> 06:52:57.450]  it's not just because
[06:52:57.450 --> 06:52:59.450]  of candidates it's because
[06:52:59.450 --> 06:53:01.450]  other people who are outside of Canada can come
[06:53:01.450 --> 06:53:03.450]  here and make a living because of the economic
[06:53:03.450 --> 06:53:05.450]  impact that Canada has brought
[06:53:05.450 --> 06:53:07.450]  all the ancillary businesses
[06:53:07.450 --> 06:53:09.450]  are all affected and I say this
[06:53:09.450 --> 06:53:11.450]  all the Honda people
[06:53:11.450 --> 06:53:13.450]  the HVAC guys the realtors
[06:53:13.450 --> 06:53:15.450]  the guys that are building soil
[06:53:15.450 --> 06:53:17.450]  the hydro shops there's so
[06:53:17.450 --> 06:53:19.450]  many different aspects in this community
[06:53:19.450 --> 06:53:21.450]  and then when people make money
[06:53:21.450 --> 06:53:23.450]  you know we go out to the
[06:53:23.450 --> 06:53:25.450]  to the restaurants you know
[06:53:25.450 --> 06:53:27.450]  we go and put money back into the economy
[06:53:27.450 --> 06:53:29.450]  and
[06:53:29.450 --> 06:53:31.450]  when you have companies
[06:53:31.450 --> 06:53:33.450]  come from
[06:53:33.450 --> 06:53:35.450]  that come from corporate interests
[06:53:35.450 --> 06:53:37.450]  come from like big money
[06:53:37.450 --> 06:53:39.450]  and they come from out of state
[06:53:39.450 --> 06:53:41.450]  they pay people shit wages
[06:53:41.450 --> 06:53:43.450]  you know
[06:53:43.450 --> 06:53:45.450]  and don't get me wrong dude
[06:53:45.450 --> 06:53:47.450]  I don't have I can't pay I can't afford
[06:53:47.450 --> 06:53:49.450]  to pay people a whole lot right now
[06:53:49.450 --> 06:53:51.450]  but at least we generate jobs and we try
[06:53:51.450 --> 06:53:53.450]  to do what we can for our people you know
[06:53:53.450 --> 06:53:55.450]  try to keep it chill
[06:53:55.450 --> 06:53:57.450]  and that's not
[06:53:57.450 --> 06:53:59.450]  really a concern for a lot of these companies
[06:53:59.450 --> 06:54:01.450]  it's the bottom the bottom line
[06:54:01.450 --> 06:54:03.450]  and
[06:54:03.450 --> 06:54:05.450]  you know I want to see
[06:54:05.450 --> 06:54:07.450]  I want to see Oklahoma continue
[06:54:07.450 --> 06:54:09.450]  to
[06:54:09.450 --> 06:54:11.450]  continue to prosper and
[06:54:11.450 --> 06:54:13.450]  the only way that we can do that is if we
[06:54:13.450 --> 06:54:15.450]  collectively come together do things
[06:54:15.450 --> 06:54:17.450]  meet each other you know
[06:54:17.450 --> 06:54:19.450]  and then start with those
[06:54:19.450 --> 06:54:21.450]  you know building up
[06:54:21.450 --> 06:54:23.450]  you know education
[06:54:23.450 --> 06:54:25.450]  building up the legal side of things
[06:54:25.450 --> 06:54:27.450]  like say you know we need to collectively
[06:54:27.450 --> 06:54:29.450]  know when things are happening you know
[06:54:29.450 --> 06:54:31.450]  people have to be informed
[06:54:31.450 --> 06:54:33.450]  about changes that are happening
[06:54:33.450 --> 06:54:35.450]  so we can say hey we don't like this
[06:54:35.450 --> 06:54:37.450]  we think you know like how many times have they
[06:54:37.450 --> 06:54:39.450]  tried to change daily style
[06:54:39.450 --> 06:54:41.450]  dispensaries you know
[06:54:41.450 --> 06:54:43.450]  obviously people want to see the medicine they want
[06:54:43.450 --> 06:54:45.450]  to smell the medicine how can you really be a good judge
[06:54:45.450 --> 06:54:47.450]  of what you're about to consume
[06:54:47.450 --> 06:54:49.450]  if you can't like have the experience
[06:54:49.450 --> 06:54:51.450]  and a lot of this was you know
[06:54:51.450 --> 06:54:53.450]  I don't think a lot of new people
[06:54:53.450 --> 06:54:55.450]  who may be in California are going to get
[06:54:55.450 --> 06:54:57.450]  the experience that we had
[06:54:57.450 --> 06:54:59.450]  back in the day when we got going to the
[06:54:59.450 --> 06:55:01.450]  medical shops we got to
[06:55:01.450 --> 06:55:03.450]  you know we could smell 10 different
[06:55:03.450 --> 06:55:05.450]  jars and kind of see what
[06:55:05.450 --> 06:55:07.450]  fit us so I want to keep it like
[06:55:07.450 --> 06:55:09.450]  that and you know
[06:55:09.450 --> 06:55:11.450]  I think that even though we have a lot of license I think
[06:55:11.450 --> 06:55:13.450]  that once Oklahoma opens up
[06:55:13.450 --> 06:55:15.450]  for export
[06:55:15.450 --> 06:55:17.450]  export to other states
[06:55:17.450 --> 06:55:19.450]  especially into new the emerging markets
[06:55:19.450 --> 06:55:21.450]  Texas you know
[06:55:21.450 --> 06:55:23.450]  for instance Arkansas
[06:55:23.450 --> 06:55:25.450]  Kansas
[06:55:25.450 --> 06:55:27.450]  you know if we can get
[06:55:27.450 --> 06:55:29.450]  sensible legislation in place
[06:55:29.450 --> 06:55:31.450]  and we can export product that will really
[06:55:31.450 --> 06:55:33.450]  boom the economy
[06:55:33.450 --> 06:55:35.450]  out here and you can see a lot
[06:55:35.450 --> 06:55:37.450]  of people prosper and just continue
[06:55:37.450 --> 06:55:39.450]  to see economic growth but it really takes
[06:55:39.450 --> 06:55:41.450]  again it takes community to be able to
[06:55:41.450 --> 06:55:43.450]  go in those types of
[06:55:43.450 --> 06:55:46.850]  directions
[06:55:46.850 --> 06:55:48.850]  Peter
[06:55:48.850 --> 06:55:50.850]  excuse me Peter we got a professor
[06:55:50.850 --> 06:55:52.850]  Blonstash in the house and he had a question
[06:55:52.850 --> 06:55:54.850]  so I just wanted to give him a quick shout out
[06:55:54.850 --> 06:55:56.850]  and let him ask his question
[06:55:56.850 --> 06:56:01.470]  Oh yeah what's up buddy
[06:56:01.470 --> 06:56:03.470]  What up? Hey I want to get back
[06:56:03.470 --> 06:56:05.470]  to the science for a quick second
[06:56:05.470 --> 06:56:07.470]  Yeah and you mentioned hydrology
[06:56:07.470 --> 06:56:09.470]  Yeah and I've been
[06:56:09.470 --> 06:56:11.470]  finding doing tasks with hydrology
[06:56:11.470 --> 06:56:13.470]  that the nutrients
[06:56:13.470 --> 06:56:15.470]  will not cycle the same
[06:56:15.470 --> 06:56:17.470]  for example running 70 mill bars
[06:56:17.470 --> 06:56:19.470]  and trying to keep that consistent
[06:56:19.470 --> 06:56:21.470]  and running another one at 100
[06:56:21.470 --> 06:56:23.470]  and of course the cold war has to do with it
[06:56:23.470 --> 06:56:25.470]  so have you done any data points
[06:56:25.470 --> 06:56:27.470]  with some of the hydrology
[06:56:27.470 --> 06:56:29.470]  and things like that? So right now
[06:56:29.470 --> 06:56:31.470]  we are still hand watering
[06:56:31.470 --> 06:56:33.470]  because we don't
[06:56:33.470 --> 06:56:35.470]  have a bump map system set up
[06:56:35.470 --> 06:56:37.470]  or we plan on doing that
[06:56:37.470 --> 06:56:39.470]  and that's one of the things that
[06:56:39.470 --> 06:56:41.470]  you know we'll be looking at
[06:56:41.470 --> 06:56:43.470]  however you know we
[06:56:43.470 --> 06:56:45.470]  we
[06:56:45.470 --> 06:56:47.470]  it's going to be hard
[06:56:47.470 --> 06:56:49.470]  to gauge I guess
[06:56:49.470 --> 06:56:51.470]  because we're going to have to set up
[06:56:51.470 --> 06:56:53.470]  and then we'll take a little bit of
[06:56:53.470 --> 06:56:55.470]  experimenting so we'll have to run
[06:56:55.470 --> 06:56:57.470]  you know
[06:56:57.470 --> 06:56:59.470]  the beds at a certain
[06:56:59.470 --> 06:57:01.470]  m bar through a whole cycle
[06:57:01.470 --> 06:57:03.470]  do a whole cycle of testing and then
[06:57:03.470 --> 06:57:05.470]  we'll have to go through and run
[06:57:05.470 --> 06:57:07.470]  at a different m bar to see what's available
[06:57:07.470 --> 06:57:09.470]  again you know I think it also has to do too
[06:57:09.470 --> 06:57:11.470]  with you know your water temp
[06:57:11.470 --> 06:57:13.470]  is going to play a lot to do
[06:57:13.470 --> 06:57:15.470]  with that because you know
[06:57:15.470 --> 06:57:17.470]  colder water will hold more oxygen
[06:57:17.470 --> 06:57:19.470]  which essentially means
[06:57:19.470 --> 06:57:21.470]  more hydrogen in solution
[06:57:21.470 --> 06:57:23.470]  and hydrogen is kind of
[06:57:23.470 --> 06:57:25.470]  you know
[06:57:25.470 --> 06:57:27.470]  important that's going to play a role
[06:57:27.470 --> 06:57:29.470]  in your pH
[06:57:29.470 --> 06:57:31.470]  again pH is going to be a factor
[06:57:31.470 --> 06:57:33.470]  but I just haven't
[06:57:33.470 --> 06:57:35.470]  I just don't have any data on that stuff
[06:57:35.470 --> 06:57:37.470]  right now you know
[06:57:37.470 --> 06:57:39.470]  but I see you know people who increase their yields
[06:57:39.470 --> 06:57:41.470]  when they're running
[06:57:41.470 --> 06:57:43.470]  a consistent moisture level
[06:57:43.470 --> 06:57:45.470]  throughout but I also
[06:57:45.470 --> 06:57:47.470]  you know there's also people who are doing
[06:57:47.470 --> 06:57:49.470]  their dry backs and stuff which I understand the concept
[06:57:49.470 --> 06:57:51.470]  of that too is you know once you're
[06:57:51.470 --> 06:57:53.470]  taking water out of that system
[06:57:53.470 --> 06:57:55.470]  you're leaving more of the hydrogen
[06:57:55.470 --> 06:57:57.470]  so there's more
[06:57:57.470 --> 06:57:59.470]  there's a higher cation exchange
[06:57:59.470 --> 06:58:01.470]  in that soil as the
[06:58:01.470 --> 06:58:03.470]  soil dries out but
[06:58:03.470 --> 06:58:05.470]  the thing is you need that water as well
[06:58:05.470 --> 06:58:07.470]  to be able to transport that
[06:58:07.470 --> 06:58:09.470]  so you have to have a happy medium
[06:58:11.470 --> 06:58:13.470]  so I'm willing to bet though
[06:58:15.470 --> 06:58:17.470]  that just
[06:58:17.470 --> 06:58:19.470]  because I'm thinking about it I'm willing to bet
[06:58:19.470 --> 06:58:21.470]  that
[06:58:21.470 --> 06:58:23.470]  that
[06:58:23.470 --> 06:58:25.470]  the PPMs
[06:58:25.470 --> 06:58:27.470]  of your soluble
[06:58:27.470 --> 06:58:29.470]  salts will play
[06:58:29.470 --> 06:58:31.470]  a huge role with your hydrology
[06:58:31.470 --> 06:58:33.470]  they'll play in tandem like
[06:58:33.470 --> 06:58:35.470]  if you have
[06:58:35.470 --> 06:58:37.470]  less
[06:58:37.470 --> 06:58:39.470]  water higher
[06:58:39.470 --> 06:58:41.470]  PPMs soluble salts
[06:58:41.470 --> 06:58:43.470]  you'll have a different effect if you add
[06:58:43.470 --> 06:58:45.470]  lower
[06:58:45.470 --> 06:58:47.470]  PPMs with
[06:58:47.470 --> 06:58:49.470]  you know lower water or more water
[06:58:49.470 --> 06:58:51.470]  I think that's going to play a different effect but again
[06:58:51.470 --> 06:58:53.470]  all these things are things that
[06:58:53.470 --> 06:58:55.470]  I'm trying to find out on data
[06:58:55.470 --> 06:58:57.470]  I have like my experiment box
[06:58:57.470 --> 06:58:59.470]  so I can see what's
[06:58:59.470 --> 06:59:01.470]  happening because it's
[06:59:01.470 --> 06:59:03.470]  a lot of information
[06:59:03.470 --> 06:59:05.470]  to look through
[06:59:05.470 --> 06:59:07.470]  really. I mean when you start
[06:59:07.470 --> 06:59:09.470]  thinking about trying to get
[06:59:09.470 --> 06:59:11.470]  all these data points I mean I used a couple
[06:59:11.470 --> 06:59:13.470]  different instruments I'm going to be honest
[06:59:13.470 --> 06:59:15.470]  the blue mat is plus or minus 10%
[06:59:15.470 --> 06:59:17.470]  20% all day I mean it's
[06:59:17.470 --> 06:59:19.470]  often the case but. Yeah I don't recommend
[06:59:19.470 --> 06:59:21.470]  I don't oh
[06:59:21.470 --> 06:59:23.470]  just the meter
[06:59:23.470 --> 06:59:25.470]  yeah the meter. The
