[00:01.340 --> 00:09.940]  Welcome, everybody, to episode 16 of the James Loud Show. Today's special guest is James
[01:47:35.960 --> 01:47:40.960]  Wait, did he smile about not paying employees? That's great.
[01:47:42.960 --> 01:47:45.960]  Okay, let me justify that statement. Okay.
[01:47:46.960 --> 01:47:52.960]  Okay. I work with groups with 250 employees.
[01:47:53.960 --> 01:48:00.960]  Okay. And those employees that do certain tasks have a thing called human error.
[01:48:01.960 --> 01:48:05.960]  And they have a thing called inconsistently caused by human error.
[01:48:05.960 --> 01:48:18.960]  When you have 250 employees, and you can ensure that your entire room is getting the right spray at the right time and the full magnitude, and it's all uniform.
[01:48:19.960 --> 01:48:21.960]  That's something you just can't attain with humans.
[01:48:22.960 --> 01:48:37.960]  And so if I can utilize that system and get the best result, and then use those resources elsewhere, those human resources, right?
[01:48:38.960 --> 01:48:45.960]  Those hands elsewhere in places where computers can't go, then we're just opening it up further.
[01:48:46.960 --> 01:48:54.960]  Or even better yet, take that grower who was spraying plants all day and I put a robot out there. Now I made him a manager. I paid him more.
[01:48:55.960 --> 01:49:02.960]  You know, it's like, you just got to look at it that way. We don't let people go in cannabis industry. You just move them around, man.
[01:49:03.960 --> 01:49:05.960]  You'd be crazy to fire a good employee.
[01:49:06.960 --> 01:49:12.960]  It's more like putting them in the right place and then knowing that maybe these robots can handle that greenhouse.
[01:49:13.960 --> 01:49:19.960]  But I need a good eye on my clone systems, which can't be automated over here.
[01:49:24.930 --> 01:49:25.930]  Nice.
[01:49:26.930 --> 01:49:29.930]  So who else did James offend in the two minutes I was gone?
[01:49:30.930 --> 01:49:33.930]  A whole bunch of people. He's getting rid of employees.
[01:49:34.930 --> 01:49:36.930]  He hates K&F.
[01:49:37.930 --> 01:49:41.930]  He's like, universal basic income for all the employees. It's okay.
[01:49:43.930 --> 01:49:49.930]  Jeff Bezos of Weed got it. No, that's not how James is. James is a good guy.
[01:49:50.930 --> 01:49:51.930]  Is anything wrong with Jeff Bezos?
[01:49:52.930 --> 01:49:55.930]  Well, obviously, look at my office. I mean, come on. I'm not Jeff Bezos.
[01:49:57.930 --> 01:50:02.930]  I was admiring the non-dead poster side of your background.
[01:50:03.930 --> 01:50:05.930]  Are you a hoarder?
[01:50:05.930 --> 01:50:07.930]  Yeah, he's on the next episode, actually.
[01:50:08.930 --> 01:50:13.930]  You want to know the truth is I live in a new place every two years and have done that since I was 17.
[01:50:14.930 --> 01:50:18.930]  So in the end, it's not hoarding. It's just I'm not using it right now.
[01:50:21.930 --> 01:50:23.930]  Yeah, someone wants to buy one of the strollers.
[01:50:26.930 --> 01:50:30.930]  Yeah, we could eBay off. We could do a live auction.
[01:50:31.930 --> 01:50:32.930]  We've done this before.
[01:50:32.930 --> 01:50:34.930]  We could get the kids to do it. I'll put the kid in the stroller.
[01:50:39.930 --> 01:50:44.930]  So Marlon is not coming on it looks like right now. He's busy.
[01:50:45.930 --> 01:50:47.930]  And so we're going to do some giveaways.
[01:50:48.930 --> 01:50:53.930]  And we're going to use some technical questions from Mr. James rushing to give away some seeds.
[01:50:55.930 --> 01:51:00.930]  So we're going to have a Gaja Pharmacy. We're going to do the Ja Fata, a 10-pack of Ja Fata.
[01:51:01.930 --> 01:51:03.930]  And James, you got a good question for me here?
[01:51:04.930 --> 01:51:05.930]  All right.
[01:51:07.930 --> 01:51:10.930]  Can someone describe what systemic acquired resistance is?
[01:51:14.840 --> 01:51:16.840]  Systemic acquired resistance.
[01:51:17.840 --> 01:51:19.840]  People are furiously pecking on there.
[01:51:21.840 --> 01:51:24.840]  If they can't figure that out, we'll just have to go down to what is systemic.
[01:51:25.840 --> 01:51:26.840]  We can go there.
[01:51:29.840 --> 01:51:30.840]  Any answers?
[01:51:34.820 --> 01:51:35.820]  They're about to come in.
[01:51:42.230 --> 01:51:43.230]  Can you see the chat?
[01:51:44.230 --> 01:51:47.230]  When food is unavailable, but the means are there to make food.
[01:51:48.230 --> 01:51:49.230]  No.
[01:51:50.230 --> 01:51:52.230]  Natural building of the immune system.
[01:51:53.230 --> 01:51:54.230]  Yes.
[01:51:55.230 --> 01:51:56.230]  Okay, let's see.
[01:51:57.230 --> 01:51:58.230]  Systemic acquired resistance.
[01:51:59.230 --> 01:52:02.230]  That's a Marion. There we go.
[01:52:03.230 --> 01:52:04.230]  All right.
[01:52:04.230 --> 01:52:16.230]  That's very general, but what it essentially is, is it's when something causes a plant to think that it is sick.
[01:52:18.230 --> 01:52:26.230]  It is being attacked by a pigeon, and it sends out its defenses to combat that pathogen.
[01:52:27.230 --> 01:52:38.230]  Now, I can put things on a plant like venerate, and that will cause the plant to think that it's being attacked.
[01:52:39.230 --> 01:52:41.230]  It will increase its cuticle layer on the leaves.
[01:52:42.230 --> 01:52:46.230]  It will cause girth growth in the stems and stalks.
[01:52:47.230 --> 01:52:54.230]  It will enable stomata opening and closing to be faster in response to respiration.
[01:52:55.230 --> 01:53:02.230]  And so, it's essentially, it's like getting immune shot in the arm for the measles.
[01:53:03.230 --> 01:53:10.230]  Your body thinks you have the measles, you bring up that immunity or those antibodies for that very similar process.
[01:53:11.230 --> 01:53:12.230]  Good job.
[01:53:13.230 --> 01:53:14.230]  Good question.
[01:53:14.230 --> 01:53:17.230]  That's better than most of the questions we ask people.
[01:53:18.230 --> 01:53:22.230]  Yeah, you're going to email Jamesloudgenetics at gmail.com for your seed pack.
[01:53:23.230 --> 01:53:26.230]  And we need question number two.
[01:53:27.230 --> 01:53:29.230]  We're going to give away loud jelly beans.
[01:53:30.230 --> 01:53:31.230]  One pack of loud jelly beans.
[01:53:32.230 --> 01:53:33.230]  Can I win those?
[01:53:34.230 --> 01:53:35.230]  I'll send you some anyway, yeah.
[01:53:36.230 --> 01:53:40.230]  That's a Candyland times OG, or Candyland times Gelato 41.
[01:53:41.230 --> 01:53:42.230]  Let's see.
[01:53:42.230 --> 01:53:43.230]  Let's see.
[01:53:45.230 --> 01:53:48.230]  Guess they have one of my, let's see, let's do a...
[01:53:53.630 --> 01:53:56.630]  Which one goes inside of the plant?
[01:53:57.630 --> 01:53:59.630]  Endomycorrhizae or ectomycorrhizae?
[01:54:00.630 --> 01:54:01.630]  Go.
[01:54:02.630 --> 01:54:03.630]  And why?
[01:54:04.630 --> 01:54:05.630]  Let's do either.
[01:54:18.270 --> 01:54:19.270]  We got, oh, sorry.
[01:54:20.270 --> 01:54:21.270]  I keep...
[01:54:23.270 --> 01:54:25.270]  Endomycorrhizae, there's no...
[01:54:26.270 --> 01:54:27.270]  Yeah, where was the first one though?
[01:54:28.270 --> 01:54:29.270]  Because that's how it's absorbed.
[01:54:33.720 --> 01:54:35.720]  Yeah, so this would just be a partial answer.
[01:54:36.720 --> 01:54:37.720]  The first person to say endo.
[01:54:38.720 --> 01:54:39.720]  I think that's fair.
[01:54:40.720 --> 01:54:41.720]  Quick to the draw.
[01:54:42.720 --> 01:54:43.720]  Yeah, yeah.
[01:54:44.720 --> 01:54:45.720]  And then the explanation part.
[01:54:46.720 --> 01:54:47.720]  Where does that start?
[01:54:51.010 --> 01:54:54.010]  God, trying to have, I'm like squinting trying to see all that.
[01:54:55.010 --> 01:54:57.010]  Where the lipid layer engulfs an external thing.
[01:55:00.010 --> 01:55:01.010]  Yeah, that's nailed it.
[01:55:05.010 --> 01:55:06.010]  To transfer shit.
[01:55:07.010 --> 01:55:08.010]  That's another answer.
[01:55:10.010 --> 01:55:11.010]  Let's see.
[01:55:12.010 --> 01:55:13.010]  Is that accurate?
[01:55:14.010 --> 01:55:15.010]  All right, we can do this.
[01:55:16.010 --> 01:55:17.010]  We can change the question.
[01:55:18.010 --> 01:55:19.010]  Yeah, yeah.
[01:55:21.010 --> 01:55:24.010]  All right, in an endomycorrhizae situation,
[01:55:27.010 --> 01:55:30.010]  what is the name of the organelle that pierces the plant?
[01:55:32.010 --> 01:55:33.010]  Nice.
[01:55:34.010 --> 01:55:36.010]  What is the name of the organelle that, on a fungi,
[01:55:37.010 --> 01:55:38.010]  So one word answer.
[01:55:39.010 --> 01:55:46.000]  They're still answering endo.
[01:55:48.000 --> 01:55:49.000]  You might have to look that up.
[01:55:51.400 --> 01:55:53.400]  Stipule is the first answer.
[01:55:53.400 --> 01:55:54.400]  I know, sorry.
[01:55:55.400 --> 01:55:57.400]  Now, before, Jesus, these things blow by me.
[01:55:58.400 --> 01:55:59.400]  Proviscus.
[01:56:00.400 --> 01:56:03.400]  Proviscus is the part that goes into the plant on a insect on his nose.
[01:56:04.400 --> 01:56:05.400]  Tendril?
[01:56:06.400 --> 01:56:07.400]  Tendril, no.
[01:56:08.400 --> 01:56:09.400]  Hyphae?
[01:56:10.400 --> 01:56:12.400]  Hyphae is what goes into the plant.
[01:56:15.400 --> 01:56:16.400]  The penis.
[01:56:17.400 --> 01:56:18.400]  I would go with that one.
[01:56:19.400 --> 01:56:20.400]  Wait, is that actually right?
[01:56:21.400 --> 01:56:22.400]  No.
[01:56:24.400 --> 01:56:27.400]  I was like, I didn't put that one up because it's obviously not right.
[01:56:28.400 --> 01:56:29.400]  And then you're like, that's the answer.
[01:56:30.400 --> 01:56:31.400]  All right, I'll give you a hint.
[01:56:32.400 --> 01:56:33.400]  It starts with an H.
[01:56:34.400 --> 01:56:35.400]  And it's not hyphae.
[01:56:36.400 --> 01:56:37.400]  No.
[01:56:39.400 --> 01:56:40.400]  It's a vocabulary session.
[01:56:41.400 --> 01:56:42.400]  Yeah, seriously.
[01:56:45.400 --> 01:56:46.400]  Someone asked for the question again.
[01:56:47.400 --> 01:56:51.400]  What is the name of the organelle that pierces into a plant?
[01:56:51.400 --> 01:56:52.400]  On a fungi.
[01:56:53.400 --> 01:56:54.400]  On a fungi.
[01:56:55.400 --> 01:56:56.400]  What is the organelle that pierces into a plant?
[01:56:57.400 --> 01:57:05.400]  Like in an endo mycorrhizae, as it goes into the plant and sets up shop on the inside of the actual structure of the root.
[01:57:06.400 --> 01:57:08.400]  It uses a special organelle.
[01:57:09.400 --> 01:57:11.400]  Yes, the Haustoria.
[01:57:12.400 --> 01:57:13.400]  Very good.
[01:57:14.400 --> 01:57:17.400]  So now let me just see if this was answered earlier.
[01:57:18.400 --> 01:57:19.400]  But that might be.
[01:57:19.400 --> 01:57:20.400]  Yeah, I don't see anyone before.
[01:57:21.400 --> 01:57:22.400]  All right.
[01:57:23.400 --> 01:57:24.400]  So we have a winner.
[01:57:26.400 --> 01:57:27.400]  And you got here.
[01:57:28.400 --> 01:57:29.400]  Yeah.
[01:57:29.400 --> 01:57:30.400]  Harry Humperdinck was not the right answer.
[01:57:35.400 --> 01:57:36.400]  Yeah.
[01:57:36.400 --> 01:57:37.400]  Email me.
[01:57:37.400 --> 01:57:38.400]  JamesLoudGenetics at Gmail.com.
[01:57:39.400 --> 01:57:40.400]  We'll get the seed packs out.
[01:57:41.400 --> 01:57:47.400]  And to our French viewers, your seed pack from the Christmas show is somewhere over the Atlantic.
[01:57:48.400 --> 01:57:50.400]  Right now, I DM you on Instagram to.
[01:57:51.400 --> 01:57:52.400]  Yeah.
[01:57:54.400 --> 01:57:55.400]  They got pigeons.
[01:57:56.400 --> 01:58:01.400]  And by the way, for everyone who did not win any of this stuff, you can always pick them up right there.
[01:58:03.400 --> 01:58:07.990]  All right. Wait, do we have a new question or are we still waiting for a question?
[01:58:08.990 --> 01:58:09.990]  One more question.
[01:58:09.990 --> 01:58:10.990]  Oh, we need a question.
[01:58:10.990 --> 01:58:11.990]  Yeah.
[01:58:14.990 --> 01:58:18.480]  Of the macro.
[01:58:18.480 --> 01:58:20.480]  Of the macro nutrients.
[01:58:22.480 --> 01:58:23.480]  N, P, K.
[01:58:24.480 --> 01:58:28.480]  Which one of them regulates stomata opening and closing?
[01:58:30.480 --> 01:58:32.480]  It's it. You got a 30 percent chance.
[01:58:33.480 --> 01:58:34.480]  Thirty three.
[01:58:35.480 --> 01:58:42.230]  We had a K.
[01:58:43.230 --> 01:58:44.230]  Yeah. K is the answer.
[01:58:45.230 --> 01:58:46.230]  Oh, my God.
[01:58:47.230 --> 01:58:49.230]  He's you can. That's one one shipment.
[01:58:51.230 --> 01:58:53.230]  He's cleaning. He's cleaning up.
[01:58:55.230 --> 01:58:56.230]  Yeah. Very good job.
[01:58:56.230 --> 01:59:02.230]  The K molecule is what regulates the opening and closing of the stomata on those lips.
[01:59:03.230 --> 01:59:04.230]  And.
[01:59:06.230 --> 01:59:08.230]  Yeah, that's it. Where does the K come from?
[01:59:09.230 --> 01:59:10.230]  He's pretty psyched.
[01:59:14.230 --> 01:59:16.230]  The K has to come from your nutrients.
[01:59:16.230 --> 01:59:21.230]  So if you don't have enough K in your environment, your stomata don't open and close correctly.
[01:59:21.230 --> 01:59:22.230]  You don't respirate correctly.
[01:59:22.230 --> 01:59:27.230]  And then you just do wicked nutrient absorption because the stomata are either all the way closed or all the way open.
[01:59:28.230 --> 01:59:31.230]  And in the whole thing gets messed up.
[01:59:31.230 --> 01:59:33.230]  So that's why K is so important.
[01:59:33.230 --> 01:59:40.230]  OK, so we have to have a fourth question because someone felt that these were discriminatory against people who haven't gone to college.
[01:59:40.230 --> 01:59:47.230]  And so we need a less PhD oriented question for the.
[01:59:47.230 --> 01:59:49.230]  All right. Yeah, I can understand that.
[01:59:49.230 --> 01:59:50.230]  I can understand that.
[01:59:50.230 --> 01:59:51.230]  How about a Grateful Dead question?
[01:59:52.230 --> 01:59:53.230]  Ah, all right.
[01:59:55.230 --> 01:59:58.230]  What month? You didn't have to you didn't have to go to college to like the dead.
[01:59:58.230 --> 01:59:59.230]  Yeah. OK.
[02:00:00.230 --> 02:00:05.230]  In what month did the Grateful Dead play the pyramids in Egypt?
[02:00:08.230 --> 02:00:10.230]  All right. Looking at the chat.
[02:00:13.690 --> 02:00:14.690]  We have a December.
[02:00:14.690 --> 02:00:15.690]  Casey Jones is the answer.
[02:00:16.690 --> 02:00:17.690]  No, that's not the end.
[02:00:17.690 --> 02:00:18.690]  We have December.
[02:00:19.690 --> 02:00:21.690]  Oh, wait, hold on. Jesus.
[02:00:25.410 --> 02:00:27.410]  So I think there's a December and August.
[02:00:28.410 --> 02:00:30.410]  So December, August.
[02:00:31.410 --> 02:00:33.410]  I mean, you got a one in 12 chance, right?
[02:00:33.410 --> 02:00:36.410]  March, June.
[02:00:38.410 --> 02:00:40.410]  May. I haven't heard it yet.
[02:00:41.410 --> 02:00:43.410]  December again. June, July.
[02:00:43.410 --> 02:00:45.410]  Jesus. Jesus. A lot of answers.
[02:00:46.410 --> 02:00:48.410]  All right. June, September, January.
[02:00:54.590 --> 02:00:55.590]  You just tell me when I get it.
[02:00:56.590 --> 02:00:57.590]  September.
[02:00:57.590 --> 02:00:58.590]  What? September.
[02:00:59.590 --> 02:01:00.590]  I think we had a September.
[02:01:01.590 --> 02:01:02.590]  We may have. Hold on.
[02:01:02.590 --> 02:01:04.590]  I see Richard Lamb said September.
[02:01:04.590 --> 02:01:05.590]  Let's see.
[02:01:05.590 --> 02:01:06.590]  Marion.
[02:01:07.590 --> 02:01:08.590]  I see.
[02:01:09.590 --> 02:01:10.590]  September 78.
[02:01:10.590 --> 02:01:11.590]  Even more specifically.
[02:01:12.590 --> 02:01:13.590]  Very good.
[02:01:13.590 --> 02:01:14.590]  What day? What day?
[02:01:14.590 --> 02:01:15.590]  There's two shows. What was the date?
[02:01:16.590 --> 02:01:17.590]  Yeah.
[02:01:17.590 --> 02:01:19.590]  So I think Philip was the first.
[02:01:20.590 --> 02:01:21.590]  Yeah.
[02:01:21.590 --> 02:01:24.560]  I don't see.
[02:01:24.560 --> 02:01:25.560]  All right.
[02:01:25.560 --> 02:01:26.560]  I'm pretty sure I got the pyramid.
[02:01:27.560 --> 02:01:31.030]  Yeah, I actually have the poster on my wall.
[02:01:32.030 --> 02:01:34.030]  You're going to be sending an email.
[02:01:37.030 --> 02:01:38.030]  To this guy right there.
[02:01:40.030 --> 02:01:41.030]  All right.
[02:01:41.030 --> 02:01:42.030]  So I think we have a December.
[02:01:43.030 --> 02:01:44.030]  I think we have a December.
[02:01:45.030 --> 02:01:46.030]  I think we have a December.
[02:01:47.030 --> 02:01:48.030]  All right.
[02:01:48.030 --> 02:01:49.030]  I feel like everybody.
[02:01:52.030 --> 02:01:55.030]  Unless people who didn't listen to the Grateful Dead.
[02:01:55.030 --> 02:01:56.030]  You could just Google that.
[02:01:58.030 --> 02:01:59.030]  You gotta be quick to draw that.
[02:02:00.030 --> 02:02:01.030]  You could easily Google that.
[02:02:02.030 --> 02:02:03.030]  Us Grateful Dead head weirdos.
[02:02:04.030 --> 02:02:05.030]  We know that show.
[02:02:08.030 --> 02:02:09.030]  Yeah.
[02:02:09.030 --> 02:02:11.030]  There's a lot of Grateful Dead, you know, trivia out there.
[02:02:12.030 --> 02:02:13.030]  Millions of questions.
[02:02:16.030 --> 02:02:17.030]  Well, thank you for coming on the show, man.
[02:02:18.030 --> 02:02:19.030]  It's been great.
[02:02:19.030 --> 02:02:20.030]  I think everybody learned a lot.
[02:02:21.030 --> 02:02:22.030]  We got some haters out there.
[02:02:23.030 --> 02:02:24.030]  You can send the hate mail to my DM.
[02:02:26.030 --> 02:02:30.030]  So anybody who is offended by today's show.
[02:02:31.030 --> 02:02:32.030]  That's the editor.
[02:02:33.030 --> 02:02:34.030]  You can write a letter to the editor.
[02:02:35.030 --> 02:02:36.030]  Yeah, it goes to him.
[02:02:36.030 --> 02:02:39.030]  I'm not responsible for the content of this TV show.
[02:02:42.030 --> 02:02:43.030]  And if you want to respond.
[02:02:43.030 --> 02:02:44.030]  You can send an email there as well.
[02:02:45.030 --> 02:02:46.030]  And we'll bring you on to point counterpoint.
[02:02:48.030 --> 02:02:49.030]  Sure.
[02:02:50.030 --> 02:02:51.030]  All right.
[02:02:51.030 --> 02:02:53.030]  Well, with that, I'm going to go watch some football.
[02:02:54.030 --> 02:02:55.030]  Nice.
[02:02:56.030 --> 02:02:57.030]  Maybe go outside.
[02:02:58.030 --> 02:03:00.030]  I got my Instagram spread out like two weeks ago.
[02:03:01.030 --> 02:03:02.030]  So I started.
[02:03:03.030 --> 02:03:05.030]  What was it the right Instagram that we had?
[02:03:06.030 --> 02:03:10.030]  I looked at white code services LLC is what it is now.
[02:03:10.030 --> 02:03:11.030]  I'm still trying to get the other one back.
[02:03:12.030 --> 02:03:13.030]  You'll get it back.
[02:03:14.030 --> 02:03:15.030]  You just have to be patient.
[02:03:16.030 --> 02:03:17.030]  Yeah.
[02:03:17.030 --> 02:03:18.030]  Well, wait.
[02:03:19.030 --> 02:03:20.030]  But if you go to.
[02:03:21.030 --> 02:03:22.030]  Yeah.
[02:03:22.030 --> 02:03:23.030]  White Coat Services LLC.
[02:03:24.030 --> 02:03:25.030]  But you go to the Web site.
[02:03:27.030 --> 02:03:30.030]  Who is there's another guy mentioned.
[02:03:32.030 --> 02:03:33.030]  Abe Froman.
[02:03:34.030 --> 02:03:35.030]  Yeah.
[02:03:35.030 --> 02:03:36.030]  Who's Abe?
[02:03:37.030 --> 02:03:38.030]  The sausage king of Chicago.
[02:03:38.030 --> 02:03:39.030]  Oh, got it.
[02:03:39.030 --> 02:03:40.030]  Got it.
[02:03:40.030 --> 02:03:41.030]  Got it.
[02:03:41.030 --> 02:03:42.030]  All right.
[02:03:42.030 --> 02:03:46.030]  I was like, because when we tag, you know, I'm like quickly making sure it's like the
[02:03:46.030 --> 02:03:47.030]  right Instagram.
[02:03:47.030 --> 02:03:48.030]  OK, so that is you.
[02:03:49.030 --> 02:03:50.030]  Yeah.
[02:03:50.030 --> 02:03:51.030]  All right.
[02:03:53.030 --> 02:03:58.030]  I can even put that if everybody can wait one more second at.
[02:04:01.360 --> 02:04:02.360]  Is that right?
[02:04:03.360 --> 02:04:04.360]  There you go.
[02:04:04.360 --> 02:04:08.360]  So, yeah, you can redirect the hate mail to that guy.
[02:04:08.360 --> 02:04:13.360]  Just slide into his DMs and let him know exactly what you think about his opinions and where
[02:04:13.360 --> 02:04:14.360]  he can put them.
[02:04:18.360 --> 02:04:20.360]  So a lot of upset Koreans right now.
[02:04:23.360 --> 02:04:24.360]  Make it funny.
[02:04:24.360 --> 02:04:28.360]  Angry old Hawaiian women watching right now.
[02:04:28.360 --> 02:04:29.360]  Here's the thing.
[02:04:29.360 --> 02:04:30.360]  Here's the thing.
[02:04:30.360 --> 02:04:35.360]  If you do it in your backyard and you're making a pile, you're sprinkling it out and it makes
[02:04:35.360 --> 02:04:36.360]  you feel better.
[02:04:37.360 --> 02:04:45.360]  Dude, do it like don't don't stop yourself from from pleasure like this.
[02:04:45.360 --> 02:04:51.360]  Make yourself happy if you want to sprinkle, you know, this or that on your plants that
[02:04:51.360 --> 02:04:52.360]  you made your backyard with.
[02:04:53.360 --> 02:04:54.360]  You go ahead.
[02:04:54.360 --> 02:04:58.360]  If it makes you whole as a person, then I'm advocating that.
[02:05:00.360 --> 02:05:01.360]  Yeah.
[02:05:03.360 --> 02:05:04.360]  Great way to end the show.
[02:05:04.360 --> 02:05:05.360]  Thank you, guys.
[02:05:07.360 --> 02:05:08.360]  All right.
[02:05:08.360 --> 02:05:09.360]  Should I kill it?
[02:05:10.360 --> 02:05:11.360]  Yeah.
[02:05:11.360 --> 02:05:12.360]  All right.
[02:05:12.360 --> 02:05:13.360]  We'll see you.
[02:05:13.360 --> 02:05:14.360]  Oh, and just quickly.
[02:05:15.360 --> 02:05:16.360]  Got it.
[02:05:16.360 --> 02:05:20.360]  Tuesday, we have Tad Hussey and his business partner.
[02:05:21.360 --> 02:05:28.360]  Wednesday, I think Matthew Gates wants to do a can or not can have an IPM segment.
[02:05:30.360 --> 02:05:31.360]  And that's as far as I've gotten.
[02:05:31.360 --> 02:05:34.360]  So anyway, see you, everyone.
[02:05:34.360 --> 02:05:35.360]  Yep.
[02:05:35.360 --> 02:05:36.360]  Have a good week.
[02:05:36.360 --> 02:05:37.360]  Thank you.
