[00:00.000 --> 00:08.060]  And let me.
[01:38:07.070 --> 01:38:19.070]  And so you know I look at myself and I have all these other skill sets. I've been a glassblower in my lifetime. I built my house from scratch so I'm a carpenter by trade.
[01:38:20.070 --> 01:38:35.070]  I can pretty pretty much do most of the trades because I've done building in my lifetime, I own a piece of heavy equipment. I could run heavy equipment if I have to but but what's happening here in Humboldt is there's less and less of those jobs and so if I said
[01:38:35.070 --> 01:38:50.070]  I want to be a carpenter, I'm not going to grow weed for profit anymore. I'm just going to get out of this and I'm gonna, I'm just going to do carpentry, like there's not enough work around here because the growers that supported that industry, which paid the
[01:38:50.070 --> 01:39:07.070]  money to do it, it just doesn't exist like it did prior to legalization. And so, you know, I've been saving pretty much my whole adult life, and I still don't feel like I'm in that comfortable of a position because I've been raising kids the whole time.
[01:39:07.070 --> 01:39:26.070]  I've been paying property taxes. I've been paying federal income tax, just like everyone. And yeah, it's just, you know, I don't really know. I don't see myself jumping over and hopping into the legal market, but I also probably don't see myself totally abandoning what I've done for for over 23 years.
[01:39:27.070 --> 01:39:45.070]  I feel like it'd be like telling a dentist, like, you can't practice dentistry anymore. Like what dentist is going to leave his dental practice, you know, like I don't know I just try to look at it from from a grander perspective, you know, it'd be like telling Ed he can't practice law anymore, you know, he probably would be disgruntled.
[01:39:45.070 --> 01:40:00.070]  And so, you know, I still want to continue growing weed. It's something that I've done, you know, pretty much my whole adult life. I really enjoy it. I use it medicinally. I have sciatica that I've suffered from for many years and
[01:40:00.070 --> 01:40:18.070]  yeah, I just feel like it'd be nice if the system was more open to accepting people who weren't the mega growers that had an easier time to assimilate because they had the Pelican containers, Pelican containers full of cash to go to the planning department and
[01:40:19.070 --> 01:40:44.070]  and grease the wheels basically and you know I didn't know the lobbyists and I don't know any lobbyists, and I'm, I'm like an old like Grateful Dead type guy like I dropped out of high school when I was 15 and went on dead tour like that you know that's the type of person I am I, I'm like a hippie glassblower pop growing type person and the legal system I don't know that it's for me to be honest with you.
[01:40:45.070 --> 01:40:56.070]  But, but I'd like to help in any way that I can because my community is important and the cannabis culture is very important and like Nicole was saying a lot of this stuff is just going to get swept under the rug.
[01:40:56.070 --> 01:41:12.070]  And we're not even going to remember any of the people that kind of laid the foundation for for us to be here today you know people died in Humboldt County and got shot over deals gone bad and you know people lost their land and you know people went to jail for long
[01:41:13.070 --> 01:41:26.070]  periods of time you know I had to go into jail but I didn't have to serve a prison sentence for weed, like that would have driven me bonkers I was listening to the other day, Peter had a guest on it's a gentleman in Oklahoma, and he was talking about.
[01:41:27.070 --> 01:41:46.070]  And he was talking about serving a sentence for cannabis and being in jail and how bad jail really is and how you have to stick to your race in jail because if you don't you can like die and just stuff that like me is kind of like a hippie idealist type person I've never had to deal with any of that stuff except for when I got.
[01:41:46.070 --> 01:42:00.070]  Right, you know I've been popped and I've gotten in trouble I've lived here for over 20 years, I don't have a totally clean slate, but uh but I've never had to go to prison, and so you know I just look at a lot of the people that have suffered and paid their dues for our community.
[01:42:00.070 --> 01:42:13.070]  And a lot of the people that are out there representing the cannabis community they're not always the people that have paid their dues, and there's guys that showed up here three or four years ago and they just kind of hopped into legal cannabis and they might have a humble
[01:42:13.070 --> 01:42:26.070]  claim, but it doesn't mean that they've been here for 20 years or 3040 years like some of the other people that we know, and it's all about building community and a lot of those people haven't been building community what they're doing is they're
[01:42:27.070 --> 01:42:32.070]  because they want to have market share, and they want to have shelf space as opposed to.
[01:42:32.070 --> 01:42:47.070]  We were here donating to the community before those people ever existed in the community and I'm even a new transplant to Humboldt I've only lived here since 1997 I've only lived here for 23 years, but I put in 23 hard years here.
[01:42:48.070 --> 01:43:00.070]  And I've done my time and I paid my dues and I paid my my social dues to society when I had to do community service and all the stuff that that growers get wrapped up into.
[01:43:00.070 --> 01:43:15.070]  But yeah you know I really don't know you know in five years from now it'd be interesting to see you know where I'm at. I've had my successes, but I've also had my losses and so you know if you count all my successes to my losses.
[01:43:15.070 --> 01:43:25.070]  I don't know it just it might not all equal out but uh yeah you know we'll just keep plugging along my kids are enrolled in school, where we live, even though they're not back in school.
[01:43:25.070 --> 01:43:31.070]  This year and yeah we're just you know we're embedded in this community, you know I built my home here.
[01:43:31.070 --> 01:43:40.070]  When I was like 22 years old I don't see myself like selling my house to anyone anytime soon it's like the house that I've lived in my whole adult life.
[01:43:40.070 --> 01:43:45.070]  I just added on recently for my kids and yeah we love it here, this is where we live.
[01:43:46.070 --> 01:43:52.070]  So speaking of oh geez can you tell everybody whoops about.
[01:43:55.070 --> 01:43:57.070]  Of course, that woman.
[01:43:58.070 --> 01:44:08.070]  Yeah, so this is a gal down in southern Humboldt and we call her goat male because she has a herd of goats and she's a buddy.
[01:44:09.070 --> 01:44:11.070]  I just realized that there we go.
[01:44:12.070 --> 01:44:13.070]  There we go.
[01:44:13.070 --> 01:44:20.070]  That's her there too. That's her picture as well. So yeah, she's a farmer down in the southern Humboldt area she's in the eastern part of the county.
[01:44:20.070 --> 01:44:33.070]  I believe she's in blocksburg and that's my buddy's stepmom and she's a real OG and my buddy's dad was a real OG and they were growing out on the the ranch lands in the old days.
[01:44:34.070 --> 01:44:41.070]  And you know my buddy said that when his parents showed up at the school to pick him up he knew it was a day he had to work.
[01:44:41.070 --> 01:44:46.070]  And that if the bus was there to pick him up he knew that he didn't have to work that day.
[01:44:46.070 --> 01:44:53.070]  And so yeah you know you're talking about people who have been here for 40 years who raised their kids in this community of I've only been here since 97.
[01:44:53.070 --> 01:44:59.070]  And so you know you're showing picture of a lady who you know is has way deeper roots than I have.
[01:44:59.070 --> 01:45:08.070]  And yeah you know she was producing worm castings kind of as a micro business when people didn't even know what worm castings were.
[01:45:09.070 --> 01:45:18.070]  And yeah you're showing pictures of real OG people and she's not the only one and you know those people they're getting older like Ed and they're not going to be here forever.
[01:45:18.070 --> 01:45:27.070]  And so I like to talk to those people and hear their stories and hear about the real adversities people experienced here prior to legalization.
[01:45:27.070 --> 01:45:32.070]  You know prior to legalization imagine all the adversities people were experiencing.
[01:45:34.070 --> 01:45:42.070]  Right and we're trying to coax her. The reason I brought her up is because we're trying to coax her gently to tell her story.
[01:45:42.070 --> 01:45:43.070]  Yes.
[01:45:43.070 --> 01:45:57.070]  But I can appreciate how shy someone would be who's been living you know her entire adult life with helicopters flying overhead and just wanting to stay in the background.
[01:45:58.070 --> 01:46:06.070]  Yeah being a weed grower prior to legalization didn't make us the most like sociable people that existed in America.
[01:46:06.070 --> 01:46:19.070]  Yeah you know like yeah you know how it is Peter you know I'm pretty much preaching to the choir but but you know you know we we lived social isolation before they recommended that we needed to do it for coronavirus.
[01:46:20.070 --> 01:46:30.070]  Right. That's what I always joke like all the like humble farmer like whatever any anybody who's in a remote region is like okay it's just life as usual.
[01:46:31.070 --> 01:46:32.070]  Pretty much.
[01:46:32.070 --> 01:46:48.070]  So so you know I feel like we touched base on a lot of awesome subjects today. I am proud that I could you know coax Ed and Nicole into coming on to the program and I really appreciate you giving me the platform to moderate the program Peter.
[01:46:48.070 --> 01:46:51.070]  But I'm going to dog off pretty soon.
[01:46:51.070 --> 01:46:57.070]  Yeah no we yeah no we so we can wrap it up there about 300 people watching right now and we appreciate it.
[01:46:58.070 --> 01:47:11.070]  Because we all got other shit to do but we're working on Peter McGuire Mike Ritter who is the Humboldt University professor Fred.
[01:47:12.070 --> 01:47:21.070]  Chris man to talk about Thai stick and running drugs in the 60s and 70s and 80s.
[01:47:22.070 --> 01:47:34.070]  And so we'll we'll schedule that one, hopefully for the next week or two and then tomorrow we have living soil with Brandon rust and Brian and Layton Morrison.
[01:47:35.070 --> 01:47:51.070]  Oh, so one big thing I mean we've been talking, you know, people getting thrown in jail and I mentioned this the other day but Christian Carter, who I brought on to talk about what's going on in El Dorado County is in jail right now so
[01:47:52.070 --> 01:48:10.070]  I'm working with his mom and his girlfriend to base I think we'll we'll put together a fundraiser to raise money for his legal fees, because he is currently in jail in El Dorado and I reached out to.
[01:48:11.070 --> 01:48:19.070]  And I'm blanking on his name but the guy who runs like the El Dorado County growers Association so there's anyone watching from El Dorado County.
[01:48:20.070 --> 01:48:26.070]  I could use your help because I'm just one dude down in LA trying to help someone out up in El Dorado.
[01:48:27.070 --> 01:48:39.070]  So, similarly to how Nicole could use some help with with what she's trying to do on behalf of not even yourself right like you're doing this stuff on behalf of the community.
[01:48:40.070 --> 01:48:44.070]  You're doing this stuff on behalf of other people and it's like I could use a little help.
[01:48:45.070 --> 01:48:59.070]  Yeah, yeah, definitely not. I have no horse in the race as they say I don't own property. I just had a greenhouse full of vegetables and I am a medical cannabis user and yeah I used to have a medical garden but I don't anymore.
[01:49:00.070 --> 01:49:08.070]  Other than that I have no affiliation and working of course in the law office and for permitted farms that never paid me but yeah.
[01:49:09.070 --> 01:49:20.070]  Not doing this for myself I'm definitely doing this for my son and hoping that he has a community to grow up in here that is safe and yeah there's hope.
[01:49:22.070 --> 01:49:23.070]  All right, I think.
[01:49:24.070 --> 01:49:43.070]  I was gonna say, with regards to Christian being in jail and it's 2020 to think that anyone's in jail on fresh charges from 2020 for cultivating cannabis, it's somewhat infuriating and whatever help that you know we could, you know, do to help Christian
[01:49:44.070 --> 01:49:53.070]  out I totally would be down because I just find it so infuriating that anyone's in jail and it's 2020 and weed's legal in California.
[01:49:54.070 --> 01:50:19.070]  Right, so yeah I'll keep everyone posted on that but I think probably within I mean definitely within the next week I was, you know, with Mia we touched on the last prisoner project and Steve D'Angelo who is I certainly the most high profile board member I don't know if he's one of the co founders but I'm going to try to bring him on and.
[01:50:20.070 --> 01:50:32.070]  And maybe a lawyer and Christian's mom and girlfriend to just kind of talk people in prison with a specific emphasis on raising money for Christian so.
[01:50:34.070 --> 01:50:43.070]  Anyway, with that we will wrap it up, thank you everybody and I'm going to get to my I'm still harvesting all my tobacco seeds.
[01:50:44.070 --> 01:50:45.070]  Thank you guys.
[01:50:46.070 --> 01:50:47.070]  Thank you.
[01:50:48.070 --> 01:50:50.070]  And, and by the way, Tom.
[01:50:52.070 --> 01:50:59.070]  Tyler who is treetop farms is going to come help build a
[01:51:01.070 --> 01:51:02.070]  some moth netting.
[01:51:03.070 --> 01:51:14.070]  Awesome. Thank you, Ed and Nicole for taking time out of your busy schedules to join us today. Thank you, Peter for providing the platform. Thank you, Tom for joining us as well. I hope you guys all have a great day.
[01:51:15.070 --> 01:51:23.070]  And people are saying they want more humble ridgetop organics in future episodes and Nicole you can bring the living soil knowledge.
[01:51:24.070 --> 01:51:25.070]  With your big girl plants.
[01:51:26.070 --> 01:51:28.070]  Of course they do the crowd goes wild.
[01:51:28.070 --> 01:51:37.070]  We'll definitely stay tuned to Fred Chris man he's a dear friend and he is so just brilliant. So I think you guys are an awesome show. Let me know if you ever want me to come back.
[01:51:38.070 --> 01:51:42.070]  Definitely. Okay. Thank you so much. And with that I will kill the live stream by everyone.
