[00:00.250 --> 00:03.890]  All right, take two.
[02:26:09.600 --> 02:26:14.880]  But ultimately at the end of it, that, that lifestyle, I mean, it's gone, it's gone.
[02:26:14.880 --> 02:26:15.920]  People tell too much.
[02:26:17.520 --> 02:26:19.120]  There's cameras everywhere.
[02:26:19.120 --> 02:26:20.880]  These people are well-funded.
[02:26:20.880 --> 02:26:22.560]  I mean, you're just not going to do it.
[02:26:22.560 --> 02:26:26.160]  And it's just not a good way to, you know, it's just not a good way to live, you know,
[02:26:26.160 --> 02:26:33.360]  so just work hard, do your thing and just, you know, live, live a good life where you
[02:26:33.360 --> 02:26:38.240]  don't have to, you know, put yourself in that position and have to deal with that kind of
[02:26:38.320 --> 02:26:38.640]  shit.
[02:26:38.640 --> 02:26:39.280]  You know what I mean?
[02:26:41.200 --> 02:26:44.160]  It's just, it's, it's not good, not good for nobody.
[02:26:45.600 --> 02:26:49.120]  And it's just, I don't know.
[02:26:49.120 --> 02:26:55.200]  It's, it's a, it's a weird thing to have to explain, but I guess I don't, I don't really
[02:26:55.200 --> 02:26:58.160]  have all the, all the words for that right now.
[02:26:58.160 --> 02:27:04.320]  You expect, dude, you're, yeah, that's, if there's, we always say gold bars on the future
[02:27:04.320 --> 02:27:05.360]  cannabis project, man.
[02:27:05.360 --> 02:27:10.960]  And if people don't understand that, that's the, that's a next level bar, obviously, because
[02:27:12.000 --> 02:27:14.320]  the, the, no one really thinks about the risks.
[02:27:14.320 --> 02:27:15.360]  Everybody always thinks about that.
[02:27:15.360 --> 02:27:16.400]  They're going to get away with it.
[02:27:16.960 --> 02:27:20.400]  And most people don't move like chess moves when they're doing that.
[02:27:20.400 --> 02:27:24.800]  And like you had mentioned, the bigger you get, the jealousy comes out and every, nobody
[02:27:24.800 --> 02:27:26.960]  wants to see you shine if you're shining for too long.
[02:27:27.600 --> 02:27:36.650]  So, so what do you, like, what do you really think about where things are going?
[02:27:36.650 --> 02:27:40.570]  Like, I know like from the inside, it kind of reflects society.
[02:27:41.770 --> 02:27:43.370]  Sometimes it magnifies it.
[02:27:43.370 --> 02:27:49.770]  Sometimes I heard it's like, you know, you can be in a certain spot where things aren't
[02:27:49.770 --> 02:27:51.770]  popping off as much as they maybe should.
[02:27:51.770 --> 02:27:53.850]  Cause everybody kind of respects one another.
[02:27:53.850 --> 02:27:58.410]  But from the outside 2020, 2021, there was, there were riots.
[02:27:58.410 --> 02:28:00.170]  There was all these things that were going on.
[02:28:00.170 --> 02:28:03.290]  I feel like more and more people, when you see them, they won't even look you in the
[02:28:03.290 --> 02:28:05.290]  eye anymore at the grocery store.
[02:28:05.290 --> 02:28:07.130]  It seems like we've been divided.
[02:28:07.130 --> 02:28:13.850]  Did you guys feel like there was a upper echelon of that kind of hatred and just maybe weirdness
[02:28:13.850 --> 02:28:16.730]  to humanity while you were locked up as well?
[02:28:17.850 --> 02:28:18.410]  Oh yeah.
[02:28:18.490 --> 02:28:24.810]  You know, it's, and like I said, it goes back to things that are hard to explain.
[02:28:24.810 --> 02:28:34.410]  You know, some people are very, they're very sensitive, but I mean, there's, I mean, for
[02:28:34.410 --> 02:28:38.970]  those people, I mean, all I can say is like, there's the way you fucking want to be, you
[02:28:38.970 --> 02:28:39.770]  know what I mean?
[02:28:39.770 --> 02:28:42.250]  And the world, and then there's just the fucking way that it is.
[02:28:42.250 --> 02:28:43.690]  And I think that's what's going on.
[02:28:43.690 --> 02:28:46.250]  There's the way you fucking want to be, you know what I mean?
[02:28:46.250 --> 02:28:48.890]  And the world, and then there's just the fucking way that it is.
[02:28:48.890 --> 02:28:49.130]  Right.
[02:28:49.850 --> 02:28:57.130]  So don't, don't be sensitive about this because this is just, this is just what it is and
[02:28:57.130 --> 02:28:58.490]  how it is and how it's going to be.
[02:28:59.290 --> 02:29:03.690]  And you know, if you feel like, you know, you can go in there and change the world,
[02:29:03.690 --> 02:29:07.210]  like go ahead and you'll, you'll be dead before the nine o'clock count.
[02:29:08.010 --> 02:29:19.050]  Um, it's, it's, you know, prisons are already very, very segregated by, um, you know, race,
[02:29:20.490 --> 02:29:24.330]  segregated by gangs, um, and groups, groups of people.
[02:29:25.690 --> 02:29:32.250]  Um, so anytime you have say like a riot on one yard and where it gets over to the other
[02:29:32.810 --> 02:29:36.090]  you know, this group of people was stabbing up this group of people.
[02:29:36.090 --> 02:29:39.770]  It's all at war on, on, on that yard too.
[02:29:39.770 --> 02:29:45.610]  So, you know, you got that, um, if you got any animosity, any racial tensions, which
[02:29:45.610 --> 02:29:50.810]  are already at, you know, very high inside, um, anything on the outside is just going
[02:29:50.810 --> 02:29:52.250]  to be amplified even more.
[02:29:52.890 --> 02:29:58.730]  Um, it's just not a, it's just not a, not a good, not a good, good thing.
[02:29:58.730 --> 02:30:04.410]  Um, and then to cap it all off, like, you know, it goes without saying, like, you know,
[02:30:04.410 --> 02:30:06.810]  we don't, we don't like fucking cops.
[02:30:06.810 --> 02:30:07.290]  Right.
[02:30:07.290 --> 02:30:09.610]  So, and they especially don't like us.
[02:30:09.610 --> 02:30:16.650]  So when this whole, uh, this whole, um, blue lives matter shit and cops fucking killing
[02:30:16.650 --> 02:30:22.330]  people and getting away with it and everything, um, you know, they were, they were definitely,
[02:30:22.330 --> 02:30:25.850]  you know, trying to, trying to flex and, and make their shit.
[02:30:25.850 --> 02:30:30.810]  Um, you know, even, even, you know, more so than they already were.
[02:30:30.810 --> 02:30:35.450]  So it leads to fighting with the cops a lot more too, uh, cops getting stabbed up and
[02:30:35.450 --> 02:30:38.890]  everything, which ultimately, you know, that's going to come back on you.
[02:30:39.450 --> 02:30:42.090]  Um, and they're going to make your life hell.
[02:30:42.090 --> 02:30:48.890]  So no matter which way you're looking, is this, uh, you know, total, uh, total chaos,
[02:30:49.450 --> 02:30:54.250]  um, from, from every, every angle that you can think of.
[02:30:54.250 --> 02:31:02.090]  And, um, you know, lots of, lots of writing, uh, lots of, you know, more hatred than, uh,
[02:31:02.090 --> 02:31:04.490]  than what was normally normally going on.
[02:31:05.050 --> 02:31:09.930]  Um, and like, you know, if you ever hear it, when I'm people, it's called politics.
[02:31:09.930 --> 02:31:15.450]  That's what, that's what, um, you know, prison is, you know, groups of people trying to live
[02:31:15.450 --> 02:31:20.970]  with each other, you know, the best way that you can, but, you know, oftentimes, you know,
[02:31:20.970 --> 02:31:24.170]  something, something's gonna pop off and happen.
[02:31:24.170 --> 02:31:25.770]  That's just the nature of it.
[02:31:25.770 --> 02:31:29.690]  And when it does, you know, either, you know, you're either going to live or you're going to
[02:31:29.690 --> 02:31:35.850]  die, you know, uh, some people, I guess are real good about, you know, just, you know,
[02:31:35.850 --> 02:31:41.930]  reading it, you know, and they go hide somewhere, but, um, ultimately people afterwards are going
[02:31:42.010 --> 02:31:44.170]  to be like, yeah, you know, where, where were you at?
[02:31:44.810 --> 02:31:47.930]  And then your end people are gonna, you know, stomp you out, stab you up.
[02:31:48.730 --> 02:31:54.090]  So, um, it's just it, man, when you're, when you're in the belly of the beast, man, you're,
[02:31:54.090 --> 02:31:54.970]  you're there.
[02:31:54.970 --> 02:31:55.850]  There's no calling.
[02:31:56.570 --> 02:31:59.210]  You have somebody like, yeah, I want to go home.
[02:31:59.210 --> 02:32:02.970]  You know, they don't have like magical, I'm sorry, papers that you're going to fucking
[02:32:02.970 --> 02:32:03.290]  sign.
[02:32:03.290 --> 02:32:08.570]  And you're just going to go, you know, you've got your date and it's up to you to get through
[02:32:08.570 --> 02:32:10.330]  each day the best way that you can.
[02:32:10.330 --> 02:32:11.770]  And let's do that.
[02:32:11.770 --> 02:32:17.050]  So that you can make it to that date, you know, going, going home and, uh, just try
[02:32:17.050 --> 02:32:23.770]  not to let it take away, you know, pieces of you, you know, are too much, you know,
[02:32:24.330 --> 02:32:30.650]  and, uh, try to try to get back in one piece and, uh, you know, and then just move on,
[02:32:30.650 --> 02:32:36.170]  move forward and like, you know, pass a little knowledge on, you know, to other people.
[02:32:36.170 --> 02:32:39.370]  So they don't end up in the, in the same, uh, same boat.
[02:32:40.330 --> 02:32:42.810]  That's about, that's about it, man.
[02:32:44.170 --> 02:32:44.650]  Yeah, man.
[02:32:44.650 --> 02:32:48.010]  I, I really appreciate you taking the time to explain this kind of stuff.
[02:32:48.010 --> 02:32:52.250]  Cause I know for certain that a lot of people don't realize that even when, if you get a
[02:32:52.250 --> 02:32:56.250]  year sentence, two year sentence, that like you had mentioned the politics, you're not
[02:32:56.250 --> 02:32:57.130]  going to change that.
[02:32:57.690 --> 02:33:00.250]  So you have to, to choose ride with it.
[02:33:00.250 --> 02:33:02.650]  Certain individuals, a riot breaks off.
[02:33:02.650 --> 02:33:06.810]  Maybe you did have to, to do something that you normally would have never done in life.
[02:33:07.050 --> 02:33:08.890]  Now you have an extra charge up on that.
[02:33:09.530 --> 02:33:12.090]  So there's just so many things that can happen to your life.
[02:33:12.890 --> 02:33:19.530]  Once you're in there, um, the jungle is real and I'm glad Duke that you're giving us an
[02:33:19.530 --> 02:33:24.650]  inside look and taking the time to explain it without any fluff, man.
[02:33:24.650 --> 02:33:26.410]  That's just how that shit is in there.
[02:33:26.410 --> 02:33:29.050]  It doesn't, doesn't really matter your belief systems.
[02:33:29.050 --> 02:33:32.170]  This is how the politics are played in this certain facility.
[02:33:32.170 --> 02:33:35.770]  And they obviously changed from facility to facility.
[02:33:35.770 --> 02:33:38.650]  So you could have a good in one spot, get moved.
[02:33:38.650 --> 02:33:43.370]  And now you got to go through the whole alpha bullshit again, and to get, stand up for yourself
[02:33:43.370 --> 02:33:45.210]  and make sure that nobody's going to fuck with you.
[02:33:45.210 --> 02:33:49.050]  Because obviously if you're weak now, you got at least, you know, if you're in there
[02:33:49.050 --> 02:33:53.050]  for two years, it's going to be two years of just people constantly fucking with you
[02:33:53.050 --> 02:33:53.690]  or worse.
[02:33:54.410 --> 02:33:57.290]  And obviously as a grown man, you never want to experience shit like that.
[02:33:57.290 --> 02:33:59.610]  Yeah, for sure.
[02:33:59.610 --> 02:34:05.050]  And that's the thing, like dependent, uh, dependent on where, where you actually end
[02:34:05.050 --> 02:34:08.810]  up, you know, it could, it could, you know, be, be varied.
[02:34:08.810 --> 02:34:15.130]  So like you could end up in a halfway, uh, like a halfway decent, you know, decent spot
[02:34:15.130 --> 02:34:21.050]  where, you know, people get along a lot better or, you know, you just might walk into something
[02:34:21.050 --> 02:34:27.370]  that has been going on for a decade or maybe longer, you know, just strike between, um,
[02:34:28.170 --> 02:34:32.650]  two groups of people and you just happen to land in the middle of it that day.
[02:34:33.290 --> 02:34:34.890]  It all just jumps off.
[02:34:34.890 --> 02:34:37.370]  You don't even know what it's about, what led up to it.
[02:34:37.930 --> 02:34:43.130]  And that's just, just how it is, you know, um, or you could just land yourself in the
[02:34:43.130 --> 02:34:47.610]  middle of, you know, the most rowdy of the rowdy and it's just like that every day or,
[02:34:48.170 --> 02:34:54.090]  you know, it just depends, you know, on the day and what's going on, but all the shit
[02:34:54.090 --> 02:35:00.250]  happening, um, in the, uh, in the outside world, you know, I'm sure it didn't, it didn't
[02:35:00.250 --> 02:35:01.050]  help.
[02:35:01.050 --> 02:35:07.690]  And then you got some weird, you know, virus going around, you know, killing people and,
[02:35:07.690 --> 02:35:12.970]  you know, it's doing the same thing in there and trying to catch it and watching people
[02:35:12.970 --> 02:35:14.090]  drop from it.
[02:35:14.090 --> 02:35:20.010]  And this, you know, it's a fucked up thing.
[02:35:20.010 --> 02:35:25.130]  I hope, uh, you know, you don't have to have to deal with that, you know?
[02:35:26.090 --> 02:35:31.850]  Um, and if you, if you are sick, you know, you put, let's say you are weak and you push
[02:35:31.850 --> 02:35:36.650]  that call button, you know, most of the time they're not, it's not like the Calvary is
[02:35:36.650 --> 02:35:37.450]  coming to get you.
[02:35:38.250 --> 02:35:44.410]  No, you're not over your health, but you're, you're going to have to throw hands no matter
[02:35:44.410 --> 02:35:47.130]  what, if you've never done that in life, you better start doing pushups.
[02:35:48.090 --> 02:35:48.890]  Oh yeah.
[02:35:48.890 --> 02:35:50.810]  Like you gotta, you gotta for sure.
[02:35:50.810 --> 02:35:58.330]  You go stay, stay fit, stay strong, um, you know, and stay very, very observant and everything.
[02:35:58.330 --> 02:36:05.690]  And, um, you know, it's, it's, um, like when those riots pop off on me, it depends where
[02:36:05.690 --> 02:36:06.090]  it's at.
[02:36:06.090 --> 02:36:08.810]  Like, you know, they got snipers and guard towers.
[02:36:08.810 --> 02:36:11.370]  They might just start treating and killing people out there.
[02:36:11.370 --> 02:36:17.050]  Um, you know, if it's inside of a unit, you know, it's probably going to go on and on.
[02:36:17.050 --> 02:36:20.570]  It's going to be a while before they come in there and gas place hours are shooting
[02:36:20.570 --> 02:36:20.970]  people.
[02:36:20.970 --> 02:36:28.250]  So, um, you know, and a lot can happen in one second, let alone, you know, any elapsed
[02:36:28.250 --> 02:36:30.090]  period of time.
[02:36:30.090 --> 02:36:35.850]  So, um, yeah, it's, it's not, you know, it's not, not safe, you know?
[02:36:35.850 --> 02:36:42.890]  So, and, you know, you definitely don't want to have to rely on, you know, some, some fucking
[02:36:42.890 --> 02:36:46.330]  employee to, you know, cause they, they don't give a fuck.
[02:36:46.410 --> 02:36:49.050]  No, you got COVID or whatever.
[02:36:49.610 --> 02:36:52.250]  Their biggest concern is like, oh, I don't want to catch that shit.
[02:36:52.810 --> 02:36:53.210]  You know what I mean?
[02:36:53.210 --> 02:36:54.490]  They don't, they don't give a fuck.
[02:36:54.490 --> 02:36:56.250]  Medical staff doesn't care.
[02:36:56.250 --> 02:36:57.770]  Um, that's the thing.
[02:36:57.770 --> 02:37:02.810]  Nobody, nobody cares, you know, that's the one thing, you know, just, you know, nobody
[02:37:02.810 --> 02:37:03.530]  gives a fuck.
[02:37:03.530 --> 02:37:08.730]  So, um, once you're there, you know, it's kinda, it's just kinda on you, you know, you
[02:37:08.730 --> 02:37:13.450]  just kind of got to go through the motions, do the best you can do and stay healthy.
[02:37:13.930 --> 02:37:14.430]  I don't know.
[02:37:15.050 --> 02:37:17.210]  People complain all the time.
[02:37:17.210 --> 02:37:20.250]  Like, oh, oh, really?
[02:37:20.250 --> 02:37:21.850]  No, I shouldn't have got locked up, dude.
[02:37:22.490 --> 02:37:22.970]  I was here.
[02:37:22.970 --> 02:37:23.930]  We, here we are.
[02:37:26.570 --> 02:37:27.050]  Yeah, man.
[02:37:27.050 --> 02:37:31.850]  I, I really appreciate the candid aspect to kind of how you're talking about this.
[02:37:32.730 --> 02:37:36.970]  Cause I don't think a lot of people get a behind the scenes kind of thing of what really
[02:37:36.970 --> 02:37:37.850]  goes on.
[02:37:37.850 --> 02:37:42.490]  And unfortunately there's a lot of shows lately that have been on, which, um, just
[02:37:42.490 --> 02:37:46.650]  showed jail aspects and kind of show kind of silly little fights and stuff, but I don't,
[02:37:47.450 --> 02:37:52.970]  I've never really seen anything that I felt like, you know, warranted what really went
[02:37:52.970 --> 02:37:53.470]  on.
[02:37:54.650 --> 02:37:55.130]  Yeah.
[02:37:55.130 --> 02:37:59.930]  Like, you know, um, they got those little, little jail shows and like, that's just,
[02:38:01.050 --> 02:38:05.050]  you know, a little, little petty, you know, a little county jail fights.
[02:38:05.130 --> 02:38:13.050]  I mean, shit can pop off in the, uh, in the counties and everything, but, um, you know,
[02:38:13.050 --> 02:38:15.930]  like, uh, and, and everything, it's way larger scale.
[02:38:16.730 --> 02:38:21.210]  A lot of, uh, a lot of weapons and things like that come up the woodwork.
[02:38:21.210 --> 02:38:26.010]  So, um, it's way, way, way more, uh, way more serious.
[02:38:26.730 --> 02:38:32.810]  So, um, like a full scale riot is fucking insane, you know?
[02:38:32.890 --> 02:38:39.690]  And, um, you know, you can get a hundred, 200 people all killing each other at the same
[02:38:39.690 --> 02:38:40.190]  time.
[02:38:40.570 --> 02:38:42.890]  Um, and then the cops trying to kill everybody too.
[02:38:42.890 --> 02:38:47.210]  Like, I mean, it's, it's pretty, uh, it's pretty hectic, you know?
[02:38:47.210 --> 02:38:50.730]  And then once it's done, you know, there's the aftermath of that.
[02:38:51.370 --> 02:38:56.650]  So, um, when it comes off of a lockdown, you know, it's right back at it again, or small
[02:38:56.650 --> 02:39:02.330]  isolated stabbings and shit, you know, guys seeking revenge or whatever, retribution.
[02:39:03.530 --> 02:39:06.970]  You know, do you mind sharing the riot story?
[02:39:06.970 --> 02:39:10.010]  Do you mind like kind of maybe just sharing an overview?
[02:39:10.010 --> 02:39:14.250]  It doesn't have to be detailed or like, how, how does a riot pop off?
[02:39:14.250 --> 02:39:15.530]  It maybe is a better question.
[02:39:16.730 --> 02:39:18.650]  Um, it could happen.
[02:39:21.610 --> 02:39:26.010]  It could happen in a, uh, a variety of ways, man.
[02:39:26.010 --> 02:39:33.850]  Um, it could be just as simple as someone disrespect someone and these group of people,
[02:39:34.410 --> 02:39:36.890]  um, they'll call it a car, you know what I mean?
[02:39:36.890 --> 02:39:39.130]  It might not be a gang, but it's a group of people.
[02:39:39.130 --> 02:39:48.330]  So one car might not discipline their guy, which ultimately leads to the other car that's
[02:39:48.330 --> 02:39:49.450]  been disrespected.
[02:39:50.010 --> 02:39:55.370]  Um, it could have been just as simple as somebody taking something or just talking out their
[02:39:55.370 --> 02:39:55.870]  mouth.
[02:39:56.410 --> 02:40:00.410]  Um, and then that just leads into something bigger.
[02:40:00.410 --> 02:40:05.930]  Um, it could be guys, you know, like trying to, you know, power struggle.
[02:40:05.930 --> 02:40:09.690]  It could be one guy losing his shit, you know, and he goes and stabs one guy off.
[02:40:10.570 --> 02:40:12.250]  And then that leads into something bigger.
[02:40:13.210 --> 02:40:15.450]  It could be stealing drugs.
[02:40:15.450 --> 02:40:20.090]  I mean, it, you know, if things don't, that's why they call them politics.
[02:40:20.090 --> 02:40:26.570]  If things aren't ironed out and straightened out at a smaller level, they, they, they,
[02:40:26.570 --> 02:40:29.690]  they blow into proportion out of proportion.
[02:40:30.570 --> 02:40:39.050]  And, um, you know, everybody has nothing to do but time and think violence and, and plan
[02:40:39.050 --> 02:40:42.090]  for it, you know, like you literally there all the time.
[02:40:42.090 --> 02:40:49.210]  So all you gotta do is plan shit out, make weapons, you know, so, um, all these different
[02:40:49.210 --> 02:40:53.770]  factors can, um, can lead up to it.
[02:40:53.770 --> 02:41:04.490]  Um, you know, then, and quite a few, you know, um, uh, the one, you know, I was telling you
[02:41:04.490 --> 02:41:07.530]  about, I mean, it's like a hundred men in that one.
[02:41:08.170 --> 02:41:09.850]  Um, I don't know.
[02:41:11.130 --> 02:41:12.330]  Uh, I don't know.
[02:41:12.330 --> 02:41:15.210]  I don't think I'd really even get into it right now for real.
[02:41:15.210 --> 02:41:20.810]  I don't really know how to, um, I don't really know how to put all that into words for real,
[02:41:21.370 --> 02:41:24.250]  but, um, yeah, it was pretty bad.
[02:41:24.970 --> 02:41:30.410]  Um, you know, you had a bunch of people die, um, blood everywhere.
[02:41:30.410 --> 02:41:35.290]  Um, over just, that's kind of where the paranoia comes in, right?
[02:41:35.290 --> 02:41:40.570]  Cause that could pop off at really any time, any moment, any moment, you know,
[02:41:40.570 --> 02:41:41.690]  Marco, you're back, buddy.
[02:41:42.730 --> 02:41:43.530]  Yeah, man.
[02:41:43.530 --> 02:41:44.250]  Sorry guys.
[02:41:44.250 --> 02:41:44.730]  I'm back.
[02:41:44.970 --> 02:41:47.050]  This fucking, can you turn your phone?
[02:41:47.050 --> 02:41:49.210]  And you want me to go this way?
[02:41:49.770 --> 02:41:50.330]  Yeah.
[02:41:50.330 --> 02:41:53.210]  Sorry about that, man.
[02:41:53.210 --> 02:41:54.250]  I really do.
[02:41:54.250 --> 02:41:58.250]  I know I've said this a couple of times, but I know that most of the time we, I would never
[02:41:58.250 --> 02:41:59.930]  be able to talk about this with you.
[02:41:59.930 --> 02:42:04.810]  I would never even want to, I just kind of wanted to give a few things out so that people
[02:42:04.810 --> 02:42:06.490]  would see the real side of life.
[02:42:07.370 --> 02:42:10.810]  Um, it's always, it always seems so rosy.
[02:42:10.810 --> 02:42:13.930]  Like you had mentioned, even when people betray you and that kind of stuff,
[02:42:14.410 --> 02:42:18.890]  co-defendants and stuff, those, those individuals turn super quick.
[02:42:18.890 --> 02:42:23.050]  And like you had mentioned, sometimes it could be almost as silly, like a one year thing,
[02:42:23.050 --> 02:42:26.250]  and they'll change your life just so they are not inconvenient.
[02:42:26.970 --> 02:42:30.090]  I know a cat that went in, this was back in 07.
[02:42:30.090 --> 02:42:33.130]  He went in, I think he had two and a half years, three years.
[02:42:33.690 --> 02:42:34.970]  Um, he's still locked up.
[02:42:35.770 --> 02:42:37.530]  He turned it into 30 something years.
[02:42:38.250 --> 02:42:39.850]  You know, he gets into some shit.
[02:42:39.850 --> 02:42:40.890]  He stabs a dude up.
[02:42:41.450 --> 02:42:43.530]  Another five years, another one, another one.
[02:42:43.530 --> 02:42:46.570]  And it's just never, never ending, you know?
[02:42:47.210 --> 02:42:51.210]  So, you know, it's easy to get wrapped up and just, you just stay there, you know?
[02:42:53.130 --> 02:42:57.770]  And it's, it's, it's a bad, bad deal all the way around, you know?
[02:42:59.770 --> 02:43:01.770]  Hey, just a random question, bro.
[02:43:01.770 --> 02:43:05.930]  Did they, um, were they offering y'all like the vaccine or trying or enforcing y'all
[02:43:05.930 --> 02:43:07.210]  or anything like that in there?
[02:43:07.930 --> 02:43:14.810]  So they, they can't like, you know, legally like force it on you, right?
[02:43:15.690 --> 02:43:17.210]  But they can offer you options.
[02:43:18.090 --> 02:43:23.130]  So it kind of makes it like a no, uh, a no brainer.
[02:43:23.130 --> 02:43:25.450]  Like, it's like, oh yeah, you can have those.
[02:43:25.450 --> 02:43:31.930]  And, you know, you'll, you'll be able to avoid quarantines and, you know, you'll be able to
[02:43:32.730 --> 02:43:34.810]  get your release to a halfway house.
[02:43:35.450 --> 02:43:42.090]  And, um, you know, you can, you can do all these things or you cannot get it.
[02:43:42.090 --> 02:43:44.090]  And yeah, you can just stay in quarantine.
[02:43:44.090 --> 02:43:44.890]  You can't do this.
[02:43:44.890 --> 02:43:45.530]  You can't do that.
[02:43:45.530 --> 02:43:48.010]  You probably won't get released to a halfway house.
[02:43:48.010 --> 02:43:51.850]  If you do get released at any point, you're gonna have to travel back on Conair again
[02:43:51.850 --> 02:43:53.130]  and go to a County.
[02:43:53.130 --> 02:43:54.090]  So they make it.
[02:43:54.090 --> 02:43:58.410]  So it's like, you know, it's a force your hand.
[02:43:59.210 --> 02:43:59.690]  Yeah.
[02:43:59.690 --> 02:44:03.850]  And at that point when they were offering it and everything, it was like guinea pig
[02:44:03.850 --> 02:44:04.490]  stages.
[02:44:04.490 --> 02:44:09.690]  So, uh, they just want to make sure that it didn't kill a bunch of people before they
[02:44:09.690 --> 02:44:12.970]  started offering it to the general, uh, general public.
[02:44:13.610 --> 02:44:14.890]  So, um, yeah.
[02:44:15.770 --> 02:44:22.410]  So yeah, you know, and a lot of it, you know, it was just a lot of bullshit, you know, what
[02:44:22.410 --> 02:44:24.170]  they were saying, you wouldn't be able to do.
[02:44:24.170 --> 02:44:25.130]  And it turned out later.
[02:44:25.130 --> 02:44:28.090]  It was like, yeah, that literally had no bearing on it, but you didn't know.
[02:44:28.730 --> 02:44:31.130]  So you were like, what do I do here?
[02:44:31.930 --> 02:44:33.610]  Sounds like the government right now.
[02:44:33.610 --> 02:44:34.490]  You know what I mean?
[02:44:34.490 --> 02:44:35.370]  So yeah.
[02:44:35.370 --> 02:44:39.690]  So you just got to look out for your, you know, your best interest or your, uh, your,
[02:44:39.690 --> 02:44:42.170]  your friends and your family for real.
[02:44:42.170 --> 02:44:46.570]  And, uh, you know, I said, you know, I've brought it, you know, rolling dice, you know,
[02:44:46.570 --> 02:44:48.490]  I need to get back home to my family.
[02:44:48.490 --> 02:44:51.050]  So, um, I'm pretty strong, dude.
[02:44:51.050 --> 02:44:56.330]  I got a hell of an immune system and, uh, you know, I've probably inhaled worse shit
[02:44:56.330 --> 02:45:01.690]  than that on construction sites that are in dump work and everything, you know, we
[02:45:01.690 --> 02:45:03.930]  chose and been around the blue and everything.
[02:45:03.930 --> 02:45:08.170]  So I'm like, that shit had to build up a ton of something like, fuck it.
[02:45:08.170 --> 02:45:08.970]  Jab me with it.
[02:45:08.970 --> 02:45:09.610]  You know what I mean?
[02:45:09.610 --> 02:45:12.330]  We'll just roll the dice and hopefully it doesn't kill me.
[02:45:13.930 --> 02:45:14.330]  Yeah.
[02:45:14.330 --> 02:45:17.130]  Nothing happened to me, but it's a lot of other people get it.
[02:45:17.130 --> 02:45:19.210]  And I got sick as a dog and all fucked up.
[02:45:20.090 --> 02:45:20.590]  Yeah.
[02:45:21.370 --> 02:45:21.930]  Yeah, man.
[02:45:24.250 --> 02:45:24.750]  Yeah.
[02:45:26.570 --> 02:45:32.330]  Well, before we, uh, kind of finalize things here and can maybe get a few questions in,
[02:45:32.330 --> 02:45:36.890]  I had one more question for you to like, when it came to your vault and then your other
[02:45:36.890 --> 02:45:42.090]  genetics, like what made you say these genetics are vault worthy, uh, where these genetics
[02:45:42.090 --> 02:45:44.490]  were, you know, you released to the public in the general manner.
[02:45:45.770 --> 02:45:53.130]  Um, vault ones were definitely, um, not one, they were not plenty to, they were made for,
[02:45:53.210 --> 02:45:59.210]  um, they were made more for my purpose and like a project or something like that.
[02:45:59.210 --> 02:46:02.650]  Certain ones went on and were great and other projects.
[02:46:03.370 --> 02:46:09.930]  Um, and some of them, they didn't do great working on an outcrosses and other projects,
[02:46:09.930 --> 02:46:12.410]  but standalone, they were phenomenal.
[02:46:12.410 --> 02:46:17.450]  So they ended up, you know, going, going that route, you know, find good homes.
[02:46:20.010 --> 02:46:20.890]  Yeah, man.
[02:46:20.890 --> 02:46:25.770]  Is one of your requirements, you know, kind of for the vault, like how well that genetics
[02:46:26.650 --> 02:46:29.130]  can combine with others and stay dominant?
[02:46:29.690 --> 02:46:31.610]  Uh, I heard belief talking about that.
[02:46:31.610 --> 02:46:35.930]  He has some, like his creatures, like one, he could breathe with anything and he's getting
[02:46:35.930 --> 02:46:40.330]  those certain traits that he wants kind of no matter what, is that one of your things
[02:46:40.330 --> 02:46:41.130]  you look for, bro?
[02:46:41.930 --> 02:46:43.770]  Um, depending on the project.
[02:46:43.770 --> 02:46:44.010]  Yeah.
[02:46:44.010 --> 02:46:47.450]  Cause some things it's like, I don't want the whole, the whole thing.
[02:46:47.450 --> 02:46:49.850]  I just want certain attributes out of it.
[02:46:49.850 --> 02:46:51.850]  And then you end up using something.
[02:46:51.850 --> 02:46:53.610]  It's so fucking dominant.
[02:46:53.610 --> 02:46:57.210]  You might as well just recreated the one, the one side of the family.
[02:46:57.770 --> 02:47:01.690]  Um, so sometimes it works out depending on what you want to do.
[02:47:01.690 --> 02:47:04.650]  And then sometimes you're like, oh man, it's just, it's just too much.
[02:47:04.650 --> 02:47:10.730]  It's like using a, it's like using Jack hair, um, and something and trying not to have Jack
[02:47:10.730 --> 02:47:11.290]  hair smell.
[02:47:12.490 --> 02:47:16.410]  It's like, it's very, very hard, very hard to do.
[02:47:16.970 --> 02:47:20.810]  So because most of the time you breathe in with Jack carrots, the project is going to
[02:47:20.810 --> 02:47:21.210]  come out.
[02:47:21.210 --> 02:47:24.570]  So smell like Jack hair, um, same with like Durden.
[02:47:24.570 --> 02:47:26.170]  It's the same, same type of girl.
[02:47:27.450 --> 02:47:27.850]  Gotcha.
[02:47:28.650 --> 02:47:28.890]  Yeah.
[02:47:31.690 --> 02:47:32.650]  Favorite Hayes.
[02:47:33.850 --> 02:47:34.730]  I don't know, man.
[02:47:34.730 --> 02:47:38.490]  The NL five days was definitely a G 13.
[02:47:38.490 --> 02:47:39.290]  Hayes was good.
[02:47:39.930 --> 02:47:45.930]  Um, my East coast dude, that tough dude, that uptown from the Bronx up in New York.
