[00:00.000 --> 00:02.000]  and
[01:23:00.570 --> 01:23:03.490]  and then some of those I get you know, like
[01:23:04.050 --> 01:23:07.630]  You know some of those places that there's one makes wines with all
[01:23:08.050 --> 01:23:12.590]  He gives next wine and apricot wine a few years before that
[01:23:12.590 --> 01:23:16.370]  He makes every year out of all the trees that we take care of right, you know
[01:23:16.370 --> 01:23:21.610]  He's been given some cannabis and stuff. So you get some stuff back which is kind of neat and it's just a cool little
[01:23:22.450 --> 01:23:29.370]  Just a cool little world, you know, you get more people growing food and trees you you know, yeah, you know, that's good and
[01:23:30.250 --> 01:23:34.050]  Everything it's all good. You know, no negativity there, you know, so
[01:23:34.690 --> 01:23:40.770]  It's yeah, I'll get a see quite a few, you know, but what for my personal smoke, it'll be all
[01:23:41.970 --> 01:23:43.290]  clones
[01:23:43.290 --> 01:23:46.050]  so last year I did I did seed and
[01:23:47.050 --> 01:23:53.290]  It hurt my hurt my jars for the for the gear, you know, so I did all seed, you know, I didn't do enough
[01:23:53.290 --> 01:23:55.610]  I thought I did enough and I could you know, so
[01:23:56.450 --> 01:24:02.730]  This year I'm gonna do just fire just just a small fire patch. It'll be nice. That'll be nice
[01:24:02.730 --> 01:24:09.930]  I'll fill up the jars and then we'll I'll look at everybody else's stuff out. I'll let them do the seat which will be nice
[01:24:10.770 --> 01:24:12.770]  so
[01:24:13.410 --> 01:24:15.330]  Go for it coastal
[01:24:15.330 --> 01:24:23.450]  So, um, I am kind of hating myself because I'm going to basically have a giant haze orgy
[01:24:24.370 --> 01:24:26.610]  And basically knock up
[01:24:28.210 --> 01:24:30.210]  Tony's days
[01:24:30.490 --> 01:24:32.490]  from bone yard
[01:24:33.530 --> 01:24:37.490]  with Todd McCormick purple haze, you know males
[01:24:37.810 --> 01:24:38.770]  Oh
[01:24:38.770 --> 01:24:40.770]  pollen as well as
[01:24:41.130 --> 01:24:47.250]  The can doors and a whole bunch of other shit because I'm just gonna just have stuff at my neighbor's house, too
[01:24:47.250 --> 01:24:50.810]  so I'll be able to make a few little fucking crosses and
[01:24:52.090 --> 01:24:55.010]  Unfortunately, I'm like, oh shit. I'm not gonna be able to get any bud
[01:24:55.010 --> 01:25:00.130]  It's just gonna be all seed but whatever I do get I'm gonna try to selectively pollinate
[01:25:00.130 --> 01:25:05.130]  But whatever I do that I'm gonna try to see if I can share with you know, whoever I can
[01:25:05.970 --> 01:25:08.450]  And see what comes out of it
[01:25:09.250 --> 01:25:14.730]  because I think it'll be really interesting to see like a purple like energy crossed with a
[01:25:15.770 --> 01:25:19.050]  Purple haze and just just whatever that crazy
[01:25:19.850 --> 01:25:23.410]  Cross comes up with you know, just just let it go, you know
[01:25:24.130 --> 01:25:26.450]  But yeah, I'd really like to share that with everybody
[01:25:28.010 --> 01:25:31.130]  It's always cool looking at any seeds, you know for the first time
[01:25:32.130 --> 01:25:38.450]  It's kind of looked at it, you know, so it's kind of neat it's here you pop them and you grow them
[01:25:38.450 --> 01:25:40.450]  so they're kind of like you're
[01:25:40.690 --> 01:25:42.690]  you're you're you're
[01:25:43.050 --> 01:25:46.810]  Responsibility, you know what? I mean in a weird way. So it's it's cool. It's
[01:25:47.570 --> 01:25:51.690]  Doesn't matter what they are man, you know, you make them it's something special about it
[01:25:51.690 --> 01:25:55.730]  They're always there's always gonna be something good with it. You know, it's cool. I encourage that
[01:25:57.450 --> 01:25:59.450]  Everything
[01:25:59.570 --> 01:26:03.410]  There's a mischievous person that just slid into the into the
[01:26:04.490 --> 01:26:09.850]  Did you see that? Yeah, that is is he good? Do you think he's gonna speak up or he's just here to snoop?
[01:26:10.090 --> 01:26:14.730]  Yeah, I he doesn't know that I turned on the ding so that you can't
[01:26:17.970 --> 01:26:22.450]  But I've been getting good using these things, you know, I've been getting good I've been doing lots of stuff here
[01:26:22.450 --> 01:26:26.930]  I'm getting getting better at this, you know, so I saw that sliding
[01:26:29.770 --> 01:26:31.770]  Is he gonna speak up no, he's not
[01:26:32.290 --> 01:26:34.290]  so next week
[01:26:34.370 --> 01:26:36.490]  We'll try next while we're two weeks out
[01:26:36.490 --> 01:26:41.330]  but I think we need to switch which day of the week that we're doing it on because
[01:26:41.810 --> 01:26:43.010]  last
[01:26:43.010 --> 01:26:49.570]  Because each time we try and do it on a Friday. I've realized that we're perfectly aligned with Chad Westport's
[01:26:50.610 --> 01:26:57.330]  Bi-weekly Friday like we've accidentally fallen on the same Friday there and I and you know, I don't want to get in Chad
[01:26:57.970 --> 01:27:03.770]  Gorgeous I don't want to get strangled by that gorgeous hair, you know, he's pretty close to me over the border
[01:27:03.770 --> 01:27:05.770]  I'd like to I'd like to break bread with them
[01:27:10.570 --> 01:27:15.010]  Yeah, so I mean I kind of like Saturdays or Sundays are pretty good
[01:27:15.010 --> 01:27:20.690]  They're pretty quiet nice and we get a lot of awesome people into this space that seem to enjoy the conversation as well
[01:27:20.890 --> 01:27:24.130]  So I think like which which day works best for y'all
[01:27:24.130 --> 01:27:26.130]  I
[01:27:27.010 --> 01:27:29.490]  Had to say y'all cuz you wearing a cowboy hat
[01:27:32.290 --> 01:27:34.290]  So set like
[01:27:34.570 --> 01:27:40.350]  Saturdays are probably the best day for me for kids and other stuff. They got to go to school on Monday
[01:27:40.730 --> 01:27:47.090]  But I can do yeah, I can do either one that can make it make it work. You know, that's not the end of the world
[01:27:47.090 --> 01:27:48.050]  but
[01:27:48.050 --> 01:27:53.650]  If we're if we're picking from Saturday and Sunday, then you know, I'll throw I'll throw Saturday and in there
[01:27:54.530 --> 01:27:59.010]  I'm in for Saturday as well, but I could do both same thing. Yeah
[01:28:00.890 --> 01:28:02.890]  I'm good with Saturday
[01:28:04.690 --> 01:28:10.690]  All right, that's three for making it that we're good for good to go for Saturday and Nick Nick's like fuck you
[01:28:10.690 --> 01:28:12.690]  I don't want Saturday and
[01:28:14.290 --> 01:28:16.290]  Don't go
[01:28:16.890 --> 01:28:18.890]  Did you disagree with
[01:28:20.490 --> 01:28:22.490]  I'll see if he if he if he just
[01:28:24.290 --> 01:28:28.850]  And that's that's the thing, you know most that's like the best night of the week, you know, you're like
[01:28:29.570 --> 01:28:31.730]  You're out of the town causing a ruckus
[01:28:33.530 --> 01:28:38.970]  Ready to burn the place down that's that's a tough night for some people, you know, that's a good night for me
[01:28:41.090 --> 01:28:42.750]  I'm good with Saturday, too
[01:28:42.750 --> 01:28:48.290]  I think it's it's an excellent day and a lot of it's a lot of people like to there's not nothing going on
[01:28:48.410 --> 01:28:53.830]  You know what I mean and it's it's it's it's a good time to come together and chat and have
[01:28:54.330 --> 01:28:56.890]  Conversations say I can't wait to see these things get fucking huge
[01:28:56.890 --> 01:29:02.290]  I I think I'm probably gonna take the original mothers and plug them all outside
[01:29:02.650 --> 01:29:08.330]  And just see what the fuck happens and see how they survive in the Canadian harshness
[01:29:09.610 --> 01:29:12.330]  Which will be good like just as a point of perspective
[01:29:12.330 --> 01:29:18.050]  I have mums out and out and like they're with a light in this space so that they're not flipping
[01:29:18.450 --> 01:29:24.770]  But I have mums fully outdoor right now. That'll just sit and they'll be able to survive it gets down to six
[01:29:25.330 --> 01:29:26.970]  but like so
[01:29:26.970 --> 01:29:32.370]  Grosses stopped like it's it's done, but like it doesn't it doesn't move very much
[01:29:32.410 --> 01:29:37.010]  But they do survive at this temperature. So they'll probably hit the same
[01:29:37.690 --> 01:29:39.690]  by late September
[01:29:40.650 --> 01:29:45.410]  Probably in there yeah, no I love that too that any type of those jerk
[01:29:45.770 --> 01:29:52.050]  It's like that's killer like when when Josh ran ran a bunch of stuff up north and up in Bellingham
[01:29:52.050 --> 01:29:56.450]  You know it's like wow that's that's killer. I got a lot of good feedback from from that you know
[01:29:57.010 --> 01:30:00.370]  You know down in the south they get a lot of stuff from like you know
[01:30:00.690 --> 01:30:05.330]  Georgia and Tennessee and Carolinas and places like it's kind of interesting you know
[01:30:06.330 --> 01:30:11.930]  Cool stuff so I like I like that so you're up there in the north that would be cool to have something out there
[01:30:12.130 --> 01:30:15.970]  That you know a man or rotted right away or whatever
[01:30:16.610 --> 01:30:18.130]  I
[01:30:18.130 --> 01:30:20.930]  Want to try doing light depth in my back
[01:30:20.930 --> 01:30:25.370]  I have a big 10 by 8 green like box, and I've been wanting to do light depth
[01:30:26.610 --> 01:30:32.970]  So I might try and play with that at some point as well. See how that goes just I'm nervous
[01:30:32.970 --> 01:30:38.330]  Just because it's already that we already already have so much moisture like our temperature fluctuates so much
[01:30:38.330 --> 01:30:42.810]  And I'm surrounded by very tar very large
[01:30:43.290 --> 01:30:48.110]  Deciduous trees that like to cover themselves in powdery mildew because I'm right on the ocean
[01:30:48.170 --> 01:30:51.050]  So it's like it just it scares the crap out of me
[01:30:51.050 --> 01:30:55.210]  So I don't know if there's better shade cloth or things to use to like make that work better
[01:30:55.210 --> 01:30:57.650]  But I'm gonna have to do some research on that yeah
[01:30:57.650 --> 01:31:02.330]  You can't you're not gonna be able to pull pull off light depth all the way if you're using shade cloths
[01:31:02.330 --> 01:31:07.050]  You need to black it out all the way. You know yeah, you're screwed either way best thing
[01:31:07.050 --> 01:31:11.370]  I can say is get some fans that move out move move that fucking air
[01:31:11.370 --> 01:31:15.930]  You know what I mean out of there. You know conceal it in some way to make it to where you can
[01:31:16.490 --> 01:31:19.490]  You can get get that air evacuated pretty quickly
[01:31:19.530 --> 01:31:25.090]  You know cuz they out here you do light depth which we do some stuff here and there it gets so hot
[01:31:25.090 --> 01:31:28.650]  It's like by you're trying to cover them up. You know in
[01:31:29.650 --> 01:31:34.610]  Anything in an evening here, it's still 90 degrees. You know so underneath that that tarp
[01:31:34.610 --> 01:31:37.490]  It gets really hot like it's really hot really quick
[01:31:38.250 --> 01:31:44.090]  and that pisses them off a lot of the time so a bigger more air and
[01:31:46.730 --> 01:31:53.490]  Movement of that air in some capacity is like the only way that I've ever found that I can grow them without them being too
[01:31:53.490 --> 01:31:56.010]  Pissed off and actually doing something you know what I mean
[01:31:56.610 --> 01:31:58.610]  So it's that's good
[01:31:59.730 --> 01:32:04.530]  It's good battle. No way I got time you got it right on time, dude
[01:32:06.090 --> 01:32:08.090]  Don't be fucking late. Oh my god
[01:32:08.170 --> 01:32:14.330]  I'm sitting here at Red Lobster, and I was supposed to cover him ten minutes ago. I'll be they'll be fine
[01:32:14.330 --> 01:32:17.930]  I'll be a half an hour. It's like you do that a couple times a week, dude
[01:32:17.930 --> 01:32:23.490]  It's like yeah, you're you're screwing stuff up, dude, so yeah, you got me on time. Yeah for sure
[01:32:24.130 --> 01:32:30.570]  Yeah, you got a lit you can't leave the garden like even going for three fucking days for like a vacation
[01:32:30.570 --> 01:32:32.690]  You can't you can't fucking step away
[01:32:33.010 --> 01:32:39.850]  But you know you know what I do have is I actually have a spare duct like a duct fan like a power high power
[01:32:39.850 --> 01:32:45.370]  One yeah, I was like I could just I could just plug that in there and get it on 15 minute time
[01:32:45.370 --> 01:32:47.050]  Yeah, once an hour and flush it
[01:32:47.050 --> 01:32:52.290]  I got these solar fans man that they're like these solar panels that are connected to these little fans
[01:32:52.450 --> 01:32:57.570]  And you plug these little fans and like the greenhouse or build your own little thing and like stick in places
[01:32:57.570 --> 01:33:00.010]  You know what I mean those are so killer dude like
[01:33:00.650 --> 01:33:02.570]  You know I mean you can't do a ton with them
[01:33:02.570 --> 01:33:05.690]  But I mean if you're just doing little light depth things and other stuff like that
[01:33:05.690 --> 01:33:08.210]  And it's like just the last couple hours, and you got Sun
[01:33:08.370 --> 01:33:12.130]  It's like that's nice where you are at you might not have the Sun as easy as me
[01:33:12.130 --> 01:33:16.570]  You know so I could run things on the Sun still but so that Sun goes away unless you get a charge
[01:33:16.570 --> 01:33:18.570]  You're no good anymore. You know so
[01:33:18.610 --> 01:33:23.890]  Yeah as long as I can get as long as I really just need to get him started a little bit
[01:33:23.890 --> 01:33:27.330]  I just need them like by August 1st them to start
[01:33:28.250 --> 01:33:34.490]  Leaning in and then by you know I can just I only really need to tie it to black him out for like two three
[01:33:34.490 --> 01:33:36.490]  Weeks just to get a headway of
[01:33:36.530 --> 01:33:40.690]  The season so they don't so you're not like struggling to get deep in the flower
[01:33:40.690 --> 01:33:47.530]  And they're like just hitting by September. I can't tell you like I I grew I put a GG number four down
[01:33:47.690 --> 01:33:53.530]  That was like itself, and I put it in that four by eight bed. Just one plant. I started in in
[01:33:54.490 --> 01:33:56.490]  December the year prior to
[01:33:56.610 --> 01:34:03.450]  And like got it huge got like the eight by eight filled it right up got it about six and a half feet tall like
[01:34:03.530 --> 01:34:05.530]  massive plant and I
[01:34:06.130 --> 01:34:08.130]  Thrown out so much weed
[01:34:09.130 --> 01:34:11.650]  It's like every day rot rot
[01:34:12.650 --> 01:34:14.650]  Yeah
[01:34:15.530 --> 01:34:17.530]  It was sucky in a
[01:34:18.650 --> 01:34:21.850]  Living by the water hell it is hell I
[01:34:22.410 --> 01:34:26.130]  Never never saw rot until I live by the water
[01:34:26.130 --> 01:34:29.450]  And it was like I was growing woody from nerd genetics
[01:34:29.450 --> 01:34:36.610]  And it it was just this very very dense chunky like chonker chonk fucking no GK fucking cross
[01:34:37.010 --> 01:34:44.010]  And it was so nice, and then I started seeing this white just rot and I was like oh my gosh
[01:34:44.250 --> 01:34:45.810]  How the hell is this happening?
[01:34:45.810 --> 01:34:50.050]  And it's only because that humidity especially near the coast you
[01:34:50.370 --> 01:34:55.930]  It really is preferable to just grow hazes by the coast and then inland you can do the like
[01:34:56.850 --> 01:35:04.810]  The harder buds that the denser buds, but I feel like if you're by the coast just do like what like people did in Santa Cruz
[01:35:04.810 --> 01:35:06.730]  You know all that
[01:35:06.730 --> 01:35:13.890]  Do they do haze I feel like that's the best way to keep from the rot, and I mean it's a better product anyway
[01:35:14.810 --> 01:35:16.810]  You might only get one yield a year
[01:35:17.490 --> 01:35:19.170]  but I
[01:35:19.170 --> 01:35:21.170]  think that's probably
[01:35:21.370 --> 01:35:22.850]  the smarter
[01:35:22.850 --> 01:35:29.370]  Or just at least the hybrids and Neville's or like even I guess if you want to go with the super silver even though
[01:35:29.370 --> 01:35:33.730]  And that is a good one, but that leans more towards that that that denser
[01:35:34.050 --> 01:35:39.730]  Kind of bud and and you know the denser it gets the more you risk that that that bud rot
[01:35:39.730 --> 01:35:44.710]  Especially if you're doing it outdoors near the water. I mean, I'm literally on the water so
[01:35:45.410 --> 01:35:47.130]  It is help
[01:35:47.130 --> 01:35:54.730]  Sometimes me too brother. I'm like right off right on like a half a block away from from from the from the water
[01:35:55.370 --> 01:36:02.730]  Pretty close to I always um I actually did you speak to that and I like I did a cross and a copoco gold
[01:36:03.050 --> 01:36:04.530]  landrace
[01:36:04.530 --> 01:36:11.930]  From he was actually in a chat earlier from Delman, and I'm gonna be harvesting the plants in a week and a half
[01:36:12.890 --> 01:36:17.850]  Because I've cried took took one of the boys out of that and crossed it into my lemon cush headband
[01:36:18.530 --> 01:36:21.650]  And kind of sprayed the tent down a little bit with some of their pollen
[01:36:21.650 --> 01:36:28.690]  So I'll get a lot of fun stuff to play out of that. I'm really excited that lemon cush is one of my favorite plants
[01:36:29.210 --> 01:36:37.410]  It's got a great lemony flavor it's like sweet toned as well. It's not just like like lemon. It's like sweet lemon
[01:36:38.930 --> 01:36:42.290]  So I'm really excited to see kind of how that'll turn out
[01:36:42.610 --> 01:36:46.590]  But I'll probably need to bring it in down or down one or two lines
[01:36:46.590 --> 01:36:50.290]  But I'm not too sure how many seeds I'm gonna get if you mentioned mr.
[01:36:50.290 --> 01:36:55.730]  Trees it's like it's always about you put a bunch out and then you you you test a bunch of then you don't quite have enough
[01:36:55.730 --> 01:36:57.490]  jars to make it through
[01:36:57.490 --> 01:36:59.290]  And I'm like at that point right now
[01:36:59.290 --> 01:37:05.850]  I'm like I'm gonna have to do a big batch of dry sift if I'm gonna make it through to my next harvest right now
[01:37:05.850 --> 01:37:09.130]  Cuz I've been fucking around too much gotta put my aid in
[01:37:09.290 --> 01:37:14.950]  Take my aid out and get my fucking eight jars every three fucking weeks. Otherwise, I'm gonna run out and then I go
[01:37:14.950 --> 01:37:18.610]  Oh my god, I'm smoking eight jars every three weeks great. That's
[01:37:22.010 --> 01:37:27.330]  Goes yeah, I've been you know, I used to be just like all out do just you know
[01:37:27.490 --> 01:37:32.570]  And I would never I would never be be mapped out the way you you know what I mean?
[01:37:32.570 --> 01:37:35.890]  so I finally figured out that yeah, I got a
[01:37:36.530 --> 01:37:39.450]  got a focus in and you got to do things but
[01:37:40.330 --> 01:37:45.610]  You know, you definitely got to cover your ass, you know, I mean because when you look at too much
[01:37:46.490 --> 01:37:51.650]  In the end, you don't see as much as you'd like, you know what I mean? It's just the way it goes, you know, so
[01:37:53.130 --> 01:37:54.650]  Gotta
[01:37:54.650 --> 01:38:00.170]  Get up to the head it's easier to plant them than it is to cut them dry them and hang them
[01:38:02.530 --> 01:38:08.010]  I could put I could plants three million plants in spring, but I definitely can't harvest that man
[01:38:08.570 --> 01:38:12.930]  That's one thing and then most of those aren't gonna be the one that you want, you know what I mean?
[01:38:12.930 --> 01:38:16.970]  It's like one whole bunch of those dip, you know a whole bunch of something, you know, it's like oh
[01:38:16.970 --> 01:38:21.130]  Well, it's just this one and it's always the smallest plant to like yield the least amount
[01:38:21.410 --> 01:38:28.870]  You know, whatever and it's like oh well now I have all this other stuff that you know, I don't like you know
[01:38:28.870 --> 01:38:33.850]  I hate that, you know, it's nothing worse than like having weed but not having weed, you know, I mean
[01:38:35.490 --> 01:38:40.890]  Smoke this again don't like this fire that is better than most
[01:38:42.770 --> 01:38:45.970]  But you know, it's the jar I don't want today
[01:38:45.970 --> 01:38:47.970]  Exactly
[01:38:49.370 --> 01:38:52.010]  You could be smoking dispensary weed, you know
[01:38:53.210 --> 01:38:59.410]  Buddy of mine calls that the the our jar. He has the my jar in the our jar
[01:38:59.730 --> 01:39:01.730]  He puts that on the our jar
[01:39:02.530 --> 01:39:04.530]  Yeah
[01:39:07.530 --> 01:39:10.890]  People love me though, cuz you know my dad and stuff they don't have to worry about it
[01:39:10.890 --> 01:39:14.730]  You know, my mom's like, okay guys can have that. It's all good. So
[01:39:16.770 --> 01:39:18.770]  It goes it gets used, you know
[01:39:20.290 --> 01:39:28.010]  All right, well I think we will call it an evening postal grown OG did you want to say anything before we go?
[01:39:29.170 --> 01:39:31.250]  No, just happy to be here as always
[01:39:32.290 --> 01:39:34.290]  That's about it
[01:39:34.330 --> 01:39:40.690]  I'll be posting some pictures. This is still like kind of the boring part of the grow cuz it's just dead. So
[01:39:41.570 --> 01:39:45.450]  It'll just be more pictures that look kind of the same. But yeah
[01:39:45.970 --> 01:39:47.970]  Oh my god, how did it are?
[01:39:48.090 --> 01:39:51.050]  We all doing it. Are we all available to have an outdoor?
[01:39:51.810 --> 01:39:59.050]  Like our Corey, can you do outdoor? Oh, yeah. Yep. I'm gonna probably do one of each
[01:39:59.570 --> 01:40:07.050]  I get the SFB and the Royal I I'm gonna run both. I'm hoping hoping to get both of them to go all the way
[01:40:08.330 --> 01:40:10.330]  Oh
[01:40:11.090 --> 01:40:15.250]  Yeah, I'm doing that I'm doing who gets the tallest plant out of the batch
[01:40:16.250 --> 01:40:20.930]  Like see if we can try and like go now I now I fucking talk to them all
[01:40:35.690 --> 01:40:41.290]  I'm gonna definitely right. I am for sure doing the pure stock this year. So
[01:40:42.250 --> 01:40:44.250]  The pure Canada hard reds
[01:40:44.770 --> 01:40:47.250]  I'm I'm gonna look through there for females
[01:40:48.130 --> 01:40:51.570]  Female only I'm not looking at any males in this in this group
[01:40:51.570 --> 01:40:57.610]  So I'm gonna do that and then I'm gonna pull those and then I'll do you know a couple of those outside
[01:40:57.610 --> 01:41:00.630]  So you have any experience with that smoke?
[01:41:02.130 --> 01:41:08.530]  Yeah, actually I have a little bit of experience in in the seeded bud because right when I got the stuff
[01:41:08.530 --> 01:41:13.890]  I didn't open pollination and in that pollination. I made all this stuff. I
[01:41:14.570 --> 01:41:16.770]  preserved it, you know in seed form and
[01:41:17.050 --> 01:41:23.850]  Then all that the flower that I shucked out of those females that are in there were in dry sift and stuff and all the stuff
[01:41:23.850 --> 01:41:26.570]  That fell through in the trim bin and whatnot, you know what I mean?
[01:41:26.730 --> 01:41:29.190]  So I got a I got a smoke some of the you know
[01:41:29.190 --> 01:41:34.330]  Some teeth cleaned it up a little bit and smoked some of the Keith and it was it was heavy-duty
[01:41:34.850 --> 01:41:36.850]  It was nasty
[01:41:37.850 --> 01:41:39.370]  It
[01:41:39.370 --> 01:41:42.450]  It was it was somebody nasty on it on the cheesy
[01:41:43.410 --> 01:41:47.250]  Nasty was so it was like it was like it was like rotten type cheesy
[01:41:49.530 --> 01:41:54.530]  Musty type type chirps that were coming off of it, but it was dry sip. So I mean it's it's hashy
[01:41:54.610 --> 01:41:58.170]  It's already it's already kicked out a little bit and I wasn't dabbing it
[01:41:58.170 --> 01:41:58.570]  You know what?
[01:41:58.570 --> 01:42:04.410]  I mean or pressing it or anything like that was going on top of on top of bowls or just in the in the little hash
[01:42:04.410 --> 01:42:06.210]  pipe, you know
[01:42:06.210 --> 01:42:09.410]  but it wasn't it there was not a fruity note to be seen and
[01:42:09.730 --> 01:42:12.810]  It was definitely like it was powerful and long
[01:42:13.170 --> 01:42:17.930]  Expanding and it was you knew that you were fucking smoking something that had some strips some strong power
[01:42:18.890 --> 01:42:20.890]  Which is why I'm doing this
[01:42:21.170 --> 01:42:26.770]  Pure female run this time around. So I want to see the females and they're real kind of in the Sun
[01:42:27.410 --> 01:42:31.410]  And they're real way that the things are gonna go. We're gonna grow a couple of the girls and
[01:42:32.010 --> 01:42:35.970]  Really see how nasty we can get them. You know, I mean, yep
[01:42:35.970 --> 01:42:40.530]  So and in the meantime, we've been growing these the critters and all that other stuff
[01:42:40.530 --> 01:42:46.850]  And but I finally started a bunch of the pure stuff not too long ago. So those ones will be going outside the females
[01:42:48.690 --> 01:42:53.750]  I'm excited to see what type of variants and variety of variability. Yeah, you know
[01:42:54.250 --> 01:42:58.290]  It'd be nice to look at those and be able to show them see some of the stuff that's going
[01:42:58.810 --> 01:43:02.080]  Cool
[01:43:02.160 --> 01:43:09.680]  Alrighty well, we will end this show everybody to the wave and have a wonderful night. Don't forget to check out dagger Academy
[01:43:11.320 --> 01:43:19.100]  To you know follow along with the girl I've been posting there regularly everybody's been posting there regularly you can also I've got mr
[01:43:19.100 --> 01:43:21.100]  trees have got the link for
[01:43:21.560 --> 01:43:24.240]  Daggah garden in the description
[01:43:24.240 --> 01:43:28.160]  So if you guys want to grow or enjoy some of these
[01:43:28.760 --> 01:43:33.960]  Varieties with us there are limited amounts of those packs available at this point in time
[01:43:34.160 --> 01:43:38.520]  So I would definitely make sure to hop on and grab those as soon as possible
[01:43:38.520 --> 01:43:42.280]  So you can enjoy doing the season with us, you know, you've fun time
[01:43:43.760 --> 01:43:48.880]  And other than that just make sure to have fun and keep it growing. Yeah, thank you
[01:43:49.720 --> 01:43:50.720]  Yeah
[01:43:50.720 --> 01:43:57.120]  School, thanks. Thanks again. I appreciate you all wonderful people. Thanks Peter. Yeah, we see you. Oh
[01:43:57.800 --> 01:43:59.800]  Oh
[01:44:03.640 --> 01:44:07.000]  The Sunday night I gotta go do that same thing
[01:44:08.240 --> 01:44:13.680]  Yeah, I got to I got to skip this one. It was awesome. Every once in a while. I like to skip it
[01:44:14.480 --> 01:44:19.120]  I got great cuddles and then it's like, you know, I just
[01:44:22.160 --> 01:44:26.880]  See where is these giant frizzy desses? It's just a pain in the ass, you know
[01:44:27.800 --> 01:44:30.840]  Enjoy it. Enjoy it all it goes by fast
[01:44:31.600 --> 01:44:39.620]  Do I'm lucky as I have two relegant little girls the four month old and four year old and like I said earlier
[01:44:40.340 --> 01:44:48.140]  So they actually got to spend and she hasn't really even met her nan so she spent the whole night over they baked cookies they
[01:44:48.780 --> 01:44:55.780]  Got up to trouble and didn't like jumped on furniture. And so yeah, it's been trying to calm down the kids for two days
[01:44:57.060 --> 01:45:02.660]  Which has been awesome. But again, I appreciate you guys and I'll chat with you all again soon
[01:45:03.660 --> 01:45:05.660]  Thank you
