[00:00.000 --> 00:03.600]  C-Tuesdays and T-Thursdays.
[02:53:38.780 --> 02:53:41.020]  And, and everything was always fine.
[02:53:41.060 --> 02:53:43.940]  And then we started to grow,
[02:53:43.940 --> 02:53:45.900]  you're allowed to grow six plants
[02:53:45.900 --> 02:53:47.780]  and then you're allowed to grow 25 plants
[02:53:47.780 --> 02:53:49.180]  and people try to stick to it.
[02:53:49.180 --> 02:53:52.020]  And you figure, oh, wow, okay.
[02:53:52.020 --> 02:53:54.540]  I put them in a, now I tried putting them in a,
[02:53:54.540 --> 02:53:57.340]  I put them in a, you know, a 65 gallon pot.
[02:53:57.340 --> 02:53:58.340]  And then they outgrew that.
[02:53:58.340 --> 02:54:00.700]  So you try a hundred, you try 200, you go 300.
[02:54:00.700 --> 02:54:02.860]  Some people use 600 gallon pots now, you know,
[02:54:02.860 --> 02:54:06.340]  they make fabric pots, grassroots fabric pots
[02:54:06.340 --> 02:54:09.700]  that are killer, killer fabric pot company
[02:54:10.700 --> 02:54:13.020]  by not sponsored by them, but they're, you know,
[02:54:13.020 --> 02:54:14.860]  I recommend their pots are cool,
[02:54:14.860 --> 02:54:18.700]  but you get these huge pots or you grow in the ground
[02:54:18.700 --> 02:54:21.780]  or whatever it is, but you get this huge volume of dirt.
[02:54:21.780 --> 02:54:26.780]  And once they get really, once you get really deep soil
[02:54:27.060 --> 02:54:29.180]  and it's far from the outside, you know,
[02:54:29.180 --> 02:54:32.980]  like when we used to do a little bit of mushroom growing,
[02:54:32.980 --> 02:54:33.820]  they would tell us, you know,
[02:54:33.820 --> 02:54:36.700]  don't make your container bigger than about 12 inches across
[02:54:36.700 --> 02:54:37.700]  and 12 inches deep,
[02:54:37.820 --> 02:54:40.060]  because when you get further than that,
[02:54:40.060 --> 02:54:41.540]  this is the inside you tend to,
[02:54:41.540 --> 02:54:46.020]  your meat, your substrate tends to get anaerobic, you know,
[02:54:46.020 --> 02:54:47.620]  and you lose the oxygen in there
[02:54:47.620 --> 02:54:49.580]  and you start to get different decay and stuff,
[02:54:49.580 --> 02:54:53.100]  which, you know, is similar if you have soil
[02:54:53.100 --> 02:54:54.020]  that's really wet.
[02:54:54.020 --> 02:54:57.620]  And so we started to notice there was this thing
[02:54:57.620 --> 02:54:59.220]  that would happen where we'd look at the plants
[02:54:59.220 --> 02:55:02.180]  and we'd be like, damn, it seems like the beds
[02:55:02.180 --> 02:55:04.620]  of the plants are so big and it's so hot out.
[02:55:04.620 --> 02:55:07.140]  Like the plants aren't getting water at the bottom anymore
[02:55:07.580 --> 02:55:08.420]  and the food's not reaching there
[02:55:08.420 --> 02:55:09.700]  because we're getting the deficiencies
[02:55:09.700 --> 02:55:12.740]  at the top of the plant and the top there's food
[02:55:12.740 --> 02:55:13.860]  and there's a lot and it's wet,
[02:55:13.860 --> 02:55:15.340]  but what's it like down below?
[02:55:15.340 --> 02:55:17.940]  And, you know, sometimes somebody would like pop off a board
[02:55:17.940 --> 02:55:20.740]  off their beds or dig down in their pot
[02:55:20.740 --> 02:55:23.220]  to see what was going on and all this different stuff.
[02:55:23.220 --> 02:55:28.220]  And then I had a thing maybe four, five years ago
[02:55:28.380 --> 02:55:31.660]  or something when pretty much no one had heard
[02:55:31.660 --> 02:55:34.620]  about root aphids and then I had root aphids in my pots
[02:55:34.700 --> 02:55:37.940]  and it was, and then I noticed, you know, my pots,
[02:55:37.940 --> 02:55:40.940]  I had 65 gallon pots and I had 300 gallon pots
[02:55:40.940 --> 02:55:43.060]  and the 300 gallon pots all had root aphids
[02:55:43.060 --> 02:55:43.940]  all over the place.
[02:55:43.940 --> 02:55:45.900]  And the plant started to look a little weird
[02:55:45.900 --> 02:55:48.060]  and the top of the plant kind of starts to yellow.
[02:55:48.060 --> 02:55:49.820]  The leaves curl down a little bit.
[02:55:49.820 --> 02:55:52.220]  When they flower, that flower develops a little slower.
[02:55:52.220 --> 02:55:53.500]  It usually winds up really killer
[02:55:53.500 --> 02:55:55.180]  because it's technically it's underfed.
[02:55:55.180 --> 02:55:56.340]  It's not getting the nutrients.
[02:55:56.340 --> 02:55:59.500]  And a lot of times that's good, tasty weed,
[02:55:59.500 --> 02:56:01.420]  like in Jamaica, what they call ital weed
[02:56:01.420 --> 02:56:03.220]  when you plant it and you don't feed it.
[02:56:03.220 --> 02:56:06.980]  And so we were kind of like, well, what,
[02:56:06.980 --> 02:56:08.060]  so what's the deal here?
[02:56:08.060 --> 02:56:11.060]  Is it underwatered, overwatered, underfed, overfed?
[02:56:11.060 --> 02:56:13.300]  Is it accumulating salt at the bottom?
[02:56:13.300 --> 02:56:14.420]  What the hell's going on?
[02:56:14.420 --> 02:56:16.900]  You know, and I would see it at different people's places.
[02:56:16.900 --> 02:56:19.700]  And a lot of the time it would be like one plant.
[02:56:19.700 --> 02:56:21.500]  So you'd be like, I don't know, you know, whatever.
[02:56:21.500 --> 02:56:22.500]  And we'll figure it out.
[02:56:22.500 --> 02:56:23.660]  But everything else is killing it.
[02:56:23.660 --> 02:56:26.660]  So you don't want to change your program that much.
[02:56:26.660 --> 02:56:27.940]  And the plants are still huge.
[02:56:27.940 --> 02:56:28.860]  It's just this little tip.
[02:56:28.860 --> 02:56:31.020]  You're like, this should be the biggest buds,
[02:56:31.020 --> 02:56:32.820]  but they're not, they're a little bit more lean
[02:56:33.420 --> 02:56:35.180]  and they're not really what they should be.
[02:56:35.180 --> 02:56:39.540]  So at a certain point,
[02:56:42.020 --> 02:56:44.700]  because I had the 65s going and I had the 300s going,
[02:56:44.700 --> 02:56:47.260]  I actually hit up Bamboo,
[02:56:47.260 --> 02:56:51.620]  because Bamboo, you know, he's a smart dude.
[02:56:51.620 --> 02:56:53.180]  He's experienced with a lot of stuff
[02:56:53.180 --> 02:56:54.860]  and he's well-educated.
[02:56:54.860 --> 02:56:57.860]  He has a better education than me
[02:56:57.860 --> 02:57:00.460]  and a lot of experience to go along with it.
[02:57:01.060 --> 02:57:04.700]  He goes to Davis and does classes on breeding
[02:57:04.700 --> 02:57:06.860]  and talks to a lot of people
[02:57:06.860 --> 02:57:11.500]  and sells beneficials and all this kind of stuff.
[02:57:11.500 --> 02:57:13.180]  So I hit him up and I go,
[02:57:13.180 --> 02:57:14.300]  what's the deal with these things?
[02:57:14.300 --> 02:57:16.060]  And he goes, well, you want to do nematodes.
[02:57:16.060 --> 02:57:18.700]  And then he goes, you know, it's usually a sign
[02:57:18.700 --> 02:57:20.980]  if they're out of control that you're overwatering.
[02:57:20.980 --> 02:57:24.100]  And before this, I had already kind of known a little bit
[02:57:24.100 --> 02:57:26.180]  about the overwatering causing the yellowing,
[02:57:26.180 --> 02:57:28.300]  but you get the root aphids and it's exasperated.
[02:57:28.300 --> 02:57:31.980]  It's just much, much higher levels of the same symptoms
[02:57:31.980 --> 02:57:33.700]  when you get root aphids.
[02:57:33.700 --> 02:57:34.540]  And then I thought,
[02:57:34.540 --> 02:57:37.140]  oh, it's the root aphids causing these symptoms.
[02:57:37.140 --> 02:57:40.580]  So I noticed that my 65s that dried out on a regular basis,
[02:57:40.580 --> 02:57:42.060]  I couldn't find any root aphids in them,
[02:57:42.060 --> 02:57:44.540]  but the root aphids came in bags
[02:57:44.540 --> 02:57:47.500]  of this particular soil that I bought.
[02:57:47.500 --> 02:57:52.460]  And I had used that soil for five and a half inch pots.
[02:57:52.460 --> 02:57:56.140]  And so all my starts had come from the same infected soil.
[02:57:56.140 --> 02:57:59.020]  So I was having a hard time going, okay,
[02:57:59.020 --> 02:58:01.500]  the 65s they don't exist in,
[02:58:01.500 --> 02:58:04.260]  and the 300s, they're just rampant.
[02:58:04.260 --> 02:58:06.220]  So what's the difference here?
[02:58:06.220 --> 02:58:08.740]  And luckily I had that little bit of control to look at.
[02:58:08.740 --> 02:58:12.500]  So I realized that, you know,
[02:58:12.500 --> 02:58:13.860]  because Bamboo was the one who mentioned,
[02:58:13.860 --> 02:58:15.580]  he goes, you know, it's usually overwatering
[02:58:15.580 --> 02:58:16.860]  if they're really out of control.
[02:58:16.860 --> 02:58:18.140]  And I was like, okay.
[02:58:19.580 --> 02:58:21.660]  So I try all this stuff,
[02:58:21.660 --> 02:58:23.460]  but then I just realized that then I see
[02:58:23.460 --> 02:58:24.860]  that it's definitely the watering thing.
[02:58:24.860 --> 02:58:26.540]  So I back off on the water.
[02:58:26.540 --> 02:58:28.980]  Well, the root aphids basically disappear
[02:58:28.980 --> 02:58:31.020]  and these symptoms disappear.
[02:58:31.020 --> 02:58:35.380]  And so I'm throwing this in there
[02:58:35.380 --> 02:58:37.660]  because this is a little bit of bonus information
[02:58:37.660 --> 02:58:40.260]  because people don't really know this about root aphids.
[02:58:40.260 --> 02:58:42.020]  Root aphids don't really hang around
[02:58:42.020 --> 02:58:43.580]  in soil that drains well.
[02:58:43.580 --> 02:58:45.260]  Like that's how it works in vineyards
[02:58:45.260 --> 02:58:48.020]  and things where they can be a huge problem.
[02:58:48.020 --> 02:58:49.420]  If the soil is different,
[02:58:49.420 --> 02:58:51.300]  then they just kind of peter out
[02:58:51.300 --> 02:58:53.780]  and they don't keep a population.
[02:58:54.140 --> 02:58:58.060]  And they eventually eradicate themselves.
[02:58:58.060 --> 02:59:01.300]  So anyway, the post was basically just saying,
[02:59:01.300 --> 02:59:03.260]  hey, you can buy this $40 water meter.
[02:59:03.260 --> 02:59:05.020]  You stick it down to the bottom of your pot
[02:59:05.020 --> 02:59:06.660]  and you can tell if that's the reason
[02:59:06.660 --> 02:59:08.980]  because you could be getting the same symptom
[02:59:08.980 --> 02:59:12.180]  from it being too dry as well at the bottom of your pots.
[02:59:12.180 --> 02:59:15.100]  And people who really have their shit together
[02:59:15.100 --> 02:59:16.940]  a lot of times will elevate their pots
[02:59:16.940 --> 02:59:20.300]  and put them up on like some big rock, like some gravel,
[02:59:20.300 --> 02:59:22.140]  so they can drain extra well.
[02:59:22.140 --> 02:59:24.020]  And that will help with that size pot
[02:59:24.020 --> 02:59:27.660]  so that instead of it being up against something
[02:59:27.660 --> 02:59:29.820]  that's wet all the time, there's air underneath them.
[02:59:29.820 --> 02:59:32.140]  And the kind of thing about fabric pots
[02:59:32.140 --> 02:59:33.220]  is they cause air pruning.
[02:59:33.220 --> 02:59:36.340]  So your roots hit the side and then they branch extra.
[02:59:36.340 --> 02:59:39.100]  And if you have a regular pot made out of plastic
[02:59:39.100 --> 02:59:41.380]  and you go to like in a seven gallon or something,
[02:59:41.380 --> 02:59:42.500]  you go to pick it up,
[02:59:42.500 --> 02:59:44.780]  you'll notice there's not a lot of roots around the stock.
[02:59:44.780 --> 02:59:47.100]  The roots have circled around the outside,
[02:59:47.100 --> 02:59:51.060]  but in a fabric pot or an air pot or a root builder pot,
[02:59:51.060 --> 02:59:54.940]  what happens is they reach the outside and then they branch.
[02:59:54.940 --> 02:59:59.340]  And so by actually putting them up on some rock,
[02:59:59.340 --> 03:00:01.100]  then you gain that same benefit
[03:00:01.100 --> 03:00:02.700]  at the very bottom a little bit more
[03:00:02.700 --> 03:00:04.180]  because they root prune.
[03:00:04.180 --> 03:00:05.940]  What happens is they hit the air
[03:00:05.940 --> 03:00:09.660]  and it sends them a signal that don't go any further,
[03:00:09.660 --> 03:00:11.740]  branch out and they bush off the same way
[03:00:11.740 --> 03:00:12.900]  as if you're at the top of plant
[03:00:12.900 --> 03:00:14.540]  for people who are familiar with what happens
[03:00:14.540 --> 03:00:16.180]  when you top your plants.
[03:00:17.940 --> 03:00:20.540]  So anyway, the post was just telling people like,
[03:00:20.540 --> 03:00:23.700]  hey, if it looks like this, get a water meter,
[03:00:23.700 --> 03:00:26.340]  a moisture meter, because it's likely you're over watering.
[03:00:26.340 --> 03:00:31.300]  And then sometimes you discover like you'll have plants
[03:00:31.300 --> 03:00:34.340]  and you'll notice like one leaf will droop
[03:00:34.340 --> 03:00:36.620]  and then another leaf will droop.
[03:00:36.620 --> 03:00:38.260]  And you'll be like, the whole plant looks beautiful,
[03:00:38.260 --> 03:00:40.580]  but there's like five leaves that are drooping.
[03:00:41.700 --> 03:00:42.580]  And it'll come and go
[03:00:42.580 --> 03:00:44.780]  and you can't figure out what's going on.
[03:00:44.780 --> 03:00:47.460]  And a lot of times what'll happen is you have,
[03:00:47.460 --> 03:00:51.220]  in the roots you have dry spots that are in there
[03:00:51.220 --> 03:00:53.500]  and you can't tell you take the moisture meter
[03:00:53.500 --> 03:00:54.820]  and you probe it around and you go,
[03:00:54.820 --> 03:00:57.100]  okay, I'm giving it enough water,
[03:00:57.100 --> 03:00:59.220]  but right over here in this little area,
[03:00:59.220 --> 03:01:00.580]  it's not getting enough water.
[03:01:00.580 --> 03:01:05.580]  So you need to kind of make a little recessed area
[03:01:06.260 --> 03:01:08.620]  and let the water go there extra to even it out.
[03:01:08.620 --> 03:01:10.220]  Then you'll notice it goes away.
[03:01:11.620 --> 03:01:12.900]  So anyway, just watering,
[03:01:12.900 --> 03:01:15.060]  it's funny because you can be super experienced
[03:01:15.060 --> 03:01:16.100]  working in one way,
[03:01:16.100 --> 03:01:18.980]  but then you go to try and grow these monster plants
[03:01:18.980 --> 03:01:23.140]  or you hook up drip and you're used to hand watering
[03:01:23.140 --> 03:01:25.540]  or you change emitters or you don't realize it,
[03:01:25.540 --> 03:01:28.820]  but where your emitter goes in the line, there's a leak.
[03:01:28.820 --> 03:01:31.900]  So you're getting triple the water and you don't know it
[03:01:31.900 --> 03:01:34.260]  because you haven't been inspecting it all the time
[03:01:34.260 --> 03:01:36.980]  because you just figure your stuff works.
[03:01:36.980 --> 03:01:40.020]  So it was just a heads up to people
[03:01:40.020 --> 03:01:44.540]  that watering winds up being really,
[03:01:44.540 --> 03:01:47.820]  although it seems like the simplest part
[03:01:47.820 --> 03:01:50.100]  of growing something, give it water.
[03:01:50.100 --> 03:01:52.140]  The water levels are huge
[03:01:52.140 --> 03:01:56.140]  and people who monitor it really scientifically,
[03:01:56.140 --> 03:01:58.380]  they let it swing.
[03:01:58.380 --> 03:02:00.220]  They go, okay, we take the moisture up to 80,
[03:02:00.220 --> 03:02:02.380]  we let it drop to 20.
[03:02:02.380 --> 03:02:03.740]  In veg, you do it different.
[03:02:03.740 --> 03:02:05.300]  And in bloom, you do it different.
[03:02:05.300 --> 03:02:07.540]  And I'm not somebody who does everything monitored
[03:02:07.540 --> 03:02:09.060]  really carefully like that,
[03:02:09.060 --> 03:02:11.700]  but I do like to monitor it well enough
[03:02:11.700 --> 03:02:14.860]  that I'm not taking a big hit.
[03:02:14.860 --> 03:02:18.340]  I don't grow under Govetas with least space.
[03:02:18.340 --> 03:02:19.820]  So it doesn't really matter to me
[03:02:19.820 --> 03:02:22.660]  if my plant gets this slightly different yield,
[03:02:22.660 --> 03:02:25.060]  but what I can't have is just a failure
[03:02:28.780 --> 03:02:30.900]  where the plant is just all messed up.
[03:02:31.820 --> 03:02:34.340]  So that's what the post was.
[03:02:36.740 --> 03:02:38.300]  That's a good summary.
[03:02:38.300 --> 03:02:43.300]  So this is, you had posted something about tobacco, right?
[03:02:45.820 --> 03:02:46.660]  Yeah.
[03:02:46.660 --> 03:02:50.580]  And so actually I think Steve Raisner dropped off,
[03:02:50.580 --> 03:02:53.700]  but these are from seeds he gave me.
[03:02:53.700 --> 03:03:01.780]  And so I have like this little one and like this one.
[03:03:05.790 --> 03:03:09.870]  And I love, so what I love about these things
[03:03:09.870 --> 03:03:13.150]  is at night they get totally erect
[03:03:13.150 --> 03:03:16.790]  and they just like all the leaves shoot straight up.
[03:03:16.790 --> 03:03:18.550]  And then in the daytime,
[03:03:18.550 --> 03:03:23.430]  they all just droop and get super lazy like lounging,
[03:03:24.990 --> 03:03:26.830]  which is kind of interesting.
[03:03:30.110 --> 03:03:33.910]  Yeah, I've noticed what's trippy is that
[03:03:35.870 --> 03:03:38.670]  I have mine in an area where they're shaded
[03:03:38.670 --> 03:03:40.190]  for part of the day.
[03:03:40.190 --> 03:03:44.150]  And then it's like they adjust
[03:03:44.150 --> 03:03:49.150]  their level of water uptake and transpiration.
[03:03:51.950 --> 03:03:53.790]  So it's like you put them in the,
[03:03:53.790 --> 03:03:57.350]  I have them in the shade and then they're like really happy.
[03:03:57.350 --> 03:04:00.950]  And then the sun hits them and then they start to wilt.
[03:04:00.950 --> 03:04:02.790]  But then if I put them out where they get the sun
[03:04:02.790 --> 03:04:04.910]  really early in the morning,
[03:04:04.910 --> 03:04:07.190]  then it's like they can stay more level
[03:04:07.190 --> 03:04:09.390]  and they know it's like they're ready for it.
[03:04:09.390 --> 03:04:14.070]  And so then they just look normal all of the time.
[03:04:14.070 --> 03:04:16.270]  And that was something that I didn't really realize.
[03:04:16.270 --> 03:04:18.070]  And it happened kind of with all the different plants
[03:04:18.070 --> 03:04:19.870]  that I had that were in the shade.
[03:04:19.870 --> 03:04:22.270]  And then the sun hit them when it was already intense,
[03:04:22.270 --> 03:04:24.630]  which was kind of like pulling up,
[03:04:24.630 --> 03:04:27.670]  almost like pulling a plant out of a greenhouse.
[03:04:27.670 --> 03:04:28.590]  When it's hot out,
[03:04:28.590 --> 03:04:31.230]  they wanna freak out a little bit and stuff.
[03:04:32.950 --> 03:04:36.830]  Can I add to the overwatering thing?
[03:04:36.830 --> 03:04:40.070]  So yeah, really good point to make.
[03:04:40.070 --> 03:04:42.990]  Overwatering is probably the most common mistake
[03:04:42.990 --> 03:04:46.110]  made by growers from expert to beginner.
[03:04:47.270 --> 03:04:48.470]  It's just really easy to do.
[03:04:48.470 --> 03:04:50.710]  And for outdoor growers,
[03:04:50.710 --> 03:04:53.190]  when I have like new people on a farm that I'm running
[03:04:53.190 --> 03:04:56.870]  and I'm trying to take people with very little experience
[03:04:56.870 --> 03:05:00.270]  and try to cram all my experience into them,
[03:05:00.270 --> 03:05:03.350]  it's really, you just take everything, you simplify it.
[03:05:03.350 --> 03:05:05.750]  In the springtime, it's colder out,
[03:05:05.750 --> 03:05:07.870]  your plants have smaller root systems,
[03:05:07.870 --> 03:05:09.470]  they need a lot less water.
[03:05:10.390 --> 03:05:12.590]  As they grow, they need more.
[03:05:12.590 --> 03:05:14.670]  But the biggest indicator that I always tell people,
[03:05:14.670 --> 03:05:17.350]  because what Jackson's talking about where you see that,
[03:05:17.350 --> 03:05:20.310]  I've seen gardens where people have 10 pound plants
[03:05:20.310 --> 03:05:23.390]  and it's just one half of the plant or one little branch.
[03:05:23.390 --> 03:05:26.150]  And if they don't catch it early and start treating it
[03:05:26.150 --> 03:05:28.630]  with the right type of like a nematode
[03:05:28.630 --> 03:05:33.630]  or other like inoculants, you can lose those plants.
[03:05:33.670 --> 03:05:34.670]  And you see it pretty commonly.
[03:05:34.670 --> 03:05:36.150]  So the indicator that I always tell people
[03:05:36.150 --> 03:05:37.430]  when I'm teaching them is,
[03:05:37.430 --> 03:05:39.190]  under watering and over watering
[03:05:39.190 --> 03:05:41.390]  both have the same signs in the leaves.
[03:05:41.390 --> 03:05:43.310]  If your leaves are droops, right?
[03:05:43.310 --> 03:05:44.470]  And so the only difference,
[03:05:44.470 --> 03:05:46.830]  it's really common sense and really basic is,
[03:05:46.830 --> 03:05:49.270]  if your leaves are over watered
[03:05:49.270 --> 03:05:51.150]  and you feel right there in the leaf stem,
[03:05:51.150 --> 03:05:53.390]  you're gonna feel that it's rigid
[03:05:53.390 --> 03:05:55.070]  and that it's filled with water inside.
[03:05:55.070 --> 03:05:56.350]  It's nice and stiff.
[03:05:56.350 --> 03:05:58.070]  And if your plants are under watered,
[03:05:58.070 --> 03:05:59.470]  your leaves are still drooping
[03:05:59.470 --> 03:06:01.110]  and this is gonna be all fucking weak
[03:06:01.110 --> 03:06:02.830]  because there's no fucking water in there
[03:06:02.830 --> 03:06:04.630]  and you can feel it pretty easily.
[03:06:05.470 --> 03:06:06.310]  So that's kind of like a beginner's tip
[03:06:06.310 --> 03:06:09.190]  to seeing if you've over watered or under watered.
[03:06:09.190 --> 03:06:10.510]  They have the same look,
[03:06:10.510 --> 03:06:11.750]  but it's just as simple as seeing
[03:06:11.750 --> 03:06:14.310]  if there's moisture inside the stem.
[03:06:14.310 --> 03:06:16.470]  And another thing that I think helps guide people
[03:06:16.470 --> 03:06:19.510]  in learning how not to over water
[03:06:19.510 --> 03:06:22.870]  is if you under water and you're vigilant
[03:06:22.870 --> 03:06:25.950]  and you pay good attention to detail in your plants,
[03:06:25.950 --> 03:06:27.470]  you can just add more water.
[03:06:27.470 --> 03:06:28.710]  This is fine.
[03:06:28.710 --> 03:06:31.670]  If you over water, you have to fucking let it dry out
[03:06:31.670 --> 03:06:33.350]  before you can do anything about it.
[03:06:33.350 --> 03:06:36.430]  So it's better to under water than over water
[03:06:36.430 --> 03:06:38.510]  if you had to make one of those mistakes
[03:06:38.510 --> 03:06:40.310]  and a good grower is gonna be vigilant,
[03:06:40.310 --> 03:06:41.710]  pay a lot of attention to detail,
[03:06:41.710 --> 03:06:43.430]  catch it before it becomes a problem,
[03:06:43.430 --> 03:06:45.190]  simply add more water.
[03:06:45.190 --> 03:06:47.030]  If you continue to over water,
[03:06:47.030 --> 03:06:50.750]  it will lead to potential pest problems like the root aphids
[03:06:50.750 --> 03:06:52.950]  but everything else from viruses
[03:06:52.950 --> 03:06:55.470]  and really anything that can harm a plant
[03:06:55.470 --> 03:06:58.750]  from pH fluctuations and lack of nutrient uptake.
[03:06:58.750 --> 03:07:02.230]  So yeah, over watering, big common mistake.
[03:07:02.230 --> 03:07:05.390]  And it's just as simple as just knowing what to look for.
[03:07:10.960 --> 03:07:12.800]  Jackson or Jesse.
[03:07:17.200 --> 03:07:18.440]  What's going on with Jesse, man?
[03:07:18.440 --> 03:07:21.120]  I've been talking to a whole bunch now.
[03:07:21.120 --> 03:07:22.800]  Jesse or Bamboo or somebody, man.
[03:07:22.800 --> 03:07:25.360]  I wanna step on everything.
[03:07:26.880 --> 03:07:27.720]  Anybody here?
[03:07:28.760 --> 03:07:30.760]  Bam's unquiet.
[03:07:30.760 --> 03:07:31.600]  Is he still there?
[03:07:31.600 --> 03:07:33.640]  He's probably sleeping.
[03:07:33.640 --> 03:07:34.920]  Oh my God.
[03:07:36.720 --> 03:07:37.760]  There he is.
[03:07:45.090 --> 03:07:47.530]  I have to contribute something.
[03:07:47.530 --> 03:07:49.970]  I guess I take it back to like, where do we go from now?
[03:07:49.970 --> 03:07:51.090]  What can we do?
[03:07:52.250 --> 03:07:54.770]  And I think it's really important
[03:07:54.770 --> 03:07:57.490]  that we just really start documenting collectively
[03:07:58.850 --> 03:08:03.450]  all the hurdles that we face
[03:08:03.450 --> 03:08:05.970]  so that as we move forward
[03:08:05.970 --> 03:08:10.290]  and step into the era of drafting future legislation,
[03:08:10.330 --> 03:08:13.890]  even if it's 2024 or 2022,
[03:08:14.890 --> 03:08:16.290]  even if it's that far down the line,
[03:08:16.290 --> 03:08:18.010]  I wanna like go into it prepared.
[03:08:18.010 --> 03:08:20.850]  And I really like to hear,
[03:08:21.690 --> 03:08:23.930]  I think I need to start being more active
[03:08:23.930 --> 03:08:28.250]  about collecting feedback and data from people
[03:08:28.250 --> 03:08:31.370]  so that it's one thing to say that thing
[03:08:32.490 --> 03:08:36.530]  just to legalize it or make it easy.
[03:08:36.530 --> 03:08:41.530]  But in my experience dealing with like Santa Cruz County
[03:08:41.970 --> 03:08:46.970]  is a lot of power is in the undefined areas.
[03:08:49.130 --> 03:08:53.170]  They use the gray areas in ways that aren't to our advantage.
[03:08:53.170 --> 03:08:56.970]  And so I think that if we focus on identifying
[03:08:57.810 --> 03:09:02.810]  all the tools of control that are being deployed,
[03:09:02.850 --> 03:09:06.450]  we can actually come up with a 600 page
[03:09:07.370 --> 03:09:11.730]  manual or manuscript like they do for their regulations,
[03:09:11.730 --> 03:09:14.610]  but basically handcuffing their ability
[03:09:14.610 --> 03:09:17.010]  to stand in the way of the intent of the law.
[03:09:18.490 --> 03:09:23.490]  And so I think that's where we need to begin.
[03:09:24.370 --> 03:09:27.810]  And I think that my vision would be,
[03:09:27.810 --> 03:09:30.650]  yeah, maybe between now and 2022,
[03:09:30.650 --> 03:09:35.650]  we focus on local area initiatives and programs
[03:09:36.130 --> 03:09:41.130]  so that everybody can sort of address their local problems.
[03:09:41.410 --> 03:09:46.410]  But in that process, really gel at the local level
[03:09:46.970 --> 03:09:51.650]  and the grassroots level and form a build a consensus there.
[03:09:51.650 --> 03:09:53.530]  And with those smaller victories,
[03:09:53.530 --> 03:09:57.450]  then add up to like the bigger victory in 2024
[03:09:57.450 --> 03:10:01.370]  to pass a referendum statewide.
[03:10:02.290 --> 03:10:04.810]  I think it's ambitious for us to think
[03:10:04.930 --> 03:10:07.770]  that that's gonna happen in 2022.
[03:10:09.610 --> 03:10:12.050]  I think we talked to a lot of the veterans
[03:10:12.050 --> 03:10:14.210]  who work with CCHI,
[03:10:14.210 --> 03:10:17.170]  which has been on the ballot multiple times at this point.
[03:10:19.610 --> 03:10:24.330]  I think you can see that there's wisdom there
[03:10:24.330 --> 03:10:28.410]  and we can learn from and adapt and move forward.
[03:10:28.410 --> 03:10:31.850]  So as much as I wanna see change happen tomorrow,
[03:10:32.490 --> 03:10:37.490]  I want it to be tangible and achievable change.
[03:10:38.690 --> 03:10:42.050]  And if that means thinking longer term,
[03:10:42.050 --> 03:10:43.890]  I think that's a good place to start.
[03:10:46.010 --> 03:10:50.650]  Someone asked if your genetic library is intact.
[03:10:52.650 --> 03:10:55.490]  In the Santa Cruz County Sheriff's Department's
[03:10:55.490 --> 03:10:56.530]  evidence room.
[03:10:56.530 --> 03:10:57.930]  Right, that's what I was gonna say.
[03:10:57.930 --> 03:10:59.330]  No, no, it is not.
[03:11:00.330 --> 03:11:01.170]  No, it is.
[03:11:03.170 --> 03:11:05.570]  After they seized it, I spoke to the evidence officer
[03:11:05.570 --> 03:11:07.890]  and made clear that it's important
[03:11:07.890 --> 03:11:10.610]  and it's documented on the evidence.
[03:11:10.610 --> 03:11:13.770]  Is it in ideal storage conditions?
[03:11:13.770 --> 03:11:14.610]  I doubt it.
[03:11:15.650 --> 03:11:18.210]  But to set my first rodeo
[03:11:18.210 --> 03:11:20.210]  when I've got seats back in the past,
[03:11:22.010 --> 03:11:23.050]  they were viable.
[03:11:23.050 --> 03:11:28.050]  So I'd like to believe that years and years of work
[03:11:28.650 --> 03:11:30.690]  is still intact.
[03:11:30.690 --> 03:11:32.610]  And the beautiful thing about like,
[03:11:32.610 --> 03:11:34.130]  when you have a love affair with seeds
[03:11:34.130 --> 03:11:37.170]  is like the more I just like keep organizing the property
[03:11:37.170 --> 03:11:38.570]  and cleaning up stuff,
[03:11:38.570 --> 03:11:43.570]  I keep finding old gems and old stashes of seeds.
[03:11:44.250 --> 03:11:48.730]  So yeah, but no, they definitely have my treasure chest.
[03:11:48.730 --> 03:11:51.290]  There's no things in the world.
[03:11:51.290 --> 03:11:55.530]  Dan, can you talk about some of your breeding?
[03:12:03.750 --> 03:12:06.630]  Oh, wait, sorry, you're on mute if you didn't know that.
[03:12:08.350 --> 03:12:10.550]  All right, yeah.
[03:12:10.550 --> 03:12:12.670]  Yeah, the thing that I think was always
[03:12:12.670 --> 03:12:16.070]  one of my favorite parts about cannabis was the uniqueness
[03:12:16.070 --> 03:12:17.590]  and just what you see just, you know,
[03:12:17.590 --> 03:12:19.070]  once I first started smoking,
[03:12:19.070 --> 03:12:21.910]  just seeing that there were different types and varieties
[03:12:21.910 --> 03:12:23.630]  and colors and smells.
[03:12:25.150 --> 03:12:28.150]  So I spent a good amount of time over the last 10 years
[03:12:28.150 --> 03:12:29.830]  just working on breeding programs
[03:12:30.310 --> 03:12:33.550]  and trying to, you know, just gain the experience
[03:12:33.550 --> 03:12:36.990]  to know what's in the stuff that I'm working with.
[03:12:36.990 --> 03:12:39.150]  It's been a challenge, you know,
