[00:00.700 --> 00:08.700]  All right, good morning. Welcome to the East Bay Sea Collective show.
[01:16:04.690 --> 01:16:07.250]  that sneaky little female hair.
[01:16:07.250 --> 01:16:12.250]  And yeah, I mean, the line claw is pretty stable in itself.
[01:16:12.530 --> 01:16:15.610]  So, you know, and it's a stud too.
[01:16:15.610 --> 01:16:20.610]  It really does breed very well into photos or other autos.
[01:16:22.730 --> 01:16:26.210]  It's definitely a fantastic auto to play around with.
[01:16:27.250 --> 01:16:28.090]  For sure.
[01:16:29.090 --> 01:16:32.530]  Do you have an issue with those female parts coming out late
[01:16:32.530 --> 01:16:34.890]  or do they usually come out pretty early?
[01:16:34.890 --> 01:16:36.690]  They come out, yeah.
[01:16:36.690 --> 01:16:40.450]  They'll come out before the male parts even open.
[01:16:40.450 --> 01:16:43.450]  You'll have like a cluster like this
[01:16:43.450 --> 01:16:47.010]  with one female hair coming out of the ponds
[01:16:47.010 --> 01:16:48.770]  that just sometimes just like that,
[01:16:48.770 --> 01:16:52.290]  or you'll see like a full on herm.
[01:16:52.290 --> 01:16:53.850]  But, you know, like I said,
[01:16:53.850 --> 01:16:57.690]  it's kind of normal herm rates for autos, plants in general.
[01:16:58.970 --> 01:17:01.810]  But like I said, they're influenced by other conditions.
[01:17:03.130 --> 01:17:05.050]  Well, essentially, I mean, you just treat them the same way
[01:17:05.050 --> 01:17:06.450]  as you would treat your female ones.
[01:17:06.450 --> 01:17:10.530]  You know, plant them, try not to stunt them,
[01:17:10.530 --> 01:17:12.930]  get them to their regular, to their spots.
[01:17:12.930 --> 01:17:14.250]  And then.
[01:17:14.250 --> 01:17:17.170]  Yeah, and then, yeah, if you're,
[01:17:17.170 --> 01:17:19.610]  the nice thing about autos is you can grow them in a pot.
[01:17:19.610 --> 01:17:21.770]  So, you know, you might want to transplant your male
[01:17:21.810 --> 01:17:24.490]  off to a, you know, a five gallon pot
[01:17:24.490 --> 01:17:26.770]  if you wanted to collect your pollen indoors.
[01:17:28.290 --> 01:17:30.810]  Or like I said, if you wanted to get some
[01:17:30.810 --> 01:17:32.290]  of that frost protection fabric
[01:17:32.290 --> 01:17:35.890]  and make yourself a little breeding hoop
[01:17:37.010 --> 01:17:40.170]  where you're not gonna mess up the other population,
[01:17:40.170 --> 01:17:44.410]  that's, you know, that's another good route to go.
[01:17:45.370 --> 01:17:48.090]  But, you know, you can collect enough pollen
[01:17:48.090 --> 01:17:50.490]  off of one little auto flower plant to definitely,
[01:17:50.490 --> 01:17:53.890]  you know, either, I like to paint it on,
[01:17:53.890 --> 01:17:58.250]  but you can also, you know, get those little pollen bags
[01:17:58.250 --> 01:18:00.090]  and put it in there and put it over a branch,
[01:18:00.090 --> 01:18:01.530]  you know, one branch.
[01:18:01.530 --> 01:18:04.890]  It's gonna get you enough seeds to grow for a long time.
[01:18:04.890 --> 01:18:05.730]  For sure.
[01:18:08.370 --> 01:18:09.970]  Where can people buy your autos?
[01:18:13.730 --> 01:18:17.890]  You can email me at produtelineseeds at Gmail
[01:18:17.890 --> 01:18:20.290]  and ask for my catalog.
[01:18:21.090 --> 01:18:22.850]  I know you can get them on the Daga Love website.
[01:18:22.850 --> 01:18:25.810]  You can get them on the Planters of the Trees websites.
[01:18:26.770 --> 01:18:29.570]  We're gonna have a website coming soon too,
[01:18:29.570 --> 01:18:34.570]  but, and you can hit me up on social media
[01:18:34.690 --> 01:18:37.490]  if you want to chat, produtelineseeds.
[01:18:39.170 --> 01:18:41.770]  And we have a pretty nice email catalog you can get.
[01:18:43.210 --> 01:18:44.250]  That's awesome.
[01:18:44.250 --> 01:18:45.810]  So, Planters of the Seeds,
[01:18:45.810 --> 01:18:48.250]  so you're, are you homies with Mendo Dope?
[01:18:50.610 --> 01:18:52.650]  Can you please tell us more?
[01:18:52.650 --> 01:18:53.490]  Sure.
[01:18:54.770 --> 01:18:59.170]  Yeah, I, and those guys knew my older brother,
[01:18:59.170 --> 01:19:01.010]  who's, you know, he's no longer with us,
[01:19:01.010 --> 01:19:04.890]  but they knew him like right out of high school for them.
[01:19:04.890 --> 01:19:07.610]  Yes, and then we reconnected when, you know,
[01:19:07.610 --> 01:19:09.370]  we went legal because we got on Instagram.
[01:19:09.370 --> 01:19:11.050]  I'm like, oh my gosh, like I know those guys.
[01:19:11.050 --> 01:19:11.890]  So yeah, it was really fun.
[01:19:11.890 --> 01:19:14.450]  They came out and was it like two summers?
[01:19:14.450 --> 01:19:15.650]  Maybe it was before the pandemic
[01:19:15.650 --> 01:19:17.410]  and they shot like a music video on the farm
[01:19:17.410 --> 01:19:18.250]  when they were doing a little tour.
[01:19:18.250 --> 01:19:20.170]  They're really cool guys.
[01:19:21.050 --> 01:19:26.050]  And I know, yeah, Brandon Knight who runs that website,
[01:19:28.210 --> 01:19:30.690]  he did some work with Mendocino Generations.
[01:19:30.690 --> 01:19:32.890]  He did this branding workshop we went to.
[01:19:32.890 --> 01:19:34.850]  Yeah, cool dude, good people.
[01:19:35.970 --> 01:19:38.570]  That's awesome, yeah, yeah, definitely good people.
[01:19:39.810 --> 01:19:44.370]  Yeah, and you know, I've smoked some of Mendo Dope's beer.
[01:19:44.370 --> 01:19:46.570]  I mean, geez, this must have been years ago,
[01:19:46.570 --> 01:19:49.210]  but I was, I mean, I don't know why I was surprised,
[01:19:49.370 --> 01:19:50.490]  but it was really good.
[01:19:50.490 --> 01:19:54.770]  I mean, huge outdoor plants and it was like fire,
[01:19:54.770 --> 01:19:57.170]  great taste, crazy effect, sorry.
[01:19:58.570 --> 01:20:02.090]  Oh, and their new music is really good.
[01:20:02.090 --> 01:20:04.250]  Some of their new stuff I really like.
[01:20:04.250 --> 01:20:06.890]  I mean, yeah, they're good musicians and writers too.
[01:20:06.890 --> 01:20:08.130]  It's fun.
[01:20:08.130 --> 01:20:11.170]  And their local, you know, Mendocino County guys,
[01:20:11.170 --> 01:20:12.770]  doing good.
[01:20:12.770 --> 01:20:13.610]  No, for sure.
[01:20:13.610 --> 01:20:15.930]  And I think they just got on their first,
[01:20:15.930 --> 01:20:18.010]  you know, they partnered up with another friend
[01:20:18.010 --> 01:20:20.650]  from Ukiah and I think they had like a license
[01:20:20.650 --> 01:20:21.730]  to grow this year too.
[01:20:23.130 --> 01:20:24.410]  Heck yeah, yeah, no.
[01:20:26.690 --> 01:20:28.090]  I think the people are gonna be able to get
[01:20:28.090 --> 01:20:29.810]  Mendo Dope flower in the shop, so.
[01:20:31.250 --> 01:20:32.890]  That's awesome, yeah.
[01:20:32.890 --> 01:20:35.170]  I totally agree.
[01:20:35.170 --> 01:20:39.010]  I've been a fan of their music for a long time.
[01:20:40.570 --> 01:20:42.890]  And you know, if you're in the scene, you know,
[01:20:42.890 --> 01:20:44.490]  it holds a special place in your heart,
[01:20:44.490 --> 01:20:45.730]  and I think it's just the people that, you know,
[01:20:45.730 --> 01:20:50.730]  rap about being in it in a really interesting way.
[01:20:50.810 --> 01:20:52.530]  I would definitely check out the song,
[01:20:52.530 --> 01:20:54.370]  One Plant, One Season.
[01:20:54.370 --> 01:20:55.330]  I love that one.
[01:20:55.330 --> 01:20:58.450]  There's one, The Phenohunter is super interesting.
[01:21:00.250 --> 01:21:03.130]  I mean, they got a lot of really good songs.
[01:21:03.130 --> 01:21:04.850]  They got a lot of good stuff, yeah.
[01:21:07.530 --> 01:21:10.170]  And they just keep releasing more and more and more.
[01:21:12.370 --> 01:21:13.210]  No, for sure.
[01:21:13.250 --> 01:21:14.090]  They do.
[01:21:15.050 --> 01:21:16.850]  They are, and I mean, it's like,
[01:21:19.450 --> 01:21:23.730]  I'm not from the Northern California hills,
[01:21:23.730 --> 01:21:25.890]  but I have a lot of homies that are from there.
[01:21:25.890 --> 01:21:28.890]  I worked this summer in Branscombe.
[01:21:28.890 --> 01:21:30.210]  Okay, yeah.
[01:21:30.210 --> 01:21:32.130]  So, you know, like I've been there,
[01:21:32.130 --> 01:21:34.010]  you know, I used to go to Reggae on the River
[01:21:34.010 --> 01:21:35.730]  for like almost 10 years.
[01:21:35.730 --> 01:21:38.770]  So like that, you know, like that place
[01:21:38.770 --> 01:21:41.410]  really holds a special place in my heart.
[01:21:41.410 --> 01:21:44.530]  And, you know, the people from that area,
[01:21:44.530 --> 01:21:47.410]  including, you know, yourself and your family
[01:21:47.410 --> 01:21:50.450]  are people that really like develop this culture
[01:21:50.450 --> 01:21:51.730]  in this community.
[01:21:51.730 --> 01:21:56.730]  And it's like a lot of people in this industry who built,
[01:21:57.570 --> 01:21:59.530]  I mean, the people who built this
[01:21:59.530 --> 01:22:02.490]  are literally getting pushed aside,
[01:22:02.490 --> 01:22:05.450]  but not only did they build this industry,
[01:22:05.450 --> 01:22:08.770]  but there's also a lot of culture behind it that,
[01:22:09.290 --> 01:22:12.570]  how do I say this?
[01:22:12.570 --> 01:22:15.290]  I mean, it's who a lot of people are,
[01:22:15.290 --> 01:22:16.130]  you know what I mean?
[01:22:16.130 --> 01:22:20.170]  And it's just a really rich culture,
[01:22:20.170 --> 01:22:21.810]  this, you know, counter culture,
[01:22:21.810 --> 01:22:26.370]  this, it's just such an interesting part of this country
[01:22:26.370 --> 01:22:27.850]  and part of the world.
[01:22:27.850 --> 01:22:32.090]  And to me, it was, you know, like,
[01:22:32.090 --> 01:22:34.770]  I remember the first year I went to Reggae on the River,
[01:22:34.770 --> 01:22:37.290]  saw all these people who like lived in the hills
[01:22:37.290 --> 01:22:40.490]  and grew weed for a living and, you know,
[01:22:40.490 --> 01:22:42.530]  live these different lifestyles
[01:22:42.530 --> 01:22:46.770]  and had different ways of thinking about things.
[01:22:46.770 --> 01:22:50.290]  And it was such an eye-opening experience for me
[01:22:51.250 --> 01:22:53.250]  to connect with, you know,
[01:22:53.250 --> 01:22:55.250]  things that could be done in a different way.
[01:22:55.250 --> 01:22:59.090]  And, you know, the people who I work for there,
[01:22:59.090 --> 01:23:02.090]  they lived in, or they live in Southern Humboldt.
[01:23:02.090 --> 01:23:06.050]  And like, we went to their house and, you know,
[01:23:06.050 --> 01:23:09.570]  rode around on four-wheel drive vehicles up in the hills.
[01:23:09.570 --> 01:23:12.370]  And I mean, for somebody who's never seen any of that,
[01:23:12.370 --> 01:23:16.290]  like it was literally, it was mind-blowing
[01:23:16.290 --> 01:23:18.770]  to see, you know, these other things
[01:23:18.770 --> 01:23:22.930]  and just to participate in these alternate communities,
[01:23:22.930 --> 01:23:23.970]  alternate communities,
[01:23:27.170 --> 01:23:29.970]  really shaped who I am as a person.
[01:23:29.970 --> 01:23:32.610]  And, you know, I, you know,
[01:23:32.610 --> 01:23:36.450]  part of my show is just to kind of remind people
[01:23:36.450 --> 01:23:40.130]  and to go back into these, I mean, into these, you know,
[01:23:40.130 --> 01:23:44.650]  into counterculture, into these people who,
[01:23:44.650 --> 01:23:46.610]  people who grow weed up in the hills, you know,
[01:23:46.610 --> 01:23:49.330]  whether it's in California or in other countries.
[01:23:51.210 --> 01:23:53.690]  Yeah, I mean, I just find that, like,
[01:23:53.690 --> 01:23:57.330]  that's just, you know, that's really what this is about.
[01:23:57.330 --> 01:23:59.250]  Yeah, you know, and like, you know,
[01:23:59.250 --> 01:24:02.090]  my father who settled here in the seventies,
[01:24:02.090 --> 01:24:03.770]  the back to the land movement, right?
[01:24:03.770 --> 01:24:05.890]  And out of the back to the land movement,
[01:24:05.890 --> 01:24:09.330]  like kind of evolved that counterculture to grow cannabis.
[01:24:09.330 --> 01:24:11.850]  But let's look at the foundation of it,
[01:24:11.850 --> 01:24:13.490]  which was back to the land, you know,
[01:24:13.490 --> 01:24:15.290]  like the sixties happened, right?
[01:24:15.290 --> 01:24:18.210]  And there was this, you know, counterculture revolution
[01:24:18.210 --> 01:24:19.650]  that was gonna change the world, right?
[01:24:19.650 --> 01:24:21.610]  But it didn't, but it did.
[01:24:21.610 --> 01:24:25.130]  Then people left the city, they went to Homestead.
[01:24:26.050 --> 01:24:28.210]  And I'm hoping, you know,
[01:24:28.210 --> 01:24:31.930]  that although we are losing our cannabis culture,
[01:24:32.770 --> 01:24:34.010]  maybe we can get back to our roots
[01:24:34.010 --> 01:24:35.850]  and get back to the land.
[01:24:35.850 --> 01:24:37.890]  And, you know, and there's probably gonna be
[01:24:37.890 --> 01:24:41.130]  some cheap properties in Northern California for sale
[01:24:41.130 --> 01:24:43.210]  because people can't grow cannabis on them anymore,
[01:24:43.210 --> 01:24:44.210]  but their homestead.
[01:24:46.970 --> 01:24:51.050]  And maybe we can see a revival of that back to the land
[01:24:51.050 --> 01:24:54.010]  and that connection to that, which we need, you know,
[01:24:54.010 --> 01:24:56.330]  to nature, to the earth, to the land
[01:24:56.330 --> 01:24:58.650]  that we're supposed to be stewarding.
[01:24:58.690 --> 01:25:01.250]  And, you know, like, I think that cannabis
[01:25:01.250 --> 01:25:04.770]  is a huge gateway into nature, into gardening,
[01:25:04.770 --> 01:25:06.330]  into, you know what I mean?
[01:25:06.330 --> 01:25:11.130]  People, like, you know, like for me, it's like,
[01:25:11.130 --> 01:25:12.610]  is cannabis medicine?
[01:25:12.610 --> 01:25:13.450]  Yes.
[01:25:13.450 --> 01:25:16.090]  But is this podcast medicine?
[01:25:16.090 --> 01:25:16.930]  Yes.
[01:25:16.930 --> 01:25:17.770]  You know what I mean?
[01:25:17.770 --> 01:25:20.730]  It's like, it's not just the consumption of the cannabis,
[01:25:20.730 --> 01:25:23.770]  that's the medicine, but it's like a way of life
[01:25:23.770 --> 01:25:25.210]  that it kind of encourages you
[01:25:25.210 --> 01:25:28.050]  to develop these certain kinds of connections.
[01:25:28.450 --> 01:25:30.930]  And for me, I mean, that's realistically
[01:25:31.770 --> 01:25:36.770]  more of the medicine than the physically ingesting of THC,
[01:25:36.890 --> 01:25:38.730]  you know, of these cannabinoids,
[01:25:38.730 --> 01:25:41.130]  is making these experiences.
[01:25:41.130 --> 01:25:44.010]  And I mean, that is kind of going back to the land,
[01:25:44.010 --> 01:25:46.490]  connecting yourself with plants,
[01:25:46.490 --> 01:25:50.250]  with these other entities that are not,
[01:25:51.610 --> 01:25:54.610]  you know, that's not what we stereotypically consider
[01:25:54.610 --> 01:25:56.570]  of value in our culture.
[01:25:56.610 --> 01:25:58.730]  You know, it's like, could I buy weed
[01:25:58.730 --> 01:25:59.730]  and it would be easier?
[01:25:59.730 --> 01:26:00.570]  Yes.
[01:26:00.570 --> 01:26:04.130]  But, you know, do I choose to breed and grow
[01:26:04.130 --> 01:26:05.370]  and geek out about it
[01:26:05.370 --> 01:26:07.970]  and have these connections with these plants?
[01:26:07.970 --> 01:26:10.650]  Which to me, those connections are like
[01:26:10.650 --> 01:26:13.850]  what we're searching for and what, like what we're missing.
[01:26:15.490 --> 01:26:18.650]  Well, yeah, and you know, cannabis,
[01:26:18.650 --> 01:26:21.890]  along with other plant medicines,
[01:26:21.890 --> 01:26:24.890]  they are accelerants in your consciousness.
[01:26:24.930 --> 01:26:28.490]  You know, they take, and same with meditation, you know,
[01:26:28.490 --> 01:26:31.090]  I've been meditating for like 15 years.
[01:26:31.090 --> 01:26:35.050]  And for me, my natural altered state of consciousness,
[01:26:35.050 --> 01:26:37.050]  I prefer, but when I do consume cannabis
[01:26:37.050 --> 01:26:40.490]  or mushrooms or cactus or, you know,
[01:26:40.490 --> 01:26:44.050]  any other psychoactive compounds, it's an accelerant.
[01:26:44.050 --> 01:26:49.050]  It takes me beyond my normal state of consciousness
[01:26:49.050 --> 01:26:52.330]  into an accelerated state of consciousness,
[01:26:52.330 --> 01:26:55.570]  whereas like alcohol and opiates are depressants.
[01:26:55.570 --> 01:26:57.530]  They're gonna take you back
[01:26:57.530 --> 01:27:00.610]  into a not expanded state of consciousness.
[01:27:00.610 --> 01:27:03.370]  So I, you know, when I do use medicines,
[01:27:03.370 --> 01:27:06.530]  I prefer accelerants like new cannabis, mushrooms,
[01:27:06.530 --> 01:27:09.290]  or, you know, various other psychoactive chemicals.
[01:27:09.290 --> 01:27:12.090]  But then I like to just sit with myself
[01:27:12.090 --> 01:27:13.570]  in my normal state of consciousness,
[01:27:13.570 --> 01:27:15.250]  which is an altered state of consciousness
[01:27:15.250 --> 01:27:17.970]  due to the fact that I've been meditating for so long.
[01:27:18.850 --> 01:27:21.410]  And, you know, I got the pleasure
[01:27:21.410 --> 01:27:23.370]  of seeing Dr. Emoto speak.
[01:27:25.170 --> 01:27:26.530]  You know, the water scientist,
[01:27:26.530 --> 01:27:29.290]  I saw him speak at this festival in Ashland.
[01:27:29.290 --> 01:27:32.450]  And he said that cannabis has a higher,
[01:27:32.450 --> 01:27:34.610]  highest concentration in plants.
[01:27:34.610 --> 01:27:36.490]  You think, you know, cannabis is a plant,
[01:27:36.490 --> 01:27:39.210]  you know, peyote is a cactus, ayahuasca is a vine,
[01:27:39.210 --> 01:27:41.330]  you know, mushrooms are fungi.
[01:27:41.330 --> 01:27:43.370]  So like you said earlier,
[01:27:43.370 --> 01:27:46.610]  it is when you're working with the cannabis plant
[01:27:46.610 --> 01:27:48.930]  in your garden, it is a gateway to consciousness,
[01:27:48.930 --> 01:27:51.930]  just growing this plant, just being around this plant,
[01:27:51.930 --> 01:27:56.130]  you're being around this being that's interacted
[01:27:56.130 --> 01:27:59.650]  with human consciousness for thousands of years.
[01:27:59.650 --> 01:28:03.010]  You know, and it is a pathway
[01:28:03.010 --> 01:28:04.890]  and a gateway to consciousness,
[01:28:04.890 --> 01:28:07.330]  which, and it's really fun to be around.
[01:28:09.730 --> 01:28:11.730]  Yeah, yeah, and I mean, it's,
[01:28:13.130 --> 01:28:16.090]  like for me, it's kind of like the deeper
[01:28:16.570 --> 01:28:18.450]  the relationship gets,
[01:28:18.450 --> 01:28:20.290]  the kind of the more complex it gets.
[01:28:20.290 --> 01:28:23.090]  And I feel like, you know, people are like,
[01:28:23.090 --> 01:28:26.050]  the plant talks to me, the plant tells me different things.
[01:28:26.050 --> 01:28:27.410]  It seems like the ultimate thing
[01:28:27.410 --> 01:28:30.450]  that the plant tells you to do is to procreate it.
[01:28:30.450 --> 01:28:34.850]  So like people who are readers of cannabis in my, you know,
[01:28:34.850 --> 01:28:36.210]  I'd like to think that, you know,
[01:28:36.210 --> 01:28:40.370]  we're doing the ultimate bidding of the plant
[01:28:40.370 --> 01:28:42.810]  by procreating it and spreading it.
[01:28:43.690 --> 01:28:45.250]  Because it seems like, I mean, ultimately,
[01:28:45.250 --> 01:28:49.010]  that's what it wants to do is to live on through the seed.
[01:28:50.090 --> 01:28:51.050]  Yeah, I love that.
[01:28:52.650 --> 01:28:56.050]  Yeah, yeah, very interesting.
[01:28:56.050 --> 01:28:57.690]  Is there anything else that you wanna,
[01:28:57.690 --> 01:29:01.610]  that you would like to, yeah,
[01:29:01.610 --> 01:29:04.250]  is there anything else you would like to touch on?
[01:29:05.450 --> 01:29:06.850]  I think we're kind of around the end,
[01:29:06.850 --> 01:29:08.370]  but you know, we still have-
[01:29:08.370 --> 01:29:12.850]  Yeah, I feel like that covered a huge,
[01:29:12.850 --> 01:29:14.290]  huge chunk of material.
[01:29:15.330 --> 01:29:16.170]  Awesome.
[01:29:17.850 --> 01:29:21.250]  Yeah, I really appreciate you coming on the show.
[01:29:23.530 --> 01:29:26.050]  I appreciate you educating me and your audience
[01:29:26.050 --> 01:29:28.690]  on auto flowers because I'm ignorant to them.
[01:29:29.650 --> 01:29:31.610]  I would like to, or I will be growing
[01:29:31.610 --> 01:29:32.730]  some of your autos this year.
[01:29:32.730 --> 01:29:36.690]  I'll definitely be, you know, bugging you with, you know.
[01:29:36.730 --> 01:29:38.690]  Yeah, I'll, when we get off here,
[01:29:38.690 --> 01:29:42.850]  I'll send you a nice article on breeding auto flowers
[01:29:42.850 --> 01:29:45.370]  and stuff that I found to be really helpful.
[01:29:45.370 --> 01:29:47.210]  Heck yeah.
[01:29:47.210 --> 01:29:50.410]  Yeah, I would just say like to our audience,
[01:29:50.410 --> 01:29:52.370]  I would, oh, did you guys answer the questions
[01:29:52.370 --> 01:29:55.650]  about using autos to create faster flowering photo periods
[01:29:55.650 --> 01:29:57.210]  rather than autos?
[01:29:57.210 --> 01:29:58.050]  Yeah, we did.
[01:29:58.050 --> 01:30:00.570]  Yeah, and I'll just recap on that really quickly.
[01:30:00.570 --> 01:30:04.930]  So in the, because the auto flower is recessive,
[01:30:05.610 --> 01:30:07.650]  the F1 is all photo period,
[01:30:07.650 --> 01:30:11.770]  and in the F2, the auto flower trait shows up 25% or less,
[01:30:11.770 --> 01:30:14.130]  but the photo period shows up 75%.
[01:30:14.130 --> 01:30:18.530]  So you would select from that population in the F2,
[01:30:18.530 --> 01:30:21.450]  and you could, you know, shave two weeks to a month
[01:30:21.450 --> 01:30:24.570]  off flowering time of your genetics.
[01:30:26.530 --> 01:30:31.530]  And also, yeah, selecting from that, in that F2 generation.
[01:30:34.930 --> 01:30:36.570]  Awesome.
[01:30:36.570 --> 01:30:37.830]  That was cool, okay.
[01:30:39.130 --> 01:30:41.330]  Yeah, I appreciate you coming on.
[01:30:43.330 --> 01:30:46.410]  I appreciate you being flexible, you know, and being able to
[01:30:46.410 --> 01:30:48.130]  Yeah, and the weather's clear,
[01:30:48.130 --> 01:30:50.330]  so I don't think we could have done this in the storm,
[01:30:50.330 --> 01:30:53.330]  you know, because we don't have internet yet.
[01:30:53.330 --> 01:30:58.330]  But we have, you know, I think we eventually will probably,
[01:30:58.650 --> 01:31:01.930]  just where we're at, we'll eventually get Starlink,
[01:31:01.930 --> 01:31:03.250]  you know, and
[01:31:03.250 --> 01:31:06.970]  I mean, we had a few glitches, but we're pretty clear.
[01:31:07.890 --> 01:31:11.170]  I would encourage people to purchase auto flowers,
[01:31:11.170 --> 01:31:13.450]  whether it's from Pride of Lion or anywhere else,
[01:31:13.450 --> 01:31:17.690]  because when they're purchased, people make more of them,
[01:31:17.690 --> 01:31:19.690]  and we can improve upon the gene pool
[01:31:19.690 --> 01:31:24.230]  and have more genes out there for people to grow.
[01:31:25.330 --> 01:31:28.170]  Yeah, and if you're looking for a stud, you know,
[01:31:28.170 --> 01:31:30.410]  the lion claws a stud to breed with,
[01:31:30.410 --> 01:31:32.330]  so I definitely, you know.
[01:31:33.250 --> 01:31:34.250]  Yeah, most people.
[01:31:36.570 --> 01:31:37.410]  Go ahead.
[01:31:37.410 --> 01:31:40.890]  I was gonna say most people breed autos feminized,
[01:31:40.890 --> 01:31:42.570]  and so, you know, the,
[01:31:42.570 --> 01:31:43.530]  Yes.
[01:31:43.530 --> 01:31:47.090]  Being able to get an auto in a regular line
[01:31:47.090 --> 01:31:51.010]  is a huge tool for people to be able to make their own seeds
[01:31:51.010 --> 01:31:54.210]  and, you know, to not have to use, you know,
[01:31:54.210 --> 01:31:55.770]  any kind of reverse.
[01:31:59.040 --> 01:31:59.880]  Yeah.
[01:31:59.880 --> 01:32:01.240]  And I think we have,
[01:32:01.640 --> 01:32:02.480]  for the,
[01:32:05.480 --> 01:32:08.200]  we have over 50 varieties of auto flowers
[01:32:08.200 --> 01:32:09.640]  in our seed catalog,
[01:32:09.640 --> 01:32:10.480]  and some of these,
[01:32:10.480 --> 01:32:13.320]  I'm really excited for some of these new,
[01:32:13.320 --> 01:32:16.840]  you know, we have about six hash,
[01:32:16.840 --> 01:32:18.960]  head, body autos.
[01:32:21.000 --> 01:32:26.000]  Like, oh, one of my favorites really goes,
[01:32:26.200 --> 01:32:29.160]  you know, with that sweet in the middle,
[01:32:29.160 --> 01:32:31.320]  and that, yeah, it's really nice.
[01:32:31.320 --> 01:32:32.320]  Which one was that?
[01:32:33.640 --> 01:32:36.120]  The sour banana sherbet auto flower?
[01:32:38.360 --> 01:32:39.760]  Oh, yeah, I've grown,
[01:32:39.760 --> 01:32:41.200]  I've smoked sour banana sherbet.
[01:32:41.200 --> 01:32:42.040]  That's a good one.
[01:32:42.040 --> 01:32:44.000]  So, yeah, as an auto, that sounds great.
[01:32:46.680 --> 01:32:47.520]  Awesome.
[01:32:47.520 --> 01:32:48.480]  Right on, Jamal.
[01:32:50.000 --> 01:32:52.520]  Yeah, I appreciate you coming on, Daniel,
[01:32:52.520 --> 01:32:56.080]  and yeah, I appreciate everybody on the show
[01:32:56.080 --> 01:32:57.520]  for checking it out.
[01:32:57.520 --> 01:32:59.600]  We may have missed some questions,
[01:32:59.600 --> 01:33:02.440]  but you can feel free to, you know,
[01:33:03.400 --> 01:33:04.240]  hit me up on Instagram,
[01:33:04.240 --> 01:33:05.360]  or I'm assuming also, you know,
[01:33:05.360 --> 01:33:08.120]  Pride of Lions, Daniel on Instagram.
[01:33:10.000 --> 01:33:10.840]  And-
[01:33:10.840 --> 01:33:12.720]  Oh, yeah, you can definitely message me,
[01:33:12.720 --> 01:33:14.360]  and I'll get back to you.
[01:33:14.360 --> 01:33:16.880]  Oh, and Peter says that we're out of stock in that.
[01:33:16.880 --> 01:33:19.840]  So, I guess, yeah,
[01:33:19.840 --> 01:33:23.040]  you might wanna hit him up for some more of those autos.
[01:33:23.040 --> 01:33:24.720]  Yeah, I need to get some new labels, too.
[01:33:24.720 --> 01:33:27.640]  I need to get some print and stuff, but yeah.
[01:33:29.360 --> 01:33:30.200]  Excellent.
[01:33:30.200 --> 01:33:31.040]  Yeah, Peter.
[01:33:31.040 --> 01:33:32.160]  Okay, sounds good.
[01:33:32.160 --> 01:33:33.280]  Thank you, everybody.
[01:33:33.280 --> 01:33:34.120]  Have a good day.
