[00:00.510 --> 00:01.510]  Twin Peaks.
[01:12:15.460 --> 01:12:19.380]  They found it in their plants, but that plant's been running for seven years and it's still
[01:12:19.380 --> 01:12:20.580]  going strong.
[01:12:20.580 --> 01:12:25.700]  They do their best to, you know, isolate it, uh, not, you know, use tools from one plant
[01:12:25.700 --> 01:12:30.820]  to the next, but, uh, they're like, you know, until it, you know, until it's cruise this
[01:12:30.820 --> 01:12:32.580]  line up, I'm not losing this line.
[01:12:33.140 --> 01:12:37.460]  No, what you have to do is give it to somebody like Alex at flowery field.
[01:12:38.180 --> 01:12:42.260]  And then, uh, uh, they take a tip cuttings out of it.
[01:12:42.820 --> 01:12:43.300]  Oh yeah.
[01:12:43.300 --> 01:12:48.260]  You can click on this, this drawing and you go to the website that shows all the photos
[01:12:48.260 --> 01:12:49.940]  bigger and everything.
[01:12:49.940 --> 01:12:50.500]  So they're easy.
[01:12:50.500 --> 01:12:50.980]  Wow.
[01:12:50.980 --> 01:12:51.540]  Look at that.
[01:12:52.100 --> 01:12:52.600]  Yeah.
[01:12:53.140 --> 01:12:54.500]  So they're a lot easier to see.
[01:12:55.220 --> 01:12:58.100]  And yeah, cause otherwise it gives you a headache.
[01:12:58.900 --> 01:12:59.620]  Thank you.
[01:12:59.620 --> 01:13:02.740]  No, this is that's, that's one that I usually look at a lot.
[01:13:03.300 --> 01:13:08.420]  Uh, this is gosh, this, this, this chart needs to be standard in everybody's grow room.
[01:13:08.420 --> 01:13:09.220]  It is in mine.
[01:13:09.220 --> 01:13:11.540]  So put it right next to your VPD chart people.
[01:13:12.900 --> 01:13:13.300]  Yeah.
[01:13:13.300 --> 01:13:15.460]  Gosh, that's a, that's a good chart.
[01:13:15.460 --> 01:13:16.820]  Oh yeah.
[01:13:16.820 --> 01:13:17.540]  Yeah.
[01:13:17.540 --> 01:13:21.940]  Always, you know, again, education is the best and knowing, and that's another thing
[01:13:21.940 --> 01:13:24.420]  I appreciate about your books as well.
[01:13:24.420 --> 01:13:27.460]  It's written in a way that's easy to understand.
[01:13:27.460 --> 01:13:29.700]  Like the practical application is there.
[01:13:30.420 --> 01:13:34.740]  And, and just, I, I'm really, I'm like in love with how you can, you know, a, just go
[01:13:34.740 --> 01:13:37.380]  to the table of contents, click on it.
[01:13:37.380 --> 01:13:39.540]  And then also, you know, keyword search.
[01:13:39.540 --> 01:13:39.860]  Okay.
[01:13:39.860 --> 01:13:42.340]  I'm curious about magnesium.
[01:13:42.340 --> 01:13:43.620]  Let's just type that in.
[01:13:43.620 --> 01:13:48.180]  And, you know, it's just like, get all of the references to that in the book.
[01:13:48.180 --> 01:13:50.900]  So those things are awesome.
[01:13:50.900 --> 01:13:52.420]  It gives you a whole list of that stuff.
[01:13:52.420 --> 01:13:54.100]  It's, it's really easy.
[01:13:54.180 --> 01:14:03.940]  I see one of the things as a writer, I have to remember, I cannot lose people.
[01:14:03.940 --> 01:14:06.100]  They got to stay with me.
[01:14:06.100 --> 01:14:09.220]  And if I lose them, well, it's my fault.
[01:14:09.860 --> 01:14:15.540]  So that's why I have to develop a writing style that keeps people engaged.
[01:14:16.420 --> 01:14:22.740]  And then also just me as a person, I like reading stuff where I learn stuff in every
[01:14:22.740 --> 01:14:26.260]  sentence, everything has to teach me something.
[01:14:26.260 --> 01:14:28.260]  Otherwise I get frustrated or bored.
[01:14:29.060 --> 01:14:31.300]  So that's the way I write.
[01:14:31.300 --> 01:14:33.460]  So there's, there's content here.
[01:14:34.740 --> 01:14:37.620]  It doesn't just make you feel good.
[01:14:37.620 --> 01:14:39.620]  You learn something while you feel good.
[01:14:40.980 --> 01:14:41.380]  Yep.
[01:14:41.380 --> 01:14:43.220]  And that is very important.
[01:14:43.860 --> 01:14:48.820]  I know we're, you know, I can go all day, but I know it is in the evening for you.
[01:14:48.820 --> 01:14:50.260]  So we're getting close.
[01:14:50.260 --> 01:14:50.500]  Yeah.
[01:14:50.500 --> 01:14:52.100]  It's like a seven 20.
[01:14:52.100 --> 01:14:54.500]  So yeah, I'm out here at the beach.
[01:14:54.500 --> 01:14:56.420]  I got to go back into town.
[01:14:56.420 --> 01:14:57.220]  Oh, okay.
[01:14:57.780 --> 01:14:58.500]  Back an hour.
[01:14:59.060 --> 01:14:59.220]  Yeah.
[01:15:00.100 --> 01:15:02.980]  Well, a couple, a couple more questions, if you don't mind.
[01:15:03.860 --> 01:15:05.380]  I really appreciate your time.
[01:15:05.380 --> 01:15:06.900]  This has been an awesome conversation.
[01:15:06.900 --> 01:15:08.340]  Oh, no worries.
[01:15:08.340 --> 01:15:11.380]  I hope it doesn't ramble too much.
[01:15:11.380 --> 01:15:15.060]  No, no, I'm going to, I'm going to be that weird guy and go back and watch my own show
[01:15:15.060 --> 01:15:18.180]  because I'll enjoy it just as much as a spectator, I think.
[01:15:18.180 --> 01:15:21.460]  So a couple, couple of questions that we had though.
[01:15:21.540 --> 01:15:23.940]  One was from dog days, gardens.
[01:15:23.940 --> 01:15:25.780]  I saw him in chat a little bit earlier.
[01:15:25.780 --> 01:15:31.540]  He was curious if you had any information about G 13, which was a strain.
[01:15:32.260 --> 01:15:33.060]  No, no, man.
[01:15:33.620 --> 01:15:36.660]  I remember Neville came over.
[01:15:36.660 --> 01:15:42.740]  I knew Neville quite well and he helped him, but I remember he came over to America.
[01:15:44.020 --> 01:15:45.140]  My mother liked him.
[01:15:45.140 --> 01:15:46.740]  She never liked any of my friends.
[01:15:46.740 --> 01:15:48.420]  I couldn't believe she liked Neville.
[01:15:48.420 --> 01:15:48.740]  Fuck.
[01:15:51.860 --> 01:15:52.580]  It's who I was.
[01:15:52.580 --> 01:15:53.380]  He's accent.
[01:15:53.380 --> 01:16:04.340]  It was the accent, but, but anyway, yeah, he bought, he bought that, that one from,
[01:16:05.860 --> 01:16:12.260]  well, I won't say who, well, it doesn't really matter, but anyway, he bought G 13 and they
[01:16:12.260 --> 01:16:15.860]  thought it was G 13, but nobody's really run this down.
[01:16:15.860 --> 01:16:17.700]  I don't know if it ever exists.
[01:16:18.260 --> 01:16:22.740]  I, my, my thought is it doesn't really exist.
[01:16:22.740 --> 01:16:24.580]  Nobody's proved anything.
[01:16:25.300 --> 01:16:30.020]  One of my friends, Colin Montgomery is running down a lot of stuff.
[01:16:31.140 --> 01:16:37.220]  And actually he'd be a, he's real interesting guy, but G 13, I don't know.
[01:16:37.220 --> 01:16:40.180]  I think it's all stories and stuff.
[01:16:41.860 --> 01:16:46.180]  And, and I've got a question for you that have just been kind of stories throughout
[01:16:46.180 --> 01:16:46.660]  my life.
[01:16:46.660 --> 01:16:53.780]  And it's, it's interesting to me because I've met another reader in this state who has been
[01:16:53.780 --> 01:16:57.940]  doing it for at least 20 years, I would say probably 30 years.
[01:16:58.580 --> 01:17:03.620]  And, you know, talking with him and hearing the stories, we had to have been like one
[01:17:03.620 --> 01:17:07.860]  degree separated this entire time, but he also kind of knew the story.
[01:17:07.860 --> 01:17:13.940]  I don't know if you ever heard of a story or a strain that like escaped or was released
[01:17:13.940 --> 01:17:15.940]  from the university of Washington.
[01:17:15.940 --> 01:17:21.620]  Like there's a lot of lore in the Pacific Northwest about this U-Dub strain that was
[01:17:21.620 --> 01:17:23.300]  like smuggled out of the lab.
[01:17:23.300 --> 01:17:29.620]  And I do remember when something special hit the streets and it was supposedly this thing.
[01:17:29.620 --> 01:17:30.420]  Yeah.
[01:17:30.420 --> 01:17:34.500]  I have heard about that too, but I just don't know anything.
[01:17:36.260 --> 01:17:43.460]  It's somebody, and, and, but see, I, I, I know Steve, Steve Murphy.
[01:17:43.460 --> 01:17:44.740]  He's a good friend.
[01:17:44.740 --> 01:17:47.460]  He has the, the indoor sun shop.
[01:17:47.460 --> 01:17:47.700]  Yeah.
[01:17:47.700 --> 01:17:50.260]  That was the first growth store in America.
[01:17:50.820 --> 01:17:51.060]  Wow.
[01:17:52.020 --> 01:17:52.340]  Yeah.
[01:17:52.340 --> 01:17:53.780]  And he's pretty old now.
[01:17:54.580 --> 01:17:56.740]  His son, Sean runs it though.
[01:17:58.420 --> 01:17:58.660]  Yeah.
[01:17:58.660 --> 01:18:00.580]  It's over, it's over in Ballard.
[01:18:00.580 --> 01:18:01.060]  Ballard.
[01:18:01.060 --> 01:18:01.860]  That's right.
[01:18:01.860 --> 01:18:03.780]  I always hang out over in Ballard.
[01:18:03.780 --> 01:18:05.220]  I love it.
[01:18:05.220 --> 01:18:08.740]  Well, I know everybody over there, you know, I mean.
[01:18:08.740 --> 01:18:09.300]  Ballard.
[01:18:10.100 --> 01:18:10.580]  Yeah.
[01:18:10.580 --> 01:18:10.900]  Yeah.
[01:18:10.900 --> 01:18:12.260]  Ballard definitely.
[01:18:12.260 --> 01:18:12.900]  Yeah.
[01:18:12.900 --> 01:18:13.540]  It's nice.
[01:18:16.660 --> 01:18:22.340]  Boy, I, I'll keep it in the back of my mind, but I do not know anything about it.
[01:18:22.340 --> 01:18:22.660]  Yeah.
[01:18:22.660 --> 01:18:23.780]  No problem.
[01:18:23.780 --> 01:18:28.180]  It was a shot in the dark because, you know, here I am 20 years later and I still don't know.
[01:18:31.060 --> 01:18:32.020]  Who's going to know?
[01:18:33.140 --> 01:18:33.780]  Right.
[01:18:33.780 --> 01:18:40.500]  That's a couple of people should, but I, I mean, it wasn't on the Colin, Colin's list,
[01:18:40.500 --> 01:18:42.020]  Colin Montgomery's list.
[01:18:42.900 --> 01:18:45.940]  So yeah, he asked me about others.
[01:18:45.940 --> 01:18:47.380]  That's a whole other subject.
[01:18:48.180 --> 01:18:48.500]  Yeah.
[01:18:48.500 --> 01:18:51.060]  He kind of like found out most of the stuff.
[01:18:51.060 --> 01:18:55.540]  So I got to tell him to, to tell that.
[01:18:55.540 --> 01:19:02.260]  So he gets kind of like, he has all the straight story and I don't, you know, I didn't do all
[01:19:02.260 --> 01:19:04.260]  the research, so I don't have the straight story.
[01:19:05.140 --> 01:19:05.380]  Right.
[01:19:06.020 --> 01:19:07.940]  Fair, fair answer there.
[01:19:07.940 --> 01:19:09.700]  And let's see here.
[01:19:09.700 --> 01:19:16.740]  I'm going to get one more question up here that came in and it actually will lead into
[01:19:17.460 --> 01:19:19.140]  another question I have myself.
[01:19:19.140 --> 01:19:26.180]  Well, actually, bud washing, that is something that, you know, we we've seen in your book
[01:19:26.180 --> 01:19:30.900]  and that's something in the Pacific Northwest because of the last few years, wildfires,
[01:19:30.900 --> 01:19:31.780]  ash and everything.
[01:19:31.780 --> 01:19:34.740]  This is something that I have been asked about a lot.
[01:19:34.740 --> 01:19:36.340]  They're like, well, how do you do it?
[01:19:36.340 --> 01:19:38.340]  And I always refer people to you.
[01:19:38.340 --> 01:19:39.380]  I'm like, yeah, yeah.
[01:19:39.380 --> 01:19:41.780]  Cora Cervantes, bud washing, Google it, do it.
[01:19:42.420 --> 01:19:43.140]  Yeah.
[01:19:43.140 --> 01:19:43.460]  Yeah.
[01:19:43.460 --> 01:19:44.500]  It works really well.
[01:19:45.460 --> 01:19:48.500]  You know, just like you take lettuce, you wash it off.
[01:19:48.500 --> 01:19:52.020]  It's got the dirt on it and then you dry it out.
[01:19:53.380 --> 01:19:54.020]  Yep.
[01:19:54.020 --> 01:19:54.420]  Yep.
[01:19:54.420 --> 01:19:56.500]  So it's a scary thing though.
[01:19:56.500 --> 01:19:57.780]  It's a scary thing.
[01:19:57.780 --> 01:19:58.340]  Not so much.
[01:19:58.420 --> 01:20:06.820]  Because, excuse me, because you use, swish it around.
[01:20:06.820 --> 01:20:09.700]  You don't want to like rub it, like be abrasive.
[01:20:10.660 --> 01:20:12.100]  You can swish it around.
[01:20:12.100 --> 01:20:17.620]  And in fact, you could even use like one of those sprinkler type things, you know, that
[01:20:17.620 --> 01:20:21.780]  just uses water to do it.
[01:20:21.780 --> 01:20:23.380]  But you don't need to do that.
[01:20:23.380 --> 01:20:26.980]  You just need to agitate it a little bit.
[01:20:26.980 --> 01:20:31.780]  But it's not hard at all on the resin glands at all.
[01:20:32.580 --> 01:20:38.100]  And then, so you do that and then you shake it off and, you know, you don't do it violently,
[01:20:38.100 --> 01:20:42.980]  just shake it off and then hang it and put a fan on it and it dries right out.
[01:20:43.620 --> 01:20:47.060]  It dries right out and it's not a problem.
[01:20:47.620 --> 01:20:51.140]  And then after that, you can process it.
[01:20:51.140 --> 01:20:58.500]  But it's, you just, you just got to have the proper conditions afterwards.
[01:20:58.500 --> 01:21:02.740]  But yeah, once you see that scum, that scum there like that.
[01:21:02.740 --> 01:21:03.240]  Yes.
[01:21:05.140 --> 01:21:07.140]  You will be convinced.
[01:21:07.140 --> 01:21:07.700]  It's like, ooh.
[01:21:08.420 --> 01:21:09.060]  Yeah.
[01:21:09.060 --> 01:21:09.620]  Sold.
[01:21:09.620 --> 01:21:10.100]  Okay.
[01:21:10.100 --> 01:21:11.060]  Makes you think twice.
[01:21:11.060 --> 01:21:11.220]  Yeah.
[01:21:11.220 --> 01:21:16.180]  I had a buddy who made a video to do that, to again, look at the, you know, the trichome
[01:21:16.180 --> 01:21:20.420]  heads, everything, as you said, and he set it up like you recommended as well.
[01:21:20.420 --> 01:21:24.340]  And he actually reported that it dried faster, which I was like, wait a minute, you dunked
[01:21:24.340 --> 01:21:26.020]  it and it actually dried faster than normal.
[01:21:26.020 --> 01:21:29.540]  But a couple of days here and there will, you know, a couple of days is a couple of
[01:21:29.540 --> 01:21:30.500]  days to a grower.
[01:21:30.500 --> 01:21:31.380]  That's a long time.
[01:21:31.380 --> 01:21:32.100]  So yeah.
[01:21:33.060 --> 01:21:36.820]  I never checked to see if it grew, if it dried faster or not.
[01:21:36.820 --> 01:21:37.460]  It very well.
[01:21:37.460 --> 01:21:37.940]  I don't know.
[01:21:37.940 --> 01:21:40.900]  Oh, that's a good thing about sharing information.
[01:21:40.900 --> 01:21:42.260]  See, I learned stuff there.
[01:21:42.260 --> 01:21:42.900]  Yes.
[01:21:42.900 --> 01:21:43.540]  Okay.
[01:21:43.540 --> 01:21:47.860]  And then to the actual question here, it says, it says, do you think the cannabis industry
[01:21:47.860 --> 01:21:52.500]  has room for aged, fermented, or buds cured and aged properly?
[01:21:52.500 --> 01:21:58.740]  Probably not fermented, but properly cured buds for a year or more kind of like specialty
[01:21:58.740 --> 01:22:00.980]  products like tobacco, wine, or alcohols.
[01:22:02.340 --> 01:22:11.940]  Boy, maybe, you know, there's, go put it on the market and see, I mean, it's not the first
[01:22:11.940 --> 01:22:13.620]  thing I would look for.
[01:22:13.620 --> 01:22:18.740]  I know a guy where Nick was, I think it was in Netherlands.
[01:22:19.380 --> 01:22:22.900]  He gave me, they do this in the tropics.
[01:22:23.940 --> 01:22:26.100]  It was the tropics.
[01:22:26.100 --> 01:22:26.340]  Yeah.
[01:22:26.340 --> 01:22:30.580]  But it was like a corn husks.
[01:22:31.140 --> 01:22:35.540]  It was cannabis rolled in corn husk or bamboo or something and squeezed.
[01:22:36.180 --> 01:22:36.420]  Yeah.
[01:22:36.420 --> 01:22:38.340]  I was, I couldn't take it back with me.
[01:22:38.340 --> 01:22:38.580]  Right.
[01:22:38.580 --> 01:22:39.460]  It was in Netherlands.
[01:22:40.100 --> 01:22:43.540]  And so, and it was squeezed, squeezed together.
[01:22:44.100 --> 01:22:49.460]  But I mean, to me, it was, I don't know.
[01:22:49.460 --> 01:22:54.180]  The reason they did all of that stuff to begin with was to preserve it.
[01:22:54.180 --> 01:23:01.940]  So it had lasted for a while when you carried it, that was the idea with everything to condense
[01:23:01.940 --> 01:23:02.100]  it.
[01:23:02.900 --> 01:23:05.860]  So maybe, I don't know.
[01:23:05.860 --> 01:23:06.180]  Yeah.
[01:23:07.220 --> 01:23:09.220]  But I'd like to say, oh yeah, sure.
[01:23:10.260 --> 01:23:11.140]  I have no idea.
[01:23:11.460 --> 01:23:15.220]  I would go see if people would buy it.
[01:23:15.700 --> 01:23:17.700]  Yeah.
[01:23:18.420 --> 01:23:21.220]  And that's just off the top of my head too.
[01:23:21.220 --> 01:23:22.260]  I'm a big flower guy.
[01:23:22.260 --> 01:23:23.460]  I love my flower.
[01:23:23.460 --> 01:23:28.500]  I see that maybe applying more to hash though, because hash does store well.
[01:23:29.140 --> 01:23:29.620]  Oh yeah.
[01:23:30.180 --> 01:23:37.220]  And from Frenchie Cannoli's, the testing and that Madame Cannoli continues, it does look
[01:23:37.220 --> 01:23:39.060]  like it continues to get better with time.
[01:23:39.060 --> 01:23:40.260]  So that's interesting.
[01:23:40.420 --> 01:23:43.460]  Again, one of those things like plants, it takes time to know.
[01:23:44.180 --> 01:23:44.580]  Yeah.
[01:23:44.580 --> 01:23:45.220]  Yeah, it does.
[01:23:45.220 --> 01:23:48.420]  And yeah, with the hash, see, we get to really good hash here.
[01:23:48.420 --> 01:23:49.780]  We get to Moroccan hashes.
[01:23:49.780 --> 01:23:50.280]  Yeah.
[01:23:51.860 --> 01:23:57.300]  You get the apaleado, the beaten with the stick, or then you get the culero, the butt
[01:23:57.300 --> 01:23:58.020]  hash, you know.
[01:23:59.780 --> 01:24:02.180]  Somebody was asking to ask you about butt hash.
[01:24:02.180 --> 01:24:03.860]  Culero.
[01:24:03.860 --> 01:24:04.100]  Yeah.
[01:24:04.100 --> 01:24:08.180]  Everybody in the Mediterranean knows culero because it's really good.
[01:24:08.180 --> 01:24:11.380]  They come in these, they call them acorns, bellota.
[01:24:11.380 --> 01:24:19.220]  It's like 10 grams and it's covered with cellophane, the shrink wrap type stuff.
[01:24:20.100 --> 01:24:21.940]  And people swallow them.
[01:24:21.940 --> 01:24:31.700]  You can get, I mean, you can get about two to two and a half pounds in your stomach.
[01:24:31.700 --> 01:24:34.740]  It comes up to about here, depends on how big you are.
[01:24:35.300 --> 01:24:37.380]  And it goes some in your bed.
[01:24:37.380 --> 01:24:37.620]  Yeah.
[01:24:38.740 --> 01:24:41.860]  And then you can put about a hundred grams up the rectum.
[01:24:43.380 --> 01:24:48.900]  But the thing is, you have to like afterwards, you have to go sit in the bathtub for a couple
[01:24:48.900 --> 01:24:53.700]  days, you know, and I'll tell you damn well better count them before they go in.
[01:24:54.900 --> 01:24:57.060]  Because you gotta count them when they come out.
[01:25:02.180 --> 01:25:04.260]  These are practical matters here.
[01:25:04.900 --> 01:25:05.400]  Yeah.
[01:25:06.900 --> 01:25:09.460]  Olive oil, drink a lot of olive oil.
[01:25:09.460 --> 01:25:10.020]  Oh man.
[01:25:13.700 --> 01:25:15.700]  I am thankful for legal cannabis.
[01:25:16.500 --> 01:25:17.000]  Yeah.
[01:25:17.860 --> 01:25:18.180]  Yeah.
[01:25:18.180 --> 01:25:23.140]  But they only make the best cannabis, the culero, you know.
[01:25:24.420 --> 01:25:24.920]  Yeah.
[01:25:25.700 --> 01:25:29.780]  And then usually get the placas, the plates of a hundred grams.
[01:25:29.780 --> 01:25:30.020]  Okay.
[01:25:30.020 --> 01:25:30.660]  Yep.
[01:25:30.660 --> 01:25:31.160]  Yeah.
[01:25:32.260 --> 01:25:32.740]  Yeah.
[01:25:32.740 --> 01:25:32.980]  Wow.
[01:25:34.900 --> 01:25:36.020]  Well, good, good, good.
[01:25:36.020 --> 01:25:36.420]  Yeah.
[01:25:36.420 --> 01:25:38.260]  Please download this book.
[01:25:38.260 --> 01:25:41.460]  Tell we got to tell everybody to download the book, see if you like it.
[01:25:41.460 --> 01:25:43.460]  And I'd like to know what you think about it.
[01:25:44.900 --> 01:25:46.500]  You know, good, bad or indifferent.
[01:25:47.940 --> 01:25:51.060]  But it's a freebie, you know, a little bit of your time.
[01:25:51.860 --> 01:25:52.980]  Easy enough to get.
[01:25:53.700 --> 01:25:56.740]  And I love the guys at Seeds when they're so good to work with.
[01:25:57.460 --> 01:25:58.420]  I don't know.
[01:25:58.420 --> 01:26:00.900]  I've known Tom for a hell of a long time.
[01:26:00.900 --> 01:26:01.460]  Yeah.
[01:26:01.460 --> 01:26:01.860]  Awesome.
[01:26:01.940 --> 01:26:08.340]  I've seen a lot of pictures of you lately on your American trip, rocking with the Seedsman gear.
[01:26:08.340 --> 01:26:10.740]  And yeah, that's the website to go find this.
[01:26:10.740 --> 01:26:11.220]  Everybody.
[01:26:11.220 --> 01:26:14.260]  This link is also down in the show notes.
[01:26:14.900 --> 01:26:16.500]  So find that there.
[01:26:17.380 --> 01:26:25.140]  Also want to just real quick, you know, Jorge Cervantes, MJ on Instagram and your website as well.
[01:26:25.700 --> 01:26:30.340]  Anything else that you want to let people know of or where to find you before we sign out for the day?
[01:26:31.220 --> 01:26:33.540]  Yeah, that's those are the main places.
[01:26:33.540 --> 01:26:36.820]  I'm also on LinkedIn, too.
[01:26:37.620 --> 01:26:40.100]  That's I got to give LinkedIn a plug.
[01:26:40.100 --> 01:26:41.380]  I really like LinkedIn.
[01:26:41.380 --> 01:26:43.540]  It's a great professional place to be.
[01:26:44.580 --> 01:26:49.620]  You get real high quality people that are have stuff to talk about.
[01:26:50.340 --> 01:26:51.780]  And it's a real pleasant.
[01:26:51.780 --> 01:26:53.620]  I like it a lot.
[01:26:53.620 --> 01:27:00.180]  A lot of professors, a lot of professionals and people with doctorate degrees that know
[01:27:00.180 --> 01:27:01.140]  a lot more than me.
[01:27:01.140 --> 01:27:01.620]  It's great.
[01:27:02.260 --> 01:27:03.620]  And I get to learn from them.
[01:27:04.260 --> 01:27:04.580]  Yes.
[01:27:04.580 --> 01:27:07.540]  And I'm headed there myself soon, too.
[01:27:08.180 --> 01:27:15.220]  Again, it's another it's another just level of people that I want to learn from and talk with
[01:27:15.220 --> 01:27:16.580]  and then just be community.
[01:27:16.580 --> 01:27:20.340]  So, yes, I looked briefly in the email in your email.
[01:27:20.340 --> 01:27:25.540]  I didn't see it, but just I imagine if people Google Google or hey, Cervantes LinkedIn, it'll
[01:27:25.540 --> 01:27:26.020]  pop up.
[01:27:26.980 --> 01:27:28.900]  Yeah, yeah, yeah, it should.
[01:27:29.300 --> 01:27:31.300]  Yeah, I have a bunch of followers, too.
[01:27:32.820 --> 01:27:33.620]  Awesome.
[01:27:33.620 --> 01:27:34.740]  Another another place.
[01:27:35.700 --> 01:27:37.300]  Well, shoot, man.
[01:27:37.300 --> 01:27:38.980]  Thank you so much for your time tonight.
[01:27:38.980 --> 01:27:41.540]  Thank you for, you know, again, all that you have written.
[01:27:41.540 --> 01:27:43.540]  You have taught me personally a lot.
[01:27:43.540 --> 01:27:46.820]  I have passed this on to others and now you're offering another free book.
[01:27:47.860 --> 01:27:49.780]  So big respect to you, sir.
[01:27:49.780 --> 01:27:50.740]  I appreciate that.
[01:27:51.940 --> 01:27:52.740]  Oh, thank you.
[01:27:52.740 --> 01:27:53.620]  Thank you very much.
[01:27:54.420 --> 01:27:55.940]  Yeah, I'm happy to be on.
[01:27:55.940 --> 01:27:56.420]  I'll be on.
[01:27:58.900 --> 01:28:00.500]  I've got more projects happening.
[01:28:01.140 --> 01:28:02.180]  So good.
[01:28:02.180 --> 01:28:02.900]  That's good.
[01:28:02.900 --> 01:28:03.220]  Yeah.
[01:28:03.220 --> 01:28:04.180]  Thank you so much.
[01:28:04.180 --> 01:28:04.900]  Thank you so much.
[01:28:04.900 --> 01:28:05.860]  Been real pleasant.
[01:28:05.860 --> 01:28:07.220]  It's good to hang out.
[01:28:07.780 --> 01:28:08.580]  Good, good.
[01:28:08.580 --> 01:28:09.140]  My pleasure.
[01:28:09.140 --> 01:28:11.700]  And everybody in chat, thanks for hanging out today.
[01:28:11.700 --> 01:28:14.340]  I will hit the end broadcast button.
[01:28:14.340 --> 01:28:18.500]  Don't forget to show up here in a couple hours, hour and a half.
[01:28:18.500 --> 01:28:20.580]  Marco and Brian talking living soil.
[01:28:20.580 --> 01:28:23.300]  So until then, catch everybody next time.
[01:28:24.100 --> 01:28:24.660]  All right.
[01:28:24.660 --> 01:28:25.700]  Have a good day.
