[00:28.410 --> 00:31.650]  How's it going, everybody?
[01:35:57.730 --> 01:35:58.730]  Yes, we are working together.
[01:35:59.730 --> 01:36:00.730]  Nice.
[01:36:02.730 --> 01:36:07.730]  Yeah, we know each other for a long time and we're doing a seed project for him
[01:36:08.410 --> 01:36:18.410]  and we started a new brand together with Damien Marley, which we're working on
[01:36:19.410 --> 01:36:26.410]  and we're looking now how we can start making flowers in the very near future
[01:36:27.410 --> 01:36:28.410]  to get on the shelves of the cookie stores, of course.
[01:36:29.410 --> 01:36:34.410]  And then, of course, we are very soon opening a, that rumor is probably also out,
[01:36:35.090 --> 01:36:39.090]  that we are opening a cookie lounge in Amsterdam in the main shop in the Haarlemstraat.
[01:36:40.090 --> 01:36:45.090]  So there's a lot of crossovers going between us and them.
[01:36:47.090 --> 01:36:48.090]  Nice.
[01:36:50.090 --> 01:36:51.090]  Looking forward to that, yeah.
[01:36:52.090 --> 01:36:54.090]  It's great to work with other people in the industry, you know.
[01:36:55.090 --> 01:36:56.090]  We do it a lot.
[01:36:58.090 --> 01:36:59.090]  Yeah, for sure.
[01:37:00.090 --> 01:37:04.090]  Well, yeah, I think people think the cannabis industry is so big and really it's small.
[01:37:05.090 --> 01:37:07.090]  It's very small, especially at the level that we're at
[01:37:08.090 --> 01:37:09.090]  and the people that have been in there for a while.
[01:37:10.090 --> 01:37:11.090]  Yeah.
[01:37:12.090 --> 01:37:13.090]  Everybody knows everybody.
[01:37:14.090 --> 01:37:15.090]  Yeah.
[01:37:16.090 --> 01:37:20.090]  Okay, so a while ago, Greg McAllister said,
[01:37:21.090 --> 01:37:25.090]  Production Matters asked Arjan what formula he makes has the highest,
[01:37:26.090 --> 01:37:27.090]  or I guess that has the highest yield.
[01:37:28.090 --> 01:37:31.090]  What are your high yielding formulations or formulas?
[01:37:31.770 --> 01:37:33.770]  What, plant-wise or nutrients-wise?
[01:37:34.770 --> 01:37:39.770]  I assume he's talking about nutrients and Greg, you can clarify the question,
[01:37:40.770 --> 01:37:41.770]  but I think he's talking nutrients.
[01:37:42.770 --> 01:37:43.770]  There is a mix, you know.
[01:37:44.770 --> 01:37:46.770]  It depends how you grow, you know.
[01:37:47.770 --> 01:37:48.770]  Of course, the more light, the more yield.
[01:37:49.770 --> 01:37:50.770]  We all know this trick.
[01:37:51.770 --> 01:37:52.770]  It's pretty easy.
[01:37:53.770 --> 01:37:54.770]  In Holland, we have a rhyme.
[01:37:55.770 --> 01:37:56.770]  It says, Licht is Gewicht.
[01:37:57.770 --> 01:37:58.770]  That means basically light is weight.
[01:37:59.450 --> 01:38:04.450]  And then, yeah, look, a lot of people work on hydroponics,
[01:38:05.450 --> 01:38:06.450]  which you pump much more air to the roots,
[01:38:07.450 --> 01:38:09.450]  so you have probably a 15% more yield
[01:38:10.450 --> 01:38:14.450]  and a 50% quicker ratio on the turnover of your cycles.
[01:38:15.450 --> 01:38:17.450]  But then again, you don't have the taste of the soil.
[01:38:18.450 --> 01:38:22.450]  And, well, we use our own fertilizer, which we launched like seven years ago
[01:38:23.450 --> 01:38:24.450]  and now it's really getting booming.
[01:38:25.450 --> 01:38:27.450]  I think we are number one in most South American countries and Russia.
[01:38:28.130 --> 01:38:31.130]  In Europe, we're going also really, really well.
[01:38:32.130 --> 01:38:33.130]  And Canada, we use a lot.
[01:38:34.130 --> 01:38:35.130]  America is a more difficult market for us
[01:38:36.130 --> 01:38:38.130]  because there's really huge companies, you know,
[01:38:39.130 --> 01:38:41.130]  that we have to deal with on Shell Space.
[01:38:42.130 --> 01:38:45.130]  But we came up with the motto with the powder feeding
[01:38:46.130 --> 01:38:48.130]  and, yeah, the stuff is working amazing, you know.
[01:38:49.130 --> 01:38:54.130]  First of all, feeding doesn't have to be as complicated as everybody thinks it is, you know.
[01:38:54.810 --> 01:38:56.810]  And people should really look into that.
[01:38:57.810 --> 01:38:58.810]  People should try out.
[01:38:59.810 --> 01:39:00.810]  This is how we grew up when we were young.
[01:39:01.810 --> 01:39:03.810]  We always had pots and every pot we did something different, you know,
[01:39:04.810 --> 01:39:07.810]  same plant, same light and slowly evolve to what you do.
[01:39:08.810 --> 01:39:10.810]  Many big growers make their own stuff.
[01:39:11.810 --> 01:39:12.810]  And we technically did the same.
[01:39:13.810 --> 01:39:16.810]  We made it into a powder because we thought it was sustainable for the long run,
[01:39:17.810 --> 01:39:22.810]  where, you know, walking around with 25 liter or what is it,
[01:39:23.490 --> 01:39:27.490]  five, six gallon big tanks didn't make sense anymore at one point,
[01:39:28.490 --> 01:39:29.490]  especially when you are remote, you know.
[01:39:30.490 --> 01:39:36.490]  So, yeah, we grow with the powder feeding now and it's doing amazing.
[01:39:37.490 --> 01:39:38.490]  Well, you can see all our pictures.
[01:39:39.490 --> 01:39:41.490]  You can see a lot of people raving about it on the Internet.
[01:39:42.490 --> 01:39:46.490]  And slowly it's getting his market within the marijuana market.
[01:39:47.490 --> 01:39:49.490]  It took a while because people have to get used.
[01:39:50.170 --> 01:39:55.170]  We all know how difficult it is to change a grower from nutrients
[01:39:56.170 --> 01:40:01.170]  or from his plants, you know, to change genetics or from his medium.
[01:40:02.170 --> 01:40:03.170]  But slowly we're getting there.
[01:40:04.170 --> 01:40:07.170]  And now, yeah, now it's a whole new thing, you know, powder feeding.
[01:40:08.170 --> 01:40:09.170]  Check it out.
[01:40:10.170 --> 01:40:12.170]  Yeah, the concept is amazing.
[01:40:13.170 --> 01:40:15.170]  I mean, there's no reason to mix the powder with it.
[01:40:16.170 --> 01:40:18.170]  If you're making salts, mixing the salts with the liquid
[01:40:18.850 --> 01:40:20.850]  and shipping them with this huge carbon footprint.
[01:40:21.850 --> 01:40:23.850]  I mean, if you could just ship the powder and you have stabilizers,
[01:40:24.850 --> 01:40:26.850]  I think that's an amazing concept.
[01:40:27.850 --> 01:40:28.850]  Carbon footprints.
[01:40:29.850 --> 01:40:32.850]  Yeah, you know, and also, you know, for people with one tent,
[01:40:33.850 --> 01:40:35.850]  you know, a lot of illegal growth with like one light or two lights
[01:40:36.850 --> 01:40:39.850]  and a little bit of soil, you know, you put a little bit of powder through it
[01:40:40.850 --> 01:40:44.850]  in the buckets and you just give it and the shell space is really long.
[01:40:45.850 --> 01:40:46.850]  It's just super handy, you know.
[01:40:47.530 --> 01:40:50.530]  And I remember Larry telling me from General Hydroponics
[01:40:51.530 --> 01:40:55.530]  six, seven years ago, I say, that stuff will never work.
[01:40:56.530 --> 01:41:01.530]  I know what he's talking about, of course, you know, he's an old friend of mine.
[01:41:02.530 --> 01:41:04.530]  And then after two years, he saw it going, it's going around
[01:41:05.530 --> 01:41:06.530]  and everybody started using.
[01:41:07.530 --> 01:41:08.530]  I said, that's what you told me, it's not working.
[01:41:09.530 --> 01:41:10.530]  He said, yeah, I told it on purpose.
[01:41:11.530 --> 01:41:12.530]  I knew it was working, but it's going to cost us a lot of money.
[01:41:13.530 --> 01:41:14.530]  Yeah.
[01:41:15.210 --> 01:41:17.210]  Well, he has his own, I mean, he's not with, it's now Scott's,
[01:41:18.210 --> 01:41:19.210]  but Larry sold it, but yeah.
[01:41:20.210 --> 01:41:21.210]  I sold it, he left the company and sold everything.
[01:41:22.210 --> 01:41:25.210]  But now you see American companies also doing powders, huh?
[01:41:26.210 --> 01:41:29.210]  Yeah, GH, I mean, GH has a Flora Pro, which is a powder line.
[01:41:30.210 --> 01:41:31.210]  They all have a powder now.
[01:41:32.210 --> 01:41:34.210]  And when I started the whole thing, they all said I was crazy, you know.
[01:41:35.210 --> 01:41:36.210]  And now they all have powder.
[01:41:37.210 --> 01:41:39.210]  But my powder is by far the best powder of all of them.
[01:41:40.210 --> 01:41:41.210]  No residue in the tubes, nothing.
[01:41:42.210 --> 01:41:43.210]  And Dustin, I can guarantee that.
[01:41:43.890 --> 01:41:44.890]  Just try it.
[01:41:45.890 --> 01:41:46.890]  Yeah.
[01:41:46.890 --> 01:41:47.890]  And the organic is working really good also.
[01:41:48.890 --> 01:41:49.890]  And the organic is amazing.
[01:41:50.890 --> 01:41:51.890]  Nice.
[01:41:52.890 --> 01:41:53.890]  So yeah, you guys should really, really try it.
[01:41:54.890 --> 01:41:55.890]  It's good, you know, because it's an honest product, you know,
[01:41:56.890 --> 01:41:57.890]  we should emphasize that.
[01:41:58.890 --> 01:41:59.890]  And small time growers should just grow powder
[01:42:00.890 --> 01:42:01.890]  and not walk around with all these liquids and, you know,
[01:42:02.890 --> 01:42:03.890]  and pollute stuff.
[01:42:04.890 --> 01:42:05.890]  No, use a powder, you know, it's good.
[01:42:08.890 --> 01:42:09.890]  Yeah, I think the concept is great.
[01:42:10.890 --> 01:42:11.890]  I think especially for remote locations,
[01:42:12.570 --> 01:42:13.570]  there's no, you're not going to go to Antarctica
[01:42:14.570 --> 01:42:18.570]  if you want to grow cannabis and grow with stuff that has liquid in it.
[01:42:19.570 --> 01:42:20.570]  So Africa too.
[01:42:21.570 --> 01:42:23.570]  I mean, I think it just makes sense for a lot of places.
[01:42:24.570 --> 01:42:25.570]  Yeah.
[01:42:27.570 --> 01:42:28.570]  Yeah, exactly.
[01:42:29.570 --> 01:42:30.570]  Look here, Greenhouse Powder Organic is the bomb.
[01:42:31.570 --> 01:42:32.570]  This guy's using it.
[01:42:33.570 --> 01:42:34.570]  And you see more and more people now.
[01:42:35.570 --> 01:42:36.570]  Yeah.
[01:42:37.570 --> 01:42:38.570]  And the good thing about it is everybody uses it.
[01:42:39.570 --> 01:42:40.570]  It's super happy to say, wow, I did it.
[01:42:41.250 --> 01:42:42.250]  Realize this, you know,
[01:42:43.250 --> 01:42:44.250]  especially production.
[01:42:45.250 --> 01:42:46.250]  It's just, it's just, it's just amazing.
[01:42:47.250 --> 01:42:48.250]  It's just a super good product.
[01:42:49.250 --> 01:42:50.250]  So I'm happy.
[01:42:51.250 --> 01:42:52.250]  One of the things we contributed to this planet is bringing powder
[01:42:53.250 --> 01:42:54.250]  into the marijuana industry.
[01:42:55.250 --> 01:42:56.250]  And yeah, we did that, you know,
[01:42:57.250 --> 01:42:58.250]  and now all the companies are following us.
[01:42:59.250 --> 01:43:00.250]  I'm proud of that.
[01:43:01.250 --> 01:43:02.250]  It's good for the environment.
[01:43:03.250 --> 01:43:04.250]  It's good that other companies pick it up and realize
[01:43:05.250 --> 01:43:06.250]  that we should not work with all these gallons of waters
[01:43:07.250 --> 01:43:08.250]  and, you know,
[01:43:08.930 --> 01:43:09.930]  mixing it like that and throwing away a lot,
[01:43:10.930 --> 01:43:11.930]  you know, and yeah.
[01:43:12.930 --> 01:43:13.930]  We contributed a little bit to a better world,
[01:43:14.930 --> 01:43:15.930]  we hope.
[01:43:16.930 --> 01:43:17.930]  Yeah.
[01:43:18.930 --> 01:43:19.930]  Well, so when I,
[01:43:20.930 --> 01:43:21.930]  the time when I first met you and I'd won my first
[01:43:22.930 --> 01:43:23.930]  cannabis cup,
[01:43:24.930 --> 01:43:25.930]  you said something that's kind of stuck with me throughout
[01:43:26.930 --> 01:43:27.930]  this whole time.
[01:43:28.930 --> 01:43:29.930]  It's been almost 10 years now.
[01:43:30.930 --> 01:43:31.930]  And you said that the cup that I had,
[01:43:32.930 --> 01:43:33.930]  you said,
[01:43:34.930 --> 01:43:35.930]  it's just the beginning that this cup is worth a million dollars.
[01:43:36.610 --> 01:43:37.610]  Or it's worth nothing.
[01:43:38.610 --> 01:43:39.610]  If you,
[01:43:40.610 --> 01:43:41.610]  if you get up and you apply yourself,
[01:43:42.610 --> 01:43:43.610]  it can be worth a million.
[01:43:44.610 --> 01:43:45.610]  But if you don't, it's worth absolutely zero.
[01:43:46.610 --> 01:43:47.610]  Yeah.
[01:43:48.610 --> 01:43:49.610]  You know, so I get up every day and I think about that.
[01:43:50.610 --> 01:43:51.610]  Not every day thinking about that specifically,
[01:43:52.610 --> 01:43:53.610]  but getting up every day and grinding that this is just
[01:43:54.610 --> 01:43:55.610]  the beginning.
[01:43:56.610 --> 01:43:57.610]  It's part of the path that these awards are great things.
[01:43:58.610 --> 01:43:59.610]  But if you don't apply yourself, they mean nothing.
[01:44:00.610 --> 01:44:01.610]  So what's your legacy?
[01:44:02.610 --> 01:44:03.610]  What's your,
[01:44:04.610 --> 01:44:05.610]  I mean, I think in your opinion,
[01:44:06.610 --> 01:44:07.610]  I guess you're leaving behind a great seed company.
[01:44:08.610 --> 01:44:09.610]  We're talking nutrients now.
[01:44:10.610 --> 01:44:11.610]  I think the way we do it,
[01:44:12.610 --> 01:44:13.610]  what's the plan for your future?
[01:44:14.610 --> 01:44:15.610]  The clubs, you see, really important.
[01:44:16.610 --> 01:44:17.610]  I would like to see the whole world like having coffee shops
[01:44:18.610 --> 01:44:19.610]  like in Amsterdam.
[01:44:20.610 --> 01:44:21.610]  So it's like,
[01:44:22.610 --> 01:44:23.610]  look, what is the fun part for all of us?
[01:44:24.610 --> 01:44:25.610]  Go to restaurant with friends and have a nice meal
[01:44:26.610 --> 01:44:27.610]  or go to bar, have a nice drink and watch some sports game
[01:44:28.610 --> 01:44:29.610]  or chat with friends and girls and whatever.
[01:44:30.610 --> 01:44:31.610]  And that has to happen in a coffee shop.
[01:44:32.610 --> 01:44:33.610]  And I think that's the way we do it.
[01:44:34.290 --> 01:44:35.290]  And that has to happen in a coffee shop with a joint.
[01:44:36.290 --> 01:44:37.290]  And that's one of my things.
[01:44:38.290 --> 01:44:39.290]  And I hope through,
[01:44:40.290 --> 01:44:41.290]  I hope through
[01:44:42.290 --> 01:44:43.290]  Wait till he comes back.
[01:44:44.290 --> 01:44:51.560]  And also the movies, you know,
[01:44:52.560 --> 01:44:53.560]  I hope I'm going to make another 10 with dust
[01:44:54.560 --> 01:44:55.560]  and show what's really going on.
[01:44:56.560 --> 01:44:57.560]  I think that's what I can do.
[01:44:58.560 --> 01:44:59.560]  And then, of course, leave behind great varieties,
[01:45:00.560 --> 01:45:01.560]  you know, and
[01:45:02.560 --> 01:45:03.560]  and I think that's what I can do.
[01:45:04.560 --> 01:45:05.560]  And then, of course, leave behind great varieties,
[01:45:06.560 --> 01:45:07.560]  you know, and
[01:45:08.240 --> 01:45:09.240]  and contribute,
[01:45:10.240 --> 01:45:11.240]  contributed like 5% to the legalization process,
[01:45:12.240 --> 01:45:13.240]  which I did from the beginning.
[01:45:14.240 --> 01:45:15.240]  Now, the first 10 licenses are granted in Holland
[01:45:16.240 --> 01:45:17.240]  because myself and nine other people,
[01:45:18.240 --> 01:45:19.240]  we pushed it really hard for the last six years.
[01:45:20.240 --> 01:45:21.240]  And then we created this transparent chain.
[01:45:22.240 --> 01:45:23.240]  And now the government implemented that.
[01:45:24.240 --> 01:45:25.240]  And now there's 10 licenses in Holland.
[01:45:26.240 --> 01:45:27.240]  So I'm proud of that.
[01:45:28.240 --> 01:45:29.240]  We worked really hard for that.
[01:45:30.240 --> 01:45:31.240]  And it's good.
[01:45:32.240 --> 01:45:33.240]  Those things are going to be a part of my life.
[01:45:34.240 --> 01:45:35.240]  And I hope that I can continue to do that.
[01:45:35.920 --> 01:45:36.920]  And it's good.
[01:45:37.920 --> 01:45:38.920]  Those things are happening.
[01:45:39.920 --> 01:45:40.920]  Yeah.
[01:45:41.920 --> 01:45:42.920]  With your children getting older,
[01:45:43.920 --> 01:45:44.920]  are they going to be involved in the industry?
[01:45:45.920 --> 01:45:46.920]  I have no idea.
[01:45:47.920 --> 01:45:48.920]  One of them is going to start working tomorrow morning
[01:45:49.920 --> 01:45:50.920]  on the office.
[01:45:51.920 --> 01:45:52.920]  I'm looking at him sitting on the couch.
[01:45:53.920 --> 01:45:54.920]  He's 14.
[01:45:55.920 --> 01:45:56.920]  And he's born on 420.
[01:45:57.920 --> 01:45:58.920]  You maybe remember that crazy day.
[01:45:59.920 --> 01:46:00.920]  Future stream hunters.
[01:46:01.920 --> 01:46:02.920]  How is that possible?
[01:46:03.920 --> 01:46:04.920]  So
[01:46:05.920 --> 01:46:06.920]  Yeah.
[01:46:07.920 --> 01:46:08.920]  So James, we actually have a question for you.
[01:46:09.920 --> 01:46:10.920]  When you were talking about
[01:46:11.920 --> 01:46:12.920]  or let me just post it up.
[01:46:13.920 --> 01:46:14.920]  So it's Mr. Toad.
[01:46:15.920 --> 01:46:16.920]  What type of nano silver?
[01:46:17.920 --> 01:46:18.920]  Is it a bacteria based silver?
[01:46:19.920 --> 01:46:20.920]  Just colloidal silver?
[01:46:21.920 --> 01:46:22.920]  It's not very.
[01:46:23.920 --> 01:46:24.920]  Yes.
[01:46:25.920 --> 01:46:26.920]  We're going to go over it on the show.
[01:46:27.920 --> 01:46:28.920]  Eventually I have a recipe that is in my book,
[01:46:29.920 --> 01:46:30.920]  my breeding book that I will be sharing with everyone.
[01:46:31.920 --> 01:46:32.920]  And I'm going to be sharing it with you.
[01:46:33.600 --> 01:46:34.600]  So we'll be talking about that sometime in the near future.
[01:46:35.600 --> 01:46:36.600]  Got it.
[01:46:37.600 --> 01:46:38.600]  How many times you spray?
[01:46:39.600 --> 01:46:40.600]  In what?
[01:46:41.600 --> 01:46:42.600]  In what ratio?
[01:46:43.600 --> 01:46:44.600]  So it just depends.
[01:46:45.600 --> 01:46:46.600]  Like so typically what you do is you take one milliliter.
[01:46:47.600 --> 01:46:48.600]  It's in such a concentration.
[01:46:49.600 --> 01:46:50.600]  So it's one milliliter to one gallon.
[01:46:51.600 --> 01:46:52.600]  And then you start spring one week before flower
[01:46:53.600 --> 01:46:54.600]  through one week after and you get a full reversal.
[01:46:55.600 --> 01:46:56.600]  So then with autos, I just depending on the auto,
[01:46:57.600 --> 01:46:58.600]  I just spray it.
[01:46:59.600 --> 01:47:00.600]  And then I spray it.
[01:47:01.280 --> 01:47:02.280]  So then with autos, I just depending on the auto,
[01:47:03.280 --> 01:47:04.280]  some of them I've started spraying as early as like three weeks
[01:47:05.280 --> 01:47:06.280]  from germination and you spray every other day
[01:47:07.280 --> 01:47:08.280]  and you get really good results.
[01:47:09.280 --> 01:47:10.280]  For the normal fan you spray the plants one week prior
[01:47:11.280 --> 01:47:12.280]  to going on 12.
[01:47:13.280 --> 01:47:14.280]  Exactly.
[01:47:15.280 --> 01:47:16.280]  And then you spray again on 12 and then one week later
[01:47:17.280 --> 01:47:18.280]  you spray three times or what?
[01:47:19.280 --> 01:47:20.280]  No, I spray every other day.
[01:47:21.280 --> 01:47:22.280]  Starting one week before through one week after.
[01:47:23.280 --> 01:47:24.280]  So for 14 days.
[01:47:25.280 --> 01:47:26.280]  14 days.
[01:47:27.280 --> 01:47:28.280]  So you spray it every other day.
[01:47:28.960 --> 01:47:29.960]  Yeah.
[01:47:30.960 --> 01:47:31.960]  Okay.
[01:47:32.960 --> 01:47:33.960]  And when do you put then the plants on 12 hours
[01:47:34.960 --> 01:47:35.960]  that you're going to pollinate?
[01:47:36.960 --> 01:47:37.960]  So it just depends on the variety.
[01:47:38.960 --> 01:47:39.960]  But typically.
[01:47:40.960 --> 01:47:41.960]  The normal indica.
[01:47:42.960 --> 01:47:43.960]  A week before.
[01:47:44.960 --> 01:47:45.960]  A week before.
[01:47:46.960 --> 01:47:47.960]  So that's basically the same time then as you spray.
[01:47:48.960 --> 01:47:49.960]  Right.
[01:47:50.960 --> 01:47:51.960]  But you spray still seven days on 18 hours.
[01:47:52.960 --> 01:47:53.960]  So I spray seven days on 18 hours and then seven days on 12.
[01:47:54.960 --> 01:47:55.960]  And then I spray the plants on 12.
[01:47:56.640 --> 01:47:57.640]  Interesting.
[01:47:58.640 --> 01:47:59.640]  Correct.
[01:48:00.640 --> 01:48:01.640]  And then like if you're making one variety I might start the
[01:48:02.640 --> 01:48:03.640]  donors a little before I start the receivers.
[01:48:04.640 --> 01:48:05.640]  Yeah.
[01:48:06.640 --> 01:48:07.640]  And you say you have much more pollen than on the old
[01:48:08.640 --> 01:48:09.640]  fashioned way.
[01:48:10.640 --> 01:48:11.640]  I think you get a lot more pollen.
[01:48:12.640 --> 01:48:13.640]  And the other thing that I've noticed and this is something
[01:48:14.640 --> 01:48:15.640]  that is real interesting because everybody's switching over to
[01:48:16.640 --> 01:48:17.640]  LED lighting.
[01:48:18.640 --> 01:48:19.640]  That actually my partner did a side by side recently and he's
[01:48:20.640 --> 01:48:21.640]  getting with HPS which is a high-power LED lighting.
[01:48:22.640 --> 01:48:23.640]  And he's getting a lot more pollen.
[01:48:24.640 --> 01:48:25.640]  And he's getting a lot more pollen.
[01:48:26.640 --> 01:48:27.640]  And I'm sure it has something to do with the spectrum.
[01:48:28.640 --> 01:48:29.640]  But significantly more pollen with HPS than you do with LED.
[01:48:30.640 --> 01:48:31.640]  Interesting.
[01:48:32.640 --> 01:48:33.640]  So yeah.
[01:48:34.640 --> 01:48:35.640]  And then the silver that we're using doesn't really work well
[01:48:36.640 --> 01:48:37.640]  out in the field.
[01:48:38.640 --> 01:48:39.640]  We're getting a lot better results with it doing it
[01:48:40.640 --> 01:48:41.640]  indoors or in a greenhouse environment.
[01:48:42.640 --> 01:48:43.640]  Yeah.
[01:48:44.640 --> 01:48:45.640]  Because it blows away.
[01:48:46.640 --> 01:48:47.640]  Yeah.
[01:48:48.640 --> 01:48:49.640]  Yeah.
[01:48:50.640 --> 01:48:51.640]  That's why I need big fields.
[01:48:52.640 --> 01:48:53.640]  Yeah.
[01:48:54.320 --> 01:48:55.320]  And then you know your donor and receiver ratios you got to use
[01:48:56.320 --> 01:48:57.320]  a lot more donors.
[01:48:58.320 --> 01:48:59.320]  Yeah.
[01:49:00.320 --> 01:49:01.320]  We need outdoors.
[01:49:02.320 --> 01:49:03.320]  You know I mean we've done two to one.
[01:49:04.320 --> 01:49:05.320]  Whereas like indoors is like you know one to six or one to
[01:49:06.320 --> 01:49:07.320]  nine even.
[01:49:08.320 --> 01:49:09.320]  And having good successful rates.
[01:49:10.320 --> 01:49:11.320]  Yeah.
[01:49:12.320 --> 01:49:13.320]  There's a lot of new techniques for pollinating.
[01:49:14.320 --> 01:49:15.320]  And so how often does it still your pollen don't grab the
[01:49:16.320 --> 01:49:17.320]  pollen?
[01:49:18.320 --> 01:49:19.320]  Yeah.
[01:49:20.320 --> 01:49:21.320]  So I think it's a good question.
[01:49:22.000 --> 01:49:23.000]  How often does it still your pollen don't grab.
[01:49:24.000 --> 01:49:25.000]  Don't grab like it's the plant the other day the other side
[01:49:26.000 --> 01:49:27.000]  is not working.
[01:49:28.000 --> 01:49:29.000]  How often does that happen to you?
[01:49:30.000 --> 01:49:31.000]  Not a lot.
[01:49:32.000 --> 01:49:33.000]  But you know sometimes if I'm doing like I'll be doing.
[01:49:34.000 --> 01:49:35.000]  So there's a couple of different things I do.
[01:49:36.000 --> 01:49:37.000]  I do seed raises where I'm doing one donor and one receiver
[01:49:38.000 --> 01:49:39.000]  or a couple of receivers.
[01:49:40.000 --> 01:49:41.000]  And then there's times where I'm just trying to make new
[01:49:42.000 --> 01:49:43.000]  genetics which is one of the projects I'm doing now where I
[01:49:44.000 --> 01:49:45.000]  have one donor and I have like 30 or 40 different receivers.
[01:49:46.000 --> 01:49:47.000]  And then I'm just trying to make new genetics which is one of
[01:49:48.000 --> 01:49:49.000]  the projects I'm doing now where I have one donor and I have
[01:49:50.000 --> 01:49:51.000]  like 30 or 40 different receivers.
[01:49:52.000 --> 01:49:53.000]  And I'm not doing that to sell seeds.
[01:49:54.000 --> 01:49:55.000]  I'm doing that to create new varieties.
[01:49:56.000 --> 01:49:57.000]  Yes.
[01:49:58.000 --> 01:49:59.000]  So for 30 how much will not get seeds?
[01:50:00.000 --> 01:50:03.000]  Maybe one in 30 two in 30 just depending on the varieties.
[01:50:04.000 --> 01:50:07.000]  And you know a lot of this stuff is so with all these new
[01:50:08.000 --> 01:50:09.000]  varieties there's just all these complex polyhybrids that are
[01:50:10.000 --> 01:50:11.000]  very similar to each other.
[01:50:12.000 --> 01:50:13.000]  And a lot of the new stuff kind of works together.
[01:50:14.000 --> 01:50:15.000]  But it just depends.
[01:50:16.000 --> 01:50:19.000]  And then I'm finding that stuff like wedding cake works better
[01:50:20.000 --> 01:50:21.000]  as a recipient.
[01:50:22.000 --> 01:50:23.000]  Receiver than as a donor.
[01:50:24.000 --> 01:50:25.000]  So there's a lot of varieties that they're good varieties but
[01:50:26.000 --> 01:50:27.000]  they're not going to work well as a donor.
[01:50:28.000 --> 01:50:29.000]  They're going to work well as a receiver.
[01:50:30.000 --> 01:50:31.000]  Yeah.
[01:50:32.000 --> 01:50:33.000]  Yeah.
[01:50:34.000 --> 01:50:35.000]  We encountered the same issues one on 30 one on 15.
[01:50:36.000 --> 01:50:37.000]  Yeah.
[01:50:38.000 --> 01:50:39.000]  It's funny.
[01:50:40.000 --> 01:50:41.000]  Yeah.
[01:50:42.000 --> 01:50:43.000]  Comes all with nature.
[01:50:44.000 --> 01:50:45.000]  Oh yeah.
[01:50:46.000 --> 01:50:47.000]  And how much and how much males will there be in 100 seeds
[01:50:48.000 --> 01:50:49.000]  roughly.
[01:50:50.000 --> 01:50:51.000]  With feminists.
[01:50:52.000 --> 01:50:53.000]  Yeah.
[01:50:54.000 --> 01:50:55.000]  It's funny because it's interesting that you brought that
[01:50:56.000 --> 01:50:57.000]  up.
[01:50:57.000 --> 01:50:58.000]  But typically we don't get any males in 100.
[01:50:59.000 --> 01:51:02.000]  But like if you look in a thousand to five thousand
[01:51:03.000 --> 01:51:04.000]  depending on the variety you might find one in a thousand or
[01:51:05.000 --> 01:51:06.000]  one in five thousand.
[01:51:07.000 --> 01:51:10.000]  But the pink panties my buddy from root down genetics he he
[01:51:11.000 --> 01:51:14.000]  made a cross with the pink panties that I gave him that I
[01:51:15.000 --> 01:51:16.000]  got through some friends.
[01:51:17.000 --> 01:51:18.000]  That was the real deal pink panties cut.
[01:51:19.000 --> 01:51:20.000]  And he made feminized seeds by hand.
[01:51:20.680 --> 01:51:21.680]  And he made feminized seeds by reversing the pink panties and
[01:51:22.680 --> 01:51:23.680]  put it on another female variety.
[01:51:24.680 --> 01:51:25.680]  So it was a fem line donor receiver.
[01:51:26.680 --> 01:51:29.680]  And he got five males and five females out of the first
[01:51:30.680 --> 01:51:31.680]  10 seeds he popped with a feminized line.
[01:51:32.680 --> 01:51:33.680]  I've never seen that before in my life.
[01:51:34.680 --> 01:51:35.680]  But anything is possible.
[01:51:36.680 --> 01:51:37.680]  That's crazy.
[01:51:38.680 --> 01:51:39.680]  That's crazy.
[01:51:40.680 --> 01:51:41.680]  Now I want to just it just gives you also the how strong
[01:51:42.680 --> 01:51:43.680]  nature is against us.
[01:51:44.680 --> 01:51:45.680]  You know.
[01:51:46.680 --> 01:51:47.680]  Yeah.
[01:51:48.680 --> 01:51:49.680]  We see it on we see it on many occasions because we
[01:51:50.680 --> 01:51:51.680]  put out 10 20 thousand seeds and we see depends on the
[01:51:52.680 --> 01:51:55.680]  variety one on 300 to one on thousand whatever you know
[01:51:56.680 --> 01:51:57.680]  depends a little bit on the variety.
[01:51:58.680 --> 01:52:00.680]  And there's always one plant standing out there like really
[01:52:01.680 --> 01:52:04.680]  strong you know being being a full male of all the seeds
[01:52:05.680 --> 01:52:06.680]  are femme.
[01:52:07.680 --> 01:52:10.680]  Those you know how strong nature is that you never can like
[01:52:11.680 --> 01:52:14.680]  you know rule it out probably only if you do GM then yes.
[01:52:15.680 --> 01:52:16.680]  But this is all natural made basically you know.
[01:52:17.680 --> 01:52:18.680]  Yeah.
[01:52:19.360 --> 01:52:21.360]  I think the new thing is I mean it's not the new new thing
[01:52:22.360 --> 01:52:24.360]  but triploids is you know come to light recently again.
[01:52:25.360 --> 01:52:28.360]  And it's something that I know the Dutch guys did 15 20 years
[01:52:29.360 --> 01:52:31.360]  ago and kind of abandoned but triploids for large scale seed
[01:52:32.360 --> 01:52:34.360]  production is a very viable and interesting option especially
