[00:00.000 --> 00:01.280]  good connectivity there, Nick.
[03:16:04.120 --> 03:16:08.120]  so uh he went in hard he went in hard with all his heart
[03:16:10.200 --> 03:16:15.080]  and we had to break his heart i felt so bad for the guy yeah so it's like i know there's hope like
[03:16:15.080 --> 03:16:20.040]  in the in the long run but like for the first for the next few years it's going to be a really hard
[03:16:20.040 --> 03:16:24.760]  place to farm you know what i mean like it's going to be a hard place to farm but if you add if you
[03:16:24.760 --> 03:16:30.920]  constantly are adding some compost and you know you you know you keep on keep it moist and you
[03:16:31.000 --> 03:16:36.280]  just work on it you know what i mean um you know eventually you'll break down you'll break down
[03:16:36.280 --> 03:16:41.160]  those oils and those and that would turn it right back in and to you know to currency in that soil
[03:16:41.960 --> 03:16:48.680]  but yeah fuck how long that's that's anybody's guess i'm told i i was told this afternoon by an
[03:16:48.680 --> 03:16:54.600]  old man around here that said in addition to it having whatever the chemicals are that prevent
[03:16:54.600 --> 03:16:58.920]  other plants from being able to grow in that soil it is hyper toxic to humans and animals
[03:16:59.640 --> 03:17:04.920]  yeah well yeah when you when you yeah when you're eating it or if you're getting the oils and you
[03:17:04.920 --> 03:17:11.320]  know in substantial amounts and stuff i don't know like you're not going to be able to farm
[03:17:11.320 --> 03:17:16.520]  food in there for the time that i believe that it would be it's toxic you know what i mean like over
[03:17:16.520 --> 03:17:20.600]  you know things nothing's going to really want to grow in that area very well so like being able to
[03:17:21.320 --> 03:17:31.320]  and he's seen that like it's tree stops producing fruit yeah we were looking at this barren yard
[03:17:31.320 --> 03:17:39.160]  of just which it was all eucalyptus wood chips and i was like so like the one good thing for
[03:17:39.160 --> 03:17:44.120]  eucalyptus wood chips is like pathways you know you do pathways with them because it keeps it
[03:17:44.120 --> 03:17:49.400]  keeps everything out so you can kind of build major pathways with eucalyptus and that's the
[03:17:49.480 --> 03:17:54.360]  one time you can give a thumbs up and be like all right bring in the eucalyptus you know what i mean
[03:17:54.360 --> 03:18:02.600]  but like yes it's like tilling it in and and mulching with it and that being pure eucalyptus
[03:18:02.600 --> 03:18:11.080]  it's god man that's that's hard it's hard so like physical removal of as much possibility as you know
[03:18:11.080 --> 03:18:17.800]  metal rakes and and as many of your dude friends as you can to help pull as much of that out but
[03:18:17.800 --> 03:18:21.480]  there's there's stuff that's going to be there no matter what but don't worry i wouldn't worry
[03:18:21.480 --> 03:18:27.160]  about toxicity after being you know years you know two three years down the line you know what i mean
[03:18:27.160 --> 03:18:32.120]  after you've broken it down and added some compost and built some stuff up you know what i mean i
[03:18:32.120 --> 03:18:38.120]  think you i think you'd be fine that's not no one wants to have lots of groves so once the plants
[03:18:38.120 --> 03:18:44.200]  look healthy you wouldn't be worried about like toxists yeah no no i wouldn't what about hemp
[03:18:44.360 --> 03:18:49.720]  um what about lots of groves that are in like rancho santa fe which is like under eucalyptus
[03:18:49.720 --> 03:18:55.960]  groves and it's like it's been eucalyptus groves for forever you know what i mean it's just yeah
[03:18:56.920 --> 03:19:02.040]  and we're constantly dealing with that right and and i have thousands of trees that are that are
[03:19:02.040 --> 03:19:06.840]  under eucalyptus and eucalyptus environment with eucalyptus shit falling on them all the time you
[03:19:06.840 --> 03:19:12.680]  know what i mean it's like yeah that fruit's not toxic it's okay you know good that's a real hell
[03:19:12.760 --> 03:19:19.080]  of a time growing and we battle it you know but it's you know it is where it is you know what i
[03:19:19.080 --> 03:19:25.160]  mean but good it's just gonna take you some some time that's it's just time you gotta farm somewhere
[03:19:25.160 --> 03:19:31.720]  else you know farm on top of that build something on top of that stuff and beds and farm on top of
[03:19:31.720 --> 03:19:39.320]  it you know the general because the rest of us were not we were unqualified scientific minds
[03:19:40.280 --> 03:19:47.240]  right the the consensus was that sucks in the short term in the long term you'll be okay
[03:19:47.960 --> 03:19:55.000]  and in the short term just growing pots with some like potting soil what about hemp would that help
[03:19:55.000 --> 03:20:03.400]  right yeah i was like you're like so people grow hemp to pull bad things out of the ground
[03:20:03.880 --> 03:20:10.520]  yeah hemp might have a hell of a time growing there you know even that first
[03:20:10.520 --> 03:20:17.960]  got your time around you know but yeah as a as a remover of toxins we we saw his plants were like
[03:20:17.960 --> 03:20:25.640]  this tall and yellow oh yeah right yeah you're in trouble for sure there's a lot of unhappiness of
[03:20:25.640 --> 03:20:31.960]  of every plant yeah you can try doing foliar feeds and stuff more to try to push them through you
[03:20:31.960 --> 03:20:35.080]  know so that they're they're they're eating through their leaves instead of eating through
[03:20:35.080 --> 03:20:39.160]  their roots very much you know so you're kind of force feeding them on the iv you can kind of push
[03:20:39.160 --> 03:20:44.520]  some things you know through a little bit you know it's not you know it's not the best thing
[03:20:44.520 --> 03:20:48.600]  but if that's what you're dealing with and those are your options and that's the hand that you're
[03:20:48.600 --> 03:20:52.680]  rolled and you're gonna you're gonna play that game then that's a tool that you should get into
[03:20:52.680 --> 03:20:58.760]  your tool belt is do a little bit more foliar feeds and be more diverse in what you're putting
[03:20:59.080 --> 03:21:04.760]  on those leaves that might help you out a little bit we need to do like the weed version of like
[03:21:04.760 --> 03:21:12.840]  cooking shows where like you and other good growers are dealt shitty hands all right
[03:21:15.880 --> 03:21:21.720]  is all eucalyptus wood chips and go totally and see if we can
[03:21:21.720 --> 03:21:35.480]  we need some funding for that you know anybody you know let's let's get that going because
[03:21:35.480 --> 03:21:44.440]  that's great yeah and go yeah totally you know every deficiency known to this thing has every
[03:21:44.440 --> 03:21:56.520]  deficiency known to man you have graham crackers and and sardines yeah i get i get those texts
[03:21:58.920 --> 03:21:59.320]  and like
[03:22:03.480 --> 03:22:06.520]  like a three things that do not go together
[03:22:07.000 --> 03:22:16.120]  uh totally but yeah that that was just listening and be like and like i was psyched because
[03:22:16.920 --> 03:22:22.600]  someone brought a dump truck's worth of eucalyptus wood chips
[03:22:25.800 --> 03:22:31.000]  yeah and then he was showing he was showing his yard and everyone was like that doesn't look right
[03:22:31.720 --> 03:22:38.280]  that doesn't look right i kept wanting to tell him like the whole way i was in on it from early
[03:22:38.280 --> 03:22:43.240]  on i kept wanting to tell him i think your i think your cubicle culture is still too hot i think it's
[03:22:43.240 --> 03:22:47.400]  too young have you like check this out i was trying to figure it out but i never thought to say
[03:22:47.400 --> 03:22:53.480]  wait a minute are those eucalyptus chips yeah it didn't even occur to me to ask that
[03:22:54.440 --> 03:23:01.560]  oh yeah but but all right so forget eucalyptus just wood chips in general
[03:23:02.440 --> 03:23:06.120]  in early stages they they compete for nitrogen
[03:23:10.200 --> 03:23:18.680]  but but wouldn't that imply that a hugel bed in its early like in year one the plants that are
[03:23:18.680 --> 03:23:25.320]  growing on top of it are just like not happy because the the hugel bed is basically like a
[03:23:25.320 --> 03:23:30.760]  big wood chip the first year they're not tapped into any of that wood or that source unless you've
[03:23:30.760 --> 03:23:36.280]  burnt it down or broken it down some way you know you know where there is that you know initially
[03:23:36.280 --> 03:23:41.960]  that wood source that you put in there is for later on and you should make sure that that
[03:23:41.960 --> 03:23:46.680]  wood is really freaking old and aged and been sitting around a while you know what i mean it
[03:23:46.680 --> 03:23:50.600]  shouldn't be like fresh wood that you just chop down the tree and it's like green wood and it's
[03:23:50.600 --> 03:23:55.720]  still got moisture and stuff from the trees and stuff that that'll make things unhappy that'll
[03:23:55.720 --> 03:24:01.800]  rob them the soil that'll cause problems um if you bury it other things like that but if you bury a
[03:24:01.800 --> 03:24:07.000]  bunch of hot compost in the soil and stuff that creates that same thing so if you build a hugel
[03:24:07.000 --> 03:24:12.040]  that's too hot you got a lot of compost covered up and a lot of fresh wood chips that are you know
[03:24:12.040 --> 03:24:16.840]  got a lot of it hasn't been dried out and aged for a little while then yeah you're you're in
[03:24:16.840 --> 03:24:22.200]  your your first you know go around growing anything it's going to just be terrible um plants
[03:24:22.200 --> 03:24:25.560]  are going to be unhappy it's going to be a nightmare it's going to be near impossible but
[03:24:26.120 --> 03:24:32.360]  to have really good success doing something you know with it but after after that's had some time
[03:24:32.360 --> 03:24:40.120]  to go through a winter and settle in and actually do that that next season on the game the game
[03:24:40.120 --> 03:24:44.920]  changes you know substantially you know and that just depends on how you built it and what you do
[03:24:44.920 --> 03:24:50.680]  you know but specifically why that's an issue is because the microbes that are breaking down the
[03:24:50.680 --> 03:24:57.160]  wood chips are are using an intense amount of nitrogen and that's taking away the nitrogen
[03:24:57.160 --> 03:25:03.720]  that the plant roots want so yeah so there's there's a combination of that and if it's fresh
[03:25:03.720 --> 03:25:09.640]  stuff then you have the you have the the decaying and the the evaporatization of like you know the
[03:25:09.640 --> 03:25:15.480]  the oils and the breakdown of all those gases and things if you bury like you know like fresh
[03:25:15.480 --> 03:25:22.840]  vegetable um scraps underneath of your worm bin you know mulch you can get a bunch of methane gas
[03:25:22.840 --> 03:25:28.360]  build up and stuff and kill your worms and hurt your worms so like by burying the fresh stuff that
[03:25:28.360 --> 03:25:35.480]  that decay and that breakup by the microbes and you know the aging process yeah you you you can
[03:25:36.040 --> 03:25:40.120]  you can you can cause problems that way and that's what that's what steals the energy
[03:25:40.120 --> 03:25:43.960]  you know what i mean that you need to break it down that needs to go other places but if your
[03:25:43.960 --> 03:25:52.040]  woods really aged and old and you're using it on top like a like a mulch like in their chips then
[03:25:52.760 --> 03:25:57.160]  you know you're going to call worms are going to be able to access that you'll start seeing worms
[03:25:57.160 --> 03:26:02.520]  and other you know like small insects and things that are living and breaking down that that first
[03:26:02.520 --> 03:26:07.160]  layer that dust layer that wood chips as it breaks down over time but the stuff you bury
[03:26:08.520 --> 03:26:16.680]  you know that's it's that it depends it depends on how you know what it is how you know how um
[03:26:17.240 --> 03:26:22.680]  how old it is how much moisture is in there if you burnt it if you broke it down at all and like
[03:26:22.680 --> 03:26:29.080]  prepared it a little bit for the microbes um that i mean how much compost or if you put
[03:26:29.080 --> 03:26:33.560]  straight manures in there a lot of people will put straight raw manures and stuff in there as well
[03:26:33.560 --> 03:26:38.360]  and you're just building up this this engine that's going to take an extreme amount of energy
[03:26:38.360 --> 03:26:44.840]  to start breaking down this this stuff that you've stockpiled in there and that's going to create too
[03:26:44.840 --> 03:26:50.920]  much heat and energy and stuff that's going to be bad for your plants you know so older age stuff
[03:26:51.480 --> 03:26:57.720]  and less like you know less bearing of really hot items you know what i mean i try to put everything
[03:26:57.720 --> 03:27:05.000]  on the on the surface so that roots of plants can go away from the hot stuff if you put hot
[03:27:05.000 --> 03:27:09.800]  compost on there and it's a little too hot or you know your wood chips they can they can go down in
[03:27:09.800 --> 03:27:14.600]  a way but if you mix all that stuff into your soil then you can kind of they have nowhere to run they
[03:27:14.600 --> 03:27:19.160]  they can burn up that way especially in pots if you like take pot if you take like some plain old
[03:27:19.160 --> 03:27:25.480]  potting soil like a like a sunshine mix or a you know a freaking pro mix or whatever and then you
[03:27:25.480 --> 03:27:29.960]  add some compost to that some good compost and you mix it up and then pop some plants in like
[03:27:29.960 --> 03:27:35.560]  one gallon pots or whatever and then put clones in it a lot of your plants will you know be sick
[03:27:35.560 --> 03:27:39.160]  and they'll get burnt up a little bit because you bury in that compost you're going to have this
[03:27:39.880 --> 03:27:44.120]  this this heating of the soil a little bit so you got to be careful what you bury you got to
[03:27:44.120 --> 03:27:49.960]  you know you got to be methodical and and and really you know i i try to break it down a little
[03:27:49.960 --> 03:28:00.440]  bit i've buried a lot of not so old wood chips but but my so my question is if i'm like a year
[03:28:00.440 --> 03:28:05.720]  and a half out from burying those wood chips thinking it was a good idea in the first place i
[03:28:05.720 --> 03:28:19.160]  was like like aeration like like like water like at the very bottom of my like 30 or 45 gallon pots
[03:28:22.120 --> 03:28:30.440]  my thinking which may or may not have been correct was like i i had tons of wood chips so i like
[03:28:30.440 --> 03:28:38.200]  wanted to do something with them so in the bottom it's like the um the clay pellets and wood chips
[03:28:39.480 --> 03:28:48.680]  and then kind of i put my like compost and either sphagnum or cocoa and then aeration
[03:28:50.600 --> 03:28:55.080]  but in some of those pots or raised beds i've just been like
[03:28:55.320 --> 03:28:57.320]  i've been like
[03:28:57.320 --> 03:29:03.800]  this isn't doing as well as i hoped i was like i have huge almost like hugel at the very bottom
[03:29:04.760 --> 03:29:11.000]  and like at least i'm not gonna get um like waterlogged roots
[03:29:13.480 --> 03:29:20.920]  but there's just like a struggling that i've noticed and but so my question is
[03:29:21.480 --> 03:29:25.240]  have i fought through it if i'm in like year two and a half
[03:29:27.800 --> 03:29:34.040]  or do i need to like dump it all out and in like because a lot of times i'll take like small pots
[03:29:34.040 --> 03:29:40.120]  and i'll dump them into like bigger bins and kind of mix everything up and then put it back yeah
[03:29:41.640 --> 03:29:46.840]  so like you know you can you can bury wood i mean there's it's been done forever you know
[03:29:47.800 --> 03:29:52.760]  there's all different types of to you know cultures that have done it and do it it's just
[03:29:52.760 --> 03:29:57.800]  a matter of does it become a soggy mess on the bottom that allows moisture and stuff to go
[03:29:57.800 --> 03:30:05.400]  through you got enough pellet and rock air and you know stuff that the air and the water can kind of
[03:30:05.400 --> 03:30:09.880]  go through it so i don't i don't think you need to dump it out if you are going to dump it out
[03:30:09.880 --> 03:30:13.720]  then yeah you dump it out and you just mix it up you wouldn't put more more wood chips in the
[03:30:13.720 --> 03:30:19.400]  bottom of the pots if you're doing it in pots if you're doing it in like wood beds that were like
[03:30:19.400 --> 03:30:24.120]  you know raised up a lot and you needed to save some space and you wanted to put logs and
[03:30:24.120 --> 03:30:29.880]  you know compost and stuff down there that first you know then fill it up with some soil and then
[03:30:29.880 --> 03:30:34.040]  grow some vegetables up there they're only going to use this soil over time yeah that's going to
[03:30:34.040 --> 03:30:39.560]  be better but i don't you know putting some bark chips in the bottom of a pot i don't think it's
[03:30:39.560 --> 03:30:43.720]  going to be much good you know you bet you'd be better off doing rocks in the bottom of the pot or
[03:30:43.720 --> 03:30:51.000]  gravel or pumice or or something like that um if you're trying to like you know get rid of it you
[03:30:51.000 --> 03:30:56.760]  know do a layer up layer of pumice rock or yeah something like that would be better and then put
[03:30:56.760 --> 03:31:04.360]  the bark on top and then you know you got you got the best of both worlds i guess my question is is
[03:31:04.360 --> 03:31:13.560]  more like if i've already done it don't don't mess with it if plants are growing good what the plants
[03:31:13.560 --> 03:31:14.120]  are sucking
[03:31:17.320 --> 03:31:22.760]  add some you can add some compost to the you know to the surface of the soil like i'm saying you put
[03:31:22.760 --> 03:31:27.960]  things on the surface you can plant your new plants and stuff and you can mulch the surface a
[03:31:27.960 --> 03:31:31.880]  little bit and if plants are doing okay then i would never change it a bit but if they're not
[03:31:31.880 --> 03:31:36.920]  doing well and everything you kind of put in those those beds in particular or just not growing
[03:31:36.920 --> 03:31:44.360]  good then yeah it's it's time to refurb those things and pots don't last forever you know if
[03:31:44.360 --> 03:31:49.960]  it's not plugged into the ground or you got to take them apart every now and again you know
[03:31:51.000 --> 03:31:56.920]  smaller they are the sooner you got to do it so so when people are doing hugel beds is it
[03:31:56.920 --> 03:32:03.560]  kind of like don't like don't use a tree you just chop down yeah i wouldn't use a tree you just
[03:32:03.560 --> 03:32:11.240]  talk yeah i chopped down a tree and then next year use it in my hugel bed my eye like a year after
[03:32:12.600 --> 03:32:18.200]  yeah let it let it go over a winter you know what i mean yeah i always wait a few years
[03:32:18.760 --> 03:32:24.520]  yeah like yeah especially i'll be going on if it's a giant tree you know you want to wait a
[03:32:24.840 --> 03:32:32.200]  long time with a giant yeah if you got small trees you know like we have in southern california
[03:32:32.200 --> 03:32:36.120]  you can what you can use those next year but like anywhere else that has like real trees you
[03:32:36.120 --> 03:32:39.880]  didn't you know you have to cut down and stuff yeah you might want to wait a couple years
[03:32:39.880 --> 03:32:45.800]  for or chop them into pieces so they break down quicker you know you know smaller chunks
[03:32:46.120 --> 03:32:56.040]  yeah but i don't really know i don't recommend you i mean i you know your pot was kind of upside
[03:32:56.040 --> 03:33:02.200]  down like the bottom of the pot needs to be on the top of the pot and the top of your pot needs
[03:33:02.200 --> 03:33:10.280]  to be on the bottom of your pot so i mean i i guess you could just flip it and like cover crop
[03:33:10.280 --> 03:33:16.520]  the top of it and you'd probably yeah but exactly i don't know by the time now you know
[03:33:16.520 --> 03:33:21.560]  are you defeating the purpose like it's already been how long do you say a year and a half or
[03:33:21.560 --> 03:33:26.760]  something it's been like this well it's interesting because like some of the stuff i had in there was
[03:33:26.760 --> 03:33:35.400]  asparagus so asparagus and year one it grew and then it started to yellow and die out and i was
[03:33:35.400 --> 03:33:45.480]  like uh like something's not right in this pot but then the asparagus came back and i'm in you
[03:33:45.480 --> 03:33:51.880]  know we're in southern california so it's like there's no dead season like it just right i
[03:33:51.880 --> 03:33:57.880]  don't even know like like i don't know plants like that where it's like in their natural environment
[03:33:57.880 --> 03:34:04.040]  where there are winters like this is what they do but in socal where it's never cold like
[03:34:05.480 --> 03:34:11.800]  they popped back up and then so but but in my head i'm like
[03:34:14.520 --> 03:34:20.120]  do i just dump these into a big bin and kind of like mix them up with other stuff and
[03:34:21.400 --> 03:34:26.040]  and if you're growing asparagus you don't you don't ever want to disturb that because that's
[03:34:26.040 --> 03:34:33.400]  your that's your asparagus so my my my other issue with the asparagus is every single one of them is
[03:34:33.400 --> 03:34:44.760]  male so so i need to sprout more asparagus and hope that i get how did you plant the asparagus
[03:34:44.760 --> 03:34:51.960]  you didn't buy crowns that were already like like a variety of edible asparagus you just planted
[03:34:51.960 --> 03:34:58.520]  them from seed okay so that's what kind of pot so it's like i've never seen i've never i've never
[03:34:58.520 --> 03:35:02.440]  ran into the problem where i had all male asparagus and i'm like yeah that's that's a
[03:35:02.440 --> 03:35:07.880]  hell of a problem so i always planted the you know the asparagus crowns or the roots and i have
[03:35:11.240 --> 03:35:16.440]  it would be like if you had 20 cannabis plants and every single one was male
[03:35:16.440 --> 03:35:23.800]  but like i have so much asparagus in three different and these are all grass roots like 30
[03:35:24.520 --> 03:35:32.840]  this winter and 65 gallon that i'm on the ground this winter go let remind me i'll bring you up
[03:35:32.840 --> 03:35:38.520]  some asparagus crowns or some like super high quality edible like dank ass asparagus right
[03:35:38.520 --> 03:35:43.240]  and then you will plant those next to the male ones we can breed those ones together you know
[03:35:43.240 --> 03:35:47.080]  what i mean and you can start your little asparagus breeding project and then you can
[03:35:47.080 --> 03:35:52.840]  kill your males and have your have your little female you know plant there hanging out you can
[03:35:52.840 --> 03:36:00.280]  grow every year after year but but it's a trippy i feel like asparagus is kind of potato like right
[03:36:02.360 --> 03:36:06.120]  well it's yeah it grows under the ground and then sends up the shoots and you eat the shoots as they
[03:36:06.120 --> 03:36:11.800]  come up yeah yeah and it'll die back down and then as the season comes unfolds it'll shoot back up
[03:36:11.800 --> 03:36:16.200]  but it takes a couple years i don't grow a lot of asparagus it's not like one of our favorite you
[03:36:16.200 --> 03:36:21.480]  know foods here so i don't spend a lot of time but i have i have some some experience growing it but
[03:36:21.480 --> 03:36:27.400]  it takes several years like three years you know four years where you really start getting something
[03:36:27.400 --> 03:36:33.160]  that you're that you're it's edible edible worthy you know what i mean that it takes a little time
[03:36:33.160 --> 03:36:37.480]  for that to develop and start getting to decent size to where you're going to eat it's like a
[03:36:37.480 --> 03:36:48.600]  peony kind of just kind of keeps coming back out is it a rhizome yeah yeah but it's trippy because
[03:36:48.600 --> 03:36:54.520]  in those same pots i'll like plant other stuff because you kind of forget the asparagus is in
[03:36:54.520 --> 03:37:00.840]  there and then suddenly like in in like 10 different places these shoots pot like
[03:37:01.400 --> 03:37:09.400]  threw anything out like it's a savage plant in the sense that it will fight for life
[03:37:10.920 --> 03:37:17.160]  right like no matter what's growing on top that thing will jackhammer through up
[03:37:17.880 --> 03:37:22.600]  its life is down below and it just shoots out those spears just to collect some energy you know
[03:37:22.600 --> 03:37:27.240]  it's like it and they're perfect spears you know or the females are anyway it's a cool plan
[03:37:27.240 --> 03:37:32.280]  they just shoot right through and they're ready to roll you know but yeah they're they're they're
[03:37:32.280 --> 03:37:36.840]  really aggressive and the longer and older they get the tougher they become you know and then you
[03:37:36.840 --> 03:37:41.080]  put something you want in there and you start watering it and feeding that and loving that
[03:37:41.080 --> 03:37:45.320]  and all of a sudden the asparagus is like fuck yeah boom jumped right through it you know what
[03:37:45.400 --> 03:37:49.800]  i mean it all gets excited you know happens to me with all kinds of stuff like i have ginger and
[03:37:49.800 --> 03:37:55.000]  stuff that it that happens to me all the time with you know it shows up and goes away and i
[03:37:55.000 --> 03:38:01.800]  can never get it all you know it's funny which area and honeysuckle do that for me yeah
[03:38:03.800 --> 03:38:09.960]  someone's asking about potato and i remember with you i like again in my head i was like
[03:38:09.960 --> 03:38:16.680]  eventually this stuff should see like it's flowering like seeds come next and with my
[03:38:16.680 --> 03:38:25.880]  sweet potato and and that just doesn't happen yeah sometimes you'll have a potato fruit it's really
[03:38:25.880 --> 03:38:32.280]  it's really rare uh and potato fruits like if it fruits like they're like they'll kill you so never
[03:38:32.280 --> 03:38:38.280]  ever ever eat a potato fruit looks like a little tomato thing it's a nice shade it will it'll
[03:38:38.360 --> 03:38:45.080]  fricken kill you so don't don't eat those those are bad for you uh straight up don't eat those
[03:38:45.080 --> 03:38:51.320]  i'm that it's rare that i see them actually form um i'm always digging up the potatoes and
[03:38:51.320 --> 03:38:56.040]  sometimes they'll flower and you don't get anything good pollination or whatever's happening but
[03:38:56.840 --> 03:39:04.280]  i have seen them form randomly here or there to know that holy cow what is this and then go through
[03:39:04.280 --> 03:39:07.880]  the channels of looking it up and learning about it you know and you figure out oh shit these
[03:39:07.880 --> 03:39:13.800]  things will kill you if you eat them so um but it doesn't happen i've seen them in the hedgerows
[03:39:14.520 --> 03:39:17.720]  i've seen them in the hedgerows where the potato fields have been cleared and potatoes have made
[03:39:17.720 --> 03:39:21.640]  it to the hedgerow and grown and during hunting season late in the year you see these odd beans
[03:39:21.640 --> 03:39:26.760]  and i'm trying to recall the name i was the farmer had a name for these things was somewhere along the
[03:39:26.760 --> 03:39:34.280]  line of the dead man's barrier some some name that you didn't fuck with yeah and you're i'll think of
[03:39:34.280 --> 03:39:40.280]  the name i'll tell you you'll get a kick out of it but that's you're right yeah yeah i i don't you
[03:39:40.280 --> 03:39:45.400]  don't see it all the time i don't know i don't know why you know you don't get them to set as
[03:39:45.400 --> 03:39:49.720]  much as like a tomato would because it's the same type of situation you know what i mean same family
[03:39:49.720 --> 03:39:54.520]  but it just grows differently but i have i have seen it happen you know i mean i've seen it happen
[03:39:54.520 --> 03:40:01.400]  um on a small scale you know here or there but don't eat them but what's interesting it goes
[03:40:01.400 --> 03:40:08.840]  under the ground but but it seems like potatoes and stuff like garlic do not really seed out
[03:40:11.160 --> 03:40:17.480]  and that i find interesting that like it it's like oh you want to grow like japanese
[03:40:19.000 --> 03:40:26.840]  sweet potato like you you don't buy seeds you you just like stick yeah you stick the potato
[03:40:26.840 --> 03:40:33.400]  in the ground yeah a hybridization thing like yeah exactly so like i think a wild potato would
[03:40:34.440 --> 03:40:40.280]  variety you know those are like commercial crops that have been steered in a way where they're not
[03:40:40.280 --> 03:40:45.320]  going to seed very well you know those potatoes the garlic all that stuff but if you grew some
[03:40:45.320 --> 03:40:49.240]  sort of an heirloom type variety that was that was meant to do that they would run through the
[03:40:50.040 --> 03:40:57.560]  like you know they should i believe that i believe so yeah yeah yeah um totally with a lot of things
[03:40:58.200 --> 03:41:04.280]  but i don't know i don't know enough about you know um like the potato flowering process you know
[03:41:04.920 --> 03:41:09.080]  that that i can that i can talk with you you know other than they're gonna kill you and it doesn't
[03:41:09.080 --> 03:41:14.280]  happen very easy but if you want to plant potatoes and the sweet potatoes and shit like that you know
[03:41:14.280 --> 03:41:19.720]  you always you always just you just plant the little you know the little the reject potatoes
[03:41:19.720 --> 03:41:24.040]  as the ones i always plant they turn into new plants or the ones you when you pull out your
[03:41:24.040 --> 03:41:28.200]  potato plant that you grew that year there's always a couple that you leave behind or that
[03:41:28.200 --> 03:41:32.840]  got broken and those ones will sprout back that next year but you can grow a potato from any
[03:41:32.840 --> 03:41:37.480]  potato even the ones in the store you just gotta wait them out a little while some some get sprayed
[03:41:37.480 --> 03:41:43.080]  with stuff to slow them down but you wash them off you wait them out they'll all root man they'll all
[03:41:43.080 --> 03:41:48.200]  throw some throw some eyes that you can plant you know and you don't need much of one so i've
[03:41:48.200 --> 03:41:54.760]  never worried about the seeds because i've always just planted the roots but i bet you heirloom
[03:41:54.760 --> 03:42:00.520]  varieties would seed and do that much easier or in bigger numbers with more pollination chances
[03:42:01.240 --> 03:42:08.840]  do they work like bulbs when they're potatoes yeah yeah so in other words do they even need to seed
[03:42:08.840 --> 03:42:15.400]  at that point no no yeah no yeah they reproduce that way they don't need to but they can't and
[03:42:15.400 --> 03:42:22.440]  and i don't know what makes that or doesn't but and and garlic's the same way right
[03:42:23.160 --> 03:42:29.960]  huh well it's like what about irises and stuff like i get pods on my irises but they also divide
[03:42:29.960 --> 03:42:35.960]  through right right now yep yep all right you can plant you can plant those those some of those
[03:42:35.960 --> 03:42:41.720]  speaking of which peter if you want some iris pods i have some iris pods yeah they're dry youtube
[03:42:41.720 --> 03:42:46.120]  mr trees they're dry they're beautiful purple irises they go back like 90 years in my family
[03:42:46.680 --> 03:42:50.920]  oh that's way cool yeah if there was any other like multiple colored irises and stuff and you
[03:42:50.920 --> 03:42:56.360]  have some different different pollination chances and stuff you know but i got some pink lilies that
[03:42:56.520 --> 03:42:57.800]  like 90 years old
[03:43:00.280 --> 03:43:03.560]  that's awesome and a hundred year 100 year old peony
[03:43:04.680 --> 03:43:09.640]  my i have the peonies and irises that both came out of my great-grandmother's garden
[03:43:09.640 --> 03:43:15.400]  and my irises my irises survived by accident on the edge of my pond they actually live in my pond
[03:43:15.400 --> 03:43:22.360]  like half water half out of the water yeah yeah that's cool yeah i got some water irises that
[03:43:22.360 --> 03:43:25.480]  are nearby and my little my little gangster pond
[03:43:31.000 --> 03:43:39.720]  yeah no i have uh like what was it you i can't remember whose ig i was looking at but uh
[03:43:39.720 --> 03:43:43.480]  do you have pop i know it was elka who has a ton of poppies uh
[03:43:43.560 --> 03:43:44.060]  uh
[03:43:51.080 --> 03:43:55.960]  but uh but i have like my poppies are finally flowering and then
[03:43:57.240 --> 03:44:07.000]  my hope is that they then seed out yeah but uh yeah bees love poppies man you see bees in there
[03:44:07.000 --> 03:44:13.960]  all the time causing a ruckus that's cool i haven't grown poppies in a long time you know
[03:44:13.960 --> 03:44:17.960]  but i've grown i've grown lots of poppies we grew lots of those funny ones we used to when i worked
[03:44:17.960 --> 03:44:22.760]  at the nursery we used to get cool ones from like botanical interest or something like the hungarian
[03:44:22.760 --> 03:44:29.880]  blues and um like there was a couple other ones i can't remember now but yeah some funny ones that
[03:44:29.880 --> 03:44:36.360]  were pretty cool back in the day well i have a i a couple people sent me different like uh afghani
[03:44:36.360 --> 03:44:41.880]  poppies yeah yeah so i want to basically seed them out and then give them out to other people
[03:44:42.680 --> 03:44:47.160]  did they come with names i mean did you get any particular names to them or they're just afghani
[03:44:47.160 --> 03:44:54.600]  poppies no i got uh yeah give me a second because there's all kinds of different varieties different
[03:44:54.600 --> 03:45:01.640]  colors different shades different you know cool stuff they're beautiful man really cool
[03:45:01.640 --> 03:45:06.600]  really cool plants i've got a lot of old ladies that i work for uh take care of the fruit trees
[03:45:06.600 --> 03:45:12.040]  and help them with their with their stuff and they got every year they'll have their little
[03:45:12.680 --> 03:45:19.240]  poppy situation going on you know what i mean it's just like the the just the understanding you know
[03:45:19.240 --> 03:45:24.280]  what i mean it's just nobody ever talks about it it's just it's just there you know it's pretty
[03:45:24.280 --> 03:45:30.440]  funny you know the other day i was at one of those old ladies places and we were she was her she
[03:45:30.440 --> 03:45:34.440]  called me because her avocados were having a hell of a time and i came out to see what was going on
[03:45:34.440 --> 03:45:42.040]  but really i found out she called me because um she had this giant she had two giant weed plants
[03:45:42.040 --> 03:45:47.480]  back there and she when i got there she's like tyler i don't know how this got here a bird must
