[00:00.000 --> 00:03.040]  with this phytocannabinoid diet.
[05:19:58.360 --> 05:19:59.960]  Oh, they gave everyone lunches.
[05:20:01.000 --> 05:20:01.840]  Yeah.
[05:20:01.840 --> 05:20:02.680]  Did they?
[05:20:02.680 --> 05:20:03.720]  No, they gave you guys lunches.
[05:20:05.000 --> 05:20:07.320]  I didn't eat it, but that's all good.
[05:20:07.320 --> 05:20:08.760]  Hey, you want to try this?
[05:20:08.760 --> 05:20:09.720]  Yeah, I'll try it.
[05:20:11.560 --> 05:20:12.400]  That's hot.
[05:20:13.400 --> 05:20:16.000]  I feel like we should just put it like it's...
[05:20:16.000 --> 05:20:16.840]  That's not good.
[05:20:17.920 --> 05:20:19.000]  Yeah.
[05:20:19.000 --> 05:20:20.080]  Still alive, by the way.
[05:20:20.080 --> 05:20:20.920]  Oh, right on.
[05:20:20.920 --> 05:20:21.760]  Yeah.
[05:20:23.640 --> 05:20:24.800]  We're hitting some CBD, you guys.
[05:20:24.800 --> 05:20:25.800]  Oh, right on.
[05:20:25.800 --> 05:20:27.400]  Yeah, you guys want brown or...
[05:20:28.400 --> 05:20:29.440]  Green, please.
[05:20:29.440 --> 05:20:30.520]  I'm a hot guy.
[05:20:30.520 --> 05:20:34.040]  Yeah, we figured you'd probably want that one.
[05:20:34.040 --> 05:20:35.440]  Word, word.
[05:20:35.440 --> 05:20:36.920]  We got a card for you guys, here.
[05:20:36.920 --> 05:20:38.560]  Is your homie with us?
[05:20:38.560 --> 05:20:39.720]  Yeah, yeah, he was.
[05:20:39.720 --> 05:20:40.560]  Yeah.
[05:20:41.960 --> 05:20:43.040]  Getting the free swag.
[05:20:43.040 --> 05:20:44.320]  Okay.
[05:20:44.320 --> 05:20:45.160]  I got a card.
[05:20:45.160 --> 05:20:46.000]  We're gonna throw it out.
[05:20:46.000 --> 05:20:47.320]  Come talk to us, yeah.
[05:20:48.120 --> 05:20:49.280]  Are you guys going to that peer party after?
[05:20:49.280 --> 05:20:50.320]  Today?
[05:20:50.320 --> 05:20:51.160]  I don't know.
[05:20:51.160 --> 05:20:52.280]  Peer pressure.
[05:20:52.280 --> 05:20:53.120]  Okay.
[05:20:53.120 --> 05:20:55.000]  They're having like an after party thing.
[05:20:58.840 --> 05:21:00.000]  Right on, guys, thank you so much.
[05:21:00.000 --> 05:21:01.200]  Yeah, absolutely.
[05:21:01.200 --> 05:21:03.360]  Should we bring Dad by or what?
[05:21:03.360 --> 05:21:04.720]  I don't know, I was trying to find them too.
[05:21:04.720 --> 05:21:06.760]  We need to go find peer pressure.
[05:21:06.760 --> 05:21:08.440]  Are they on your floor?
[05:21:08.440 --> 05:21:10.080]  Do you guys know those dudes?
[05:21:10.080 --> 05:21:11.480]  I'm not sure, man.
[05:21:11.480 --> 05:21:12.440]  Where are you from?
[05:21:12.440 --> 05:21:13.280]  Washington State.
[05:21:13.280 --> 05:21:14.480]  By the way, can you guys hear the music?
[05:21:14.480 --> 05:21:16.040]  Seattle Pride, yeah.
[05:21:16.080 --> 05:21:17.480]  It's very nice, Peter.
[05:21:17.480 --> 05:21:18.920]  All right, appreciate it.
[05:21:18.920 --> 05:21:21.000]  Yeah, go back to your booth, bro, make some money.
[05:21:21.000 --> 05:21:21.840]  Yeah.
[05:21:21.840 --> 05:21:22.680]  All right, sir.
[05:21:22.680 --> 05:21:23.520]  Thanks for the...
[05:21:25.920 --> 05:21:27.640]  We'll look for you tomorrow, huh?
[05:21:29.040 --> 05:21:30.920]  I didn't want to act like it's,
[05:21:30.920 --> 05:21:32.560]  like we're doing something wrong.
[05:21:37.460 --> 05:21:39.980]  What you're doing is so right.
[05:21:39.980 --> 05:21:41.140]  It feels so right.
[05:21:53.510 --> 05:21:54.350]  Wasting it.
[05:21:56.030 --> 05:21:57.510]  Well, where's the cap, homie?
[05:22:04.100 --> 05:22:05.180]  Sound like that, Peter.
[05:22:05.180 --> 05:22:06.740]  What's that, jazz?
[05:22:08.420 --> 05:22:12.380]  This is a cover 50.
[05:22:13.740 --> 05:22:14.580]  Let me go see if I can get another one.
[05:22:14.580 --> 05:22:16.780]  He's doing this, a jazz cover.
[05:22:17.660 --> 05:22:19.260]  Hey, let me show this to you.
[05:22:20.100 --> 05:22:21.020]  Not my bad.
[05:22:28.360 --> 05:22:29.280]  Yeah, I like that.
[05:22:37.250 --> 05:22:40.050]  Hopefully this will not get the YouTube copyright ding.
[05:22:41.930 --> 05:22:43.610]  Totally suspect.
[05:22:43.610 --> 05:22:45.570]  Dude, that fool is nothing but suspect.
[05:22:50.540 --> 05:22:53.660]  It's a jazzy reggae tune.
[05:22:56.260 --> 05:22:57.460]  Do you ever listen to...
[05:23:02.140 --> 05:23:04.500]  Natalie Rize?
[05:23:04.500 --> 05:23:05.660]  You ever listen to her?
[05:23:05.660 --> 05:23:06.980]  Natalie Rize, huh?
[05:23:06.980 --> 05:23:08.180]  Mm-hmm.
[05:23:08.180 --> 05:23:09.460]  You should Google her real quick.
[05:23:09.460 --> 05:23:10.940]  She's a badass.
[05:23:15.070 --> 05:23:20.070]  I reached out to this guy, Quentin Furon,
[05:23:20.550 --> 05:23:24.230]  to see if he would want to come on
[05:23:24.230 --> 05:23:26.030]  and play some music one night.
[05:23:28.870 --> 05:23:31.630]  And then one of my friends,
[05:23:31.630 --> 05:23:33.950]  he's the chairman of Gibson Guitars,
[05:23:33.950 --> 05:23:38.950]  so I want to convince him to sponsor
[05:23:40.070 --> 05:23:45.070]  a Gibson FCP weekly music show.
[05:23:46.870 --> 05:23:48.990]  You should tell him to sponsor a guitar.
[05:23:51.790 --> 05:23:53.310]  Do Acid on Jazz?
[05:23:53.310 --> 05:23:55.110]  Yeah, go Goings.
[05:23:55.110 --> 05:23:56.990]  I'm down with that.
[05:23:56.990 --> 05:23:59.030]  Acid Jazz, like Mark Farina?
[05:23:59.030 --> 05:24:00.630]  You ever listen to Mark Farina?
[05:24:02.390 --> 05:24:03.230]  I know the name.
[05:24:04.350 --> 05:24:05.270]  You want to talk about...
[05:24:05.270 --> 05:24:08.430]  Oh, no, he does Mushroom Jazz, my bad, not Acid.
[05:24:08.430 --> 05:24:09.590]  He does Mushroom Jazz.
[05:24:10.550 --> 05:24:12.070]  Oh yeah, no, he's old school.
[05:24:13.590 --> 05:24:15.270]  He's been around forever, right?
[05:24:15.270 --> 05:24:16.110]  Oh yeah.
[05:24:17.390 --> 05:24:19.150]  He's back in your day.
[05:24:19.150 --> 05:24:20.070]  He still kicks it.
[05:24:20.070 --> 05:24:22.190]  I'm sure I've played some of his stuff.
[05:24:27.200 --> 05:24:30.200]  Now in Rhode Island, I have a lot of stuff on vinyl
[05:24:30.920 --> 05:24:33.920]  that I just feel like it doesn't get picked up by...
[05:24:36.520 --> 05:24:37.360]  What's it called?
[05:24:37.360 --> 05:24:38.200]  YouTube?
[05:24:38.200 --> 05:24:41.200]  Well, yeah, YouTube, but also like Shazam
[05:24:41.200 --> 05:24:43.200]  or something like that wouldn't recognize it.
[05:24:43.200 --> 05:24:46.600]  That's kind of the stuff I want to sneak good music
[05:24:46.600 --> 05:24:48.600]  onto here without getting dinged for it.
[05:24:53.600 --> 05:24:55.800]  Yeah, Mark Farina is the shit.
[05:24:55.800 --> 05:24:56.920]  He is the shit.
[05:24:56.920 --> 05:24:59.720]  If you have a guitar, you're a fucking genius.
[05:24:59.880 --> 05:25:02.160]  If you haven't listened to him, boy,
[05:25:02.160 --> 05:25:06.120]  eat some, do a little drop, drop, little drip, drip,
[05:25:06.120 --> 05:25:09.360]  whatever you need, send you to a whole nother level.
[05:25:09.360 --> 05:25:10.800]  You hear the bass line?
[05:25:10.800 --> 05:25:11.640]  Oh yeah.
[05:25:18.000 --> 05:25:19.640]  It's gonna be funny to watch you do a set
[05:25:19.640 --> 05:25:22.680]  when we can get together, put you on the tables.
[05:25:25.880 --> 05:25:27.880]  Okay, let me cue up the next...
[05:25:27.880 --> 05:25:30.080]  I gotta run to the other computer, hold on.
[05:26:02.750 --> 05:26:04.710]  So Peter probably walked away when we went up here,
[05:26:04.710 --> 05:26:06.790]  but there's people in the chat.
[05:26:06.790 --> 05:26:08.030]  There's Peter.
[05:26:08.070 --> 05:26:11.070]  Oh my God, but wait, there's more.
[05:26:12.190 --> 05:26:14.710]  So yeah, again, I just wanted to give another shout out
[05:26:14.710 --> 05:26:17.550]  to Colorado brands that really stick out.
[05:26:17.550 --> 05:26:19.350]  Your brand, Sir David, has stuck out.
[05:26:19.350 --> 05:26:23.150]  I believe I've seen you at expos every time I've been at one.
[05:26:23.150 --> 05:26:25.550]  So we would love to talk to you about, you know,
[05:26:25.550 --> 05:26:27.390]  some of the things that you guys are doing behind the scenes,
[05:26:27.390 --> 05:26:29.150]  the fact that you're in here in Boulder,
[05:26:29.150 --> 05:26:32.190]  and that you have a well-known brand here in Denver.
[05:26:32.190 --> 05:26:36.910]  Yep, so basically, Trill Pills is a CBD pill,
[05:26:36.950 --> 05:26:40.150]  and then we just came up with a CBG pill,
[05:26:40.150 --> 05:26:42.910]  and then we also do a topical.
[05:26:42.910 --> 05:26:46.270]  But I started this in the dispensary
[05:26:46.270 --> 05:26:48.790]  before the hemp bill was passed,
[05:26:48.790 --> 05:26:52.470]  and it was kind of a gray area.
[05:26:52.470 --> 05:26:56.110]  And then in 2016, we brought it out to the public.
[05:26:57.670 --> 05:27:00.830]  So difference about our product,
[05:27:00.830 --> 05:27:03.430]  it's a lipid-based extraction method,
[05:27:03.430 --> 05:27:05.070]  meaning it's a water-based.
[05:27:05.070 --> 05:27:07.230]  It's just like making chicken soup.
[05:27:07.230 --> 05:27:09.110]  We boil the hemp down,
[05:27:09.110 --> 05:27:12.110]  separate all water and fat-soluble,
[05:27:12.110 --> 05:27:14.870]  and by doing that, we add fat in the form
[05:27:14.870 --> 05:27:19.550]  of either coconut oil or MCT oil for our tinctures.
[05:27:19.550 --> 05:27:22.750]  And what happens is all cannabinoids are fat-soluble.
[05:27:22.750 --> 05:27:24.630]  They attach to the fat.
[05:27:24.630 --> 05:27:25.790]  We put it in the fridge.
[05:27:25.790 --> 05:27:27.630]  It coagulates, rises to the top.
[05:27:27.630 --> 05:27:29.230]  We scoop that off.
[05:27:29.230 --> 05:27:32.710]  Everything the plant can upload that would be negative,
[05:27:32.710 --> 05:27:34.950]  pesticides, heavy metals,
[05:27:35.830 --> 05:27:38.030]  all of that is gonna come through its root system,
[05:27:38.030 --> 05:27:39.870]  making them water-soluble.
[05:27:39.870 --> 05:27:42.510]  So by separating water and fat-soluble,
[05:27:42.510 --> 05:27:45.510]  we're able to clean the cannabinoids,
[05:27:45.510 --> 05:27:48.830]  giving us the cleanest product on the market today.
[05:27:48.830 --> 05:27:51.150]  And let's talk about some of those products.
[05:27:51.150 --> 05:27:53.430]  Obviously, you brought three to kind of highlight.
[05:27:53.430 --> 05:27:54.670]  Let's kind of go through those.
[05:27:54.670 --> 05:27:55.510]  Sure.
[05:27:55.510 --> 05:27:59.750]  So the first one we'll start with is just CBD.
[05:27:59.750 --> 05:28:02.710]  So basically, we put it in a capsule form.
[05:28:02.750 --> 05:28:05.790]  And it's a very simple way to get the right dose
[05:28:05.790 --> 05:28:07.510]  that you're getting.
[05:28:07.510 --> 05:28:08.950]  Tinctures are great,
[05:28:08.950 --> 05:28:12.510]  but you're not truly uploading all of it sublingually
[05:28:12.510 --> 05:28:15.190]  when you put a whole dropper under your tongue
[05:28:15.190 --> 05:28:18.070]  because you don't have enough saliva production
[05:28:18.070 --> 05:28:20.550]  to upload all that sublingually.
[05:28:20.550 --> 05:28:23.190]  So you upload some of it sublingually.
[05:28:23.190 --> 05:28:26.070]  The rest is gonna go through your digestive system.
[05:28:26.070 --> 05:28:31.070]  And that skews what you're trying to do a lot of times
[05:28:31.110 --> 05:28:33.150]  when you're trying to get the right dose.
[05:28:33.150 --> 05:28:35.510]  So we put everything in a pill form so you know,
[05:28:35.510 --> 05:28:39.550]  hey, a 10 milligram pill wasn't enough.
[05:28:39.550 --> 05:28:42.070]  The 25 milligram pill wasn't enough.
[05:28:42.070 --> 05:28:44.510]  The 50's perfect or vice versa.
[05:28:44.510 --> 05:28:49.070]  50's too much, the 25's maybe a little too much in the 10's.
[05:28:49.070 --> 05:28:52.590]  We're using a lot of the 10 milligrams for pets.
[05:28:52.590 --> 05:28:55.870]  A lot of companies are out there pushing pet CBD
[05:28:55.870 --> 05:29:00.510]  and charging a premium for it
[05:29:00.790 --> 05:29:02.510]  Yeah, we see a lot of that.
[05:29:02.510 --> 05:29:07.430]  All mammals, any mammal that you have can use CBD.
[05:29:07.430 --> 05:29:08.590]  Absolutely.
[05:29:08.590 --> 05:29:11.310]  And then the one that we just came out with,
[05:29:11.310 --> 05:29:14.190]  well, we came out with it right before the pandemic hit,
[05:29:14.190 --> 05:29:16.210]  is our CBG product.
[05:29:16.210 --> 05:29:19.750]  And with that, we're getting some great response
[05:29:19.750 --> 05:29:20.990]  here at the show.
[05:29:20.990 --> 05:29:24.910]  Problem is a lot of people don't understand what CBG is
[05:29:24.910 --> 05:29:25.830]  and how it works.
[05:29:25.830 --> 05:29:28.790]  And the way I explain that is it's kind of like
[05:29:30.710 --> 05:29:35.070]  CBD but it gives it a little more energy than CBD.
[05:29:35.070 --> 05:29:37.950]  CBD will kind of make you a little more lethargic.
[05:29:37.950 --> 05:29:40.230]  This will keep your energy up.
[05:29:40.230 --> 05:29:43.790]  And it's also good for any stomach issues,
[05:29:43.790 --> 05:29:46.290]  you know, colon cancers, things like that.
[05:29:46.290 --> 05:29:48.430]  And also eye pressure.
[05:29:48.430 --> 05:29:50.790]  So glaucoma, macular degenerate,
[05:29:50.790 --> 05:29:53.510]  things like that that we found our customers
[05:29:53.510 --> 05:29:55.710]  are getting great results with.
[05:29:55.710 --> 05:29:58.030]  Now I remember just, this might have been even
[05:29:58.030 --> 05:29:59.150]  four or five years ago,
[05:29:59.150 --> 05:30:00.590]  there was a gentleman that I was talking to
[05:30:00.590 --> 05:30:01.910]  that was giving a talk.
[05:30:01.910 --> 05:30:03.750]  And he was kind of joking that like,
[05:30:03.750 --> 05:30:05.150]  the real pharmaceutical companies,
[05:30:05.150 --> 05:30:07.350]  they're not afraid of the fact that a bunch of us
[05:30:07.350 --> 05:30:09.790]  are sitting around getting stung.
[05:30:09.790 --> 05:30:12.990]  It's more the CBG that they were afraid of
[05:30:12.990 --> 05:30:14.310]  the community finding out
[05:30:14.310 --> 05:30:18.510]  because that is a real medicinal aspect to a human being.
[05:30:18.510 --> 05:30:19.350]  Right.
[05:30:19.350 --> 05:30:21.350]  So when you think about it,
[05:30:21.350 --> 05:30:24.310]  you know, your endocannabinoid system
[05:30:24.310 --> 05:30:26.330]  controls five major functions.
[05:30:26.330 --> 05:30:30.090]  Eat, sleep, relax, forget, and protect.
[05:30:30.090 --> 05:30:33.090]  So it has a wide variety of things
[05:30:33.090 --> 05:30:35.410]  that it can be useful for.
[05:30:35.410 --> 05:30:36.370]  Absolutely.
[05:30:36.370 --> 05:30:38.490]  I think I saw some people asking about your company, sir.
[05:30:38.490 --> 05:30:40.630]  So this is Trill Pills.
[05:30:40.630 --> 05:30:41.890]  You're based out of Boulder.
[05:30:41.890 --> 05:30:43.090]  Kind of want to go over that again.
[05:30:43.090 --> 05:30:44.330]  There's a lot of people that come on.
[05:30:44.330 --> 05:30:45.170]  Okay.
[05:30:45.170 --> 05:30:46.450]  Boulder, Colorado.
[05:30:46.450 --> 05:30:47.970]  Most of our stuff is online.
[05:30:47.970 --> 05:30:50.930]  You can find us at trillpills.com.
[05:30:51.850 --> 05:30:53.610]  We sell to some stores,
[05:30:53.610 --> 05:30:57.530]  but mostly we go direct to the customers.
[05:30:57.530 --> 05:31:01.250]  And by doing that, we're able to keep our prices lower
[05:31:01.250 --> 05:31:04.050]  by not having storefronts and things like that.
[05:31:04.050 --> 05:31:06.410]  And, you know, we do shipping and things.
[05:31:07.530 --> 05:31:09.930]  I see there's a question from James down there.
[05:31:09.930 --> 05:31:11.290]  If you could answer this, sir.
[05:31:11.290 --> 05:31:13.330]  What is the highest percentage
[05:31:13.330 --> 05:31:16.010]  that cultivators get on CBG nowadays?
[05:31:16.010 --> 05:31:17.210]  Do you happen to know that?
[05:31:17.210 --> 05:31:19.130]  You know, I don't handle
[05:31:19.130 --> 05:31:21.830]  the actual cultivation aspect of it.
[05:31:21.830 --> 05:31:25.830]  So I wouldn't know, to be honest with you.
[05:31:28.230 --> 05:31:29.590]  All right, well, do you guys have
[05:31:29.590 --> 05:31:31.710]  any other questions for him?
[05:31:31.710 --> 05:31:35.510]  You know, our show is mostly geared to growers.
[05:31:35.510 --> 05:31:37.390]  What extraction method do you use?
[05:31:37.390 --> 05:31:40.790]  So, like I said, it's a lipid-based extraction method.
[05:31:40.790 --> 05:31:45.790]  So no solvents, no chemicals, water-based.
[05:31:47.590 --> 05:31:49.590]  It's a lot like making chicken soup.
[05:31:49.590 --> 05:31:54.590]  So you boil it down and we separate water and fat soluble.
[05:31:54.950 --> 05:31:57.270]  And then we add fat to the mixture.
[05:31:57.270 --> 05:31:59.590]  The cannabinoids attach to that.
[05:31:59.590 --> 05:32:01.550]  And then we put it in the fridge.
[05:32:01.550 --> 05:32:03.390]  Coagulates, rises to the top.
[05:32:03.390 --> 05:32:05.750]  We scoop that off, test it,
[05:32:05.750 --> 05:32:07.910]  and then we run it into products.
[05:32:07.910 --> 05:32:10.270]  And each of our products then is tested twice
[05:32:10.270 --> 05:32:12.070]  to make sure that when I tell you
[05:32:12.070 --> 05:32:13.990]  you're getting a 25 milligram,
[05:32:13.990 --> 05:32:16.110]  you're getting a 25 milligram.
[05:32:16.110 --> 05:32:19.310]  Yeah, which we all know, even just a few years ago,
[05:32:20.070 --> 05:32:22.550]  and I think I'd like you said,
[05:32:22.550 --> 05:32:24.070]  we saw each other at other shows.
[05:32:24.070 --> 05:32:29.070]  We won best capsule two years in a row at another expo.
[05:32:29.150 --> 05:32:32.150]  And during that time, people kept coming up to us saying,
[05:32:32.150 --> 05:32:34.470]  you know, what did your stuff test out at?
[05:32:34.470 --> 05:32:36.150]  Because, you know, ours didn't test out
[05:32:36.150 --> 05:32:37.630]  where they said it was going to.
[05:32:37.630 --> 05:32:39.030]  And the other thing you gotta worry about
[05:32:39.030 --> 05:32:40.830]  when you're testing your products,
[05:32:40.830 --> 05:32:43.230]  especially is with capsules,
[05:32:43.230 --> 05:32:47.830]  is sometimes if you're not asking,
[05:32:48.550 --> 05:32:50.950]  they'll put the capsule in part of the weight.
[05:32:50.950 --> 05:32:54.030]  So that's what skews your readings off.
[05:32:54.030 --> 05:32:54.870]  I didn't know that.
[05:32:54.870 --> 05:32:56.430]  That's another one.
[05:32:56.430 --> 05:32:58.870]  .08 kind of thing, every day.
[05:32:58.870 --> 05:32:59.710]  Is this a G?
[05:32:59.710 --> 05:33:00.550]  Yeah, man, .08.
[05:33:06.340 --> 05:33:08.780]  Do you want to take a, we can take a CBD,
[05:33:08.780 --> 05:33:10.780]  crystalline dab, do you dab it also?
[05:33:10.780 --> 05:33:11.620]  Why wouldn't I?
[05:33:11.620 --> 05:33:12.660]  All right.
[05:33:12.660 --> 05:33:13.940]  There's a rig down there.
[05:33:13.940 --> 05:33:15.700]  You want to set that up, so.
[05:33:15.700 --> 05:33:16.540]  Oh my.
[05:33:17.540 --> 05:33:21.580]  We'll get the music going again.
[05:33:21.580 --> 05:33:22.700]  That's a little tool.
[05:33:22.700 --> 05:33:25.180]  I was gonna say, that's pretty cool.
[05:33:25.180 --> 05:33:27.460]  We'll get to Garrett come over.
[05:33:27.460 --> 05:33:30.100]  This is the Garrett, and this is all his set up here.
[05:33:32.140 --> 05:33:33.380]  Hey, do we have any water, bro?
[05:33:33.380 --> 05:33:36.180]  I ain't drinking any water.
[05:33:36.180 --> 05:33:38.420]  You gotta scoop with these masks on.
[05:33:38.420 --> 05:33:39.260]  Yeah, man.
[05:33:39.260 --> 05:33:42.380]  By the way, did you guys eat anything today?
[05:33:42.380 --> 05:33:43.860]  No, not yet.
[05:33:43.860 --> 05:33:45.220]  I did.
[05:33:45.660 --> 05:33:49.140]  I had a couple leftover chicken wings from last night.
[05:33:49.140 --> 05:33:49.980]  It's all good, though.
[05:33:49.980 --> 05:33:52.820]  I really have embraced the intermittent fasting lately.
[05:33:52.820 --> 05:33:54.740]  I'm in full autophagy right now.
[05:33:56.540 --> 05:33:58.820]  Yeah, what is autophagy?
[05:33:58.820 --> 05:34:00.420]  Autophagy is something that I feel like
[05:34:00.420 --> 05:34:03.500]  was just discovered, don't quote me on this,
[05:34:03.500 --> 05:34:04.700]  because I'm learning it as I go,
[05:34:04.700 --> 05:34:09.100]  but maybe like pretty recently, maybe 20, 30 years ago.
[05:34:09.100 --> 05:34:13.100]  And it's basically that the body will start to eat itself
[05:34:13.100 --> 05:34:14.740]  when no food is provided.
[05:34:15.340 --> 05:34:18.940]  The best way, an analogy that I've ever seen it explained,
[05:34:18.940 --> 05:34:21.860]  is imagine being able to take old wood,
[05:34:21.860 --> 05:34:24.900]  old nails, screws, all that kind of stuff,
[05:34:24.900 --> 05:34:26.500]  be able to recycle that,
[05:34:26.500 --> 05:34:30.180]  and out of that comes brand new cabinet shelves,
[05:34:30.180 --> 05:34:31.180]  that kind of thing.
[05:34:31.180 --> 05:34:34.140]  And so basically what the body is doing at that point,
[05:34:34.140 --> 05:34:36.540]  this is usually around the 16 to 18 hour mark,
[05:34:36.540 --> 05:34:38.220]  depending on your body,
[05:34:38.220 --> 05:34:41.820]  will begin to break what's known as folded proteins.
[05:34:41.820 --> 05:34:43.380]  So folded proteins, I guess,
[05:34:43.380 --> 05:34:46.420]  are one of the main reasons why a lot of us out there
[05:34:46.420 --> 05:34:48.900]  have a bunch of issues in life,
[05:34:48.900 --> 05:34:51.940]  especially some of that comes from the gallbladder.
[05:34:51.940 --> 05:34:53.420]  I mean, I could talk about a lot of this stuff,
[05:34:53.420 --> 05:34:57.860]  but autophagy, the main point of it is that it recycles
[05:34:57.860 --> 05:35:02.540]  old folded proteins into brand new material
[05:35:02.540 --> 05:35:03.700]  for the body to use.
[05:35:05.460 --> 05:35:06.700]  Does that make sense?
[05:35:06.700 --> 05:35:09.180]  So is autophagy in the body a good thing?
[05:35:09.180 --> 05:35:11.180]  Like when you starve yourself a little bit,
[05:35:12.180 --> 05:35:14.420]  the body reacts to it?
[05:35:14.420 --> 05:35:15.340]  I wanna make it clear
[05:35:15.340 --> 05:35:16.940]  that if you're doing intermittent fasting,
[05:35:16.940 --> 05:35:19.460]  you're not starving yourself, your body's still eating.
[05:35:19.460 --> 05:35:23.060]  It's just the fact that it's eating your own fat.
[05:35:23.060 --> 05:35:25.420]  So you don't, like right now I don't feel hungry.
[05:35:25.420 --> 05:35:27.700]  I haven't eaten since 8 p.m. last night,
[05:35:28.620 --> 05:35:30.900]  but my body's running on ketones.
[05:35:30.900 --> 05:35:33.540]  So yes, would it be nice to go get something to eat?
[05:35:33.540 --> 05:35:36.580]  100%, but I'm not feening for it or anything.
[05:35:36.580 --> 05:35:38.780]  Like I used to, I used to crave,
[05:35:39.620 --> 05:35:41.300]  like with sugars and that kind of stuff.
[05:35:41.300 --> 05:35:43.620]  So that's why I do wanna get to the audience.
[05:35:43.620 --> 05:35:46.020]  Like if you guys are able to get to the point
[05:35:46.020 --> 05:35:47.140]  where you're intermittent fasting,
[05:35:47.140 --> 05:35:49.340]  and of course you start at intermittent fasting,
[05:35:49.340 --> 05:35:51.180]  maybe just start out at 12 hours.
[05:35:51.180 --> 05:35:52.780]  Get to the point after a few weeks
[05:35:52.780 --> 05:35:55.980]  to where you can get to the autophagy level,
[05:35:55.980 --> 05:35:58.100]  and then start to take products like this.
[05:35:58.100 --> 05:36:01.020]  Enjoy CBG, crystalline, CBG, crystalline,
[05:36:01.020 --> 05:36:03.820]  take Trill pills, and that will continue
[05:36:03.820 --> 05:36:05.060]  to improve the process.
[05:36:05.060 --> 05:36:07.740]  And I promise you guys that your gut health
[05:36:07.780 --> 05:36:11.500]  is going to improve dramatically, drastically.
[05:36:11.500 --> 05:36:15.420]  I can't give that to the community enough.
[05:36:15.420 --> 05:36:18.020]  If you have issues, the main thing in life
[05:36:18.020 --> 05:36:20.540]  is to stop eating, stop snacking,
[05:36:20.540 --> 05:36:22.540]  and you will see the benefits.
[05:36:22.540 --> 05:36:24.540]  So let's, where's that dab?
[05:36:24.540 --> 05:36:25.420]  You just did it.
[05:36:25.420 --> 05:36:30.420]  I'll tell you, I had a customer whose dog had cancer,
[05:36:32.940 --> 05:36:36.900]  and they did a water fast for 14 days,
[05:36:36.900 --> 05:36:40.660]  and they did four times a day
[05:36:40.660 --> 05:36:43.900]  the 10 milligram CBD pills that we have,
[05:36:43.900 --> 05:36:48.900]  and the cancer that the dog had, the mass fell off.
[05:36:49.100 --> 05:36:50.300]  It detached from the body.
[05:36:50.300 --> 05:36:52.300]  When you come back to the booth,
[05:36:52.300 --> 05:36:54.580]  I'll show you the pictures.
[05:36:54.580 --> 05:36:56.980]  So it's exactly what you're talking about,
[05:36:56.980 --> 05:36:59.380]  you know, not eating and fasting,
[05:36:59.380 --> 05:37:00.860]  but that's a little different.
[05:37:00.860 --> 05:37:02.260]  I'm doing the same thing you're doing.
[05:37:02.260 --> 05:37:06.380]  I haven't eaten all day, and I still have energy,
[05:37:06.660 --> 05:37:09.540]  but obviously I'll eat something a little bit later.
[05:37:09.540 --> 05:37:13.140]  Right, and then again, there's two basic fuel sources.
[05:37:13.140 --> 05:37:16.380]  So growing up in Georgia, everyone taught me
[05:37:16.380 --> 05:37:19.740]  to basically run on carbohydrates, sugars,
[05:37:19.740 --> 05:37:21.620]  but there is a different fuel source,
[05:37:21.620 --> 05:37:23.780]  and that is what's known as ketones.
[05:37:23.780 --> 05:37:25.500]  And if your body gets to the point
[05:37:25.500 --> 05:37:27.060]  where it's running on ketones,
[05:37:27.060 --> 05:37:30.860]  that's why you and I can have a coherent conversation.
[05:37:30.860 --> 05:37:33.780]  I may be speaking for myself, stone talking to you,
[05:37:33.820 --> 05:37:36.860]  but being able to still carry out a conversation,
[05:37:36.860 --> 05:37:39.460]  feel good, I don't feel lethargic,
[05:37:39.460 --> 05:37:42.700]  like if we were completely running on carbohydrates,
[05:37:42.700 --> 05:37:44.540]  I would probably have a headache by now.
[05:37:44.540 --> 05:37:45.820]  No peaks and valleys.
[05:37:45.820 --> 05:37:47.620]  Yeah, absolutely.
[05:37:47.620 --> 05:37:50.260]  So check that out if you guys can make that happen.
[05:37:50.260 --> 05:37:53.260]  And again, this is all like baby steps.
[05:37:53.260 --> 05:37:56.260]  I didn't fast for 18 hours to start.
[05:37:56.260 --> 05:37:59.100]  I think I started eight hours, and that was enough for me,
[05:37:59.100 --> 05:38:00.980]  and then I worked it up to 12.
[05:38:01.020 --> 05:38:04.900]  But the magic I promise you is in the 16 to 18 hour mark.
[05:38:04.900 --> 05:38:07.580]  And every hour past that, like if you can go,
[05:38:07.580 --> 05:38:09.500]  let's say you just did 18 hours,
[05:38:09.500 --> 05:38:10.340]  and then the next day you're like,
[05:38:10.340 --> 05:38:12.180]  ah, I could probably go 19.
[05:38:12.180 --> 05:38:13.820]  There are extreme benefits
[05:38:13.820 --> 05:38:16.020]  if you're able to do that extra hour.
[05:38:16.020 --> 05:38:20.060]  An hour in your body's timeframe is a lot at that point.
[05:38:20.060 --> 05:38:23.340]  So every hour that you go above that 18 hour mark
[05:38:23.340 --> 05:38:25.460]  is extremely beneficial,
[05:38:25.460 --> 05:38:27.420]  and you're gonna sleep better as well.
[05:38:27.420 --> 05:38:29.380]  I know this might be sounding like almost too good
[05:38:29.380 --> 05:38:31.580]  to be true, so please fact check me on that.
