[00:00.000 --> 00:00.840]  Damn it.
[02:30:07.390 --> 02:30:08.630]  and it hermed out, you know,
[02:30:08.630 --> 02:30:10.070]  a couple plants turned out,
[02:30:10.070 --> 02:30:11.070]  and some of the trimmers
[02:30:11.070 --> 02:30:13.990]  literally had like a bag of seeds in me,
[02:30:13.990 --> 02:30:14.830]  and they knew me,
[02:30:14.830 --> 02:30:15.670]  and they're like,
[02:30:15.670 --> 02:30:17.670]  here Alex, here's a bunch of Magic Melon seeds.
[02:30:17.670 --> 02:30:20.150]  And I'm like,
[02:30:20.150 --> 02:30:23.310]  well, these are a bunch of fucking herming bag seeds,
[02:30:23.310 --> 02:30:24.150]  and then, you know,
[02:30:24.150 --> 02:30:26.550]  that's always gonna be my initial reaction,
[02:30:26.550 --> 02:30:27.390]  but you know, like,
[02:30:27.390 --> 02:30:28.230]  I think about it,
[02:30:28.230 --> 02:30:30.310]  and I'm like, the herb was pretty good,
[02:30:30.310 --> 02:30:32.310]  and it was a very fast finisher,
[02:30:33.190 --> 02:30:34.990]  like there were 8 weeks on the dock,
[02:30:34.990 --> 02:30:35.830]  and it was finished,
[02:30:35.830 --> 02:30:36.670]  it was good,
[02:30:37.950 --> 02:30:38.790]  and it was unique,
[02:30:38.790 --> 02:30:43.030]  it had like a really nice cantaloupe melon gas
[02:30:43.030 --> 02:30:44.110]  kind of thing going on,
[02:30:44.110 --> 02:30:45.990]  it was really, it was unique.
[02:30:45.990 --> 02:30:46.910]  They've selected,
[02:30:46.910 --> 02:30:49.270]  they've put a lot of time into the selecting,
[02:30:49.270 --> 02:30:50.110]  and that finishing,
[02:30:50.110 --> 02:30:52.350]  that blueberry muffin from them,
[02:30:52.350 --> 02:30:55.150]  will finish in like 45 days.
[02:30:55.150 --> 02:30:55.990]  What?
[02:30:55.990 --> 02:30:56.830]  That's like, yeah,
[02:30:56.830 --> 02:30:58.110]  that's mind blowing,
[02:30:58.110 --> 02:30:59.950]  especially to like an indoor person
[02:30:59.950 --> 02:31:01.270]  who tries to run perpetual,
[02:31:01.270 --> 02:31:02.710]  you're like, you know,
[02:31:02.710 --> 02:31:04.710]  you can almost sneak in another harvest.
[02:31:04.710 --> 02:31:05.630]  Yeah, that's amazing.
[02:31:05.630 --> 02:31:07.350]  See, the industry needs more of that,
[02:31:07.350 --> 02:31:08.550]  you know, like,
[02:31:08.550 --> 02:31:09.390]  like I said,
[02:31:09.390 --> 02:31:10.230]  it wasn't the most potent,
[02:31:10.230 --> 02:31:11.990]  but like, my mom smokes,
[02:31:11.990 --> 02:31:12.910]  and she can't, you know,
[02:31:12.910 --> 02:31:15.190]  like not everybody can hang with the Ken dogs,
[02:31:15.190 --> 02:31:16.350]  and Southern easels,
[02:31:16.350 --> 02:31:18.310]  and you know, everybody needs a,
[02:31:18.310 --> 02:31:19.870]  I think everybody should puff on herb,
[02:31:19.870 --> 02:31:22.190]  I know not everybody feels that way,
[02:31:22.190 --> 02:31:23.790]  but I feel like there's a little bit of something
[02:31:23.790 --> 02:31:24.630]  for everybody,
[02:31:24.630 --> 02:31:25.590]  you know, whether you're eating it,
[02:31:25.590 --> 02:31:26.750]  smoking it, drinking it,
[02:31:26.750 --> 02:31:28.510]  like consume,
[02:31:28.510 --> 02:31:30.190]  you know, it's a good thing,
[02:31:30.230 --> 02:31:32.990]  but yeah.
[02:31:32.990 --> 02:31:33.830]  It, you know,
[02:31:33.830 --> 02:31:34.670]  it can help mental,
[02:31:34.670 --> 02:31:35.510]  and you know,
[02:31:35.510 --> 02:31:37.270]  I like to kind of puff throughout the day,
[02:31:37.270 --> 02:31:38.430]  and just kind of like smoke,
[02:31:38.430 --> 02:31:39.630]  so sometimes, yeah,
[02:31:39.630 --> 02:31:43.350]  I'm not looking for the knock you downs right away.
[02:31:43.350 --> 02:31:44.550]  I like something that may have
[02:31:44.550 --> 02:31:46.190]  a little bit of flavor to it,
[02:31:46.190 --> 02:31:48.030]  so you can go throughout the day,
[02:31:48.030 --> 02:31:48.990]  and you know,
[02:31:48.990 --> 02:31:50.150]  it varies for me,
[02:31:50.150 --> 02:31:51.030]  I go up and down,
[02:31:51.030 --> 02:31:52.230]  I used to, you know,
[02:31:52.230 --> 02:31:53.750]  say I'm either ahead of the times,
[02:31:53.750 --> 02:31:54.590]  or behind,
[02:31:54.590 --> 02:31:55.430]  I'm behind the times,
[02:31:55.430 --> 02:31:56.950]  because when like OG,
[02:31:56.950 --> 02:31:59.390]  and Kush were super popular,
[02:31:59.390 --> 02:32:01.110]  I always try to go for something different,
[02:32:01.110 --> 02:32:02.750]  so I was really into the fruity stuff,
[02:32:02.750 --> 02:32:03.750]  and I was playing with that,
[02:32:03.750 --> 02:32:04.590]  and I was looking at that,
[02:32:04.590 --> 02:32:05.430]  and again,
[02:32:05.430 --> 02:32:07.910]  that's partly due to TGA,
[02:32:07.910 --> 02:32:09.910]  and their influence on me.
[02:32:09.910 --> 02:32:12.230]  Yeah, I popped a lot of TGA.
[02:32:12.230 --> 02:32:13.070]  So it's like,
[02:32:13.070 --> 02:32:15.470]  I felt I was kind of ahead of it at that time,
[02:32:15.470 --> 02:32:17.550]  but then as that rose to popularity,
[02:32:17.550 --> 02:32:18.390]  I'm like,
[02:32:18.390 --> 02:32:19.230]  you know,
[02:32:19.230 --> 02:32:20.070]  these OG,
[02:32:20.070 --> 02:32:20.910]  these Kush's aren't that bad.
[02:32:20.910 --> 02:32:21.750]  And see,
[02:32:21.750 --> 02:32:22.590]  that's the thing,
[02:32:22.590 --> 02:32:23.790]  like I was always after them,
[02:32:23.790 --> 02:32:24.630]  you know,
[02:32:24.630 --> 02:32:26.150]  those were like,
[02:32:26.150 --> 02:32:27.390]  the cuts of the Kush,
[02:32:27.390 --> 02:32:28.550]  and the cuts of the Cam,
[02:32:28.550 --> 02:32:29.630]  and the cuts of the Sour,
[02:32:29.630 --> 02:32:30.790]  were back in the day,
[02:32:30.790 --> 02:32:31.630]  hella hard to get,
[02:32:31.630 --> 02:32:32.470]  I'll be honest.
[02:32:32.470 --> 02:32:33.310]  You know,
[02:32:33.310 --> 02:32:34.150]  they might be hard to get now,
[02:32:34.150 --> 02:32:36.470]  just maybe a little bit more tapped in,
[02:32:36.470 --> 02:32:37.310]  or whatever,
[02:32:37.310 --> 02:32:38.590]  but like you said,
[02:32:38.590 --> 02:32:40.470]  I feel like if you're tapped in,
[02:32:40.470 --> 02:32:43.510]  you can pretty much find almost anything these days,
[02:32:43.510 --> 02:32:45.030]  if you really want to,
[02:32:45.030 --> 02:32:45.870]  in my opinion,
[02:32:45.870 --> 02:32:49.630]  I feel like everything that I've really hunted for,
[02:32:49.630 --> 02:32:50.470]  or wanted,
[02:32:50.470 --> 02:32:51.310]  I've been able to get,
[02:32:51.310 --> 02:32:52.150]  you know,
[02:32:52.150 --> 02:32:52.990]  it's,
[02:32:52.990 --> 02:32:53.830]  I'm grateful,
[02:32:53.830 --> 02:32:54.670]  you know,
[02:32:54.670 --> 02:32:55.510]  I'm,
[02:32:55.510 --> 02:32:56.350]  yeah,
[02:32:56.350 --> 02:32:57.190]  it's,
[02:32:57.190 --> 02:32:58.030]  yeah.
[02:32:58.550 --> 02:32:59.630]  I'm grateful for the plants that you remember too,
[02:32:59.630 --> 02:33:00.590]  cause there's a lot of,
[02:33:00.590 --> 02:33:01.430]  dude,
[02:33:01.430 --> 02:33:03.070]  there's a lot of Cam 91s out there,
[02:33:03.070 --> 02:33:03.910]  trust me,
[02:33:03.910 --> 02:33:04.830]  I've tried many of them,
[02:33:04.830 --> 02:33:05.870]  and they're not,
[02:33:05.870 --> 02:33:06.710]  you know,
[02:33:06.710 --> 02:33:08.030]  they're not what's in that damn jar,
[02:33:08.030 --> 02:33:09.470]  that I've only got about,
[02:33:09.470 --> 02:33:10.310]  oh,
[02:33:10.310 --> 02:33:11.150]  a hundred left.
[02:33:11.150 --> 02:33:12.590]  I love this Cam Diesel OG man,
[02:33:12.590 --> 02:33:14.630]  it's like J-Tree's got it down,
[02:33:14.630 --> 02:33:15.550]  like he is,
[02:33:15.550 --> 02:33:16.390]  so that,
[02:33:16.390 --> 02:33:18.070]  I believe from what he told me,
[02:33:18.070 --> 02:33:20.150]  it's a Cam 91,
[02:33:20.150 --> 02:33:21.710]  Sour Diesel,
[02:33:21.710 --> 02:33:23.790]  crossed to Josh DOG.
[02:33:23.790 --> 02:33:24.950]  So it's got,
[02:33:24.950 --> 02:33:25.790]  you know,
[02:33:25.790 --> 02:33:26.630]  some of my favorite stuff,
[02:33:26.630 --> 02:33:27.470]  you know.
[02:33:27.990 --> 02:33:28.830]  It's,
[02:33:28.830 --> 02:33:30.670]  it doesn't much have a sour note to it,
[02:33:30.670 --> 02:33:32.510]  it definitely stretches like a sour,
[02:33:32.510 --> 02:33:34.110]  but it's more to me,
[02:33:34.110 --> 02:33:34.950]  OG Cam,
[02:33:34.950 --> 02:33:35.790]  like it's,
[02:33:35.790 --> 02:33:36.630]  which is great,
[02:33:36.630 --> 02:33:37.750]  like I love it,
[02:33:37.750 --> 02:33:39.070]  it's really powerful,
[02:33:39.070 --> 02:33:40.230]  it's a great high,
[02:33:40.230 --> 02:33:42.270]  I'm excited to pop into those seeds,
[02:33:42.270 --> 02:33:43.710]  and see what the Air Horn,
[02:33:43.710 --> 02:33:45.790]  Cam Diesel OGs find.
[02:33:45.790 --> 02:33:46.630]  I'm just,
[02:33:46.630 --> 02:33:48.670]  I'm just guessing good OG types,
[02:33:48.670 --> 02:33:49.510]  you know,
[02:33:49.510 --> 02:33:51.150]  I'm excited to see what's in there.
[02:33:51.150 --> 02:33:51.990]  Yeah,
[02:33:51.990 --> 02:33:52.830]  there's a company,
[02:33:52.830 --> 02:33:53.750]  cause I've had,
[02:33:53.750 --> 02:33:54.950]  I won't name the breeder,
[02:33:54.950 --> 02:33:55.950]  cause they're,
[02:33:55.950 --> 02:33:58.110]  they do great work,
[02:33:58.110 --> 02:34:00.150]  a lot of amazing strains,
[02:34:00.150 --> 02:34:02.070]  but I've got an OG Cam from them,
[02:34:02.070 --> 02:34:03.030]  and it hermed on me,
[02:34:03.030 --> 02:34:05.110]  like not even a questionable Cam,
[02:34:05.110 --> 02:34:05.950]  and I'm like,
[02:34:05.950 --> 02:34:06.790]  oh,
[02:34:06.790 --> 02:34:07.750]  that's a Herm,
[02:34:07.750 --> 02:34:09.590]  a couple of them,
[02:34:09.590 --> 02:34:12.590]  but there is one company in Washington,
[02:34:13.550 --> 02:34:14.590]  Fat Panda,
[02:34:14.590 --> 02:34:15.790]  who has an OG Cam,
[02:34:15.790 --> 02:34:17.310]  which I really liked,
[02:34:17.310 --> 02:34:18.670]  but I want to bring them up too,
[02:34:18.670 --> 02:34:20.470]  cause they have this strain,
[02:34:20.470 --> 02:34:23.110]  that is on my like bucket list to find,
[02:34:23.110 --> 02:34:24.350]  and I think they named it themselves,
[02:34:24.390 --> 02:34:26.510]  but it's called Hawaiian Golden Pineapple,
[02:34:26.510 --> 02:34:29.070]  but basically it's across a Puna Butter,
[02:34:29.070 --> 02:34:31.030]  and the Golden Pineapple.
[02:34:31.030 --> 02:34:31.870]  Nice,
[02:34:31.870 --> 02:34:32.710]  yeah,
[02:34:32.710 --> 02:34:33.550]  that sounds fire.
[02:34:33.550 --> 02:34:34.390]  It's,
[02:34:34.390 --> 02:34:35.230]  dude,
[02:34:35.230 --> 02:34:36.070]  that's,
[02:34:36.070 --> 02:34:36.910]  that's again,
[02:34:36.910 --> 02:34:37.750]  that's another one that I will buy a rack,
[02:34:37.750 --> 02:34:39.790]  it's been probably over a year since I bought it,
[02:34:39.790 --> 02:34:41.710]  but I don't see it that often,
[02:34:41.710 --> 02:34:44.230]  cause I don't go to the store I used to work at,
[02:34:45.790 --> 02:34:48.550]  but I've had the Golden Pineapple many times,
[02:34:48.550 --> 02:34:51.750]  and it's not what makes that strain a stand out to me,
[02:34:51.750 --> 02:34:53.590]  so I've assumed this whole time,
[02:34:53.630 --> 02:34:55.350]  that it's been the Puna Butter,
[02:34:55.350 --> 02:34:56.190]  yeah,
[02:34:56.190 --> 02:34:58.070]  the THC's version of Puna Butter,
[02:34:58.070 --> 02:34:58.910]  oh,
[02:34:58.910 --> 02:34:59.750]  okay,
[02:34:59.750 --> 02:35:00.590]  all right,
[02:35:00.590 --> 02:35:01.430]  cool,
[02:35:01.430 --> 02:35:02.270]  I still can't find it,
[02:35:02.270 --> 02:35:03.110]  it's this old one,
[02:35:03.110 --> 02:35:05.430]  I feel like I got to try it,
[02:35:05.430 --> 02:35:07.910]  when I was on Hawaii,
[02:35:07.910 --> 02:35:09.670]  but they didn't call it Puna Butter,
[02:35:09.670 --> 02:35:11.190]  they just called it the Butter,
[02:35:11.190 --> 02:35:13.150]  like they just called it the Butter,
[02:35:13.150 --> 02:35:15.190]  and so I was like the Butter,
[02:35:15.190 --> 02:35:16.910]  and I got to smoke it with some heads,
[02:35:16.910 --> 02:35:19.070]  that were over on the Hilo side,
[02:35:19.070 --> 02:35:19.990]  and it was really good,
[02:35:19.990 --> 02:35:21.990]  it was like very potent,
[02:35:22.870 --> 02:35:24.590]  but I've never seen it grow,
[02:35:24.590 --> 02:35:26.430]  I've never really worked with it.
[02:35:26.430 --> 02:35:27.270]  Yeah,
[02:35:27.270 --> 02:35:29.750]  cause there is a preservation company,
[02:35:29.750 --> 02:35:32.830]  guy or person in Hawaii,
[02:35:32.830 --> 02:35:35.110]  and they have a Puna Butter,
[02:35:35.110 --> 02:35:37.510]  but I haven't gone that route,
[02:35:37.510 --> 02:35:39.270]  cause they're kind of pricey,
[02:35:39.270 --> 02:35:40.110]  but again,
[02:35:40.110 --> 02:35:40.950]  I'm like,
[02:35:40.950 --> 02:35:43.270]  I'm pretty sure it was the THC's one,
[02:35:43.270 --> 02:35:44.390]  that they made it with,
[02:35:44.390 --> 02:35:45.230]  so.
[02:35:46.310 --> 02:35:47.150]  That's the thing,
[02:35:47.150 --> 02:35:49.110]  those different varieties and their sisters,
[02:35:49.110 --> 02:35:49.950]  you know,
[02:35:49.950 --> 02:35:50.790]  it's always,
[02:35:50.830 --> 02:35:51.670]  it's always the right one,
[02:35:51.670 --> 02:35:52.510]  you know.
[02:35:52.510 --> 02:35:53.350]  Yeah,
[02:35:53.350 --> 02:35:55.470]  there's a lot of the same crosses,
[02:35:55.470 --> 02:35:57.590]  just cause you cross two of the same plants,
[02:35:57.590 --> 02:35:58.670]  even though they're different,
[02:35:58.670 --> 02:35:59.510]  you know,
[02:35:59.510 --> 02:36:00.350]  same name,
[02:36:00.350 --> 02:36:01.670]  but different plants.
[02:36:01.670 --> 02:36:05.030]  My version is going to be different than your version.
[02:36:05.030 --> 02:36:05.870]  Yeah,
[02:36:05.870 --> 02:36:07.590]  I think that's also cool,
[02:36:07.590 --> 02:36:08.430]  like,
[02:36:08.430 --> 02:36:09.270]  well I'm kind of stoked,
[02:36:09.270 --> 02:36:10.590]  I'm not really releasing too much,
[02:36:10.590 --> 02:36:12.030]  like,
[02:36:12.030 --> 02:36:15.270]  I think it's cool having like really unique varieties,
[02:36:15.270 --> 02:36:16.230]  that you know,
[02:36:16.230 --> 02:36:17.110]  people don't have,
[02:36:17.110 --> 02:36:17.950]  you know,
[02:36:17.950 --> 02:36:18.790]  like,
[02:36:19.790 --> 02:36:20.630]  like,
[02:36:20.630 --> 02:36:22.430]  I love supporting small time breeders,
[02:36:22.430 --> 02:36:24.390]  or people that don't get a lot of alkalates,
[02:36:24.390 --> 02:36:25.790]  because I just,
[02:36:25.790 --> 02:36:26.630]  I mean,
[02:36:26.630 --> 02:36:27.470]  this day,
[02:36:27.470 --> 02:36:28.750]  I feel like it's just getting easier and easier,
[02:36:28.750 --> 02:36:29.710]  to find good stuff,
[02:36:29.710 --> 02:36:30.990]  because like,
[02:36:30.990 --> 02:36:31.830]  good,
[02:36:31.830 --> 02:36:32.670]  I mean like,
[02:36:32.670 --> 02:36:33.510]  yeah,
[02:36:33.510 --> 02:36:35.510]  obviously we are probably getting bottlenecked,
[02:36:35.510 --> 02:36:37.350]  in certain gene pools,
[02:36:37.350 --> 02:36:38.190]  but like,
[02:36:38.190 --> 02:36:39.150]  Cookies.
[02:36:39.150 --> 02:36:39.990]  Yeah,
[02:36:39.990 --> 02:36:40.830]  definitely,
[02:36:40.830 --> 02:36:41.670]  definitely.
[02:36:41.670 --> 02:36:42.510]  I always give cookies,
[02:36:42.510 --> 02:36:44.070]  if you've seen any of the seed collectors,
[02:36:44.070 --> 02:36:44.910]  you know.
[02:36:44.910 --> 02:36:45.750]  I love OG,
[02:36:45.750 --> 02:36:46.590]  but like,
[02:36:46.590 --> 02:36:47.430]  I think,
[02:36:47.430 --> 02:36:48.270]  you know,
[02:36:48.670 --> 02:36:49.510]  I think it's more OG now,
[02:36:49.510 --> 02:36:51.110]  than it was when in like 2004,
[02:36:51.110 --> 02:36:51.950]  you know,
[02:36:51.950 --> 02:36:52.950]  like,
[02:36:52.950 --> 02:36:53.870]  it's just different,
[02:36:53.870 --> 02:36:54.710]  you know,
[02:36:54.710 --> 02:36:55.550]  so I mean like,
[02:36:55.550 --> 02:36:56.510]  I love a one to one,
[02:36:56.510 --> 02:36:58.190]  I think one to ones are hard to find,
[02:36:58.190 --> 02:36:59.030]  you know,
[02:36:59.030 --> 02:36:59.870]  like people are like,
[02:36:59.870 --> 02:37:00.710]  oh,
[02:37:00.710 --> 02:37:01.550]  nobody wants a one to one,
[02:37:01.550 --> 02:37:02.390]  I love one to one.
[02:37:02.390 --> 02:37:03.670]  So,
[02:37:03.670 --> 02:37:05.510]  Ethiopian banana,
[02:37:05.510 --> 02:37:07.670]  that I got from Radio Ridge,
[02:37:07.670 --> 02:37:10.670]  is probably one of my favorite smokes ever,
[02:37:10.670 --> 02:37:11.510]  like,
[02:37:13.110 --> 02:37:14.230]  I can't smoke it at night,
[02:37:14.230 --> 02:37:15.070]  because it,
[02:37:15.070 --> 02:37:16.470]  it doesn't really put me down,
[02:37:16.470 --> 02:37:17.310]  like I need,
[02:37:17.310 --> 02:37:19.750]  but like I could smoke the Ethiopian banana,
[02:37:19.750 --> 02:37:20.830]  from morning,
[02:37:20.830 --> 02:37:21.670]  till I'm,
[02:37:21.670 --> 02:37:24.110]  sorry about that.
[02:37:24.110 --> 02:37:24.950]  That's all right,
[02:37:24.950 --> 02:37:26.470]  my phone's rang once already too.
[02:37:28.110 --> 02:37:30.150]  It's my sister in Japan.
[02:37:30.150 --> 02:37:30.990]  If you,
[02:37:30.990 --> 02:37:31.830]  you could definitely take that,
[02:37:31.830 --> 02:37:32.670]  if you need to.
[02:37:32.670 --> 02:37:33.510]  No,
[02:37:33.510 --> 02:37:34.350]  it's all good,
[02:37:34.350 --> 02:37:35.190]  I'm just,
[02:37:35.190 --> 02:37:36.550]  it's funny because,
[02:37:36.550 --> 02:37:37.710]  The time difference too,
[02:37:37.710 --> 02:37:38.550]  I know it's called.
[02:37:38.550 --> 02:37:40.030]  What time is it in Japan?
[02:37:40.030 --> 02:37:40.870]  You know,
[02:37:40.870 --> 02:37:42.190]  it's all love,
[02:37:42.190 --> 02:37:43.030]  I'll hit her up,
[02:37:43.030 --> 02:37:43.870]  it's all good,
[02:37:43.870 --> 02:37:45.070]  but,
[02:37:45.070 --> 02:37:46.870]  I forget what I was saying.
[02:37:47.430 --> 02:37:48.910]  We were talking about the Ethiopian banana,
[02:37:48.910 --> 02:37:50.390]  it doesn't really put you down,
[02:37:50.390 --> 02:37:51.230]  but,
[02:37:51.230 --> 02:37:52.070]  It's the best,
[02:37:52.070 --> 02:37:52.910]  it's like,
[02:37:52.910 --> 02:37:53.870]  if you,
[02:37:53.870 --> 02:37:56.230]  like I'll be social anxious sometimes,
[02:37:56.230 --> 02:37:57.070]  I get,
[02:37:57.070 --> 02:37:58.590]  you know,
[02:37:58.590 --> 02:38:00.190]  I might get worked up really easily,
[02:38:00.190 --> 02:38:01.350]  but like this one,
[02:38:01.350 --> 02:38:02.510]  like,
[02:38:02.510 --> 02:38:03.350]  this,
[02:38:03.350 --> 02:38:04.630]  this variety is special,
[02:38:04.630 --> 02:38:05.990]  like it's a one to one,
[02:38:05.990 --> 02:38:07.030]  I believe,
[02:38:07.030 --> 02:38:10.350]  last time I saw it tested was 10% THC,
[02:38:10.350 --> 02:38:12.110]  9% CBD.
[02:38:12.110 --> 02:38:13.190]  Perfect.
[02:38:13.190 --> 02:38:15.190]  It tastes like bananas and scum,
[02:38:15.190 --> 02:38:16.030]  man,
[02:38:16.550 --> 02:38:17.390]  dude,
[02:38:17.390 --> 02:38:18.230]  Ethiopia,
[02:38:18.230 --> 02:38:19.070]  I'm writing this one down,
[02:38:19.070 --> 02:38:19.910]  because,
[02:38:19.910 --> 02:38:20.750]  If y'all haven't heard of it,
[02:38:20.750 --> 02:38:21.590]  go check it out,
[02:38:21.590 --> 02:38:22.430]  like,
[02:38:22.430 --> 02:38:23.270]  it's a beautiful one,
[02:38:23.270 --> 02:38:24.110]  and the,
[02:38:24.110 --> 02:38:24.950]  I don't know,
[02:38:24.950 --> 02:38:25.790]  Ethiopia,
[02:38:25.790 --> 02:38:28.310]  I'm just phonetically spelling this one out right now,
[02:38:28.310 --> 02:38:29.230]  It's a special one,
[02:38:29.230 --> 02:38:30.390]  so the story,
[02:38:30.390 --> 02:38:31.230]  and,
[02:38:31.230 --> 02:38:32.070]  That's horrible.
[02:38:32.070 --> 02:38:33.550]  Please go check it out,
[02:38:33.550 --> 02:38:35.630]  I know Bodhi had his hand in it,
[02:38:36.790 --> 02:38:38.870]  I believe the story goes,
[02:38:38.870 --> 02:38:40.350]  Empress Mennon,
[02:38:40.350 --> 02:38:41.990]  which was Empress Selassie,
[02:38:41.990 --> 02:38:43.390]  his queen and wife,
[02:38:46.630 --> 02:38:49.310]  got those from land race,
[02:38:49.310 --> 02:38:51.190]  highland Rastas,
[02:38:51.190 --> 02:38:52.030]  you know,
[02:38:52.030 --> 02:38:52.870]  like old school,
[02:38:52.870 --> 02:38:54.150]  you know,
[02:38:54.150 --> 02:38:57.990]  tribal people that were growing weed in Ethiopia,
[02:38:57.990 --> 02:39:01.550]  and that was handed on to somebody,
[02:39:01.550 --> 02:39:03.070]  and then that was handed to somebody,
[02:39:03.070 --> 02:39:03.910]  and then Bodhi,
[02:39:03.910 --> 02:39:04.750]  I think got it,
[02:39:04.750 --> 02:39:05.590]  and popped it,
[02:39:05.590 --> 02:39:07.230]  and found the one to one,
[02:39:08.550 --> 02:39:10.790]  that story might not be 100% accurate,
[02:39:10.790 --> 02:39:12.270]  but it's something along the lines of that,
[02:39:12.270 --> 02:39:14.310]  it has ties to the,
[02:39:14.310 --> 02:39:15.150]  you know,
[02:39:15.150 --> 02:39:15.990]  the royal family,
[02:39:16.830 --> 02:39:17.830]  it's definitely a special plant,
[02:39:17.830 --> 02:39:19.830]  it's very special.
[02:39:19.830 --> 02:39:23.710]  Now the first thing that I automatically thought,
[02:39:23.710 --> 02:39:24.590]  and you know,
[02:39:24.590 --> 02:39:25.710]  the question in my head,
[02:39:25.710 --> 02:39:27.750]  we were talking about long flowering stings earlier,
[02:39:27.750 --> 02:39:29.070]  I heard the word Ethiopia,
[02:39:29.070 --> 02:39:30.030]  and I'm like,
[02:39:30.030 --> 02:39:32.150]  is it a 14 weeker?
[02:39:32.150 --> 02:39:32.990]  Damn,
[02:39:32.990 --> 02:39:33.830]  see that breaks my heart,
[02:39:33.830 --> 02:39:34.670]  love smoking them,
[02:39:34.670 --> 02:39:35.510]  but,
[02:39:35.510 --> 02:39:36.470]  it's so worth it,
[02:39:36.470 --> 02:39:37.310]  and so like,
[02:39:37.310 --> 02:39:38.150]  I've crossed the,
[02:39:38.150 --> 02:39:39.470]  thanks to that,
[02:39:39.470 --> 02:39:42.270]  like I've crossed that Swedish male that I kept,
[02:39:42.270 --> 02:39:44.310]  to the Ethiopian banana,
[02:39:44.310 --> 02:39:45.470]  I just,
[02:39:45.790 --> 02:39:47.150]  I'm timid on popping them,
[02:39:47.150 --> 02:39:48.510]  until I can get,
[02:39:48.510 --> 02:39:49.430]  I can afford,
[02:39:49.430 --> 02:39:52.070]  or get them in a facility that can afford,
[02:39:52.070 --> 02:39:54.550]  to hunt like an actual do analytical test,
[02:39:54.550 --> 02:39:55.870]  because I'll pop them,
[02:39:55.870 --> 02:39:56.710]  and I'll be like,
[02:39:56.710 --> 02:39:57.550]  oh yeah,
[02:39:57.550 --> 02:39:58.390]  this one smoked,
[02:39:58.390 --> 02:39:59.230]  oh that one's,
[02:39:59.230 --> 02:40:00.070]  you know,
[02:40:00.070 --> 02:40:00.910]  but like,
[02:40:00.910 --> 02:40:01.910]  if I can see analytical data that tells me,
[02:40:01.910 --> 02:40:03.790]  oh there's that much CBD in it,
[02:40:03.790 --> 02:40:07.710]  that's when I'd want to pursue a breeding project with that,
[02:40:07.710 --> 02:40:08.990]  but I have it in the back burner,
[02:40:08.990 --> 02:40:10.630]  I've made a lot of stuff,
[02:40:10.630 --> 02:40:11.990]  that I just have on the back burner,
[02:40:11.990 --> 02:40:13.590]  for certain occasions,
[02:40:13.590 --> 02:40:16.150]  or things to pass on to my,
[02:40:16.150 --> 02:40:16.990]  to the youth,
[02:40:16.990 --> 02:40:18.510]  or things that I don't want to pop,
[02:40:18.510 --> 02:40:21.390]  until I can get them analytically tested,
[02:40:21.390 --> 02:40:23.030]  on what varieties are in there,
[02:40:23.030 --> 02:40:23.870]  you know,
[02:40:23.870 --> 02:40:25.070]  you know,
[02:40:25.070 --> 02:40:26.910]  I have some old Colombian crosses,
[02:40:26.910 --> 02:40:27.750]  that are old,
[02:40:27.750 --> 02:40:30.030]  like a friend of an old medical head,
[02:40:30.030 --> 02:40:31.150]  from Eugene,
[02:40:31.150 --> 02:40:33.670]  like who's just been growing sativas,
[02:40:33.670 --> 02:40:35.190]  like Colombians and sativas,
[02:40:35.190 --> 02:40:36.030]  and like,
[02:40:36.030 --> 02:40:37.510]  I would love to grow those,
[02:40:37.510 --> 02:40:38.430]  but I know like,
[02:40:38.430 --> 02:40:39.990]  I'm going to need a different climate,
[02:40:39.990 --> 02:40:41.510]  than I'm in right now.
[02:40:41.510 --> 02:40:42.350]  Taller ceiling.
[02:40:42.350 --> 02:40:43.190]  Yeah.
[02:40:43.190 --> 02:40:44.030]  Yeah.
[02:40:44.030 --> 02:40:44.870]  I love it.
[02:40:44.870 --> 02:40:46.270]  I love it.
[02:40:46.270 --> 02:40:47.550]  I love the variety.
[02:40:47.550 --> 02:40:48.470]  I love it.
[02:40:48.470 --> 02:40:51.070]  That analytical stuff is real though,
[02:40:51.070 --> 02:40:53.070]  like I've done some Harlequin crosses,
[02:40:53.070 --> 02:40:55.070]  but I stopped there,
[02:40:55.070 --> 02:40:59.230]  because even as a medical patient in Washington,
[02:40:59.230 --> 02:41:01.190]  unless I have a license,
[02:41:01.190 --> 02:41:03.350]  I can't get anything tested.
[02:41:03.350 --> 02:41:04.630]  So,
[02:41:04.630 --> 02:41:05.470]  I,
[02:41:05.470 --> 02:41:06.310]  you know,
[02:41:06.310 --> 02:41:08.470]  I started the project with grand intentions,
[02:41:08.470 --> 02:41:10.710]  but I really can't fricking do anything,
[02:41:10.710 --> 02:41:12.350]  with confidence with it.
[02:41:12.350 --> 02:41:14.750]  So it just kind of is at that stage.
[02:41:14.750 --> 02:41:15.590]  Yeah.
[02:41:15.590 --> 02:41:16.430]  It's like,
[02:41:16.430 --> 02:41:17.250]  it's in the back burner,
[02:41:17.250 --> 02:41:18.090]  and that's what's beautiful about seeds,
[02:41:18.090 --> 02:41:19.470]  as long as you store them properly,
[02:41:19.470 --> 02:41:20.990]  like they're stored,
[02:41:20.990 --> 02:41:21.830]  they're good.
