[00:00.000 --> 00:15.100]  Cheers, everybody.
[02:20:46.780 --> 02:20:51.260]  Which is why sourcing is also important with a lot of these things because again
[02:20:52.060 --> 02:20:54.060]  And i've said this before i'm not gonna know
[02:20:54.460 --> 02:20:56.060]  Acapulco gold
[02:20:56.060 --> 02:21:02.540]  I'd love to smoke it and I have smoked some but I again i'm not 100 sure i've ever really smoked it. So
[02:21:03.740 --> 02:21:08.780]  Panama red from a legit source the kandahar red would be uh would be a treat
[02:21:09.580 --> 02:21:11.580]  It sounds like a beast to grow though
[02:21:12.780 --> 02:21:20.220]  I have to uh give my hat off to to rich because he already got into those. Um, the um, um
[02:21:20.780 --> 02:21:26.860]  Gosney that kevin passed out and he already crossed them and made uh, his own, uh,
[02:21:27.720 --> 02:21:29.720]  pollination those were from
[02:21:29.740 --> 02:21:35.180]  Uh same guy from the same project. I think the durand line project kevin's
[02:21:37.820 --> 02:21:40.780]  Now are you just kind of was it not from that or it was
[02:21:41.500 --> 02:21:45.420]  Are you kind of going for just an open pollination or a seed increase on that?
[02:21:45.500 --> 02:21:51.500]  Because usually i'm gonna grow them out i'm gonna pick my winners i'm gonna decide which one to work with and that takes time
[02:21:51.980 --> 02:21:58.620]  But in the instance where i'm just increasing seeds i'm hitting it the first go before i've even fully flowered it
[02:21:58.700 --> 02:22:02.460]  So what what were you kind of doing there? Which which direction did you go?
[02:22:03.160 --> 02:22:05.160]  generally, um when I
[02:22:05.580 --> 02:22:12.460]  Pop a pack of seeds if it's like a big difference between say a pop a pack of humbled seed companies
[02:22:12.520 --> 02:22:20.300]  Feminized seeds right where I know that they're all going to be pretty uniform somewhat anyways, and uh,
[02:22:20.920 --> 02:22:28.380]  Gosney, uh project right so they have two different outcomes first of all, but when I pop like a gosney
[02:22:29.020 --> 02:22:32.940]  Seeds he gave us all you know, whoever was there like 10 seeds or something
[02:22:33.420 --> 02:22:35.500]  um, so in my mind I need to
[02:22:36.140 --> 02:22:41.420]  See a little bit more so i'm going to open pollinate those 10 seeds with all the males that pop
[02:22:41.820 --> 02:22:43.820]  To all the females that are there
[02:22:43.820 --> 02:22:49.180]  and i'm just going to create a bigger lot of seeds to tap into so that we can um,
[02:22:49.580 --> 02:22:53.660]  And then I hand them out to friends just kind of what kevin was intending, you know when he hands them out
[02:22:53.660 --> 02:22:54.700]  he's like
[02:22:54.700 --> 02:23:00.700]  Get these make some more hand them out use a male and um, you know get them into some genetics
[02:23:00.860 --> 02:23:03.260]  And that's what i'm just trying to do just um
[02:23:03.260 --> 02:23:07.420]  Create a bunch more of them so I can hand them out and and that's find any rotting flesh
[02:23:07.420 --> 02:23:10.780]  You remember he said it was from like overripe fruit to rotting flesh
[02:23:11.820 --> 02:23:17.820]  Yeah, I didn't get anything sweet at all. It was all in that like nasty meaty fleshy
[02:23:18.540 --> 02:23:21.820]  Range all the terps that I had off of that chunky
[02:23:22.300 --> 02:23:25.660]  Well, that's you know one thing that I kind of wonder sometimes too, you know
[02:23:25.660 --> 02:23:28.460]  We're talking about wedding cake earlier that it's harder to clone
[02:23:28.460 --> 02:23:31.100]  Sometimes like mac is a notorious slow grower
[02:23:32.140 --> 02:23:36.940]  By kevin like giving out some of these older genetics things that are less bottlenecks, you know
[02:23:37.020 --> 02:23:42.220]  I wonder about that sometimes with the current genetics, you know, like wedding cake is it has it just been bottlenecked?
[02:23:42.220 --> 02:23:48.780]  So you're getting like that recessive depression from just similar traits even though you know it comes from
[02:23:49.820 --> 02:23:53.740]  Animal mints and animal cookies and animal this they're they're different
[02:23:53.820 --> 02:23:57.660]  So I wonder if that is what we are seeing in some of these things and
[02:23:58.060 --> 02:24:00.620]  Something I always try to avoid when i'm putting things together
[02:24:00.620 --> 02:24:04.700]  I try to I try to go opposite ends of the spectrum because I want to reintroduce some vigor
[02:24:05.100 --> 02:24:08.140]  I'm also working for other things but vigor is important to me
[02:24:10.220 --> 02:24:14.220]  Well, they say that you don't even breed anything new if you stay in the same lineage
[02:24:15.980 --> 02:24:19.420]  Right that makes sense. It's called something else. Yeah, I don't know
[02:24:19.820 --> 02:24:24.780]  Right, that makes sense it's called something else I forget the genetic scientific term
[02:24:24.780 --> 02:24:28.700]  But like if you don't breed out of the lineage, you don't create a new variety
[02:24:31.260 --> 02:24:33.420]  So that's fair and that sounds proper but
[02:24:34.060 --> 02:24:36.060]  That's definitely not cannabis
[02:24:36.860 --> 02:24:42.780]  With cannabis has its own. My background is not in cannabis. Yeah me neither. I I do have a
[02:24:43.900 --> 02:24:45.420]  agriculture
[02:24:46.060 --> 02:24:50.140]  Uh degree so yes, that's that's why i'm able to relate as I look at my books
[02:24:50.140 --> 02:24:56.780]  I'm, like that book would actually have the proper name for it. But uh, yeah, this is cannabis like it's not light depth
[02:24:56.940 --> 02:24:59.200]  It's auto periodic interruption
[02:25:01.340 --> 02:25:05.360]  Well, I I yes I love I am a a controlled environment engineer
[02:25:06.460 --> 02:25:08.780]  I grow indoors. So I love that one
[02:25:10.780 --> 02:25:15.020]  Yeah, that that's that's my answer to straight people when they ask me what do you do
[02:25:16.060 --> 02:25:19.920]  Our our first example to growing up is the word cultivar
[02:25:20.700 --> 02:25:22.460]  We're like, yeah
[02:25:22.460 --> 02:25:24.460]  Fine, it means what?
[02:25:25.820 --> 02:25:26.940]  We'll use
[02:25:26.940 --> 02:25:30.620]  You know, but we're just uh, we've adapted our own language and we have
[02:25:31.260 --> 02:25:38.860]  It's just backwoods and back streets and that's why we all loved it, you know, and we're coming into the public now and it's a transition
[02:25:39.660 --> 02:25:45.340]  It is and you know what it works, which is the weird part and the problem with it
[02:25:45.580 --> 02:25:50.220]  and I I had this conversation about indica sativa at the dispensary's the other day, it's like
[02:25:51.420 --> 02:25:55.820]  Those are completely inaccurate words to use in the context you're using them
[02:25:56.380 --> 02:26:00.300]  But a hundred percent of the people know exactly what you're trying to say. So
[02:26:01.260 --> 02:26:06.540]  While it's totally wrong. We all know the same wrong meaning so it works. Yeah, there are markers
[02:26:07.260 --> 02:26:12.780]  Where yeah, I don't know when and where we're going to correct that but we are saying the word cannabis more often
[02:26:12.780 --> 02:26:14.780]  which I watched a documentary from
[02:26:15.580 --> 02:26:18.540]  Oh gosh, maybe 10 years ago now and every word was like
[02:26:19.400 --> 02:26:21.400]  marijuana
[02:26:21.660 --> 02:26:26.460]  Reaper and I just I kind of cringed at how much they said weed and marijuana and then i'm like
[02:26:27.020 --> 02:26:31.580]  well, we have come a long way because I remember feeling just goofy as hell being like
[02:26:32.360 --> 02:26:37.520]  Cannabis, but we all stuck to it. Now. That's the most common nomenclature
[02:26:38.300 --> 02:26:40.300]  Unless you're using search results
[02:26:41.500 --> 02:26:43.500]  Hear anything else wise
[02:26:44.300 --> 02:26:51.180]  Yeah, yeah, so well, but nobody knows the bottom of it the real history of the marijuana word like actually it was um,
[02:26:51.500 --> 02:26:54.540]  I got schooled by that from um, dr. Uma
[02:26:55.260 --> 02:27:02.380]  You know, she does a whole presentation about that, you know, very similar on kind of the lines of also jack harer and that you know
[02:27:02.940 --> 02:27:04.940]  emperor of hemp type of
[02:27:05.100 --> 02:27:06.140]  You know
[02:27:06.140 --> 02:27:10.220]  And and she talks about how you know, it was a derogatory term. It was
[02:27:11.180 --> 02:27:16.540]  Yeah, there's so many things that we that are kept from us and that's a whole nother thing of the powers that be they're
[02:27:17.020 --> 02:27:21.900]  Not wanting us to yeah marijuana was to fuel the race war. It was a mexican
[02:27:22.380 --> 02:27:30.460]  Mexican term and the mexican culture like I come from the west coast and my family were cowboys and my grandpa was smoking weed
[02:27:30.780 --> 02:27:38.380]  With the native people so like the natives and the mexicans were always carrying the cannabis out west and that was the original culture
[02:27:39.020 --> 02:27:41.020]  Was a mexican cannabis
[02:27:41.740 --> 02:27:43.980]  culture a slave culture out of the
[02:27:44.440 --> 02:27:47.020]  Caribbean that was carrying the seeds out of africa
[02:27:47.500 --> 02:27:52.960]  And the mexican people and the native people always had a liking to the plant as soon as it showed up in the americas
[02:27:53.580 --> 02:27:56.220]  You know, they're the ones that kept it and carried it
[02:27:57.100 --> 02:27:57.980]  so
[02:27:57.980 --> 02:28:03.580]  you know and yeah, and then it the the term, um in in the uh,
[02:28:04.700 --> 02:28:07.500]  in the indian culture in the um,
[02:28:09.260 --> 02:28:16.300]  There's over like a hundred or maybe even 300 terms for for cannabis
[02:28:17.500 --> 02:28:19.260]  You know they have
[02:28:19.260 --> 02:28:27.100]  They have such a depth so many recipes so many different uses of the plant so many different ways to use the plant
[02:28:27.660 --> 02:28:32.960]  And the the term we're just smoking it, you know, these people have hundreds of recipes
[02:28:33.580 --> 02:28:35.820]  As well as names for it
[02:28:36.300 --> 02:28:43.120]  Um, but the most term that we know from that culture really the original the original
[02:28:43.820 --> 02:28:45.820]  older
[02:28:57.920 --> 02:29:02.960]  And the word from sanskrit ganja means it means the flower of the plant
[02:29:03.920 --> 02:29:13.040]  Dude I love your packaging. Do you want to tell me about those the the the the um,
[02:29:14.640 --> 02:29:20.880]  Uh, sorry camels there you got the camels there I see a lot of very cool this this uh,
[02:29:22.160 --> 02:29:24.160]  Also, the font is very
[02:29:25.680 --> 02:29:27.680]  Uh
[02:29:27.680 --> 02:29:29.680]  I want to say in in you know
[02:29:30.160 --> 02:29:35.440]  I don't know. There's a it's arabic. Okay. Yeah, my my grandfather's lebanese
[02:29:36.560 --> 02:29:39.600]  Ah, and I was just very proud to
[02:29:40.560 --> 02:29:43.600]  Represent that part of my heritage and my culture
[02:29:44.240 --> 02:29:49.200]  Um, you know, it's kind of been a race war for arab people in the country for the last
[02:29:50.240 --> 02:29:51.600]  20 years
[02:29:51.600 --> 02:29:53.600]  And I think it's a part of my heritage
[02:29:53.840 --> 02:29:58.240]  You know, it's kind of been a race war for arab people in the country for the last
[02:29:58.960 --> 02:30:02.240]  20 years and as a cannabis like, uh person
[02:30:02.960 --> 02:30:07.120]  Certain things you kept private in the past, you know, so
[02:30:07.920 --> 02:30:10.480]  um, I was really proud just to
[02:30:11.360 --> 02:30:13.840]  Be able to represent, you know, a lot of my love
[02:30:14.560 --> 02:30:17.200]  For the plant is that cultural space?
[02:30:17.600 --> 02:30:19.680]  Uh that my family's always carried they were
[02:30:20.320 --> 02:30:21.520]  uh goat
[02:30:21.520 --> 02:30:28.000]  Farmers and uh cannabis people and up in the mountains of lebanon before they immigrated to the united states
[02:30:28.560 --> 02:30:30.560]  in the late 1800s
[02:30:31.040 --> 02:30:33.760]  and uh, that was just a way for me to
[02:30:34.480 --> 02:30:37.680]  Be like hey i've been making hash for the last 15 years
[02:30:38.320 --> 02:30:39.280]  and
[02:30:39.280 --> 02:30:41.280]  growing plants and doing genetics
[02:30:41.440 --> 02:30:42.960]  you know like
[02:30:42.960 --> 02:30:46.720]  That silk road has always been walking through us and through our people
[02:30:47.520 --> 02:30:54.800]  Through all of our cultures on the planet and that's that exchange culture where we're able to exchange valuable goods
[02:30:55.360 --> 02:30:57.020]  herbs medicines
[02:30:57.020 --> 02:31:03.620]  Cultural ideas and so that's what the camels represent. Is that silk road? That's all people exchanging
[02:31:04.240 --> 02:31:06.240]  our heritage
[02:31:07.020 --> 02:31:09.020]  Beautiful beautiful
[02:31:09.680 --> 02:31:15.680]  No, that's beautiful man, i'm very happy and glad that you could join us tonight and share some of your story with us
[02:31:16.880 --> 02:31:18.880]  Yeah, um, it's really a
[02:31:19.600 --> 02:31:22.960]  All you new faces and two of you guys john and al
[02:31:23.520 --> 02:31:30.880]  So privileged that you guys invited me and to be with uh, you two us you two elders man been in this for so long
[02:31:31.740 --> 02:31:37.920]  Participating so long in the dark corners of the country far away from where it's been, you know accepted
[02:31:38.320 --> 02:31:45.120]  It's really learned a lot being in the room. Look forward to having more communication about genetics and just furthering
[02:31:45.440 --> 02:31:47.780]  Uh the growth of this plant in our community
[02:31:49.520 --> 02:31:52.240]  Amen to that well said man, thank you
[02:31:52.960 --> 02:31:54.960]  Yeah, well said
[02:31:55.040 --> 02:31:58.880]  And I guess too, you know since we are we're at the two and a half hour mark
[02:31:58.960 --> 02:32:01.600]  We should probably get this wrapped up, but I want to
[02:32:02.560 --> 02:32:08.000]  You know, maybe pull out a couple more packs or the next thing we're gonna pop or the thing you're most excited about or your?
[02:32:08.140 --> 02:32:11.040]  Treasured one i'll give you guys a second to think about that
[02:32:11.200 --> 02:32:13.760]  But I do I also want to give you guys a chance to go around
[02:32:13.920 --> 02:32:19.600]  Um, you know let people know where they can find you. I do have everybody's instagrams down in the show notes
[02:32:19.840 --> 02:32:22.400]  So definitely hit those up give these people a follow
[02:32:22.800 --> 02:32:26.560]  uh, but let us know if you know any other projects you have going on or
[02:32:27.120 --> 02:32:30.560]  Something that you may be excited for and we'll go to you first
[02:32:30.640 --> 02:32:36.480]  Uh cannabis fine joshua because I appreciate your time man sitting in the car for this long appreciate your homie, too
[02:32:36.640 --> 02:32:38.640]  taking a dip in the hot tub and
[02:32:39.040 --> 02:32:44.480]  In the springs and coming back out but yeah, let people know where they can find you or what you got going on
[02:32:45.200 --> 02:32:51.920]  Yeah, okay. Hi. Hi everybody. Yeah, so i'm uh on instagram at cannabis dot fun
[02:32:52.160 --> 02:32:59.200]  Really appreciate the support. I've just come public, uh on instagram in the last, uh, four months or so. So
[02:33:00.640 --> 02:33:05.700]  To me, uh, i've been working in this community for 15 years tirelessly
[02:33:06.340 --> 02:33:13.060]  I also uh farm in new mexico and know that environment. It's great hash growing area down there and um,
[02:33:14.340 --> 02:33:15.700]  but um
[02:33:15.700 --> 02:33:21.300]  What i'm most excited about I had a friend my friends know that I like old seeds. I'm like, where's that dusty?
[02:33:21.940 --> 02:33:24.500]  seed path, you know, and so, uh
[02:33:25.220 --> 02:33:30.020]  Somebody a friend of mine just brought over some oni seeds. Uh, and it's a
[02:33:30.580 --> 02:33:35.140]  Hot tropic which is a fire og on the tropicana cookies
[02:33:35.940 --> 02:33:41.700]  I'm, really hoping to get some like awesome citrus terpenes or some smacking og strength
[02:33:42.180 --> 02:33:46.660]  Uh rosin out of that pack and that's what i'm really looking forward to
[02:33:47.300 --> 02:33:51.700]  As far as the new seeds coming and oh, there we go. Start the car
[02:33:54.580 --> 02:33:56.340]  And um
[02:33:56.340 --> 02:34:03.940]  Then i'm going to be uh partnered with the company called uh, veda farms out in new jersey this year where i'm bringing
[02:34:04.640 --> 02:34:07.540]  Permaculture education soil science knowledge
[02:34:08.340 --> 02:34:14.020]  Out to new jersey and I will still be operating my like high-end
[02:34:15.300 --> 02:34:23.620]  Emerald triangle line canvas fun and then also creating a foundation for permaculture and cannabis out east right now
[02:34:23.940 --> 02:34:26.500]  so that's the new transition and
[02:34:27.620 --> 02:34:33.460]  Yeah, i'm available. Um, please reach out everyone including this this chat room
[02:34:33.460 --> 02:34:39.960]  I look forward to getting into some genetics, uh and some east coast, uh varieties and everything. Oh cultivars
[02:34:40.900 --> 02:34:42.900]  We already have
[02:34:43.780 --> 02:34:45.540]  Oh man
[02:34:45.540 --> 02:34:49.540]  That's awesome. I'm so excited for you. And you know, especially the just
[02:34:50.260 --> 02:34:54.100]  The whole regenerative tip that you're going down. Uh
[02:34:54.660 --> 02:35:01.480]  Be good stewards of the land. That's the goal be a good imagine when we can get people to say chemovar
[02:35:03.460 --> 02:35:09.780]  That's you know what that's the closest accurate description that we actually could use but a little easier
[02:35:16.940 --> 02:35:20.620]  They're blocking out well cool man, thank you again for your time so much
[02:35:21.020 --> 02:35:24.300]  Um, if you if you hang out if you can hang out, that's cool
[02:35:24.380 --> 02:35:28.640]  If you guys are getting on the road, that's cool, too. I know you had to drive there for uh reception
[02:35:29.180 --> 02:35:32.540]  I've done this before but uh, I appreciate that man
[02:35:33.340 --> 02:35:39.180]  Want to get it over, uh to you john did did you pick out your favorite pack?
[02:35:39.980 --> 02:35:43.020]  Do you have one for us the the end all be all?
[02:35:45.340 --> 02:35:51.200]  I always wanted to grow something from you know, um, rastruth mendelbrot
[02:35:52.140 --> 02:35:54.220]  okay, right and um
[02:35:55.020 --> 02:35:59.420]  so I was you know, I have those seeds from leo that's why I was so coveted but
[02:35:59.820 --> 02:36:02.620]  I don't know what I should do if I should use some like
[02:36:03.580 --> 02:36:05.580]  gibberellic acid or
[02:36:05.660 --> 02:36:08.940]  scuff them or crack them or because um
[02:36:10.140 --> 02:36:12.140]  Yeah, they're they're
[02:36:12.140 --> 02:36:15.340]  I you know, I don't know. I know they were growing outdoors. So
[02:36:16.220 --> 02:36:21.180]  Are they not popping you've tried a couple and they just well I did and then I was like I didn't I don't forgot how
[02:36:21.180 --> 02:36:25.660]  Many I got like I probably four and six or something left into each one and I was like, all right
[02:36:25.820 --> 02:36:30.380]  All right, i'm gonna maybe buy that I know tony believe um,
[02:36:30.940 --> 02:36:37.340]  Mr. Toad's got that his little seed cracker there. Yep, but you know, i've not i've inexperienced on what to do
[02:36:37.420 --> 02:36:39.820]  Should I scuff them scarify them, whatever?
[02:36:40.700 --> 02:36:41.740]  crack them
[02:36:41.740 --> 02:36:43.180]  Soak them in something
[02:36:43.180 --> 02:36:44.220]  germaplasm
[02:36:44.220 --> 02:36:49.980]  I'm waiting for that on the ones that I have i'm like it needs to basically be the equivalent of tissue culture
[02:36:50.220 --> 02:36:53.500]  And while they are kind of doing that playing with that now
[02:36:53.740 --> 02:36:58.380]  It's nowhere near the success rate that they'll have in probably three or four years
[02:36:58.940 --> 02:36:59.980]  so
[02:36:59.980 --> 02:37:01.420]  I'll wait
[02:37:01.420 --> 02:37:07.100]  But yeah, i've got I guess i'm I got a lot all this i'm excited for all the stuff that we got with uh, jimmy's
[02:37:07.740 --> 02:37:13.820]  Lemon degreaser and all the other stuff I mentioned earlier, but I also got went back into some pack of the um,
[02:37:14.220 --> 02:37:16.380]  Crocket of uh the golden lemons
[02:37:17.020 --> 02:37:24.700]  So I got five females that i'm gonna be selecting from of this. Uh, which is the um kosher kush times a lemon skunk
[02:37:25.580 --> 02:37:27.580]  Nice, there's a good old kosher kush
[02:37:28.940 --> 02:37:32.460]  That's their jam kosher kush at the melting of the head
[02:37:33.820 --> 02:37:39.580]  At the eugene and a shower sour kosher man. Fuck that stuff is loud as hell
[02:37:40.540 --> 02:37:45.900]  Rivaled your 818 green fino, dude that shit just killed the nose
[02:37:46.620 --> 02:37:50.620]  Oh, we got to try the beckett. Oh gee the beckett the uh, bickett
[02:37:51.180 --> 02:37:58.540]  The big excuse me bickett. That's what i'm saying named after joe keith bickett one of the uh, cornbread mafia. Yep
[02:37:59.340 --> 02:38:01.340]  Yes, they could imbue
[02:38:01.420 --> 02:38:04.380]  Yep. Yep. They could imbue cbd now. That's their jam
[02:38:05.420 --> 02:38:07.420]  Yeah, another cool good. I have two
[02:38:11.420 --> 02:38:18.640]  I have two good varieties that i'm excited for this season. Oh, i'll let you let you say good night my friend
[02:38:21.660 --> 02:38:23.660]  Oh
[02:38:24.940 --> 02:38:26.940]  I can't leave
[02:38:27.260 --> 02:38:29.980]  So I got the uh, the shirt, okay, you got me
[02:38:32.700 --> 02:38:39.020]  You froze and i'm freeze land freeze land mob in the sherb and then the east coast snowblower from our good
[02:38:39.180 --> 02:38:41.180]  Handsome friend rich on the screen there
[02:38:41.980 --> 02:38:43.980]  so i'm
[02:38:44.700 --> 02:38:46.700]  Outside
[02:38:46.780 --> 02:38:52.540]  Where I am we got no snow this year so far, so I don't want to fucking jinx myself, but it's frigid right now
[02:38:52.620 --> 02:38:55.840]  It's like 10 degrees out. He's screwed
[02:38:57.340 --> 02:38:59.340]  If you gotta put it no snow, so
[02:39:00.140 --> 02:39:01.580]  you know
[02:39:01.580 --> 02:39:03.820]  If you're gonna put them outside, when are you gonna pop them?
[02:39:04.060 --> 02:39:06.140]  How long do you keep them inside before you put them out?
[02:39:06.780 --> 02:39:11.900]  Well, I like to get a cut and then flower inside if I have the time so it all depends
[02:39:11.900 --> 02:39:16.220]  But if i'm gonna just pop seeds and put the seeds outside i'll pop them in april
[02:39:17.260 --> 02:39:19.900]  I've learned my lesson about popping them earlier than that
[02:39:20.860 --> 02:39:22.860]  I don't have the space
[02:39:22.940 --> 02:39:27.900]  I had the space and I had a nice farm and a plot of land. I would be popping them now or
[02:39:28.460 --> 02:39:30.460]  earlier
[02:39:30.460 --> 02:39:32.460]  Um
[02:39:32.860 --> 02:39:34.860]  Selecting
[02:39:36.140 --> 02:39:40.060]  Yeah and putting a big plant outside, um because that's where
[02:39:41.500 --> 02:39:43.900]  uh the heart is at but um
[02:39:45.420 --> 02:39:51.820]  So I have a limited height restriction and I can't have taller than seven foot plants this year unfortunately, so
[02:39:52.620 --> 02:39:54.620]  um, I have to stay
[02:39:55.100 --> 02:39:56.780]  short and wide
[02:39:56.780 --> 02:39:57.820]  um
[02:39:57.820 --> 02:40:03.100]  And to do that i'm gonna use my tools. Yeah, exactly. I had a beautiful mac last year
[02:40:03.100 --> 02:40:06.140]  That was like that. It was like a candelabra. John said I think
[02:40:07.580 --> 02:40:12.720]  Yeah, that was the one they got they cut over the fence and took the nice colas
[02:40:15.820 --> 02:40:21.100]  I plant them some ways too. I'll just plant them like laying down on their side
[02:40:22.780 --> 02:40:24.780]  And then i'll just
[02:40:25.260 --> 02:40:29.500]  Pull them down every single time I look at them. I'm pulling down
[02:40:31.100 --> 02:40:36.380]  I just start planting later and later to adjust for the size pretty much because i'm
[02:40:36.860 --> 02:40:43.100]  Dealing with huge plants here is difficult and the seasons and it's just tough to keep them safe. So
[02:40:43.900 --> 02:40:45.020]  um
[02:40:45.020 --> 02:40:51.260]  It's no problem planting all the way to june 1st really even popping seeds and you still get something
[02:40:51.260 --> 02:40:54.460]  They'll be a little they'll be small. They're not going to be big king dogs, right?
[02:40:54.540 --> 02:40:59.660]  But like you'll be able to explore things or sift things or breed with them very easily
[02:41:00.140 --> 02:41:07.900]  Much easier, uh, if you're going for super production, yeah, you can try to start them as early as possible, but it's a serious battle
[02:41:09.740 --> 02:41:15.340]  Yeah, it is a lot of a lot of knowledge to cross yeah right on man for sure
[02:41:15.980 --> 02:41:17.020]  Yeah
[02:41:17.020 --> 02:41:21.420]  So i'm gonna try to get a happy clean those kind of like I can't get in plants
[02:41:21.500 --> 02:41:27.500]  but I you know, but that's so beautiful that the small plants you can work with so many of them and you'd be able to
[02:41:27.500 --> 02:41:28.780]  have more of an
[02:41:28.780 --> 02:41:30.780]  Intimate workability with them, you know
[02:41:30.860 --> 02:41:33.900]  Like be on the same level and kind of just work with them a little bit more
[02:41:34.540 --> 02:41:40.060]  Have more of them in a small space too. I like how you had the maroof red project. We like its own little
[02:41:41.100 --> 02:41:43.100]  Area kind of all nestled together
[02:41:43.980 --> 02:41:50.940]  It's awesome, I imagine that would need its own spot because that's going to do its own damn thing as far as growth
[02:41:51.580 --> 02:41:53.340]  um, yeah
[02:41:53.340 --> 02:41:57.740]  The cool tricks we were able to do not tricks, but just like, um community
[02:41:59.580 --> 02:42:01.580]  Efforts, right like
[02:42:01.800 --> 02:42:07.100]  Massachusetts has certain laws. So we all have to keep within our numbers right as home growers
[02:42:07.500 --> 02:42:10.620]  Med cards have different rules as a regular person
[02:42:10.620 --> 02:42:13.500]  But even between that, you know each household
[02:42:13.660 --> 02:42:19.340]  I have a lot of friends around here in the hill towns that don't necessarily even smoke, but don't mind us
[02:42:20.300 --> 02:42:25.260]  Um managing, uh their legal amount on their property for them in their name, right?
[02:42:25.420 --> 02:42:31.660]  So you just get a bunch of friends and you can actually get through a bunch of material legally. No problems
[02:42:31.900 --> 02:42:38.140]  um, and you know not be looking over your shoulder, but still manage to um, you know, at least
[02:42:38.620 --> 02:42:40.620]  Um look through a bunch of stuff
[02:42:41.020 --> 02:42:45.500]  Or do whichever you'd like to do like you say separate the maroof red project from the guys
[02:42:46.380 --> 02:42:51.420]  Project and get them very far away each time. I'd like to have them in a hoop house
[02:42:51.420 --> 02:42:53.420]  So i'm not really blowing anybody
[02:42:53.660 --> 02:42:55.180]  away, um
[02:42:55.180 --> 02:43:02.700]  If there is a neighbor who's kind, um, yeah, not just throwing pollen everywhere, you know, it's got to be somewhat. Um,
[02:43:04.360 --> 02:43:06.940]  Respectful at least control. Yeah
[02:43:07.340 --> 02:43:09.740]  Yeah, controlled and purposeful about what you do
[02:43:10.460 --> 02:43:11.740]  very important
[02:43:11.740 --> 02:43:13.740]  when you're growing outdoors, uh
[02:43:14.140 --> 02:43:17.980]  Be considerate of the neighbors because man you pollinate somebody else's crop
[02:43:18.460 --> 02:43:24.940]  As good as your intention was to make seeds for other people like dude, you just ruined that person's day. So yeah, that's
[02:43:26.220 --> 02:43:31.420]  Or their year or you're right. Yeah their year you're yeah their business
[02:43:32.220 --> 02:43:33.420]  Yeah
[02:43:33.420 --> 02:43:35.580]  Yeah, so that's that's always a concern
[02:43:36.300 --> 02:43:37.820]  um, but
[02:43:37.820 --> 02:43:43.740]  I'm on the west side of washington on the coast. So I don't grow outdoors not a chance. So
[02:43:44.380 --> 02:43:46.380]  I don't have to worry about that
[02:43:46.620 --> 02:43:51.500]  Uh, but I wish I could again grow one of those big mendo dope plants, man
[02:43:51.580 --> 02:43:57.260]  That's a life goal one of these days. I will i'll have my 20 pounder but uh, not until I move
[02:43:58.140 --> 02:44:04.940]  We're on the 16 pound plant. No chill with permaculture practices. That was the doc c that I have
[02:44:05.900 --> 02:44:07.900]  That's damn and three
[02:44:08.940 --> 02:44:10.940]  And what's the cross on the doc c
[02:44:12.220 --> 02:44:15.100]  What's that watermelon zum zum on the eddie left og
[02:44:15.740 --> 02:44:17.740]  shut up
[02:44:18.140 --> 02:44:20.140]  Shut down
[02:44:25.580 --> 02:44:32.940]  The dope history you guys yeah, man, I binged the first ones and then I just caught up with will seagull and and also with uh,
[02:44:33.900 --> 02:44:35.900]  um
[02:44:36.220 --> 02:44:38.220]  Very well done
[02:44:39.420 --> 02:44:45.180]  Sound quality is amazing. Somehow. I don't know someone knows what they're doing, right? Yes. Yes
[02:44:46.300 --> 02:44:49.500]  Especially the eddie lap story was far out man. I loved it
[02:44:50.620 --> 02:44:54.620]  Thank you. Like it was it was a real treat working on the dope history project
[02:44:55.080 --> 02:45:00.460]  Particularly because like some of the interviews tad already had now obviously the interview with eddie left
[02:45:00.780 --> 02:45:03.980]  He already had but what he turned over to me was just like
[02:45:04.460 --> 02:45:10.620]  Gold a couple hours of audio to work with to sculpt to shape into what that episode is
[02:45:11.100 --> 02:45:18.220]  But dude being able just to listen to him talk for two hours. And as you saw, you know, he he went through a lot
[02:45:18.700 --> 02:45:20.300]  um
[02:45:20.300 --> 02:45:27.180]  Priceless dude priceless. I'm so fortunate to have been involved with that project and had that chance. So
[02:45:27.980 --> 02:45:30.540]  But yeah the og eddie let man that's cool
[02:45:31.260 --> 02:45:39.040]  That's a part of that and that's amazing that it's such a good production plant too like, uh, yeah production and turkeys
[02:45:40.380 --> 02:45:43.820]  For that variety, that's what I got second in the state with too, you know
[02:45:43.820 --> 02:45:48.620]  I mean, it's like of course like these things are there for a reason these road markers in the industry
[02:45:49.160 --> 02:45:54.800]  Shiloh massive and third gen these people are important eddie left or these people are important
[02:45:55.200 --> 02:45:59.520]  That's why I grow that variety, you know, um, it's it's for
[02:46:00.400 --> 02:46:06.800]  It's for the legacy. It's so people we have these road markers these points to come back to
[02:46:07.760 --> 02:46:13.520]  Yo, joshua i'm proud of you bro. So I don't want you to be humble. Tell them what you just won over there in argonne
[02:46:16.080 --> 02:46:23.840]  Uh, yeah, well second place close to winning, um, the second place trophy theta oregon for outdoor
[02:46:25.680 --> 02:46:27.680]  Congratulations
[02:46:28.240 --> 02:46:31.040]  But I thought you won two awards bro, I thought you won two
[02:46:31.840 --> 02:46:32.800]  I'm, sorry
[02:46:32.800 --> 02:46:38.800]  Uh, no, uh-uh just that I mean I I've placed maybe seventh or something with another variety too
