[00:00.000 --> 00:05.760]  Make the connection.
[03:21:46.870 --> 03:21:48.870]  that opens up the doors to bring in
[03:21:48.870 --> 03:21:50.870]  these pests and diseases
[03:21:50.870 --> 03:21:52.870]  and
[03:21:52.870 --> 03:21:54.870]  I feel like that's all related more to
[03:21:54.870 --> 03:21:56.870]  whether it's hydroponics
[03:21:56.870 --> 03:21:58.870]  or a living soil
[03:21:58.870 --> 03:22:00.870]  it's more aligned
[03:22:00.870 --> 03:22:02.870]  with the person driving
[03:22:03.090 --> 03:22:05.090]  and when you
[03:22:05.090 --> 03:22:07.090]  it's really hard but when you can relax
[03:22:07.090 --> 03:22:09.090]  as a farmer and let the plant take control
[03:22:09.090 --> 03:22:11.090]  it has a better job
[03:22:11.090 --> 03:22:13.090]  monitoring itself and we find
[03:22:13.090 --> 03:22:15.090]  this better health and we find this lush growth
[03:22:15.090 --> 03:22:17.090]  and we find it switching over
[03:22:17.090 --> 03:22:19.090]  properly
[03:22:19.090 --> 03:22:21.090]  so it just
[03:22:21.090 --> 03:22:23.090]  that's part of my theory when I was talking to you
[03:22:23.090 --> 03:22:25.090]  Kevin the other day about
[03:22:25.090 --> 03:22:27.090]  secondary metabolites
[03:22:27.090 --> 03:22:29.090]  and the stress
[03:22:29.090 --> 03:22:31.090]  that was the extreme of this concept
[03:22:31.310 --> 03:22:33.310]  I feel like there's a sweet spot in the middle there
[03:22:33.310 --> 03:22:35.310]  where we don't need to be driving them so hard
[03:22:35.310 --> 03:22:37.310]  but we need to give them
[03:22:37.310 --> 03:22:39.310]  the ability to drive themselves
[03:22:39.310 --> 03:22:41.310]  without
[03:22:41.310 --> 03:22:43.310]  something interesting you can
[03:22:43.310 --> 03:22:45.310]  go ahead
[03:22:45.310 --> 03:22:47.310]  I was just thinking again
[03:22:47.310 --> 03:22:49.310]  it's like a parallel with wine and grapes
[03:22:49.310 --> 03:22:51.310]  because the best yielding
[03:22:51.310 --> 03:22:53.310]  grapes never make the best wine
[03:22:53.310 --> 03:22:55.310]  right?
[03:22:55.310 --> 03:22:57.310]  the deficit irrigation
[03:22:57.310 --> 03:22:59.310]  and the plants not carrying too heavy
[03:22:59.530 --> 03:23:01.530]  a load
[03:23:01.530 --> 03:23:03.530]  otherwise those heavy yielding ones
[03:23:03.530 --> 03:23:05.530]  are full of water berries and stuff
[03:23:05.530 --> 03:23:07.530]  they might hit the requisite alcohol
[03:23:07.530 --> 03:23:09.530]  but they lack the flavor
[03:23:09.530 --> 03:23:11.530]  they don't have the intensity of flavor
[03:23:11.530 --> 03:23:13.530]  and they're the same
[03:23:13.530 --> 03:23:15.530]  compounds right?
[03:23:15.530 --> 03:23:17.530]  and I've seen it in growing oregano
[03:23:17.530 --> 03:23:19.530]  in a rich patch of my garden
[03:23:19.530 --> 03:23:21.530]  versus the same oregano that popped up
[03:23:21.530 --> 03:23:23.530]  in the sand beside it
[03:23:23.530 --> 03:23:25.530]  the difference is incredible
[03:23:25.530 --> 03:23:27.530]  the size of the oregano
[03:23:27.750 --> 03:23:29.750]  the oil and irrigation is 4 or 5 times bigger
[03:23:29.750 --> 03:23:31.750]  but the little stuff
[03:23:31.750 --> 03:23:33.750]  is spicy
[03:23:33.750 --> 03:23:35.750]  like pungent
[03:23:35.750 --> 03:23:37.750]  really spicy
[03:23:37.750 --> 03:23:39.750]  you just can't believe the difference
[03:23:39.750 --> 03:23:41.750]  in the dry deficit irrigation
[03:23:41.750 --> 03:23:43.750]  deficit nutrients
[03:23:43.750 --> 03:23:45.750]  the water stress
[03:23:45.750 --> 03:23:47.750]  is a thing in herbs
[03:23:47.750 --> 03:23:49.750]  and it's the same in the fruit growing
[03:23:49.750 --> 03:23:51.750]  too
[03:23:51.750 --> 03:23:53.750]  and cannabis is just part of that
[03:23:53.750 --> 03:23:55.750]  and it's absolutely valid
[03:23:55.970 --> 03:23:57.970]  it stands out a lot
[03:23:57.970 --> 03:23:59.970]  in the grape example
[03:23:59.970 --> 03:24:01.970]  because it's the difference between
[03:24:01.970 --> 03:24:03.970]  a fine wine grape
[03:24:03.970 --> 03:24:05.970]  and a Thompson seedless grape
[03:24:05.970 --> 03:24:07.970]  that hits your table
[03:24:07.970 --> 03:24:09.970]  they try to pump those things full of water
[03:24:09.970 --> 03:24:11.970]  because the consumer wants grapes as big as your thumb
[03:24:11.970 --> 03:24:13.970]  and they don't want them to be sweet
[03:24:13.970 --> 03:24:15.970]  they want a bit of acidity
[03:24:15.970 --> 03:24:17.970]  so those ones are like 17 bricks
[03:24:17.970 --> 03:24:19.970]  19 bricks
[03:24:19.970 --> 03:24:21.970]  they're in that range
[03:24:21.970 --> 03:24:23.970]  whereas a red wine grape might be
[03:24:24.190 --> 03:24:26.190]  like 26 bricks
[03:24:26.190 --> 03:24:28.190]  and even amongst those
[03:24:28.190 --> 03:24:30.190]  there's guys that will be cropping
[03:24:30.190 --> 03:24:32.190]  12 tons an acre
[03:24:32.190 --> 03:24:34.190]  and other guys that are cropping
[03:24:34.190 --> 03:24:36.190]  a ton an acre, 2 tons an acre
[03:24:36.190 --> 03:24:38.190]  and even at 4 tons
[03:24:38.190 --> 03:24:40.190]  is considered very respectable
[03:24:40.190 --> 03:24:42.190]  you know like ok
[03:24:42.190 --> 03:24:44.190]  you're not over cropping
[03:24:44.190 --> 03:24:46.190]  if you're doing up to 4 tons an acre
[03:24:46.190 --> 03:24:48.190]  but somebody that wants to make
[03:24:48.190 --> 03:24:50.190]  the most exceptional
[03:24:50.190 --> 03:24:52.190]  over the top robust bread
[03:24:52.410 --> 03:24:54.410]  they might say please
[03:24:54.410 --> 03:24:56.410]  I want you to crop it down to 2 tons an acre
[03:24:56.410 --> 03:24:58.410]  even though you know you're throwing away
[03:24:58.410 --> 03:25:00.410]  perfectly good fruit
[03:25:00.410 --> 03:25:02.410]  that would be pretty much just as good at 4 tons
[03:25:02.410 --> 03:25:04.410]  but they only want it to be said
[03:25:04.410 --> 03:25:06.410]  that that place only
[03:25:06.410 --> 03:25:08.410]  put out 2 tons of fruit an acre
[03:25:08.410 --> 03:25:10.410]  and it's more intense because it's
[03:25:10.410 --> 03:25:12.410]  concentrated in that rather than a bunch
[03:25:12.410 --> 03:25:14.410]  of little water balloons all over them
[03:25:14.410 --> 03:25:16.410]  so you can see
[03:25:16.410 --> 03:25:18.410]  I see the same thing as somebody had asked earlier
[03:25:18.410 --> 03:25:20.410]  about the hydro
[03:25:20.630 --> 03:25:22.630]  and I see it that way too
[03:25:22.630 --> 03:25:24.630]  you can have water balloons
[03:25:24.630 --> 03:25:26.630]  or you can do a really good job
[03:25:26.630 --> 03:25:28.630]  I've done a great job doing hydro
[03:25:28.630 --> 03:25:30.630]  long ago like when I first started
[03:25:30.630 --> 03:25:32.630]  indoor growing I made a point of trying
[03:25:32.630 --> 03:25:34.630]  every type of growing
[03:25:34.630 --> 03:25:36.630]  whether it was deep water culture
[03:25:36.630 --> 03:25:38.630]  or NFT or whatever
[03:25:38.630 --> 03:25:40.630]  I did them all
[03:25:40.630 --> 03:25:42.630]  and I used some very refined nutrients as well
[03:25:42.630 --> 03:25:44.630]  and I love that you can do
[03:25:44.630 --> 03:25:46.630]  beautiful hydro and flush it clean
[03:25:46.630 --> 03:25:48.630]  or the plants yellow
[03:25:48.850 --> 03:25:50.850]  you get a really light
[03:25:50.850 --> 03:25:52.850]  texture of smoke
[03:25:52.850 --> 03:25:54.850]  because you don't get the influences of the other
[03:25:54.850 --> 03:25:56.850]  soil inputs and stuff
[03:25:56.850 --> 03:25:58.850]  that's never going to be flushed
[03:25:58.850 --> 03:26:00.850]  and used up totally
[03:26:00.850 --> 03:26:02.850]  the hydro can give you
[03:26:02.850 --> 03:26:04.850]  the main difference I see in hydro
[03:26:04.850 --> 03:26:06.850]  I don't see much hydro anymore
[03:26:06.850 --> 03:26:08.850]  but it used to
[03:26:08.850 --> 03:26:10.850]  be in Ontario and BC
[03:26:10.850 --> 03:26:12.850]  it would be more of a hard water, soft water
[03:26:12.850 --> 03:26:14.850]  thing so everybody's using
[03:26:14.850 --> 03:26:16.850]  the nutrients that
[03:26:17.070 --> 03:26:19.070]  hydro would sell which most of the people were using
[03:26:19.070 --> 03:26:21.070]  would be a different blend
[03:26:21.070 --> 03:26:23.070]  whether it was for sale in a hard water
[03:26:23.070 --> 03:26:25.070]  area or a soft water area
[03:26:25.070 --> 03:26:27.070]  that was the main distinction
[03:26:27.070 --> 03:26:29.070]  but other than that you got the real varietal
[03:26:29.070 --> 03:26:31.070]  flavour of whatever you were growing
[03:26:31.070 --> 03:26:33.070]  whereas whenever you're growing
[03:26:33.070 --> 03:26:35.070]  it in a living soil you're kind of
[03:26:35.070 --> 03:26:37.070]  building your own terroir
[03:26:37.070 --> 03:26:39.070]  and that never
[03:26:39.070 --> 03:26:41.070]  disappears, that's part of your fingerprint
[03:26:41.070 --> 03:26:43.070]  on that batch
[03:26:43.070 --> 03:26:45.070]  so that's a beautiful thing
[03:26:45.290 --> 03:26:47.290]  I love building up the soil too
[03:26:47.290 --> 03:26:49.290]  you can come with it anyway
[03:26:49.290 --> 03:26:51.290]  whether the hard water was better
[03:26:51.290 --> 03:26:53.290]  than the soft water or the soft water
[03:26:53.290 --> 03:26:55.290]  was better than the hard water because that's directly
[03:26:55.290 --> 03:26:57.290]  related to the mineral content in the water
[03:26:57.290 --> 03:26:59.290]  that's it
[03:26:59.290 --> 03:27:01.290]  I don't remember
[03:27:01.290 --> 03:27:03.290]  honestly I could tell you
[03:27:03.290 --> 03:27:05.290]  which one came from which
[03:27:05.290 --> 03:27:07.290]  province
[03:27:07.290 --> 03:27:09.290]  and I think it was
[03:27:09.290 --> 03:27:11.290]  when I mixed them up all the time
[03:27:11.290 --> 03:27:13.290]  it was slightly returning
[03:27:13.510 --> 03:27:15.510]  more than soil
[03:27:17.510 --> 03:27:19.510]  it's been a long time
[03:27:19.510 --> 03:27:21.510]  literally decades since I
[03:27:21.510 --> 03:27:23.510]  was looking at hydrangeas
[03:27:23.510 --> 03:27:25.510]  anybody really
[03:27:25.510 --> 03:27:27.510]  because everybody I know that is growing
[03:27:27.510 --> 03:27:29.510]  is just
[03:27:29.510 --> 03:27:31.510]  growing in their own soil
[03:27:31.510 --> 03:27:33.510]  basically I don't know anybody
[03:27:33.510 --> 03:27:35.510]  growing hydrangea anymore
[03:27:35.510 --> 03:27:37.510]  so just quickly Steve
[03:27:37.510 --> 03:27:39.510]  first of all you look very comfortable
[03:27:39.510 --> 03:27:41.510]  and
[03:27:41.730 --> 03:27:43.730]  your audio on zoom
[03:27:43.730 --> 03:27:45.730]  has been like an accordion where sometimes
[03:27:45.730 --> 03:27:47.730]  you sound super slurred and drunk
[03:27:47.730 --> 03:27:49.730]  because it's super slow and drawn out
[03:27:49.730 --> 03:27:51.730]  and then other times
[03:27:51.730 --> 03:27:53.730]  it compresses
[03:27:53.730 --> 03:27:55.730]  and you sound like you're on
[03:27:55.730 --> 03:27:57.730]  meth and you're like
[03:27:57.730 --> 03:27:59.730]  super speedy talking
[03:27:59.730 --> 03:28:01.730]  anyway
[03:28:01.730 --> 03:28:03.730]  that's weird
[03:28:03.730 --> 03:28:05.730]  we're just going to have the
[03:28:08.730 --> 03:28:10.730]  I'm wearing earplugs but I've been just
[03:28:10.950 --> 03:28:12.950]  wearing one at a time
[03:28:12.950 --> 03:28:14.950]  so that the battery doesn't die on both of them
[03:28:14.950 --> 03:28:16.950]  I wear one for an hour and change
[03:28:16.950 --> 03:28:18.950]  the other one out
[03:28:18.950 --> 03:28:20.950]  I seriously was wondering how
[03:28:20.950 --> 03:28:22.950]  you're going so long on those ear buds
[03:28:22.950 --> 03:28:24.950]  because we do interviews with these people
[03:28:24.950 --> 03:28:26.950]  and they die out
[03:28:26.950 --> 03:28:28.950]  every day I do a couple hours
[03:28:28.950 --> 03:28:30.950]  of conference calls every morning almost
[03:28:30.950 --> 03:28:32.950]  and that is the trick
[03:28:32.950 --> 03:28:34.950]  you have to alternate and just wear one ear pod
[03:28:34.950 --> 03:28:36.950]  at a time
[03:28:36.950 --> 03:28:40.290]  that's the only way
[03:28:40.510 --> 03:28:42.510]  I'm going back to what we were talking about
[03:28:42.510 --> 03:28:44.510]  with the wines
[03:28:44.510 --> 03:28:46.510]  I formed my own theory on the living soil
[03:28:46.510 --> 03:28:48.510]  versus hydroponic
[03:28:48.510 --> 03:28:50.510]  I actually work
[03:28:50.510 --> 03:28:52.510]  in hydroponic grow
[03:28:52.510 --> 03:28:54.510]  and then at home I grow organically
[03:28:54.510 --> 03:28:56.510]  but I think
[03:28:56.510 --> 03:28:58.510]  there's two factors
[03:28:58.510 --> 03:29:00.510]  the reason why we find
[03:29:00.510 --> 03:29:02.510]  in living soils
[03:29:02.510 --> 03:29:04.510]  secondary metabolites
[03:29:04.510 --> 03:29:06.510]  are higher
[03:29:06.510 --> 03:29:08.510]  and I think it's for
[03:29:08.730 --> 03:29:10.730]  one I think it's the whole NPK thing
[03:29:10.730 --> 03:29:12.730]  whereas in synthetics
[03:29:12.730 --> 03:29:14.730]  if you follow the history of it after World War 2
[03:29:14.730 --> 03:29:16.730]  or whatever
[03:29:16.730 --> 03:29:18.730]  originally we were thinking it was only the NPK
[03:29:18.730 --> 03:29:20.730]  is what plants needed
[03:29:20.730 --> 03:29:22.730]  it just keeps adding
[03:29:22.730 --> 03:29:24.730]  originally it was 3, then it was 4, then it was 8
[03:29:24.730 --> 03:29:26.730]  then it was 16
[03:29:26.730 --> 03:29:28.730]  it keeps going on and on
[03:29:28.730 --> 03:29:30.730]  my point is in the living soil hopefully
[03:29:30.730 --> 03:29:32.730]  you've got all those things and more
[03:29:32.730 --> 03:29:34.730]  I think they're up to 32 now
[03:29:34.730 --> 03:29:36.730]  different nutrients
[03:29:36.950 --> 03:29:38.950]  I think Ms. Coop brought this up on another episode
[03:29:38.950 --> 03:29:40.950]  kelp for example
[03:29:40.950 --> 03:29:42.950]  you can get up to 80
[03:29:42.950 --> 03:29:44.950]  they found 83
[03:29:44.950 --> 03:29:46.950]  different elements in that
[03:29:46.950 --> 03:29:48.950]  so we know a plant can at least uptake 83 elements
[03:29:48.950 --> 03:29:50.950]  but we're only supplying them with
[03:29:50.950 --> 03:29:52.950]  not even half of that
[03:29:52.950 --> 03:29:54.950]  in a hydroponic setting
[03:29:54.950 --> 03:29:56.950]  the other thing is from the wine industry
[03:29:56.950 --> 03:29:58.950]  there's an old saying
[03:30:00.950 --> 03:30:02.950]  to make great wine
[03:30:02.950 --> 03:30:04.950]  the grape first must suffer
[03:30:05.170 --> 03:30:07.170]  so I think you have to stress your plants
[03:30:07.170 --> 03:30:09.170]  everybody's so worried about stressing plants
[03:30:09.170 --> 03:30:11.170]  I think you have to have some stress
[03:30:11.170 --> 03:30:13.170]  like what you were explaining with
[03:30:13.170 --> 03:30:15.170]  all the different plants
[03:30:15.170 --> 03:30:17.170]  it might not be the best yield
[03:30:17.170 --> 03:30:19.170]  but that stress caused the secondary metabolites
[03:30:19.170 --> 03:30:21.170]  to really push out more
[03:30:21.170 --> 03:30:23.170]  in Canada the best
[03:30:23.170 --> 03:30:25.170]  I've seen it once was with
[03:30:25.170 --> 03:30:27.170]  blockhead where I had an entire
[03:30:27.170 --> 03:30:29.170]  greenhouse of blockhead
[03:30:29.170 --> 03:30:31.170]  where it was very richly fed
[03:30:31.170 --> 03:30:33.170]  and when we planted the greenhouse
[03:30:33.390 --> 03:30:35.390]  there was one extra clone
[03:30:35.390 --> 03:30:37.390]  left over and I just went
[03:30:37.390 --> 03:30:39.390]  and stuck it in a meadow behind the greenhouse
[03:30:39.390 --> 03:30:41.390]  where it was just left dry farmed
[03:30:41.390 --> 03:30:43.390]  no, didn't dig
[03:30:43.390 --> 03:30:45.390]  it a hole or anything just like a tree plant
[03:30:45.390 --> 03:30:47.390]  I just give it a little wedge and stuck
[03:30:47.390 --> 03:30:49.390]  the clone in and closed it
[03:30:49.390 --> 03:30:51.390]  and that thing survived because there was enough
[03:30:51.390 --> 03:30:53.390]  rain in that area, it wouldn't
[03:30:53.390 --> 03:30:55.390]  in some of the drier places but
[03:30:55.390 --> 03:30:57.390]  there it was enough and it grew into
[03:30:57.390 --> 03:30:59.390]  maybe a five footer but it was
[03:30:59.390 --> 03:31:01.390]  very sparse whereas the blockheads
[03:31:01.610 --> 03:31:03.610]  inside were like
[03:31:03.610 --> 03:31:05.610]  double weight coke cans
[03:31:05.610 --> 03:31:07.610]  all the tops, they were big flat
[03:31:07.610 --> 03:31:09.610]  tops, flowers
[03:31:09.610 --> 03:31:11.610]  not rock hard but
[03:31:11.610 --> 03:31:13.610]  not super light fluffy either
[03:31:13.610 --> 03:31:15.610]  they were just sort of medium
[03:31:15.610 --> 03:31:17.610]  firm let's say
[03:31:17.610 --> 03:31:19.610]  but they were substantial and very heavy
[03:31:19.610 --> 03:31:21.610]  yielding whereas this one I back
[03:31:21.610 --> 03:31:23.610]  was wispy in comparison
[03:31:23.610 --> 03:31:25.610]  but which one do you think I smoked
[03:31:25.610 --> 03:31:27.610]  you know, that one plant
[03:31:27.610 --> 03:31:29.610]  went in a bag and once I had
[03:31:29.830 --> 03:31:31.830]  one joint of it, it was
[03:31:31.830 --> 03:31:33.830]  the real, you know, that had
[03:31:33.830 --> 03:31:35.830]  the flavor you start with
[03:31:35.830 --> 03:31:37.830]  would maintain, you know
[03:31:37.830 --> 03:31:39.830]  it wouldn't get so tarry as the ones
[03:31:39.830 --> 03:31:41.830]  that are fed well and they get very
[03:31:41.830 --> 03:31:43.830]  green and bigger
[03:31:43.830 --> 03:31:45.830]  if they don't get enough time to flush
[03:31:45.830 --> 03:31:47.830]  at the end, they'll always be a little
[03:31:47.830 --> 03:31:49.830]  heavier, you know, and they'll
[03:31:49.830 --> 03:31:51.830]  have a tarrier smoke, you know, a heavier
[03:31:51.830 --> 03:31:53.830]  texture whereas the ones that finish
[03:31:53.830 --> 03:31:55.830]  to the point that they're very golden
[03:31:55.830 --> 03:31:57.830]  and light green
[03:31:59.830 --> 03:32:01.830]  if they're
[03:32:01.830 --> 03:32:03.830]  through decently, the texture
[03:32:03.830 --> 03:32:05.830]  of those smokes can be ethereal
[03:32:05.830 --> 03:32:07.830]  but it's just so airy and light
[03:32:07.830 --> 03:32:09.830]  you know, so yeah, yielded
[03:32:09.830 --> 03:32:11.830]  a fraction of what the same
[03:32:11.830 --> 03:32:13.830]  clone would have had it been planted
[03:32:13.830 --> 03:32:15.830]  50 feet over in the tunnel with
[03:32:15.830 --> 03:32:17.830]  food and water but then
[03:32:17.830 --> 03:32:19.830]  it did in the meadow but it was
[03:32:19.830 --> 03:32:21.830]  way nicer to puff, you know
[03:32:21.830 --> 03:32:23.830]  and the other stuff was
[03:32:23.830 --> 03:32:25.830]  rock star bud by anybody's measure
[03:32:25.830 --> 03:32:27.830]  they would just be like, oh my god, this is intense
[03:32:28.050 --> 03:32:30.050]  and they were all happy, I'm sure mine didn't
[03:32:30.050 --> 03:32:32.050]  get me any higher but that
[03:32:32.050 --> 03:32:34.050]  one plant, it was so light
[03:32:34.050 --> 03:32:36.050]  to smoke and that's why I think
[03:32:36.050 --> 03:32:38.050]  the pre-rolled market could be great
[03:32:38.050 --> 03:32:40.050]  because people
[03:32:40.050 --> 03:32:42.050]  a lot of the pot is judged
[03:32:42.050 --> 03:32:44.050]  by appearance and cosmetics
[03:32:44.050 --> 03:32:46.050]  right, it's all aesthetics
[03:32:46.050 --> 03:32:48.050]  and the, you know, a clumped frosty
[03:32:48.050 --> 03:32:50.050]  bud has so much appeal
[03:32:50.050 --> 03:32:52.050]  whereas a wispy bud, people
[03:32:52.050 --> 03:32:54.050]  are instantly suspicious of it
[03:32:54.050 --> 03:32:56.050]  but rolled up, you know
[03:32:56.270 --> 03:32:58.270]  but they really go by
[03:32:58.270 --> 03:33:00.270]  the quality of what's in the paper
[03:33:00.270 --> 03:33:02.270]  not what it looks like, right
[03:33:02.270 --> 03:33:04.270]  and I know that there's lots
[03:33:04.270 --> 03:33:06.270]  of stuff that is often
[03:33:06.270 --> 03:33:08.270]  not quite as aesthetically pleasing
[03:33:08.270 --> 03:33:10.270]  but might be incredibly
[03:33:10.270 --> 03:33:12.270]  delicious once
[03:33:12.270 --> 03:33:14.270]  it's twisted up
[03:33:14.270 --> 03:33:16.270]  the books and covers, right
[03:33:16.270 --> 03:33:18.270]  everybody was
[03:33:18.270 --> 03:33:20.270]  judging the books by the covers
[03:33:20.270 --> 03:33:22.270]  that's so irritating to me
[03:33:22.270 --> 03:33:24.270]  working in the industry, it's, I mean
[03:33:24.490 --> 03:33:26.490]  we get some great, like biscotti
[03:33:26.490 --> 03:33:28.490]  for example, this is a great example, we brought
[03:33:28.490 --> 03:33:30.490]  a plant in biscotti
[03:33:30.490 --> 03:33:32.490]  because we heard that it was really good
[03:33:32.490 --> 03:33:34.490]  and we were going to try it out, so we just grew one of them
[03:33:34.490 --> 03:33:36.490]  on the end of one of our tables, you know
[03:33:36.490 --> 03:33:38.490]  and 150 other plants in there
[03:33:38.490 --> 03:33:40.490]  and we just
[03:33:40.490 --> 03:33:42.490]  sampled it ourselves to see what we thought of it
[03:33:42.490 --> 03:33:44.490]  everybody loved it
[03:33:44.490 --> 03:33:46.490]  it came back with testing that was like
[03:33:46.490 --> 03:33:48.490]  17% THC and
[03:33:48.490 --> 03:33:50.490]  the owner wouldn't even allow us to run it
[03:33:50.490 --> 03:33:52.490]  because the THC numbers
[03:33:52.710 --> 03:33:54.710]  were so low that it wouldn't sell at a dispensary
[03:33:54.710 --> 03:33:56.710]  it won't sell, people, yeah they won't buy
[03:33:56.710 --> 03:33:58.710]  buy flavour
[03:33:58.710 --> 03:34:00.710]  as easily as they will buy
[03:34:00.710 --> 03:34:02.710]  THC percentage, because it's almost
[03:34:02.710 --> 03:34:04.710]  like when they, you know
[03:34:04.710 --> 03:34:06.710]  some people would be looking at
[03:34:06.710 --> 03:34:08.710]  the alcohol on
[03:34:08.710 --> 03:34:10.710]  a bottle of wine or a bottle of
[03:34:10.710 --> 03:34:12.710]  vodka or whatever and they'll want the strongest
[03:34:12.710 --> 03:34:14.710]  rum, they think
[03:34:14.710 --> 03:34:16.710]  151 or whatever
[03:34:16.710 --> 03:34:18.710]  they want to give you the strongest
[03:34:18.710 --> 03:34:20.710]  one, and that doesn't
[03:34:20.930 --> 03:34:22.930]  have anything to do with the
[03:34:22.930 --> 03:34:24.930]  calibre of it, you know
[03:34:24.930 --> 03:34:26.930]  it's a whole other story
[03:34:26.930 --> 03:34:28.930]  doesn't that come back to that about consumer
[03:34:28.930 --> 03:34:30.930]  education there again, about the chirping
[03:34:30.930 --> 03:34:32.930]  profiles, like not enough people just really
[03:34:32.930 --> 03:34:34.930]  understand the chirping profiles
[03:34:34.930 --> 03:34:36.930]  and when you name a
[03:34:36.930 --> 03:34:38.930]  rosin or a
[03:34:38.930 --> 03:34:40.930]  butter hash or a bubble
[03:34:40.930 --> 03:34:42.930]  hash rosin and it's strawberry
[03:34:42.930 --> 03:34:44.930]  OG, and I go in there and I'm
[03:34:44.930 --> 03:34:46.930]  a consumer, I'm thinking this is going to taste like strawberry
[03:34:46.930 --> 03:34:48.930]  it don't taste like strawberry
[03:34:49.150 --> 03:34:51.150]  if I'm new
[03:34:51.150 --> 03:34:53.150]  and it don't taste like strawberry, well how are they going to buy
[03:34:53.150 --> 03:34:55.150]  by the chirping profiles when they can't smell it
[03:34:55.150 --> 03:34:57.150]  yeah, I mean
[03:34:57.150 --> 03:34:59.150]  it's not
[03:34:59.150 --> 03:35:01.150]  honestly I had some fantastic
[03:35:01.150 --> 03:35:03.150]  as they call
[03:35:03.150 --> 03:35:05.150]  six star ice wax
[03:35:05.150 --> 03:35:07.150]  from an Ontario producer
[03:35:07.150 --> 03:35:09.150]  actually that had sent some to Vancouver
[03:35:09.150 --> 03:35:11.150]  and it was going for astronomical
[03:35:11.150 --> 03:35:13.150]  numbers, and it wasn't like
[03:35:13.150 --> 03:35:15.150]  I was going to buy any, but they were
[03:35:15.150 --> 03:35:17.150]  selling it for like
[03:35:17.370 --> 03:35:19.370]  180 bucks a gram or something
[03:35:19.370 --> 03:35:21.370]  like that at the dispensary
[03:35:21.370 --> 03:35:23.370]  at a friend's
[03:35:23.370 --> 03:35:25.370]  friends and friends
[03:35:25.370 --> 03:35:27.370]  and so they said oh you've got to try
[03:35:27.370 --> 03:35:29.370]  this and just get it in like twice
[03:35:29.370 --> 03:35:31.370]  a year or something, and it was
[03:35:31.370 --> 03:35:33.370]  a strawberry banana genetics
[03:35:33.370 --> 03:35:35.370]  from DNA
[03:35:35.370 --> 03:35:37.370]  genetics from a strawberry banana
[03:35:37.370 --> 03:35:39.370]  and it was perfect
[03:35:39.370 --> 03:35:41.370]  you could squeeze it out
[03:35:41.370 --> 03:35:43.370]  it was a nice hash
[03:35:43.370 --> 03:35:45.370]  that you could squeeze out and dab
[03:35:45.590 --> 03:35:47.590]  and it would come out cleanly just like you would a rosin
[03:35:47.590 --> 03:35:49.590]  and it was perfect
[03:35:49.590 --> 03:35:51.590]  but it really did
[03:35:51.590 --> 03:35:53.590]  have strawberry and banana
[03:35:53.590 --> 03:35:55.590]  flavours, I was happy to see that
[03:35:55.590 --> 03:35:57.590]  okay
[03:35:57.590 --> 03:35:59.590]  Peter, you just
[03:35:59.590 --> 03:36:01.590]  have to screen share Kevin right now
[03:36:01.590 --> 03:36:03.590]  because he's got his cutest little baby
[03:36:03.590 --> 03:36:05.590]  out here right now
[03:36:05.590 --> 03:36:07.590]  Kevin say something, everybody's missing your little one
[03:36:07.590 --> 03:36:09.590]  there you go
[03:36:09.810 --> 03:36:11.810]  awww
[03:36:11.810 --> 03:36:13.810]  I was going to say
[03:36:13.810 --> 03:36:15.810]  for consumer
[03:36:15.810 --> 03:36:17.810]  education there's actually a study that just
[03:36:17.810 --> 03:36:19.810]  came out of the University of Colorado
[03:36:19.810 --> 03:36:21.810]  I believe it was on cannabinoids
[03:36:21.810 --> 03:36:23.810]  and they did a blind
[03:36:23.810 --> 03:36:25.810]  study with people
[03:36:25.810 --> 03:36:27.810]  that were concentrate users
[03:36:27.810 --> 03:36:29.810]  and people that were flower users
[03:36:29.810 --> 03:36:31.810]  and they gave them different
[03:36:31.810 --> 03:36:33.810]  percentages of THC
[03:36:33.810 --> 03:36:35.810]  and then they took
[03:36:35.810 --> 03:36:37.810]  a bunch of data afterwards
[03:36:38.030 --> 03:36:40.030]  and had the people gauge how high they got
[03:36:40.030 --> 03:36:42.030]  from that particular flower or that particular
[03:36:42.030 --> 03:36:44.030]  concentrate and what they found
[03:36:44.030 --> 03:36:46.030]  definitively was that the THC
[03:36:46.030 --> 03:36:48.030]  percentage, the higher the
[03:36:48.030 --> 03:36:50.030]  THC did not equate
[03:36:50.030 --> 03:36:52.030]  to a higher high
[03:36:52.030 --> 03:36:54.030]  so the people that were smoking an
[03:36:54.030 --> 03:36:56.030]  89% rosin did not get
[03:36:56.030 --> 03:36:58.030]  higher than the people that were smoking
[03:36:58.030 --> 03:37:00.030]  a 65% rosin
[03:37:00.030 --> 03:37:02.030]  same thing with the flower, the 17%
[03:37:02.030 --> 03:37:04.030]  flower did not get people less
[03:37:04.030 --> 03:37:06.030]  high than the 30%
[03:37:06.250 --> 03:37:08.250]  I read the same study
[03:37:08.250 --> 03:37:10.250]  I read the same study
[03:37:10.250 --> 03:37:12.250]  it was great
[03:37:12.250 --> 03:37:14.250]  it was a really great study to finally come
[03:37:14.250 --> 03:37:16.250]  out to show consumers that this is
[03:37:16.250 --> 03:37:18.250]  not about THC and we now
[03:37:18.250 --> 03:37:20.250]  have studies that are backing that up
[03:37:20.250 --> 03:37:22.250]  so it's a great one to
