[00:00.000 --> 00:02.000]  Let's see
[02:34:25.180 --> 02:34:26.180]  That should be a living soil.
[02:34:27.180 --> 02:34:29.180]  If you're amending things after each grow.
[02:34:30.180 --> 02:34:31.180]  To me that's not a living soil.
[02:34:32.180 --> 02:34:34.180]  I know there's a big debate on that with some people around here in Denver.
[02:34:35.180 --> 02:34:40.180]  If you're continuing to pull up those roots and amend things at the end of your grow.
[02:34:41.180 --> 02:34:44.180]  That's the exact opposite in my opinion of what living soil was about.
[02:34:45.180 --> 02:34:49.180]  It's almost like you got to take a step back and just allow the system.
[02:34:50.180 --> 02:34:51.180]  We're not really farmer anymore.
[02:34:52.180 --> 02:34:53.180]  We're more like coach.
[02:34:53.740 --> 02:34:54.740]  We just make sure that we're managing everything.
[02:34:55.740 --> 02:34:57.740]  Once we've managed everything we can take that step back.
[02:34:58.740 --> 02:35:02.740]  And continue to scope or continue to improve the overall education of our team.
[02:35:03.740 --> 02:35:05.740]  So that we don't have russet mice and spider mice.
[02:35:06.740 --> 02:35:08.740]  Things that fuck up a major commercial grow.
[02:35:09.740 --> 02:35:11.740]  But in a 30 gallon pot.
[02:35:13.740 --> 02:35:16.740]  Living soil versus amending.
[02:35:19.740 --> 02:35:20.740]  It's a very fine line.
[02:35:21.300 --> 02:35:22.300]  Pretty much any indoor agriculture.
[02:35:23.300 --> 02:35:26.300]  Eventually you're going to have to put inputs in there.
[02:35:27.300 --> 02:35:29.300]  You're going to have to add organic matter.
[02:35:30.300 --> 02:35:31.300]  Eventually you're going to have to.
[02:35:32.300 --> 02:35:33.300]  Obviously in ground one thing.
[02:35:34.300 --> 02:35:35.300]  If you have a big enough bed.
[02:35:36.300 --> 02:35:38.300]  Maybe you could have enough mineral nutrition in there.
[02:35:39.300 --> 02:35:42.300]  Packed in there for 5, 6, 10 years.
[02:35:43.300 --> 02:35:47.300]  But organic matter is something that you constantly have to replenish.
[02:35:48.300 --> 02:35:50.300]  Because that's what's getting cycled and turned into food.
[02:35:51.300 --> 02:35:54.300]  And turned into the organic plant matter.
[02:35:55.300 --> 02:35:56.300]  That is growing.
[02:35:57.300 --> 02:35:58.300]  It doesn't come out of thin air.
[02:35:59.300 --> 02:36:04.300]  The idea of an indoor true no-till system.
[02:36:05.300 --> 02:36:06.300]  Permanent no-till system.
[02:36:07.300 --> 02:36:10.300]  Is difficult to achieve.
[02:36:11.300 --> 02:36:13.300]  There's obviously going to be.
[02:36:14.300 --> 02:36:15.300]  You've got to have inputs.
[02:36:16.300 --> 02:36:17.300]  If you can achieve that perfect balance.
[02:36:17.860 --> 02:36:20.860]  To where you can grow your plants.
[02:36:21.860 --> 02:36:24.860]  And you can use the cuttings and the stalks.
[02:36:25.860 --> 02:36:27.860]  And the biomass that plant produces.
[02:36:28.860 --> 02:36:32.860]  To then be your input of organic matter.
[02:36:33.860 --> 02:36:36.860]  Then I think there's some great examples out there.
[02:36:37.860 --> 02:36:39.860]  Arlo systems being one of them.
[02:36:40.860 --> 02:36:42.860]  But eventually.
[02:36:43.860 --> 02:36:46.860]  You're going to have to add something.
[02:36:47.860 --> 02:36:51.860]  And a true closed loop system.
[02:36:52.860 --> 02:36:54.860]  Is almost impossible to achieve.
[02:36:55.860 --> 02:36:57.860]  If you're container gardening.
[02:36:58.860 --> 02:37:00.860]  Now that's arguable.
[02:37:01.860 --> 02:37:03.860]  I would say if you're growing outdoors.
[02:37:04.860 --> 02:37:05.860]  Or you're field growing or something like that.
[02:37:06.860 --> 02:37:09.860]  You can get to a point where you never have to add anything ever again.
[02:37:10.860 --> 02:37:11.860]  Outside of what's on your farm.
[02:37:12.860 --> 02:37:13.860]  But these things.
[02:37:14.420 --> 02:37:17.420]  It takes energy to make the plant.
[02:37:18.420 --> 02:37:20.420]  And then you got to replenish that energy somewhere.
[02:37:21.420 --> 02:37:22.420]  If you're not literally just growing a plant.
[02:37:23.420 --> 02:37:24.420]  And composting it back in the soil.
[02:37:25.420 --> 02:37:26.420]  Which we're not.
[02:37:27.420 --> 02:37:28.420]  We're cutting the flower off.
[02:37:29.420 --> 02:37:30.420]  We're taking that.
[02:37:31.420 --> 02:37:32.420]  It's moving around.
[02:37:33.420 --> 02:37:34.420]  That flower is not being given in return back to the soil.
[02:37:35.420 --> 02:37:37.420]  You have to give back at some point.
[02:37:38.420 --> 02:37:41.420]  So I do think trusting mother nature.
[02:37:42.420 --> 02:37:43.420]  And trusting the system is the way to go.
[02:37:44.420 --> 02:37:49.420]  And I do also know that all this stuff is backed by science.
[02:37:50.420 --> 02:37:51.420]  I'm a biologist.
[02:37:52.420 --> 02:37:54.420]  We're more biologists than we are chemists.
[02:37:55.420 --> 02:37:56.420]  Ultimately.
[02:37:57.420 --> 02:37:59.420]  And Living Soil people are not going to like to hear this.
[02:38:00.420 --> 02:38:02.420]  But you can achieve the same results.
[02:38:03.420 --> 02:38:04.420]  With salt.
[02:38:05.420 --> 02:38:06.420]  But you have to be.
[02:38:07.420 --> 02:38:08.420]  You got to be perfect.
[02:38:09.420 --> 02:38:10.420]  And you have to.
[02:38:11.420 --> 02:38:12.420]  That sort of thing.
[02:38:12.980 --> 02:38:15.980]  And it is a lot more energy expensive on the earth.
[02:38:16.980 --> 02:38:17.980]  And on you.
[02:38:18.980 --> 02:38:19.980]  And your time.
[02:38:20.980 --> 02:38:21.980]  And you know.
[02:38:22.980 --> 02:38:23.980]  All the.
[02:38:24.980 --> 02:38:25.980]  When you add up the true cost of like a bottle of nutrient.
[02:38:26.980 --> 02:38:27.980]  Or a bag of petroleum salts.
[02:38:28.980 --> 02:38:31.980]  Versus the biology that a Living Soil system produces.
[02:38:32.980 --> 02:38:33.980]  You know.
[02:38:34.980 --> 02:38:35.980]  Then your cost.
[02:38:36.980 --> 02:38:37.980]  You know.
[02:38:37.980 --> 02:38:38.980]  Becomes a lot less than a Living Soil system.
[02:38:39.980 --> 02:38:40.980]  But ultimately the plant.
[02:38:41.540 --> 02:38:42.540]  When it comes to the chemistry of it.
[02:38:43.540 --> 02:38:44.540]  The plant doesn't care.
[02:38:45.540 --> 02:38:46.540]  Whether it was made with.
[02:38:47.540 --> 02:38:48.540]  You know.
[02:38:49.540 --> 02:38:50.540]  And by the way.
[02:38:51.540 --> 02:38:52.540]  After this I want Nick to take the contrarian.
[02:38:53.540 --> 02:38:54.540]  Hydro viewpoint.
[02:38:55.540 --> 02:38:56.540]  Well.
[02:38:57.540 --> 02:38:59.540]  We kind of briefly touched on that.
[02:39:00.540 --> 02:39:01.540]  Right before this started.
[02:39:02.540 --> 02:39:03.540]  It's like.
[02:39:04.540 --> 02:39:05.540]  From my viewpoint.
[02:39:06.540 --> 02:39:07.540]  I really.
[02:39:08.540 --> 02:39:09.540]  It's very very hard to see the difference.
[02:39:10.100 --> 02:39:11.100]  Between a plant that's running on salt.
[02:39:12.100 --> 02:39:13.100]  But flushing them properly.
[02:39:14.100 --> 02:39:15.100]  Compared to somebody that's running soil.
[02:39:16.100 --> 02:39:17.100]  Now when we're talking about.
[02:39:18.100 --> 02:39:19.100]  Greg's Living Soil.
[02:39:20.100 --> 02:39:21.100]  And some of my friends Living Soil.
[02:39:22.100 --> 02:39:23.100]  I can really taste a difference in the flowers.
[02:39:24.100 --> 02:39:25.100]  For sure.
[02:39:26.100 --> 02:39:27.100]  I feel like the flowers hold a lot more moisture.
[02:39:28.100 --> 02:39:29.100]  Which then can hold a lot more of these.
[02:39:30.100 --> 02:39:31.100]  You know.
[02:39:32.100 --> 02:39:33.100]  Salt and any other things that people are.
[02:39:34.100 --> 02:39:35.100]  Feeding.
[02:39:36.100 --> 02:39:37.100]  And at that point in the flower form.
[02:39:38.100 --> 02:39:39.100]  I can.
[02:39:40.100 --> 02:39:41.100]  Definitely tell the difference.
[02:39:42.100 --> 02:39:43.100]  So.
[02:39:44.100 --> 02:39:45.100]  I just wanted to touch on that.
[02:39:46.100 --> 02:39:47.100]  Yeah.
[02:39:47.100 --> 02:39:48.100]  What are you saying when you wash?
[02:39:49.100 --> 02:39:50.100]  Like.
[02:39:51.100 --> 02:39:52.100]  Yeah.
[02:39:52.100 --> 02:39:53.100]  When I'm washing one versus the other.
[02:39:54.100 --> 02:39:55.100]  If it's a proper growing grower.
[02:39:56.100 --> 02:39:57.100]  Growing with just A and B.
[02:39:58.100 --> 02:39:59.100]  It's really hard for me to tell the difference.
[02:40:00.100 --> 02:40:01.100]  Compared to Living Soil.
[02:40:02.100 --> 02:40:03.100]  100%.
[02:40:04.100 --> 02:40:05.100]  So.
[02:40:06.100 --> 02:40:07.100]  That's interesting.
[02:40:07.100 --> 02:40:08.100]  So basically you can get what you're happy with.
[02:40:08.660 --> 02:40:09.660]  From either environment.
[02:40:10.660 --> 02:40:11.660]  Yeah.
[02:40:11.660 --> 02:40:12.660]  When you smoke it as a flower.
[02:40:13.660 --> 02:40:14.660]  You're like I noticed a difference.
[02:40:15.660 --> 02:40:16.660]  Yeah.
[02:40:16.660 --> 02:40:17.660]  And then oftentimes when I'm washing it.
[02:40:18.660 --> 02:40:19.660]  You know.
[02:40:20.660 --> 02:40:21.660]  If these salt growers aren't flushing properly.
[02:40:22.660 --> 02:40:23.660]  Or they want to take it early for hash.
[02:40:24.660 --> 02:40:25.660]  And things like that.
[02:40:26.660 --> 02:40:27.660]  I really notice.
[02:40:28.660 --> 02:40:29.660]  You know.
[02:40:30.660 --> 02:40:31.660]  So the benefit of growing with Living Soil.
[02:40:32.660 --> 02:40:33.660]  Or no till or any of these methods.
[02:40:34.660 --> 02:40:35.660]  Is you're not going to have that problem.
[02:40:36.660 --> 02:40:37.660]  No matter what.
[02:40:38.220 --> 02:40:39.220]  You're not going to get involved.
[02:40:40.220 --> 02:40:41.220]  In Living Soil medium.
[02:40:42.220 --> 02:40:43.220]  So.
[02:40:43.220 --> 02:40:44.220]  Yeah.
[02:40:44.220 --> 02:40:45.220]  There's that.
[02:40:46.220 --> 02:40:47.220]  There's nothing really to flush.
[02:40:48.220 --> 02:40:49.220]  Yeah.
[02:40:49.220 --> 02:40:50.220]  There's you know.
[02:40:51.220 --> 02:40:52.220]  You're flushing your valuable.
[02:40:53.220 --> 02:40:54.220]  Microbiology.
[02:40:54.220 --> 02:40:55.220]  Organic.
[02:40:55.220 --> 02:40:56.220]  That are down the drain.
[02:40:57.220 --> 02:40:58.220]  I mean I've seen with some like bottled farmers.
[02:40:59.220 --> 02:41:00.220]  I mean I taste and see in the extract.
[02:41:01.220 --> 02:41:02.220]  And like really suffer from yield.
[02:41:03.220 --> 02:41:04.220]  When we see like.
[02:41:05.220 --> 02:41:06.220]  You know just heavy salt form formulas.
[02:41:06.780 --> 02:41:07.780]  Heavy sugar formulas.
[02:41:08.780 --> 02:41:09.780]  And then also there's certain bottled nutrient companies.
[02:41:10.780 --> 02:41:11.780]  That have lime cleaners.
[02:41:12.780 --> 02:41:13.780]  And things like that.
[02:41:14.780 --> 02:41:15.780]  That I really pick up in the extract form.
[02:41:16.780 --> 02:41:17.780]  Like if you're using a lime cleaner.
[02:41:18.780 --> 02:41:19.780]  Like there's a few brands that I can think of.
[02:41:20.780 --> 02:41:21.780]  Right off the top of my head.
[02:41:22.780 --> 02:41:23.780]  That I can seriously distinguish in flavor.
[02:41:24.780 --> 02:41:25.780]  You're not rinsing that lime cleaner through afterwards.
[02:41:26.780 --> 02:41:27.780]  I notice it.
[02:41:28.780 --> 02:41:29.780]  100 percent.
[02:41:30.780 --> 02:41:31.780]  I see with sweeteners too.
[02:41:32.780 --> 02:41:33.780]  Yeah.
[02:41:33.780 --> 02:41:34.780]  Oh yeah.
[02:41:35.340 --> 02:41:36.340]  You get that like burnt feeling in your throat.
[02:41:37.340 --> 02:41:38.340]  Or there's certain profiles that come out in the flower.
[02:41:39.340 --> 02:41:40.340]  That you're like this is not.
[02:41:41.340 --> 02:41:42.340]  What flower would have been producing.
[02:41:43.340 --> 02:41:44.340]  This is an ester.
[02:41:45.340 --> 02:41:46.340]  That was you know metabolized into this thing.
[02:41:47.340 --> 02:41:48.340]  You know that was added.
[02:41:49.340 --> 02:41:50.340]  Right at the end.
[02:41:51.340 --> 02:41:52.340]  Yeah.
[02:41:52.340 --> 02:41:53.340]  You see like crazy white buds.
[02:41:54.340 --> 02:41:55.340]  And stuff from some of these bottled nutrient companies.
[02:41:56.340 --> 02:41:57.340]  But when you go to extract it.
[02:41:58.340 --> 02:41:59.340]  That white is just really due to all the waxes.
[02:42:00.340 --> 02:42:01.340]  That it's created.
[02:42:02.340 --> 02:42:03.340]  And really didn't have time to get rid of.
[02:42:03.900 --> 02:42:04.900]  And really didn't have time.
[02:42:05.900 --> 02:42:06.900]  The plant didn't have time to convert those waxes into oils.
[02:42:07.900 --> 02:42:08.900]  Oils way more.
[02:42:09.900 --> 02:42:10.900]  So we would actually see the yield we were desiring.
[02:42:11.900 --> 02:42:12.900]  If they converted.
[02:42:13.900 --> 02:42:14.900]  But they didn't.
[02:42:15.900 --> 02:42:16.900]  Waxes don't have as many terpenes.
[02:42:17.900 --> 02:42:18.900]  So just a lot of variables that attribute to bad product.
[02:42:19.900 --> 02:42:20.900]  Bad viability.
[02:42:21.900 --> 02:42:22.900]  Isn't that like the OG trick is to take it early.
[02:42:23.900 --> 02:42:24.900]  I mean.
[02:42:25.900 --> 02:42:26.900]  Take it.
[02:42:27.900 --> 02:42:28.900]  There's certain strains that will perform well.
[02:42:29.900 --> 02:42:30.900]  Certain cultivars that will perform well.
[02:42:31.900 --> 02:42:32.900]  If you take a bunch of them.
[02:42:33.900 --> 02:42:34.900]  Take them early.
[02:42:35.900 --> 02:42:36.900]  Oftentimes the chems do okay early.
[02:42:37.900 --> 02:42:38.900]  You get a really really light color.
[02:42:39.900 --> 02:42:40.900]  But then there's other strains.
[02:42:41.900 --> 02:42:42.900]  That don't have the time.
[02:42:43.900 --> 02:42:44.900]  To actually produce that trichome head.
[02:42:45.900 --> 02:42:46.900]  So we really promote using a scope.
[02:42:47.900 --> 02:42:48.900]  In fact I was doing a virtual tour.
[02:42:49.900 --> 02:42:50.900]  Just three days ago.
[02:42:51.900 --> 02:42:52.900]  In Calaveras County.
[02:42:53.900 --> 02:42:54.900]  And I was like yo scope them.
[02:42:55.900 --> 02:42:56.900]  Because these are all grease monkeys.
[02:42:57.900 --> 02:42:58.900]  That I'm looking at right now.
[02:42:59.900 --> 02:43:00.900]  And we're like 10 days.
[02:43:01.900 --> 02:43:02.900]  No we're I think like two weeks.
[02:43:03.900 --> 02:43:04.900]  Away from when he would normally.
[02:43:05.900 --> 02:43:06.900]  Chop them for flour.
[02:43:07.900 --> 02:43:08.900]  And my scope now please.
[02:43:09.900 --> 02:43:10.900]  You know like it might be right.
[02:43:11.900 --> 02:43:12.900]  And sure enough they were right.
[02:43:13.900 --> 02:43:14.900]  Even had some cloudy ones.
[02:43:15.900 --> 02:43:16.900]  Because certain strains just mature faster.
[02:43:17.900 --> 02:43:18.900]  In certain environments of course.
[02:43:19.900 --> 02:43:20.900]  You know terroir.
[02:43:21.900 --> 02:43:22.900]  It's interesting to hear from your point of view.
[02:43:23.900 --> 02:43:24.900]  On that man.
[02:43:25.900 --> 02:43:26.900]  Because there's a lot of like.
[02:43:27.900 --> 02:43:28.900]  Bro stuff that we tried to share with one another.
[02:43:29.900 --> 02:43:30.900]  That we never really had as a fact.
[02:43:31.900 --> 02:43:32.900]  To know at your skill level.
[02:43:33.900 --> 02:43:34.900]  It's not even just skill.
[02:43:35.900 --> 02:43:36.900]  Like I just am blessed to have experience.
[02:43:37.900 --> 02:43:38.900]  Washing so many different things over the years.
[02:43:39.900 --> 02:43:40.900]  You know and still every day.
[02:43:41.900 --> 02:43:42.900]  I'm learning more and more.
[02:43:43.900 --> 02:43:44.900]  This has been an amazing thing for me.
[02:43:45.900 --> 02:43:46.900]  Because I learned a ton from Greg.
[02:43:47.900 --> 02:43:48.900]  I've known the guy for 20 years.
[02:43:49.900 --> 02:43:50.900]  Yeah Greg.
[02:43:51.900 --> 02:43:52.900]  Hell yeah man.
[02:43:53.900 --> 02:43:54.900]  That's why we wanted to do this buddy.
[02:43:55.900 --> 02:43:56.900]  I appreciate it.
[02:43:57.900 --> 02:43:58.900]  Just a dude.
[02:43:59.900 --> 02:44:00.900]  Trying to grow the best weed I can.
[02:44:01.460 --> 02:44:02.460]  That's on your tombstone.
[02:44:03.460 --> 02:44:04.460]  People are asking what kind of scope.
[02:44:05.460 --> 02:44:06.460]  Real quick in the chat.
[02:44:07.460 --> 02:44:08.460]  I mean anything that's like 30 times.
[02:44:09.460 --> 02:44:10.460]  Is going to be just fine.
[02:44:11.460 --> 02:44:12.460]  To see your trikes 30 times.
[02:44:13.460 --> 02:44:14.460]  And I really like those handheld.
[02:44:15.460 --> 02:44:16.460]  Battery operated ones.
[02:44:17.460 --> 02:44:18.460]  You know.
[02:44:19.460 --> 02:44:20.460]  You can go out in the field with them.
[02:44:21.460 --> 02:44:22.460]  You don't have to bring your computer.
[02:44:23.460 --> 02:44:24.460]  They've got a little dial on them.
[02:44:25.460 --> 02:44:26.460]  And a light.
[02:44:27.460 --> 02:44:28.460]  The LED light is pretty key for trichrome heads.
[02:44:29.460 --> 02:44:30.460]  So yeah.
[02:44:31.460 --> 02:44:32.460]  Little lighted microscope.
[02:44:33.460 --> 02:44:34.460]  They're like 19 bucks.
[02:44:35.460 --> 02:44:36.460]  I think I even saw them as low as 8 bucks on Amazon.
[02:44:37.460 --> 02:44:38.460]  To be honest.
[02:44:39.460 --> 02:44:40.460]  Check it.
[02:44:41.460 --> 02:44:49.460]  DK said can I call Living Soil a soilless pro mix that was amended super soil style.
[02:44:52.460 --> 02:44:53.460]  Does it have.
[02:44:54.460 --> 02:44:56.460]  My question would be does it have the living components of that.
[02:44:57.460 --> 02:44:58.460]  Are you running the composting worms.
[02:44:59.020 --> 02:45:00.020]  And all of the variables of building that soil food web.
[02:45:01.020 --> 02:45:02.020]  So that you're having diversity.
[02:45:03.020 --> 02:45:04.020]  Or are you focused on NPK methods.
[02:45:05.020 --> 02:45:06.020]  Because I feel like that's.
[02:45:07.020 --> 02:45:08.020]  You can't have one or the other.
[02:45:09.020 --> 02:45:10.020]  In my opinion.
[02:45:11.020 --> 02:45:12.020]  When you're trying to build these out.
[02:45:13.020 --> 02:45:16.020]  I feel like super soil is the step just before living or like living soil.
[02:45:17.020 --> 02:45:20.020]  You know super soil is just pumping all of the.
[02:45:21.020 --> 02:45:22.020]  You know the hard stuff into it.
[02:45:23.020 --> 02:45:24.020]  The hardware.
[02:45:25.020 --> 02:45:26.020]  You know I mean.
[02:45:26.580 --> 02:45:29.580]  Like all your your NPKs and your you know your humus and your.
[02:45:30.580 --> 02:45:34.580]  You know organic matter and your substrate your aeration your biochar and all this stuff.
[02:45:35.580 --> 02:45:38.580]  But it's lacking the biology and the diversity of living organisms in it.
[02:45:39.580 --> 02:45:40.580]  That we were for you to.
[02:45:41.580 --> 02:45:44.580]  We talked about living organisms living organic soil or just living soil in general.
[02:45:45.580 --> 02:45:47.580]  You know it has other things.
[02:45:48.580 --> 02:45:50.580]  Other than other plants other than the cannabis living in it.
[02:45:51.580 --> 02:45:54.580]  It has all the microbiology that you would see in a plant.
[02:45:55.140 --> 02:45:56.140]  It has all the microbiology that you would see.
[02:45:57.140 --> 02:45:59.140]  You know maybe not all but a lot of the biology that you would see.
[02:46:00.140 --> 02:46:03.140]  In a healthy soil in the ground outside.
[02:46:04.140 --> 02:46:05.140]  You know it has all your levels.
[02:46:06.140 --> 02:46:07.140]  You know of.
[02:46:08.140 --> 02:46:09.140]  Biology in there from.
[02:46:10.140 --> 02:46:16.140]  You know bacteria to fungus to your macros with your earthworms and roly polys and springtails and roe beetles.
[02:46:17.140 --> 02:46:21.140]  You know you're all these things are eating on you know the food it's got the full food chain.
[02:46:22.140 --> 02:46:23.140]  You know of organisms in there.
[02:46:23.700 --> 02:46:24.700]  That's what we talk about living soil.
[02:46:25.700 --> 02:46:28.700]  That's what we're talking about literally living like you grab a handful of it.
[02:46:29.700 --> 02:46:30.700]  You can see it moving in your hands.
[02:46:31.700 --> 02:46:34.700]  You can put it under a microscope and it is just going nuts.
[02:46:35.700 --> 02:46:41.700]  You know if it's not if it's not moving and it's not digesting you know itself.
[02:46:42.700 --> 02:46:44.700]  You know then I wouldn't say that it's a true living soil.
[02:46:45.700 --> 02:46:46.700]  Now there's lots of debates about this.
[02:46:47.700 --> 02:46:51.700]  I think you can have fungally dominant or bacterial dominant or less diversity in.
[02:46:52.260 --> 02:46:57.260]  It's still technically living but you know the more diverse of a living soil you have the better.
[02:46:58.260 --> 02:47:05.260]  Honestly a great you know what what dude said about you know pro mix with a bunch of super soil amendments.
[02:47:06.260 --> 02:47:07.260]  That's how you start.
[02:47:08.260 --> 02:47:11.260]  You know you mix that up and you add the biology and then boom you got living soil.
[02:47:12.260 --> 02:47:21.260]  You know but other than that if you don't add the biology and it's not you know alive then you're you know you're just rocking a super new soil.
[02:47:22.260 --> 02:47:27.260]  You know nutrient packed medium that isn't going to be self-sufficient.
[02:47:28.260 --> 02:47:33.260]  I feel like that might also have been what kind of gave living soil a bad name at first is because that set up.
[02:47:34.260 --> 02:47:37.260]  You're going to more than likely run out of gas by the end of that.
[02:47:38.260 --> 02:47:46.260]  And so then people would be like you know I grew up with a you know I had a living soil added the super soil and my plants were deficient as can be.
[02:47:46.820 --> 02:47:55.820]  I think that's what takes it to the next level is understanding that you're going to have to build up that microbial life that's going to have to eat that organic matter to break things down.
[02:47:56.820 --> 02:48:03.820]  Otherwise the actual hunger of the cannabis plant that the beginning of a microbial world if it's really not there at all.
[02:48:04.820 --> 02:48:07.820]  There's no way that's going to keep up especially in a first flip.
[02:48:08.820 --> 02:48:09.820]  Do you have more to add to that?
[02:48:10.820 --> 02:48:14.820]  I feel like you you've grown more on like a larger scale for that method.
[02:48:15.380 --> 02:48:16.380]  Well I mean absolutely.
[02:48:17.380 --> 02:48:23.380]  I mean with it's when it's just dealing with you know nutrient inputs like cannabis is a heavy plant.
[02:48:24.380 --> 02:48:28.380]  You know what I mean it's I wouldn't say it needs say as much nitrogen or something as like corn.
[02:48:29.380 --> 02:48:34.380]  But you it is by no means a you know finicky eater.
[02:48:35.380 --> 02:48:39.380]  It wants to eat everything and it'll take high doses of nutrition.
[02:48:39.940 --> 02:48:48.940]  So you know if you don't have something replenishing your nutrition or you know kind of making you know a lot of these soils it's not that they run out of food.
[02:48:49.940 --> 02:48:53.940]  It's that they run out of available food and they don't have anything that'll turn it into available again.
[02:48:54.940 --> 02:48:59.940]  So it's like that super soils needs to be charged up with some biology and boom nutrition still in it.
[02:49:00.940 --> 02:49:07.940]  You know it's just a matter of you know it runs out of available MPKs and all that shit.
[02:49:08.500 --> 02:49:09.500]  And it's not plant available.
[02:49:10.500 --> 02:49:13.500]  There's nothing to make it plant available and chelate those nutrients that are already there.
[02:49:14.500 --> 02:49:20.500]  You know so it's like it totally runs out of gas or it's got too much available nutrient when you cook it.
[02:49:21.500 --> 02:49:27.500]  It's got too much available nutrient at first and you just get all that kind of lockout or burn you know because your nutrients are imbalanced.
[02:49:28.500 --> 02:49:31.500]  You know so I think it's a good start.
[02:49:32.500 --> 02:49:37.500]  But you gotta you know we're talking living systems are you know supposed to be have lots of longevity.
[02:49:38.500 --> 02:49:46.500]  You know and they're supposed to be low input you know obviously some inputs but they're supposed to continue to do their thing over and over.
[02:49:47.500 --> 02:49:51.500]  It's closing those loops to where you don't have to continually add outside sources of stuff.
[02:49:52.500 --> 02:49:57.500]  You know bottle nutrients or whatever you know eventually gets to more self-sustaining system.
[02:49:58.500 --> 02:50:00.500]  That's the goal is to like just keep making it more.
[02:50:01.500 --> 02:50:07.500]  Keep adding less and achieving more you know if that's a possible thing you know.
[02:50:08.500 --> 02:50:17.500]  So yeah the living stir sorry the super soil systems at scale you know like we used to do that at Pink House when I was working there.
[02:50:18.500 --> 02:50:24.500]  You know we couldn't get through more than one round with our soil even though it was nutrient dense.
[02:50:25.500 --> 02:50:29.500]  You know because we didn't have enough biology to recycle and keep it rocking you know.
[02:50:30.500 --> 02:50:33.500]  So it's like we that's the biggest problem at the larger level.
[02:50:34.060 --> 02:50:39.060]  And then generally not to you know most people don't grow on beds that grow big commercial gardens.
[02:50:40.060 --> 02:50:43.060]  You know they grow in containers you know usually it's like a five gallon container.
[02:50:44.060 --> 02:50:47.060]  Maybe you'll get a 10 or 15 gallon container you know plastic container.
[02:50:48.060 --> 02:50:55.060]  And those just are not like there's not enough mass to continually sustain.
[02:50:56.060 --> 02:50:58.060]  I mean there's some people that I guarantee proven wrong there.
[02:50:58.620 --> 02:51:07.620]  But it just seems to me at scale you know if you want to do a living system like you're beyond traditional container garden at that point.
[02:51:08.620 --> 02:51:13.620]  You know then you need higher volumes of this stuff because cannabis eats a lot.
[02:51:14.620 --> 02:51:23.620]  And that's why you can feed it you know like salt you can feed it a thousand ppm 1500 ppm you know of available nutrient you know.
[02:51:24.180 --> 02:51:30.180]  And it'll take it you know but that's you know I don't know what you're doing on a living system.
[02:51:31.180 --> 02:51:34.180]  It's like the plant needs to be able to take what it wants when it wants to.
[02:51:35.180 --> 02:51:38.180]  And it's less is more in these sort of systems you know.
[02:51:39.180 --> 02:51:44.180]  So Greg what type of tests are you personally doing like you're doing soil tests.
[02:51:45.180 --> 02:51:50.180]  Are you doing like sap analysis and things where it's like it's great whatever is available in the soil.
[02:51:50.740 --> 02:51:53.740]  But let's see what the plants actually able to take up.
[02:51:54.740 --> 02:52:00.740]  Yeah no I mean I'm not going to lie I'm pretty basic like when my plants start to get sick.
[02:52:01.740 --> 02:52:04.740]  You know or I start to see nutrient deficiencies one way or the other.
[02:52:05.740 --> 02:52:07.740]  Then I'll start searching into the soil.
[02:52:08.740 --> 02:52:15.740]  I don't do a lot of sap analysis even though I should because that's kind of you know like that tells you exactly what's going on.
[02:52:16.300 --> 02:52:25.300]  You know at least with the metabolism in the plant and like how much like how much it's uptaking and what it's doing with what it's uptaking.
[02:52:26.300 --> 02:52:33.300]  And I don't do a lot of sap analysis to be honest with you and that's something that I've I should do more of.
[02:52:34.300 --> 02:52:37.300]  Because it is pretty indicative of what's going on with the plant.
[02:52:38.300 --> 02:52:42.300]  As far as you know I just I'm a pretty intuitive grower.
[02:52:42.860 --> 02:52:52.860]  I don't know if that's like the way to say it but you know I look at my plants and you know versus other than you know soil tests are super valuable.
[02:52:53.860 --> 02:53:01.860]  You know both you know to tell me what's in the soil but also you know paste saturated paste tests to tell me what's available.
[02:53:02.860 --> 02:53:05.860]  Not just what's in the massive soil but what's available for the plant to uptake.
[02:53:06.420 --> 02:53:18.420]  Other than that you know like I don't have a PAR meter you know but I you know lighting and you know those sort of you know technology is my friend.
[02:53:19.420 --> 02:53:25.420]  You know I should use it more but I'm pretty low tech when it comes to most of my systems.
[02:53:26.420 --> 02:53:35.420]  Now obviously if I'm you know in a big garden like yeah we're gonna know exactly what's going on with all of the with humidity with airflow with CO2 with acid.
[02:53:36.420 --> 02:53:47.420]  You know photons with you know day length of breeze in the sun you know and then obviously soil analysis and in a perfect world you know sap analysis regularly.
[02:53:48.420 --> 02:53:58.420]  You know I think you could you know really get away with if you did that weekly and adjusted accordingly I think you could really you know you mentioned bricks earlier.
[02:53:58.980 --> 02:54:11.980]  You know that's really what you're looking at you know you can you can kind of dial your system and even more you know but me personally you know soil soil tests and that's it.
[02:54:13.980 --> 02:54:20.980]  And and we're on the home stretch because I can see Nick yawning.
[02:54:21.980 --> 02:54:23.980]  Way past my bedtime.
[02:54:24.540 --> 02:54:34.540]  Strong style organics said ask him if he top dresses indoor plants with fan leaves to close nutrient loop. Why or why not?
