[00:14.590 --> 00:18.410]  Like reggae till they bantz down a couple times. I swear it's fucking
[01:10:33.910 --> 01:10:36.310]  I'm glad you brought him because at least he had something going on
[01:10:36.310 --> 01:10:40.030]  I guess he's so damn cool that he messaged me around six with podcast
[01:10:41.550 --> 01:10:43.350]  Yeah, dude, we'll do that. I wasn't gonna bug him
[01:10:43.350 --> 01:10:45.670]  I was gonna have him come over and just gonna let him do his night
[01:10:45.670 --> 01:10:48.230]  But he wanted to so I'm so glad he came dude. Thank you guys for coming
[01:10:49.590 --> 01:10:51.590]  Make sure you listen all the way up to episode number 50
[01:10:51.590 --> 01:10:55.030]  I'm gonna be doing a podcast and I'm gonna be doing a podcast and I'm gonna be doing a podcast
[01:10:55.590 --> 01:10:57.590]  Thank you guys for coming
[01:10:57.790 --> 01:11:02.790]  Make sure you listen all the way up to episode number 50 guys. It sounds like high grow is gonna have some prizes for us
[01:11:03.710 --> 01:11:06.570]  I'm thinking a light set up. So I don't know
[01:11:08.070 --> 01:11:11.250]  Depends on shipping and stuff like that. We'll figure it out though
[01:11:11.250 --> 01:11:15.950]  So email me some of your favorite moments and stuff guys what you want to talk about on episode 50 will reminisce
[01:11:15.950 --> 01:11:19.230]  Well, we'll have a lot of fun on number 50. We'll take a lot of dabs
[01:11:19.430 --> 01:11:23.710]  Maybe that'll be the one when I take like a half gram dab at the end of the show or a gram dab
[01:11:24.710 --> 01:11:28.630]  Because I need to retire this big-ass dab phase that's been going on in my life, it's
[01:11:29.750 --> 01:11:31.750]  It hurts now
[01:11:31.910 --> 01:11:39.430]  Starting to kill me. Can we play like fiddle music or something? You know, like some violin soft instrumental shit. Yeah music
[01:11:41.710 --> 01:11:44.150]  Dude big huge shout out to the Monte factor. I got some
[01:11:44.830 --> 01:11:48.930]  Loose-leaf Monte in a bag to take I mean last time now guys are super kind dude
[01:11:48.930 --> 01:11:51.230]  The next time I go there I may stray from the Monte
[01:11:51.750 --> 01:11:54.390]  I may try a chai my buddy that works there last time
[01:11:54.390 --> 01:11:56.990]  I was putting honey in my Monte and he gave me the
[01:11:57.550 --> 01:12:00.670]  And I went over there and he's making himself a chai like for him
[01:12:00.750 --> 01:12:04.150]  And he poured a little bit of it into a little to-go cup for me and he goes try this
[01:12:04.150 --> 01:12:07.010]  It's the chai and he was just like get out of here. Take this. Love it
[01:12:07.010 --> 01:12:11.950]  I was on my way out and dude, it was the dankness. I may need to what time is it?
[01:12:12.310 --> 01:12:17.270]  It's nine o'clock. How much how much crack was in it? I don't think there was much. Okay, but I've had it
[01:12:17.270 --> 01:12:19.270]  You hooked though
[01:12:19.350 --> 01:12:24.510]  Kind of crack was so tasty. It had the delicious. Don't be looking at the clock because I'm I'm down
[01:12:24.510 --> 01:12:26.230]  I'm gonna call I don't have and see if she wants to go
[01:12:26.230 --> 01:12:29.270]  I don't have money right now, but it's not out of like a milk jug or something
[01:12:29.270 --> 01:12:34.870]  They actually like make their oh they make everything they make everything there the Monte factor in Manitou Springs you guys
[01:12:34.870 --> 01:12:37.090]  It's my little secret if you go there tell them
[01:12:37.090 --> 01:12:41.510]  Hey, I heard about this place from the I grow culture podcast and they look at the back wall. There's a flyer
[01:12:41.510 --> 01:12:43.510]  There's a flyer back there. Nice
[01:12:43.950 --> 01:12:50.510]  Alright we're going so long. Geez. I hope you guys all I'm not gonna edit. This is how it's gonna go out to you guys
[01:12:50.510 --> 01:12:53.750]  There's no editing in the shows lately. I'm kind of proud of it. We're not cutting anything out
[01:12:53.750 --> 01:12:57.990]  It's gonna go out just like it happened. It's been a while actually. Yeah, so we're gonna do this
[01:12:57.990 --> 01:13:00.590]  I stopped recording one time a couple shows ago
[01:13:03.310 --> 01:13:05.310]  Jesse turned like olive green
[01:13:05.830 --> 01:13:07.830]  No, he's construction worker red
[01:13:08.350 --> 01:13:12.670]  My shout outs all go to Angela my trimmer friends Mike and Adam here
[01:13:13.670 --> 01:13:17.250]  It still is over grow the gov on Instagram
[01:13:19.430 --> 01:13:21.430]  Do that do your stuff
[01:13:34.350 --> 01:13:36.550]  Guys now that the show is over it pretty much is over
[01:13:36.550 --> 01:13:39.990]  But please do listen to this part because it means a lot to me. I like you here till the end
[01:13:40.990 --> 01:13:42.990]  Go to iTunes
[01:13:43.310 --> 01:13:45.870]  Go to stitcher if you can figure it out or email me
[01:13:46.390 --> 01:13:49.850]  Send me a message. Let me know what you think if you can go to iTunes find the review section
[01:13:49.850 --> 01:13:51.590]  Give me a 5-star rating type in a comment
[01:13:51.590 --> 01:13:57.070]  Let me know what you think of the show big shout out to our friend Fred Garvin for sending me a message today or commenting
[01:13:57.070 --> 01:14:01.550]  There let me know what you think. I'll read it on the show. I really will I read Fred's comment today just to prove it
[01:14:01.830 --> 01:14:08.750]  Don't forget that the show is available on iTunes stitcher and every single episode is archived at I read genetics colorado.com
[01:14:09.110 --> 01:14:15.790]  Make sure you follow us on Twitter Instagram and Facebook to search for I grow culture follow I read genetics on Instagram
[01:14:15.790 --> 01:14:17.790]  I am now at 10,000 followers
[01:14:18.070 --> 01:14:18.590]  Yeah
[01:14:18.590 --> 01:14:19.230]  Thank you guys
[01:14:19.230 --> 01:14:24.230]  If you're interested in sponsoring the podcast or if you have a product you'd like us to review send me an email at I grow
[01:14:24.230 --> 01:14:29.090]  Culture at hotmail.com. I'll get you all the info you need. We still need our own theme song
[01:14:29.090 --> 01:14:30.310]  We're in the middle of a name change
[01:14:30.310 --> 01:14:35.430]  So if you want to wait if you want to make it the grow from your heart podcast theme song and or logo
[01:14:35.430 --> 01:14:36.950]  I'd appreciate it
[01:14:36.950 --> 01:14:40.390]  Big shout out to my ninja Spence extra big shout out to hydro indoor growing supplies
[01:14:40.630 --> 01:14:45.370]  Thanks again for listening until next time take a fat dab and give your mom a hug for me
