[00:01.920 --> 00:03.800]  What's up, Podcast World?
[02:35:32.850 --> 02:35:35.070]  And I went right back in the door and I came back out
[02:35:35.130 --> 02:35:37.130]  and I threw my arms up in the air and I yelled just that.
[02:35:37.130 --> 02:35:39.450]  I go, my name is Rasta Jeff and I was the first person
[02:35:39.450 --> 02:35:42.050]  to buy recreational cannabis at the Greener Side Dispensary
[02:35:42.050 --> 02:35:43.090]  in Pueblo, Colorado.
[02:35:43.090 --> 02:35:44.650]  And then I screamed, wow.
[02:35:46.170 --> 02:35:49.090]  And that guy looked at me like that was fucking amazing.
[02:35:49.090 --> 02:35:51.730]  Like that was exactly what he needed for his film.
[02:35:51.730 --> 02:35:54.850]  So that could be found probably somewhere on the internet.
[02:35:54.850 --> 02:35:58.330]  Filmed stuff that they're gonna use every couple of weeks
[02:35:58.330 --> 02:36:00.450]  for the next hundred years that day.
[02:36:00.450 --> 02:36:02.130]  It's hilarious.
[02:36:02.130 --> 02:36:04.690]  All right, I just pulled up, you were talking, reading news.
[02:36:05.270 --> 02:36:08.750]  So what I was leading at is once Colorado legalized
[02:36:08.750 --> 02:36:11.750]  marijuana, the fight quickly became cities and counties
[02:36:11.750 --> 02:36:13.990]  looking for fun ways to ban it again.
[02:36:13.990 --> 02:36:18.350]  So yeah, in a very real way we won, but in a very real way
[02:36:18.350 --> 02:36:22.430]  now we're making the rules and drafting the path forward.
[02:36:22.430 --> 02:36:25.990]  And the whole world's watching Colorado and Pueblo
[02:36:25.990 --> 02:36:28.190]  reports our tax numbers first.
[02:36:28.190 --> 02:36:31.350]  So in a very real way, our tiny little town.
[02:36:31.350 --> 02:36:34.630]  And would you say we get a lot of Texas traffic
[02:36:35.470 --> 02:36:37.090]  because we're like the first stop?
[02:36:37.090 --> 02:36:39.850]  We get a lot of every kind of traffic.
[02:36:39.850 --> 02:36:41.890]  Pueblo's on the way to the rest of the US
[02:36:41.890 --> 02:36:44.030]  from every place South of here.
[02:36:44.030 --> 02:36:46.290]  This used to be a stop on the Santa Fe trail.
[02:36:46.290 --> 02:36:47.130]  I didn't know that.
[02:36:47.130 --> 02:36:47.950]  Major stop.
[02:36:47.950 --> 02:36:49.930]  People have been stopping and getting supplies or gas here
[02:36:49.930 --> 02:36:52.930]  for a lot longer than any of us have been alive.
[02:36:52.930 --> 02:36:53.770]  Come on.
[02:36:53.770 --> 02:36:54.850]  Very true, dad.
[02:36:54.850 --> 02:36:56.130]  Very true, dad.
[02:36:56.130 --> 02:36:56.970]  Awesome.
[02:36:56.970 --> 02:36:58.090]  All right, we're gonna, let's do a,
[02:36:58.090 --> 02:36:59.410]  do you guys feel, how much time we got?
[02:36:59.410 --> 02:37:00.250]  One thing.
[02:37:00.250 --> 02:37:01.170]  We've only got a couple of things.
[02:37:01.170 --> 02:37:02.690]  I'm gonna see how long we've been into this.
[02:37:02.690 --> 02:37:04.290]  We're 35 minutes in.
[02:37:04.950 --> 02:37:05.790]  Holy crap.
[02:37:05.790 --> 02:37:07.350]  Let me read a news article.
[02:37:07.350 --> 02:37:09.510]  Let me read a news article.
[02:37:09.510 --> 02:37:10.990]  Mike's always bringing the good news,
[02:37:10.990 --> 02:37:12.570]  but I just read news from the cannabis.
[02:37:12.570 --> 02:37:14.230]  This one's by Ricardo Baca.
[02:37:14.230 --> 02:37:15.390]  This one's kind of a neat article.
[02:37:15.390 --> 02:37:19.630]  This shows, to me, this shows that things are evolving
[02:37:19.630 --> 02:37:23.630]  and that America is starting to make changes.
[02:37:23.630 --> 02:37:24.750]  That's what I got from it.
[02:37:24.750 --> 02:37:26.830]  So it's positive changes.
[02:37:26.830 --> 02:37:29.470]  It says marijuana activists are already planning
[02:37:29.470 --> 02:37:32.590]  the 2016 campaign to regulate and legalize the sale
[02:37:32.610 --> 02:37:35.690]  for recreational pot in Nevada, home to Las Vegas,
[02:37:35.690 --> 02:37:39.010]  one of the world's biggest tourism destinations.
[02:37:39.010 --> 02:37:40.890]  But some tourists won't have to wait that long
[02:37:40.890 --> 02:37:42.650]  to legally buy weed in Las Vegas,
[02:37:42.650 --> 02:37:46.850]  thanks to the most legal reciprocity law in the US.
[02:37:46.850 --> 02:37:47.690]  I nailed that word, huh?
[02:37:47.690 --> 02:37:48.810]  You almost.
[02:37:48.810 --> 02:37:49.650]  No?
[02:37:49.650 --> 02:37:50.470]  You're so close.
[02:37:50.470 --> 02:37:51.310]  Reciprocity.
[02:37:51.310 --> 02:37:52.150]  You're way close.
[02:37:52.150 --> 02:37:52.970]  We practiced this beforehand.
[02:37:52.970 --> 02:37:53.810]  It's a tricky word.
[02:37:53.810 --> 02:37:54.650]  God damn it.
[02:37:54.650 --> 02:37:55.570]  Words are hard.
[02:37:55.570 --> 02:37:56.690]  I need another day.
[02:37:56.690 --> 02:37:59.330]  I didn't know what it was, so I had to define it.
[02:37:59.330 --> 02:38:00.490]  I just didn't know how to say it.
[02:38:00.490 --> 02:38:01.490]  I could read it like a champ.
[02:38:02.270 --> 02:38:03.110]  My tongue is mad at that word.
[02:38:03.110 --> 02:38:04.510]  It's reciprocity, homie.
[02:38:04.510 --> 02:38:06.030]  All right, well, Mike just said it for me,
[02:38:06.030 --> 02:38:07.310]  so I'm just gonna point at Mike,
[02:38:07.310 --> 02:38:09.430]  and he'll say that word every time it comes up from now on.
[02:38:09.430 --> 02:38:10.270]  Awesome.
[02:38:10.270 --> 02:38:12.130]  Medical marijuana card holders throughout the US
[02:38:12.130 --> 02:38:15.990]  will be able to purchase pot in Nevada starting in 2015.
[02:38:16.950 --> 02:38:18.030]  All they'll have to do is show
[02:38:18.030 --> 02:38:19.550]  their medical marijuana license,
[02:38:19.550 --> 02:38:22.050]  show a government ID proving they're 21 or older,
[02:38:22.050 --> 02:38:25.070]  and sign an affidavit, and they'll have access to that shop,
[02:38:25.070 --> 02:38:27.630]  but no others for their stay in Nevada.
[02:38:27.630 --> 02:38:30.230]  Does that lead me to believe they only get one stop
[02:38:30.230 --> 02:38:31.190]  when they go to Nevada?
[02:38:31.410 --> 02:38:34.450]  That sounds like you gotta pick it and stick it, homie.
[02:38:34.450 --> 02:38:36.290]  Pick one and stay with it.
[02:38:36.290 --> 02:38:37.890]  But how much are you allowed to?
[02:38:38.890 --> 02:38:39.730]  Let me read further. Interesting,
[02:38:39.730 --> 02:38:41.250]  so they're trying to prevent smurfing.
[02:38:41.250 --> 02:38:43.370]  That's an odd way to do that, but okay.
[02:38:43.370 --> 02:38:44.770]  There you go.
[02:38:44.770 --> 02:38:48.730]  Will this liberal medical reciprocity?
[02:38:48.730 --> 02:38:50.890]  I was wondering what the point was gonna look like.
[02:38:50.890 --> 02:38:54.690]  Yeah, I just came across the word reciprocity act
[02:38:54.690 --> 02:38:58.650]  as a soft lead to recreational measures in Nevada,
[02:38:58.670 --> 02:39:01.190]  and will Nevada pass full-on recreational legalization
[02:39:01.190 --> 02:39:02.670]  in 2016?
[02:39:02.670 --> 02:39:05.350]  Of course it will, said Jim Lamoureux,
[02:39:05.350 --> 02:39:06.750]  who handles government relations
[02:39:06.750 --> 02:39:09.270]  at Colorado-based pot testing facility Cannlabs,
[02:39:09.270 --> 02:39:11.150]  which recently announced its future present
[02:39:11.150 --> 02:39:13.470]  in Nevada's marijuana market.
[02:39:13.470 --> 02:39:15.850]  Most people are factoring into their models.
[02:39:16.970 --> 02:39:18.550]  Oh, he must not be able to say the word either
[02:39:18.550 --> 02:39:19.950]  because he skipped it in his sentence
[02:39:19.950 --> 02:39:21.870]  and they put it in there in parentheses.
[02:39:21.870 --> 02:39:23.470]  That's nice, he can't say the word either.
[02:39:23.470 --> 02:39:24.310]  Nice, we're in the same boat.
[02:39:24.310 --> 02:39:26.070]  It's a tricky one, no, you're not alone there, buddy.
[02:39:26.070 --> 02:39:27.630]  All the applications that went in,
[02:39:27.630 --> 02:39:30.210]  people discussed it as part of their model.
[02:39:30.210 --> 02:39:31.770]  You can consider that Nevada has fewer
[02:39:31.770 --> 02:39:33.810]  than 7,000 medical marijuana patients.
[02:39:33.810 --> 02:39:35.330]  It's not a very large base,
[02:39:35.330 --> 02:39:37.730]  but when you factor in MMJ patients from other states
[02:39:37.730 --> 02:39:39.970]  who might take advantage of Nevada's system,
[02:39:39.970 --> 02:39:44.970]  another 110,000 from Colorado, 570,000 from California,
[02:39:45.490 --> 02:39:47.170]  and 100,000 from Washington,
[02:39:47.170 --> 02:39:50.410]  suddenly those numbers are looking a lot better.
[02:39:50.410 --> 02:39:51.410]  Given, yeah.
[02:39:51.410 --> 02:39:54.010]  Not to mention if Missouri goes legal this year,
[02:39:54.010 --> 02:39:55.730]  which they're talking about 2016.
[02:39:55.730 --> 02:39:56.570]  Michigan.
[02:39:56.570 --> 02:39:59.110]  A couple other medical marijuana states.
[02:39:59.110 --> 02:40:02.030]  California is gonna be trying to do legalization
[02:40:02.030 --> 02:40:02.870]  this year as well.
[02:40:02.870 --> 02:40:03.870]  What happened, Florida?
[02:40:03.870 --> 02:40:05.310]  Florida.
[02:40:05.310 --> 02:40:07.910]  58% is a pretty good number.
[02:40:07.910 --> 02:40:10.270]  Did we or did we not?
[02:40:10.270 --> 02:40:12.310]  No, it sucks for those people that are sick
[02:40:12.310 --> 02:40:13.150]  and they need it.
[02:40:13.150 --> 02:40:15.750]  But did we or did we not talk about this?
[02:40:15.750 --> 02:40:18.510]  Like you thought it, I don't trust Florida's government
[02:40:18.510 --> 02:40:20.310]  to like give them, say, oh, okay,
[02:40:20.310 --> 02:40:24.310]  here's a full medical bill, you can't do anything with it.
[02:40:24.310 --> 02:40:26.150]  Nothing can come in, nothing can go out.
[02:40:26.650 --> 02:40:29.010]  That's gotta be all CBD here in Florida
[02:40:29.010 --> 02:40:31.090]  because we just got such banging medicine
[02:40:31.090 --> 02:40:32.370]  like New Jersey does.
[02:40:34.410 --> 02:40:37.170]  I mean, you were part of that kind of argument
[02:40:37.170 --> 02:40:40.210]  at the beginning and I stuck with it, dude.
[02:40:40.210 --> 02:40:42.290]  And I'm sorry, man.
[02:40:42.290 --> 02:40:43.130]  I still-
[02:40:43.130 --> 02:40:44.330]  Florida's having all kinds of issues.
[02:40:44.330 --> 02:40:46.170]  They had CBD only legislation
[02:40:46.170 --> 02:40:48.250]  before this recent medical marijuana failure.
[02:40:48.250 --> 02:40:50.490]  And right after the medical marijuana amendment failed,
[02:40:50.490 --> 02:40:52.850]  the judge tossed their CBD rules.
[02:40:52.850 --> 02:40:55.170]  So they're back to square fucked.
[02:40:55.190 --> 02:40:56.070]  Sorry, kids.
[02:40:57.150 --> 02:40:58.310]  All right, so this article says,
[02:40:58.310 --> 02:40:59.390]  giving patients the ability
[02:40:59.390 --> 02:41:02.090]  to legally access medical marijuana
[02:41:02.090 --> 02:41:04.430]  when they're visiting a legal medical marijuana state
[02:41:04.430 --> 02:41:06.110]  just makes sense, said Taylor West,
[02:41:06.110 --> 02:41:09.350]  deputy director of the National Cannabis Industry Association
[02:41:09.350 --> 02:41:12.190]  and National Trade Group for Legal Marijuana Businesses.
[02:41:12.190 --> 02:41:13.210]  And it makes even more sense
[02:41:13.210 --> 02:41:14.550]  when you're talking about a state
[02:41:14.550 --> 02:41:17.630]  that has such a huge number of out-of-state visitors.
[02:41:17.630 --> 02:41:19.550]  It's safer for patients
[02:41:19.550 --> 02:41:22.510]  and good for Nevada businesses, win-win.
[02:41:23.490 --> 02:41:26.410]  That would almost be like Florida.
[02:41:26.410 --> 02:41:28.530]  Like if you went medical
[02:41:28.530 --> 02:41:31.330]  and would allow other states to come in.
[02:41:31.330 --> 02:41:33.830]  That dispensary right by Disney World would crush.
[02:41:35.050 --> 02:41:36.430]  I mean, that's been the two downsides
[02:41:36.430 --> 02:41:38.130]  to medical marijuana from the beginning
[02:41:38.130 --> 02:41:41.930]  is it's technically illegal and you can't travel.
[02:41:41.930 --> 02:41:43.410]  I mean, if you're good in Colorado,
[02:41:43.410 --> 02:41:44.490]  you're not good anywhere else.
[02:41:44.490 --> 02:41:45.450]  If you're good in Washington,
[02:41:45.450 --> 02:41:46.890]  you're not good anywhere else.
[02:41:46.890 --> 02:41:47.730]  Yeah, it's good.
[02:41:47.730 --> 02:41:48.930]  And now there's some reciprocity
[02:41:48.930 --> 02:41:49.810]  and that's a beautiful thing.
[02:41:49.810 --> 02:41:51.250]  You'll see me in Vegas now.
[02:41:51.270 --> 02:41:53.270]  And I mean, now look at all the events.
[02:41:55.270 --> 02:41:57.670]  Secret Cops is gonna be way bigger in 2015.
[02:41:57.670 --> 02:41:59.550]  That's all I'm saying.
[02:41:59.550 --> 02:42:02.190]  No, 500 tickets max.
[02:42:02.190 --> 02:42:03.870]  Keep it small, nice and private.
[02:42:03.870 --> 02:42:05.990]  I agree with that sentiment,
[02:42:05.990 --> 02:42:09.030]  but I'd be impressed if they keep it to 500 tickets.
[02:42:09.030 --> 02:42:09.990]  Yeah, it's hard to.
[02:42:09.990 --> 02:42:10.910]  All right, so check this out.
[02:42:10.910 --> 02:42:11.870]  The article goes on and says,
[02:42:11.870 --> 02:42:13.070]  "'Sure enough, Vegas sees roughly
[02:42:13.070 --> 02:42:14.750]  40 million visitors annually.'"
[02:42:14.750 --> 02:42:15.870]  That's a lot of people.
[02:42:15.870 --> 02:42:16.910]  "'But how many of those tourists
[02:42:16.910 --> 02:42:18.670]  will have valid medical marijuana cards
[02:42:18.670 --> 02:42:19.650]  and how many of those patients
[02:42:19.670 --> 02:42:22.270]  will take the time to seek legal Nevada weed?'
[02:42:22.270 --> 02:42:25.470]  "'We're still talking relatively small numbers,'
[02:42:25.470 --> 02:42:27.310]  said Joe Hodes, chief marketing officer
[02:42:27.310 --> 02:42:28.850]  at Denver-based marijuana company,
[02:42:28.850 --> 02:42:32.750]  Eddie, sorry, I read that way too quickly, Dixie Elixirs.
[02:42:32.750 --> 02:42:36.070]  It's not as if the average tourist or consumer
[02:42:36.070 --> 02:42:37.710]  can show up and make a purchase.
[02:42:37.710 --> 02:42:38.990]  The Red Card Act won't have,'
[02:42:38.990 --> 02:42:39.830]  hey, that's what they're calling it,
[02:42:39.830 --> 02:42:42.310]  won't have a huge impact on their tourism
[02:42:42.310 --> 02:42:43.750]  because it's a small number of people,
[02:42:43.750 --> 02:42:46.590]  many of whom were probably already going to Vegas.
[02:42:46.590 --> 02:42:47.830]  It might be a convenience,
[02:42:47.830 --> 02:42:48.950]  but if I have a red card,
[02:42:48.970 --> 02:42:52.090]  I can already get my medicine in my own state
[02:42:52.090 --> 02:42:54.010]  and flying with it can be sketchy sometimes.
[02:42:54.010 --> 02:42:55.610]  Yeah, you can get it in your own state,
[02:42:55.610 --> 02:42:57.450]  you just can't take it with you to Vegas
[02:42:57.450 --> 02:42:58.970]  because you've got to fly there
[02:42:58.970 --> 02:43:01.930]  or drive through Utah or New Mexico to get there.
[02:43:01.930 --> 02:43:03.170]  Well, now it sounds like you're legit.
[02:43:03.170 --> 02:43:04.010]  So when you get there, you get it.
[02:43:04.010 --> 02:43:08.170]  Because what happens when it becomes under pressure?
[02:43:08.170 --> 02:43:09.370]  It like explodes or something?
[02:43:09.370 --> 02:43:10.210]  No, no, you're cool.
[02:43:10.210 --> 02:43:12.090]  I won't go to Utah with friends with a lot of weed.
[02:43:12.090 --> 02:43:14.170]  Is this the TSA telling us no?
[02:43:14.170 --> 02:43:15.010]  Yeah.
[02:43:15.010 --> 02:43:15.830]  Oh, okay.
[02:43:15.830 --> 02:43:17.050]  So everybody else can change their policies
[02:43:17.110 --> 02:43:19.190]  except for the people that transport everybody, right?
[02:43:19.190 --> 02:43:20.030]  Pretty much.
[02:43:20.030 --> 02:43:20.850]  Oh, okay.
[02:43:20.850 --> 02:43:21.690]  All right, so it says,
[02:43:21.690 --> 02:43:23.070]  if Nevada does pass recreational marijuana measures
[02:43:23.070 --> 02:43:27.190]  in the 2016 election,
[02:43:27.190 --> 02:43:29.550]  the earliest the state will see those sales starting
[02:43:29.550 --> 02:43:33.270]  is late 2017, but 2018 is more likely.
[02:43:33.270 --> 02:43:35.190]  Until then, companies such as Dixie,
[02:43:35.190 --> 02:43:36.550]  which hopes to soon have an agreement
[02:43:36.550 --> 02:43:39.590]  allowing the sale of its cannabis-infused edibles,
[02:43:39.590 --> 02:43:41.390]  drinks, and topicals in Nevada
[02:43:41.390 --> 02:43:45.070]  will have time to leave their mark on the Las Vegas Strip.
[02:43:45.070 --> 02:43:46.590]  I was going to ask why two years,
[02:43:47.090 --> 02:43:50.890]  but after seeing what just happened in Washington,
[02:43:50.890 --> 02:43:53.370]  where they're so unprepared for recreational,
[02:43:53.370 --> 02:43:56.050]  I would almost expect two years to be right about right.
[02:43:56.050 --> 02:43:57.690]  Yeah, give them time to grow some herb,
[02:43:57.690 --> 02:43:58.730]  get the rules in place,
[02:43:58.730 --> 02:44:00.050]  the guild of dispensary.
[02:44:00.050 --> 02:44:02.730]  Get a couple things in stock and like cure it.
[02:44:02.730 --> 02:44:03.970]  And it'd be in-
[02:44:03.970 --> 02:44:05.210]  This rule makes process-
[02:44:05.210 --> 02:44:06.050]  That's a funny joke.
[02:44:06.050 --> 02:44:08.650]  You think the dispensary's gonna cure some weed?
[02:44:08.650 --> 02:44:09.650]  You're a funny guy.
[02:44:09.650 --> 02:44:10.490]  Har, har, har.
[02:44:10.490 --> 02:44:12.050]  Har, har, harvested.
[02:44:12.050 --> 02:44:12.970]  Durka, durka.
[02:44:12.970 --> 02:44:13.810]  All right.
[02:44:13.810 --> 02:44:14.630]  Durka, durka.
[02:44:14.630 --> 02:44:16.050]  So we didn't review either the film we watched-
[02:44:16.270 --> 02:44:18.270]  That's where we're headed right now.
[02:44:18.270 --> 02:44:19.270]  The next thing is,
[02:44:19.270 --> 02:44:20.550]  so guys, we bragged about,
[02:44:20.550 --> 02:44:22.270]  Adam and I bragged recently,
[02:44:22.270 --> 02:44:23.190]  about a couple months ago,
[02:44:23.190 --> 02:44:24.470]  about going to see Joe Rogan.
[02:44:24.470 --> 02:44:25.670]  I ain't shut up about it.
[02:44:25.670 --> 02:44:26.510]  So.
[02:44:26.510 --> 02:44:28.310]  Now that I've seen the special,
[02:44:28.310 --> 02:44:29.930]  I can see why you didn't shut up about it.
[02:44:29.930 --> 02:44:30.770]  I wish I was there.
[02:44:30.770 --> 02:44:31.610]  Yeah, we saw Joe,
[02:44:31.610 --> 02:44:34.550]  Angela, myself, and Adam went and saw Joe Rogan live
[02:44:34.550 --> 02:44:35.670]  at the Denver Comedy Works
[02:44:35.670 --> 02:44:38.750]  during the taping of his new special that aired last night.
[02:44:38.750 --> 02:44:40.010]  And I DVR'd it.
[02:44:40.010 --> 02:44:42.670]  Mike came over here and watched it with Angela and I.
[02:44:42.670 --> 02:44:45.150]  Adam watched it at his place with his kind lady.
[02:44:46.310 --> 02:44:49.030]  That was a funny damn comedy special.
[02:44:49.030 --> 02:44:50.230]  They cut out a lot.
[02:44:50.230 --> 02:44:51.070]  We were there.
[02:44:51.070 --> 02:44:52.350]  They cut out a lot.
[02:44:52.350 --> 02:44:53.190]  Whoa, yeah.
[02:44:53.190 --> 02:44:54.030]  That's what you guys were saying last night.
[02:44:54.030 --> 02:44:56.950]  I liked the final product they put together.
[02:44:56.950 --> 02:44:58.030]  It was really,
[02:44:58.030 --> 02:45:01.350]  I wish I had that quality of a video camera.
[02:45:01.350 --> 02:45:03.150]  The cameras were tiny.
[02:45:03.150 --> 02:45:04.790]  The camera that Rogan is staring into
[02:45:04.790 --> 02:45:05.830]  the majority of the time,
[02:45:05.830 --> 02:45:06.950]  I'm sitting under,
[02:45:06.950 --> 02:45:08.110]  like a lot of the time.
[02:45:08.110 --> 02:45:09.430]  It's a small little thing,
[02:45:09.430 --> 02:45:13.790]  like a LED screen display, basically,
[02:45:13.790 --> 02:45:14.630]  and that's it.
[02:45:14.630 --> 02:45:15.450]  Nice.
[02:45:15.790 --> 02:45:16.630]  It's cool.
[02:45:16.630 --> 02:45:17.950]  It was a great comedy show.
[02:45:17.950 --> 02:45:20.230]  He crushed it from beginning to end.
[02:45:20.230 --> 02:45:21.070]  My first.
[02:45:21.070 --> 02:45:22.310]  Yeah, I was laughing hard last night.
[02:45:22.310 --> 02:45:23.990]  Professional one, I would say.
[02:45:23.990 --> 02:45:27.110]  You know, and that was a good one to go to, for sure.
[02:45:28.910 --> 02:45:30.590]  You hadn't gone to another show at Comedy Works
[02:45:30.590 --> 02:45:31.430]  before that with us?
[02:45:31.430 --> 02:45:32.630]  I've never been to a professional comedy show
[02:45:32.630 --> 02:45:36.350]  like somebody TV-wise, like big time.
[02:45:36.350 --> 02:45:37.470]  I mean, I've done stuff here,
[02:45:37.470 --> 02:45:39.030]  and I mean, it's basically the same,
[02:45:39.030 --> 02:45:40.990]  but there was a lot more rules to that.
[02:45:40.990 --> 02:45:41.830]  I mean, that was a comedy special.
[02:45:41.830 --> 02:45:43.230]  Oh, the taping was intense.
[02:45:43.230 --> 02:45:44.070]  Yeah, that was.
[02:45:44.290 --> 02:45:45.690]  There were so many crowd rules.
[02:45:45.690 --> 02:45:46.890]  They were moving the crowd around
[02:45:46.890 --> 02:45:48.210]  and putting ugly people in the back
[02:45:48.210 --> 02:45:49.290]  and sexy people up front,
[02:45:49.290 --> 02:45:50.490]  and of course, we were under camera,
[02:45:50.490 --> 02:45:51.690]  so you couldn't even see us.
[02:45:51.690 --> 02:45:52.530]  It was sort of pointless.
[02:45:52.530 --> 02:45:54.410]  I never saw a real good look at anybody.
[02:45:54.410 --> 02:45:55.810]  That's where I was headed with this.
[02:45:55.810 --> 02:45:56.810]  It was really dark.
[02:45:56.810 --> 02:45:59.170]  The only lights in the building were on the stage,
[02:45:59.170 --> 02:46:00.230]  and you couldn't even see the crowd,
[02:46:00.230 --> 02:46:02.010]  so all the moving around and all the rules
[02:46:02.010 --> 02:46:03.690]  and the no hats and no logo shit
[02:46:03.690 --> 02:46:05.410]  was just too much tension.
[02:46:05.410 --> 02:46:07.650]  Or it might've applied if he had a 20-minute bit
[02:46:07.650 --> 02:46:09.810]  on picking on people in the front row or some shit,
[02:46:09.810 --> 02:46:13.250]  but all I saw was the profile of one kid
[02:46:13.270 --> 02:46:14.110]  a couple of times,
[02:46:14.110 --> 02:46:15.790]  and that's pretty much all the crowd you see.
[02:46:15.790 --> 02:46:17.830]  And that's where we were for Doug Benson.
[02:46:17.830 --> 02:46:18.670]  Yeah.
[02:46:18.670 --> 02:46:19.490]  That's what I kept telling him.
[02:46:19.490 --> 02:46:21.190]  Yeah, there's three seats off to the side up on the top,
[02:46:21.190 --> 02:46:22.030]  and that's where.
[02:46:22.030 --> 02:46:22.850]  Nice.
[02:46:22.850 --> 02:46:23.690]  Yeah.
[02:46:23.690 --> 02:46:24.550]  And see, right next to Jeff,
[02:46:24.550 --> 02:46:26.670]  Jeff was basically underneath the camera.
[02:46:26.670 --> 02:46:28.230]  There was a guy sitting next to us,
[02:46:28.230 --> 02:46:31.550]  but it was still wheelchair accessible,
[02:46:31.550 --> 02:46:33.630]  so it wasn't sloped.
[02:46:33.630 --> 02:46:34.750]  So he was up higher,
[02:46:34.750 --> 02:46:36.750]  so every shot from across the way
[02:46:36.750 --> 02:46:39.110]  it basically blocked us completely out of there
[02:46:39.110 --> 02:46:42.670]  because we were underneath his shoulders, basically,
[02:46:42.770 --> 02:46:44.490]  probably down to his elbow.
[02:46:44.490 --> 02:46:45.330]  Yeah, I know.
[02:46:45.330 --> 02:46:46.610]  There's a way easier way to get on TV.
[02:46:46.610 --> 02:46:47.570]  Just go to city council.
[02:46:47.570 --> 02:46:51.130]  They give you five minutes to talk live on television.
[02:46:51.130 --> 02:46:54.130]  Joe Rogan doesn't have to catch you in the side view, y'all.
[02:46:54.130 --> 02:46:54.950]  That's funny.
[02:46:54.950 --> 02:46:55.790]  That's my little piece.
[02:46:55.790 --> 02:46:56.630]  Great show.
[02:46:56.630 --> 02:46:57.450]  Great show.
[02:46:57.450 --> 02:46:58.290]  Go be on TV for free.
[02:46:58.290 --> 02:47:00.070]  All right, so speaking of Joe Rogan being on a video,
[02:47:00.070 --> 02:47:00.910]  shout out to Joe Rogan.
[02:47:00.910 --> 02:47:01.730]  That show was great.
[02:47:01.730 --> 02:47:02.570]  Shout out to Comedy Works.
[02:47:02.570 --> 02:47:04.810]  Big respect to Melissa.
[02:47:04.810 --> 02:47:06.210]  If you guys don't know Melissa at Comedy Works,
[02:47:06.210 --> 02:47:08.110]  then you don't know what you're missing.
[02:47:09.250 --> 02:47:11.050]  Let's see, what else am I gonna say?
[02:47:11.070 --> 02:47:13.470]  We watched a culture high tonight.
[02:47:13.470 --> 02:47:15.070]  I invited these dudes over.
[02:47:15.070 --> 02:47:16.910]  I rented it from iTunes,
[02:47:16.910 --> 02:47:18.910]  which I've never rented anything from iTunes.
[02:47:18.910 --> 02:47:21.110]  It feels kind of weird to pay 4.99
[02:47:21.110 --> 02:47:24.390]  to watch something for 24 hours on my computer,
[02:47:24.390 --> 02:47:25.510]  but okay, I get it.
[02:47:25.510 --> 02:47:26.630]  I'm glad we did it.
[02:47:26.630 --> 02:47:28.550]  Me too, it was worth my 4.99.
[02:47:30.470 --> 02:47:31.390]  I learned a lot of stuff.
[02:47:31.390 --> 02:47:32.750]  I tried to take some notes.
[02:47:33.590 --> 02:47:35.870]  We came to a really easy conclusion.
[02:47:35.870 --> 02:47:37.350]  Fuck Nancy Grace.
[02:47:37.350 --> 02:47:38.430]  Fuck Nancy Grace.
[02:47:38.430 --> 02:47:40.030]  I can't believe I haven't said that yet.
[02:47:40.050 --> 02:47:42.250]  That's the only fucking thing I wrote down.
[02:47:42.250 --> 02:47:43.090]  That's it.
[02:47:43.090 --> 02:47:44.930]  I fucking failed.
[02:47:44.930 --> 02:47:46.490]  Yeah, you fucking.
[02:47:46.490 --> 02:47:47.930]  Well, I thought, I'm sorry.
[02:47:47.930 --> 02:47:49.850]  You want me to hit pause?
[02:47:49.850 --> 02:47:51.290]  No, no, no, no.
[02:47:51.290 --> 02:47:53.170]  You might just have to bleep out a name, that's all.
[02:47:53.170 --> 02:47:54.010]  Go ahead.
[02:47:58.250 --> 02:47:59.090]  Do you want to say it with me?
[02:47:59.090 --> 02:48:02.490]  No, no, no, no, no, no, no, no, no, no, no, no.
[02:48:02.490 --> 02:48:04.330]  It deserves to be said as a group.
[02:48:04.330 --> 02:48:06.050]  I'm sorry, but anyway, fuck Nancy Grace.
[02:48:06.050 --> 02:48:07.170]  Yeah, fuck Nancy Grace.
[02:48:07.170 --> 02:48:09.650]  Everyone should check out the culture high.
[02:48:10.590 --> 02:48:12.910]  Sit your parents down, have them watch it with you.
[02:48:12.910 --> 02:48:15.870]  Watch it as a family, watch it with your friends.
[02:48:15.870 --> 02:48:16.710]  It's worth it.
[02:48:16.710 --> 02:48:17.530]  You'll learn a lot.
[02:48:17.530 --> 02:48:20.430]  Give it to someone that's maybe not open-minded,
[02:48:20.430 --> 02:48:22.250]  but willing to listen.
[02:48:22.250 --> 02:48:24.030]  That's all.
[02:48:24.030 --> 02:48:24.870]  Willing.
[02:48:24.870 --> 02:48:26.870]  Who's one of your favorite speakers in there?
[02:48:26.870 --> 02:48:27.910]  I did write down a name.
[02:48:27.910 --> 02:48:28.750]  I forget him.
[02:48:28.750 --> 02:48:29.790]  He was towards the end.
[02:48:29.790 --> 02:48:31.270]  Howard Bloom, he gets crazy.
[02:48:31.270 --> 02:48:34.070]  He gets all old man-ish and shit.
[02:48:34.070 --> 02:48:36.110]  You know, like his jowl start.
[02:48:36.110 --> 02:48:36.950]  And it's funny.
[02:48:36.950 --> 02:48:37.790]  It is, dude.
[02:48:37.790 --> 02:48:39.390]  But his message is true.
[02:48:40.130 --> 02:48:41.290]  So it's there.
