[00:00.000 --> 00:02.120]  Greetings from podcastville.
[44:34.840 --> 44:38.040]  If this dude's working in a ladder and is four by four tent,
[44:38.040 --> 44:39.520]  he's already going crazy.
[44:39.520 --> 44:41.240]  So we're gonna drug test him.
[44:41.240 --> 44:42.080]  We're gonna drug test you
[44:42.080 --> 44:44.200]  if I catch you in a ladder in there, buddy.
[44:45.640 --> 44:47.200]  Yeah, that was a really good piece of advice.
[44:47.200 --> 44:49.800]  Bring the net down little by little around the plants.
[44:49.840 --> 44:51.840]  Not all in one piece.
[44:51.840 --> 44:54.360]  Or if you can get the plants out of that top layer,
[44:54.360 --> 44:56.520]  then cut the net out and then take out the bottom layer,
[44:56.520 --> 44:57.440]  then cut the net.
[44:57.440 --> 44:58.760]  You may wanna recycle that net.
[44:58.760 --> 44:59.680]  Bro, it's like eight bucks.
[44:59.680 --> 45:01.760]  Please just fucking get a new one.
[45:01.760 --> 45:03.360]  Yeah, that's something you wanna,
[45:05.400 --> 45:07.520]  that and the reuse and that and the pots.
[45:07.520 --> 45:10.360]  Those are the two most brutal things to reuse.
[45:10.360 --> 45:11.560]  I reuse the pots.
[45:11.560 --> 45:12.960]  I take them to the-
[45:12.960 --> 45:14.080]  The cloth pots.
[45:14.080 --> 45:14.920]  Oh, don't use the,
[45:14.920 --> 45:17.200]  you can run the cloth pots through the washer
[45:17.200 --> 45:18.280]  at the laundry machine.
[45:18.280 --> 45:20.120]  Don't do them at your wife's or your mom's house
[45:20.120 --> 45:21.480]  because she will bitch at you.
[45:21.480 --> 45:22.640]  But do them at the laundry machine
[45:22.640 --> 45:24.000]  at the industrial washing machines.
[45:24.000 --> 45:25.360]  And you can run those cloth pots through there
[45:25.360 --> 45:27.480]  and get one or two uses out of them.
[45:27.480 --> 45:28.480]  They're cheap and affordable,
[45:28.480 --> 45:30.240]  but some of you guys are using the more expensive ones
[45:30.240 --> 45:31.080]  with the zippers.
[45:31.080 --> 45:32.040]  Go wash those.
[45:32.040 --> 45:33.960]  Take your plastic pots to,
[45:33.960 --> 45:36.000]  if you're in a legal state and it's not sketchy,
[45:36.000 --> 45:38.640]  take them to the car wash to spray them down.
[45:38.640 --> 45:39.480]  Yeah.
[45:39.480 --> 45:41.600]  If you can get that thing that holds the floor mats
[45:41.600 --> 45:43.400]  in place on the wall, clip them into that
[45:43.400 --> 45:44.240]  and spray the fuck out of them.
[45:44.240 --> 45:45.600]  Then clip them in and spray them.
[45:45.600 --> 45:46.520]  Yeah, because when you put them on the floor,
[45:46.520 --> 45:47.360]  they're gonna slide away.
[45:47.360 --> 45:48.200]  You can put them up against the wall
[45:48.200 --> 45:49.400]  or put your foot on them or something guys,
[45:49.400 --> 45:50.240]  because they will.
[45:50.240 --> 45:51.080]  That's sprayer.
[45:51.080 --> 45:53.000]  Spray the fuck out of them and don't use any detergent.
[45:53.000 --> 45:54.960]  Just do the hot water rinse.
[45:54.960 --> 45:57.720]  And spray for a couple seconds before you start.
[45:57.720 --> 45:59.560]  So in case there's soap in the line,
[45:59.560 --> 46:01.840]  spray for a few seconds until the water.
[46:01.840 --> 46:02.840]  Yeah, spray the line clear
[46:02.840 --> 46:04.560]  until the water runs hot and clear.
[46:04.560 --> 46:05.400]  Yeah.
[46:05.400 --> 46:07.080]  You don't want car wash in your plants.
[46:07.080 --> 46:09.040]  And if you are in a sketchy area
[46:09.040 --> 46:10.960]  and you need to wash them out at the car wash,
[46:10.960 --> 46:12.800]  put them in the back of the truck face up,
[46:12.800 --> 46:13.760]  like you're gonna load them
[46:13.760 --> 46:14.920]  and then drive up to the car wash
[46:14.920 --> 46:16.520]  and then to stand to the bed of the truck and hose.
[46:16.520 --> 46:18.120]  It looks like you're hosing the bed of your truck down,
[46:18.120 --> 46:19.440]  but you got enough pots in there packed up
[46:19.440 --> 46:21.840]  to where you can just do it in the bed of the truck.
[46:21.840 --> 46:23.320]  Mike, how long have we been at this shit?
[46:23.320 --> 46:25.840]  These are like fucking secret tricks right here.
[46:25.840 --> 46:27.080]  It's like 20 years.
[46:27.080 --> 46:29.680]  I was telling somebody about the old,
[46:29.680 --> 46:33.320]  you can rig an electric car door opener,
[46:33.320 --> 46:34.840]  the little fob openers.
[46:34.840 --> 46:37.320]  You can rig those to block like a bedroom door
[46:37.320 --> 46:39.520]  so that if your landlord comes by unexpectedly,
[46:39.520 --> 46:41.720]  they can't get into that second bedroom.
[46:41.720 --> 46:43.400]  I was telling somebody about that trick last night
[46:43.400 --> 46:44.360]  and they were like, holy fuck,
[46:44.360 --> 46:45.280]  where'd you learn about that?
[46:45.320 --> 46:46.160]  And I was like, oh dude,
[46:46.160 --> 46:48.280]  that was a high times trick when I was in high school.
[46:48.280 --> 46:50.600]  Allegedly, I saw one of the coolest,
[46:50.600 --> 46:53.480]  most stealth grows in a Denver apartment,
[46:53.480 --> 46:55.440]  allegedly, maybe recently.
[46:55.440 --> 46:57.920]  That was fucking, I was impressed.
[46:57.920 --> 47:00.120]  Yeah, I was like, you guys in here?
[47:00.120 --> 47:01.640]  Like I didn't know, I was sitting on the couch
[47:01.640 --> 47:02.960]  on the opposite side of the room
[47:02.960 --> 47:04.040]  and didn't know it existed.
[47:04.040 --> 47:07.560]  So, shout out to my friend who knows what he's doing.
[47:07.560 --> 47:08.520]  We've been going for a while,
[47:08.520 --> 47:10.960]  but we've got one more message from Patreon.
[47:10.960 --> 47:11.800]  One more question.
[47:11.800 --> 47:14.600]  And this person is a Grow From Your Heart podcast supporter.
[47:14.640 --> 47:16.440]  They're an iRegenetics supporter.
[47:16.440 --> 47:18.760]  They support Rasta Jeff and all things I do.
[47:18.760 --> 47:21.640]  They're also members of the DGC.
[47:21.640 --> 47:23.400]  So, a big shout out to this person
[47:23.400 --> 47:26.120]  for being an awesome cannabis soldier,
[47:26.120 --> 47:28.000]  big supporter of the cannabis community.
[47:28.000 --> 47:29.120]  Shout out to Rasta K.
[47:29.120 --> 47:31.800]  We've got a message from Patreon from Rasta K.
[47:31.800 --> 47:32.680]  Shout out to Rasta K.
[47:32.680 --> 47:36.080]  Anybody who calls himself Rasta whatever is a friend of mine.
[47:36.080 --> 47:39.360]  It goes like this, I'm waiting for sex on Arise.
[47:40.600 --> 47:41.440]  I don't think I've-
[47:41.440 --> 47:42.280]  How are y'all, brother?
[47:42.280 --> 47:44.560]  Yeah, I don't think I've ever sent a message
[47:45.400 --> 47:47.720]  with the words waiting for sex in the subject.
[47:49.120 --> 47:50.960]  Good luck with your Google searches in the future, bro.
[47:50.960 --> 47:52.360]  How are we, y'all?
[47:52.360 --> 47:54.720]  Anyway, waiting for sex.
[47:54.720 --> 47:55.840]  It says, what up, Grommies?
[47:55.840 --> 47:57.120]  I have a quick question.
[47:57.120 --> 47:59.880]  Though this community, I thought this community could help.
[47:59.880 --> 48:03.600]  I switched over an Arise five days ago to 12-12.
[48:03.600 --> 48:04.800]  So, they've put it into flower.
[48:04.800 --> 48:06.520]  They're 12 hours on and 12 hours off.
[48:06.520 --> 48:11.200]  It's in the flowering cycle because the question is,
[48:11.200 --> 48:13.960]  is there a specific point, specific, that's the word,
[48:14.400 --> 48:15.240]  specific point, not Pacific.
[48:15.240 --> 48:16.200]  I meant to say specific.
[48:16.200 --> 48:19.760]  Is there a specific point that would show sex first?
[48:19.760 --> 48:21.000]  I did top it.
[48:21.000 --> 48:23.360]  So, would the pistols or sacks show up higher
[48:23.360 --> 48:25.160]  on the plant or lower?
[48:25.160 --> 48:26.840]  Or is this all random?
[48:26.840 --> 48:28.520]  Thanks, guys.
[48:29.600 --> 48:32.000]  How long ago did you top it before you put it into flower?
[48:32.000 --> 48:35.760]  I'm hoping you gave it seven, 10, maybe 14 days to recover
[48:35.760 --> 48:38.120]  so that the auxins and cytokinins can run back
[48:38.120 --> 48:41.120]  to the tips of the plant and try to fight
[48:41.120 --> 48:42.800]  over apical dominance.
[48:42.800 --> 48:44.000]  I hope you did that.
[48:44.000 --> 48:46.520]  Too late to fucking worry about it at this point.
[48:46.520 --> 48:48.400]  Not gonna make too big of a difference.
[48:48.400 --> 48:49.600]  Would have gotten bigger, fatter buds
[48:49.600 --> 48:50.760]  had you let it recover.
[48:52.760 --> 48:55.240]  At first, I thought they were asking what timeframe
[48:55.240 --> 48:56.440]  it will show sex.
[48:56.440 --> 48:57.720]  And I was going to say 10 to 14 days.
[48:57.720 --> 48:59.320]  Higher location.
[48:59.320 --> 49:00.880]  At what, yeah, location.
[49:00.880 --> 49:04.160]  What specific point on the plant will it show sex?
[49:04.160 --> 49:05.200]  Look at the very tops.
[49:05.200 --> 49:09.080]  I think the tops are going to be the most indicative points
[49:09.080 --> 49:11.360]  of the plant to find sex.
[49:11.360 --> 49:13.640]  So you'll start seeing, if it's a female,
[49:13.640 --> 49:15.680]  you'll start getting the little pistils coming out.
[49:15.680 --> 49:17.840]  If it's a male, you'll start seeing little nubs.
[49:17.840 --> 49:20.480]  And eventually those nubs will turn into little ball sacks.
[49:20.480 --> 49:24.360]  So the top is probably the best place to look.
[49:24.360 --> 49:27.000]  Or if you've got an area that's getting really shaded,
[49:27.000 --> 49:29.600]  that area may develop into flower more quickly.
[49:29.600 --> 49:32.200]  Sometimes the male plants will show you a little lower down.
[49:32.200 --> 49:34.200]  They'll start popping off just one or two sacks
[49:34.200 --> 49:35.240]  that are really extended
[49:35.240 --> 49:37.080]  because they're trying to reach for the light.
[49:37.080 --> 49:40.000]  But typically the tops are going to be
[49:40.000 --> 49:41.880]  where you're going to see sex first
[49:41.880 --> 49:45.120]  because the male plants grow taller.
[49:45.120 --> 49:45.960]  Here's a weird thing.
[49:45.960 --> 49:47.400]  In my opinion, what I've experienced,
[49:47.400 --> 49:49.160]  the male plants generally grow taller
[49:49.160 --> 49:50.440]  than all of the females.
[49:51.280 --> 49:52.120]  They'll get taller.
[49:52.120 --> 49:54.000]  So if you've got a batch of the same strain,
[49:54.000 --> 49:55.920]  a batch of whatever seeds, golden goat seeds,
[49:55.920 --> 49:58.440]  that's not a good fucking selection
[49:58.440 --> 49:59.680]  because that's a feminized.
[49:59.680 --> 50:01.200]  We need a blue raspberry truffle.
[50:01.200 --> 50:02.320]  We got blue raspberry truffle.
[50:02.320 --> 50:06.120]  The males typically grow just a ratio taller.
[50:06.120 --> 50:07.440]  I don't know what size pots you're using,
[50:07.440 --> 50:08.840]  but it's going to be noticeably taller
[50:08.840 --> 50:10.400]  because they're going to make pollen
[50:10.400 --> 50:13.040]  and that pollen needs to fall down onto the females.
[50:13.040 --> 50:15.600]  So the tops are usually where we start getting the,
[50:15.600 --> 50:18.240]  that's where they want to put their pollination parts.
[50:18.240 --> 50:19.800]  Their sex glands go up to the top
[50:19.800 --> 50:21.000]  so they can catch that pollen.
[50:21.000 --> 50:23.600]  If it was down lower, it would get intercepted by leaves.
[50:23.600 --> 50:25.880]  It'd get blown away by the wind by the time it got to it.
[50:25.880 --> 50:28.680]  So the tips, that's where their vaginas are.
[50:28.680 --> 50:30.520]  The vaginas are on the tips mainly.
[50:30.520 --> 50:31.480]  It's where they start off first.
[50:31.480 --> 50:33.640]  So it wants to get pollinated up there.
[50:33.640 --> 50:35.680]  So that's something to think about.
[50:35.680 --> 50:37.400]  If you guys are checking for males and females,
[50:37.400 --> 50:39.720]  quite often, not a hundred percent true.
[50:39.720 --> 50:41.000]  Sometimes it's phenotypical.
[50:41.000 --> 50:42.680]  Sometimes you get some mutants and some freaks
[50:42.680 --> 50:45.520]  and some champions, but usually if you run a pack of seeds,
[50:45.520 --> 50:47.440]  those plants, they get super tall right away
[50:47.440 --> 50:49.200]  or generally going to be boys.
[50:49.200 --> 50:50.040]  Don't get too excited.
[50:50.040 --> 50:51.120]  That was the urban legend.
[50:51.120 --> 50:53.480]  And the more we ran, I thought that was funny
[50:53.480 --> 50:54.760]  that that one held true.
[50:54.760 --> 50:57.440]  Yeah. I kind of believed it from the beginning
[50:57.440 --> 50:58.920]  because it's got a reason.
[50:58.920 --> 51:00.560]  There's like a reason in nature.
[51:00.560 --> 51:01.880]  It makes a lot of sense.
[51:01.880 --> 51:04.920]  It's, if that's not actually true,
[51:04.920 --> 51:06.720]  that sounds true as fuck.
[51:08.080 --> 51:10.320]  It's true in my experience for sure.
[51:10.320 --> 51:12.720]  Well, the boys want to get up there and drop pollen down.
[51:12.720 --> 51:15.680]  If the boys are lower, you can't pollinate the top bud.
[51:15.680 --> 51:18.440]  And do the short guys ever get to fuck the tall chick?
[51:20.360 --> 51:22.240]  The first couple of times I popped seeds,
[51:22.240 --> 51:26.320]  I got really excited over the super vigorous one.
[51:26.320 --> 51:27.160]  Yes.
[51:27.160 --> 51:29.000]  And each time it was like, oh man,
[51:30.320 --> 51:33.000]  one, 10 days into flowering, you come in and it's like,
[51:33.000 --> 51:34.880]  oh man, that plant's got a heart on.
[51:34.880 --> 51:36.040]  I tell a lot of people,
[51:36.080 --> 51:38.480]  like that one you're excited about, it's going to be a boy.
[51:38.480 --> 51:39.320]  And they're like, don't say that.
[51:39.320 --> 51:40.440]  And I'm like, no, I already, it's not,
[51:40.440 --> 51:41.280]  I'm not jinxing you.
[51:41.280 --> 51:42.320]  It's a fucking dude.
[51:42.320 --> 51:43.920]  That's why it's a foot taller than the rest.
[51:43.920 --> 51:45.280]  It's why it's more vigorous.
[51:45.280 --> 51:46.120]  Yeah.
[51:46.120 --> 51:46.960]  It's like I'm not fucking with you.
[51:46.960 --> 51:48.040]  That's Adam's apple.
[51:48.040 --> 51:49.560]  Yeah. Yeah.
[51:49.560 --> 51:51.360]  Yeah. I'm going to move on from that.
[51:51.360 --> 51:52.200]  It's 2020.
[51:53.600 --> 51:54.880]  Mike, this was a fun podcast.
[51:54.880 --> 51:57.400]  We've been going for like, I think close to an hour, dude.
[51:57.400 --> 51:59.200]  I wrote it down on another page of notes
[51:59.200 --> 52:00.680]  and I don't know where it went.
[52:00.680 --> 52:02.040]  Yeah, dude, we've been going for close to an hour.
[52:02.040 --> 52:04.960]  So yeah, let's start wrapping up this show, bro.
[52:04.960 --> 52:06.160]  I had a good time with you.
[52:06.160 --> 52:07.000]  Yeah.
[52:07.000 --> 52:07.840]  The people deserve this.
[52:07.840 --> 52:10.720]  I think the last episode, I was off my game, dude.
[52:10.720 --> 52:11.680]  I watched it again and I was like,
[52:11.680 --> 52:13.040]  it's not as bad as I felt like it was,
[52:13.040 --> 52:15.440]  but I was just a little bit off my crackers.
[52:15.440 --> 52:18.360]  We might want to look at the last episode re-recorded.
[52:18.360 --> 52:20.080]  We talked about being a little,
[52:20.080 --> 52:23.200]  a little recorded ahead in this episode.
[52:23.200 --> 52:25.080]  So I don't feel like we're giving away
[52:25.080 --> 52:27.200]  any movie magic secrets,
[52:27.200 --> 52:30.760]  but we were in rare form for an episode, folks.
[52:30.760 --> 52:33.480]  If you enjoyed it, thumbs up.
[52:33.520 --> 52:34.800]  If you don't know what I'm talking about,
[52:34.800 --> 52:36.000]  it might've got edited.
[52:37.200 --> 52:38.520]  There wasn't much editing to be done,
[52:38.520 --> 52:41.080]  but we were, I think we may have had too many dabs
[52:41.080 --> 52:43.080]  for a podcast that night, dude.
[52:43.080 --> 52:46.120]  Might've, we got, we got carried away
[52:46.120 --> 52:47.440]  before the show a little bit.
[52:47.440 --> 52:49.080]  And it was also like two in the morning.
[52:49.080 --> 52:51.880]  So that should always has an effect on us.
[52:51.880 --> 52:52.960]  It does.
[52:52.960 --> 52:54.120]  Yeah.
[52:54.120 --> 52:55.720]  Late night podcasting from the bunker.
[52:55.720 --> 52:56.960]  It's been a good time, dude.
[52:56.960 --> 52:59.480]  The late night bunker sessions, man.
[52:59.480 --> 53:00.320]  So-
[53:00.320 --> 53:01.160]  Brought to you by Zoom.
[53:01.160 --> 53:02.000]  Yeah, well, I don't know.
[53:02.000 --> 53:02.840]  They didn't pay us shit.
[53:03.160 --> 53:04.400]  I paid them, so fuck that.
[53:05.520 --> 53:07.080]  Made possible by Zoom.
[53:07.080 --> 53:07.920]  Yeah, brought to you by seedshere.com.
[53:07.920 --> 53:09.440]  And viewers like you.
[53:09.440 --> 53:10.280]  Yes, thank you guys.
[53:10.280 --> 53:12.720]  Thanks to everybody on Patreon who helps us out.
[53:12.720 --> 53:14.440]  Mike, I've never given you the warning
[53:14.440 --> 53:15.280]  that I'm going to do this,
[53:15.280 --> 53:16.360]  but I think you should expect it right now.
[53:16.360 --> 53:19.360]  Do you have any Mike's moments here at the end of the show?
[53:19.360 --> 53:20.360]  A Mike's moment?
[53:20.360 --> 53:22.320]  No, just be good to each other, people.
[53:22.320 --> 53:24.080]  All right, sounds good to me.
[53:24.080 --> 53:27.440]  Where can the kind folks find you on social media?
[53:27.440 --> 53:31.720]  Find me at, at NemoPunk15 on Twitter or Instagram
[53:31.760 --> 53:35.680]  and at Pueblo for Sensible Cannabis Laws on Facebook.
[53:35.680 --> 53:39.480]  Or you can hit me up on Patreon at patreon.com
[53:39.480 --> 53:41.000]  forward slash white Mike.
[53:41.000 --> 53:42.000]  Beautifully done, bro.
[53:42.000 --> 53:44.080]  You're doing that like a podcasting professional
[53:44.080 --> 53:44.920]  at this point.
[53:44.920 --> 53:47.160]  Like a pro, like I was expecting you to do that shit.
[53:47.160 --> 53:49.400]  Yeah, thanks again for hanging out, dude.
[53:49.400 --> 53:50.600]  Hell yeah, thanks for having me.
[53:50.600 --> 53:51.440]  It was great.
[53:51.440 --> 53:52.280]  You had something to say, go for it.
[53:52.280 --> 53:53.120]  Don't let me interrupt you.
[53:53.120 --> 53:54.800]  I was going to say, keep leaving YouTube comments,
[53:54.800 --> 53:58.520]  keep sending emails, keep sending tweets.
[53:58.520 --> 54:01.320]  Love the interactions and want more, so.
[54:01.920 --> 54:03.640]  Yeah, we want more, just like you want more.
[54:03.640 --> 54:04.800]  We want more interaction.
[54:04.800 --> 54:06.760]  We'll keep putting out shows, you keep responding.
[54:06.760 --> 54:09.040]  We'll keep interacting, keeping them coming for you.
[54:09.040 --> 54:10.240]  Be safe while you're in quarantine
[54:10.240 --> 54:11.800]  or while you're doing whatever you're doing.
[54:11.800 --> 54:14.240]  I feel like pretty soon, man, we may get to go play again
[54:14.240 --> 54:17.040]  and see some comedy shows and high five people.
[54:17.040 --> 54:21.080]  I'm itching, there's a couple of possible events coming.
[54:21.080 --> 54:22.640]  Well, they're just itching to get out again.
[54:22.640 --> 54:25.200]  Like I'm, it's weird, cause I'm a shut in anyway.
[54:26.280 --> 54:28.600]  But I've kind of reached the end of my limit.
[54:28.640 --> 54:31.920]  I need to get out and see some people and do some things.
[54:31.920 --> 54:33.800]  I freaking agree.
[54:33.800 --> 54:34.640]  Ladies and gentlemen.
[54:34.640 --> 54:35.560]  I'm just a system.
[54:35.560 --> 54:36.560]  Yes, yes.
[54:37.520 --> 54:39.120]  Take care of yourselves, behave yourselves.
[54:39.120 --> 54:40.840]  I'm not going to talk any conspiracies.
[54:40.840 --> 54:42.120]  You're an adult, do what you want to do.
[54:42.120 --> 54:43.320]  I love you for it.
[54:43.320 --> 54:44.240]  Mike, thanks for hanging out.
[54:44.240 --> 54:46.000]  Ladies and gentlemen, boys and girls, pimps and hoes,
[54:46.000 --> 54:49.240]  friends, foes, smokers, growers, seed cutters,
[54:49.240 --> 54:52.760]  clone cutters, pollen chuckers, no, seed poppers.
[54:52.760 --> 54:54.520]  There's so many of them that I don't even know anymore.
[54:54.520 --> 54:55.360]  I love you guys.
[54:55.360 --> 54:56.600]  I want to thank each and every one of you for hanging out.
[54:56.600 --> 54:58.280]  I feel like you're like my own adopted pets
[54:58.960 --> 55:00.040]  and I want to scratch all of you right behind your ears.
[55:00.040 --> 55:01.600]  So thank you for being here.
[55:01.600 --> 55:03.280]  If you feel like this episode was educational,
[55:03.280 --> 55:04.600]  informative, and or entertaining,
[55:04.600 --> 55:06.200]  and you'd like to make a financial contribution
[55:06.200 --> 55:08.200]  to the show, I'm sure you've heard it plenty of times,
[55:08.200 --> 55:10.840]  patreon.com forward slash grow from your heart.
[55:10.840 --> 55:14.040]  I cannot thank you enough for all of the love and support.
[55:14.040 --> 55:16.280]  And of course the funding helps as well.
[55:16.280 --> 55:18.120]  Speaking of funding, make sure you support our sponsor
[55:18.120 --> 55:20.160]  at seedsherenow.com.
[55:20.160 --> 55:21.080]  A lot of people ask me,
[55:21.080 --> 55:23.320]  when are they getting a fresh drop of this?
[55:23.320 --> 55:24.920]  Now, they have got it now.
[55:24.920 --> 55:26.520]  Go check seedsherenow.com.
[55:26.560 --> 55:28.920]  You can use coupon code GFYH10.
[55:28.920 --> 55:30.480]  Save yourself a few bucks.
[55:30.480 --> 55:32.200]  Somebody also asked if that coupon code
[55:32.200 --> 55:33.520]  is good on other brands.
[55:33.520 --> 55:35.640]  Yes, you can use that store-wide,
[55:35.640 --> 55:37.680]  website-wide, you can buy Miss Jill genetics,
[55:37.680 --> 55:39.920]  you can buy Duke Diamond, you can buy Ethos,
[55:39.920 --> 55:41.280]  and that will work on your full order.
[55:41.280 --> 55:45.600]  GFYH10 should work on the full order at seedsherenow.com.
[55:45.600 --> 55:48.640]  So go load up, yeah, seedsherenow.com.
[55:48.640 --> 55:51.720]  Tom, Ross, Jeff sent you coupon code GFYH10.
[55:51.720 --> 55:53.480]  Mike, that is all I've got for this episode.
[55:53.480 --> 55:54.480]  This was a fun show, dude.
[55:54.480 --> 55:55.320]  Thank you for hanging out.
[55:55.520 --> 55:58.200]  I look forward to taking some post-show dabs with you.
[55:59.480 --> 56:00.840]  Yep, I'm not headed anywhere.
[56:00.840 --> 56:02.040]  Yeah, I like that.
[56:02.040 --> 56:03.920]  There might be an extra high episode
[56:03.920 --> 56:05.080]  recorded after this one.
[56:05.080 --> 56:06.120]  Dude, I'm glad you said that.
[56:06.120 --> 56:07.480]  Now I don't even have to ask you when we're done.
[56:07.480 --> 56:09.520]  You guys, I'm gonna change my shirt
[56:09.520 --> 56:12.920]  and we'll be back for another episode if things go my way.
[56:12.920 --> 56:13.920]  I wanna give a giant shout out
[56:13.920 --> 56:16.280]  to my dear friend, Benny's and the Veg.
[56:16.280 --> 56:17.120]  And until next time,
[56:17.120 --> 56:19.520]  take a fat dab and give your mom a hug for me.
